t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,331,0,32.9652,47.0461,447.2872,-0.1728,0.1764,0.0100,0.9690,1916.0000,1920.0000,1924.0000,,,,
0.0098,331,0,32.9652,47.0461,447.2872,-0.1728,0.1764,0.0100,0.9690,1916.0000,1920.0000,1924.0000,,,,
0.0214,331,0,18.5737,41.2950,455.6292,-0.0823,0.1832,0.0248,0.9793,1916.0000,1920.0000,1924.0000,,,,
0.0343,331,0,18.5737,41.2950,455.6292,-0.0823,0.1832,0.0248,0.9793,1916.0000,1920.0000,1924.0000,,,,
0.0452,331,0,18.5737,41.2950,455.6292,-0.0823,0.1832,0.0248,0.9793,1916.0000,1920.0000,1924.0000,,,,
0.0540,331,0,18.5737,41.2950,455.6292,-0.0823,0.1832,0.0248,0.9793,1916.0000,1920.0000,1924.0000,,,,
0.0653,331,0,18.5737,41.2950,455.6292,-0.0823,0.1832,0.0248,0.9793,1916.0000,1920.0000,1924.0000,,,,
0.0769,331,0,51.0819,40.4188,562.4457,0.1229,0.0040,-0.0055,0.9924,1916.0000,1920.0000,1924.0000,,,,
0.0886,331,0,51.0819,40.4188,562.4457,0.1229,0.0040,-0.0055,0.9924,1916.0000,1920.0000,1924.0000,,,,
0.1007,331,0,51.0819,40.4188,562.4457,0.1229,0.0040,-0.0055,0.9924,1916.0000,1920.0000,1924.0000,,,,
0.1109,331,0,51.0819,40.4188,562.4457,0.1229,0.0040,-0.0055,0.9924,1916.0000,1920.0000,1924.0000,,,,
0.1210,331,0,51.0819,40.4188,562.4457,0.1229,0.0040,-0.0055,0.9924,1916.0000,1920.0000,1924.0000,,,,
0.1338,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.1445,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.1583,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.1684,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.1772,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.1897,331,0,47.9360,41.2371,542.4099,-0.0974,-0.0288,-0.0126,0.9948,1916.0000,1920.0000,1924.0000,,,,
0.2007,331,1,49.9926,46.2616,499.9555,-0.1954,0.0790,-0.0130,0.9775,1916.0000,1920.0000,1924.0000,,,,
0.2129,331,1,49.9926,46.2616,499.9555,-0.1954,0.0790,-0.0130,0.9775,1916.0000,1920.0000,1924.0000,,,,
0.2244,331,1,49.9926,46.2616,499.9555,-0.1954,0.0790,-0.0130,0.9775,1916.0000,1920.0000,1924.0000,,,,
0.2366,331,1,49.9926,46.2616,499.9555,-0.1954,0.0790,-0.0130,0.9775,1916.0000,1920.0000,1924.0000,,,,
0.2450,331,1,49.9926,46.2616,499.9555,-0.1954,0.0790,-0.0130,0.9775,1916.0000,1920.0000,1924.0000,,,,
0.2587,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.2695,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.2803,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.2933,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.3018,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.3133,331,0,43.4758,33.2511,557.8109,0.2410,0.2229,-0.0358,0.9439,1916.0000,1920.0000,1924.0000,,,,
0.3250,331,0,14.1535,36.4843,465.3114,-0.2895,0.1291,0.0128,0.9484,1916.0000,1920.0000,1924.0000,,,,
0.3374,331,0,14.1535,36.4843,465.3114,-0.2895,0.1291,0.0128,0.9484,1916.0000,1920.0000,1924.0000,,,,
0.3483,331,0,14.1535,36.4843,465.3114,-0.2895,0.1291,0.0128,0.9484,1916.0000,1920.0000,1924.0000,,,,
0.3619,331,0,14.1535,36.4843,465.3114,-0.2895,0.1291,0.0128,0.9484,1916.0000,1920.0000,1924.0000,,,,
0.3701,331,0,14.1535,36.4843,465.3114,-0.2895,0.1291,0.0128,0.9484,1916.0000,1920.0000,1924.0000,,,,
0.3804,331,0,38.7716,43.5505,443.3800,-0.1872,0.0343,-0.0144,0.9816,1916.0000,1920.0000,1924.0000,,,,
0.3926,331,0,38.7716,43.5505,443.3800,-0.1872,0.0343,-0.0144,0.9816,1916.0000,1920.0000,1924.0000,,,,
0.4047,331,0,38.7716,43.5505,443.3800,-0.1872,0.0343,-0.0144,0.9816,1916.0000,1920.0000,1924.0000,,,,
0.4166,331,0,38.7716,43.5505,443.3800,-0.1872,0.0343,-0.0144,0.9816,1916.0000,1920.0000,1924.0000,,,,
0.4284,331,0,38.7716,43.5505,443.3800,-0.1872,0.0343,-0.0144,0.9816,1916.0000,1920.0000,1924.0000,,,,
0.4384,331,0,50.7323,43.4365,500.6309,0.3103,0.0910,-0.0837,0.9426,1916.0000,1920.0000,1924.0000,,,,
0.4487,331,0,50.7323,43.4365,500.6309,0.3103,0.0910,-0.0837,0.9426,1916.0000,1920.0000,1924.0000,,,,
