{HEADER}
user_id: 123
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 6.0273
endpoint_error_mm: [-3.4086, 9.8809, -1.6047]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,212.9899,-89.6923,705.0636,213.3704,-57.2285,684.5700,-0.0550,0.1468,-0.0326,0.9871,1805.0000,1811.0000,1814.0000,-0.3805,-32.4639,,
0.0093,267,0,212.9899,-89.6923,705.0636,213.3704,-57.2285,684.5700,-0.0550,0.1468,-0.0326,0.9871,1790.0000,1811.0000,1811.0000,-0.3805,-32.4639,,
0.0217,267,0,212.0428,-88.4825,703.5636,212.2152,-56.0168,683.0700,-0.0556,0.1455,-0.0320,0.9873,1772.0000,1811.0000,1807.0000,-0.1724,-32.4657,,
0.0315,267,0,212.0428,-88.4825,703.5636,212.2152,-56.0168,683.0700,-0.0556,0.1455,-0.0320,0.9873,1760.0000,1811.0000,1804.0000,-0.1724,-32.4657,,
0.0436,267,0,211.8489,-86.0825,707.4943,212.2730,-53.6192,687.0007,-0.0531,0.1455,-0.0351,0.9873,1746.0000,1811.0000,1799.0000,-0.4241,-32.4633,,
0.0558,267,0,211.8489,-86.0825,707.4943,212.2730,-53.6192,687.0007,-0.0531,0.1455,-0.0351,0.9873,1733.0000,1811.0000,1796.0000,-0.4241,-32.4633,,
0.0647,267,0,211.8489,-86.0825,707.4943,212.2730,-53.6192,687.0007,-0.0531,0.1455,-0.0351,0.9873,1724.0000,1811.0000,1792.0000,-0.4241,-32.4633,,
0.0757,267,0,208.5349,-83.0311,705.6823,209.2259,-50.5723,685.1887,-0.0513,0.1449,-0.0368,0.9874,1713.0000,1811.0000,1789.0000,-0.6910,-32.4588,,
0.0875,267,0,208.5349,-83.0311,705.6823,209.2259,-50.5723,685.1887,-0.0513,0.1449,-0.0368,0.9874,1702.0000,1811.0000,1786.0000,-0.6910,-32.4588,,
0.0995,267,0,205.3142,-79.7731,703.3134,206.0999,-47.3165,682.8198,-0.0490,0.1434,-0.0376,0.9877,1691.0000,1811.0000,1782.0000,-0.7857,-32.4566,,
0.1119,267,0,205.3142,-79.7731,703.3134,206.0999,-47.3165,682.8198,-0.0490,0.1434,-0.0376,0.9877,1678.0000,1811.0000,1779.0000,-0.7857,-32.4566,,
0.1236,267,0,204.3101,-77.7643,704.0175,205.1739,-45.3097,683.5239,-0.0510,0.1441,-0.0379,0.9875,1668.0000,1811.0000,1776.0000,-0.8638,-32.4546,,
0.1324,267,0,204.3101,-77.7643,704.0175,205.1739,-45.3097,683.5239,-0.0510,0.1441,-0.0379,0.9875,1659.0000,1811.0000,1774.0000,-0.8638,-32.4546,,
0.1437,267,0,204.3101,-77.7643,704.0175,205.1739,-45.3097,683.5239,-0.0510,0.1441,-0.0379,0.9875,1648.0000,1811.0000,1772.0000,-0.8638,-32.4546,,
0.1558,267,0,203.4677,-76.4303,704.6779,204.4631,-43.9795,684.1843,-0.0476,0.1437,-0.0390,0.9877,1637.0000,1811.0000,1769.0000,-0.9955,-32.4508,,
0.1675,267,0,203.4677,-76.4303,704.6779,204.4631,-43.9795,684.1843,-0.0476,0.1437,-0.0390,0.9877,1624.0000,1811.0000,1766.0000,-0.9955,-32.4508,,
0.1800,267,0,179.3956,-65.6723,622.5962,186.5001,-33.9931,602.1026,0.2409,0.2561,-0.0384,0.9354,1613.0000,1811.0000,1764.0000,-7.1045,-31.6792,,
0.1919,267,0,179.3956,-65.6723,622.5962,186.5001,-33.9931,602.1026,0.2409,0.2561,-0.0384,0.9354,1604.0000,1811.0000,1764.0000,-7.1045,-31.6792,,
0.2006,267,0,201.7177,-73.0208,701.5443,202.7142,-40.5700,681.0507,-0.0468,0.1451,-0.0391,0.9875,1598.0000,1811.0000,1764.0000,-0.9965,-32.4508,,
0.2117,267,0,201.7177,-73.0208,701.5443,202.7142,-40.5700,681.0507,-0.0468,0.1451,-0.0391,0.9875,1585.0000,1811.0000,1761.0000,-0.9965,-32.4508,,
0.2240,267,0,201.7177,-73.0208,701.5443,202.7142,-40.5700,681.0507,-0.0468,0.1451,-0.0391,0.9875,1572.0000,1811.0000,1758.0000,-0.9965,-32.4508,,
0.2356,267,0,202.3959,-70.4916,699.9612,203.1607,-38.0345,679.4676,-0.0478,0.1430,-0.0389,0.9878,1559.0000,1811.0000,1756.0000,-0.7648,-32.4571,,
0.2478,267,0,202.3959,-70.4916,699.9612,203.1607,-38.0345,679.4676,-0.0478,0.1430,-0.0389,0.9878,1545.0000,1811.0000,1754.0000,-0.7648,-32.4571,,
0.2566,267,0,201.8529,-68.9757,693.5195,202.8623,-36.5253,673.0259,-0.0454,0.1451,-0.0373,0.9877,1534.0000,1811.0000,1753.0000,-1.0093,-32.4504,,
0.2677,267,0,201.8529,-68.9757,693.5195,202.8623,-36.5253,673.0259,-0.0454,0.1451,-0.0373,0.9877,1522.0000,1811.0000,1751.0000,-1.0093,-32.4504,,
0.2796,267,0,201.8529,-68.9757,693.5195,202.8623,-36.5253,673.0259,-0.0454,0.1451,-0.0373,0.9877,1508.0000,1811.0000,1749.0000,-1.0093,-32.4504,,
