{HEADER}
user_id: 123
target_id: 126
target_screen_position_mm: [135.88, -48.04]
fingertip_offset: [1.22, 33.85, 20.50]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,126,0,214.7424,16.0326,671.7159,214.0571,49.8943,651.2164,-0.0502,0.0302,-0.0273,0.9979,1838.0000,1817.0000,1871.0000,,,,
0.0120,126,0,214.2499,18.0349,672.4832,213.4979,51.8952,651.9837,-0.0540,0.0300,-0.0277,0.9977,1832.0000,1817.0000,1871.0000,,,,
0.0240,126,0,214.2499,18.0349,672.4832,213.4979,51.8952,651.9837,-0.0540,0.0300,-0.0277,0.9977,1823.0000,1817.0000,1871.0000,,,,
0.0356,126,0,209.3391,18.9634,660.2717,208.5571,52.8230,639.7722,-0.0443,0.0271,-0.0303,0.9982,1813.0000,1817.0000,1871.0000,,,,
0.0477,126,0,209.3391,18.9634,660.2717,208.5571,52.8230,639.7722,-0.0443,0.0271,-0.0303,0.9982,1800.0000,1817.0000,1871.0000,,,,
0.0565,126,0,213.4556,20.6132,666.7805,212.8557,54.4766,646.2810,-0.0542,0.0350,-0.0295,0.9975,1790.0000,1817.0000,1871.0000,,,,
0.0683,126,0,213.4556,20.6132,666.7805,212.8557,54.4766,646.2810,-0.0542,0.0350,-0.0295,0.9975,1777.0000,1817.0000,1871.0000,,,,
0.0797,126,0,213.4556,20.6132,666.7805,212.8557,54.4766,646.2810,-0.0542,0.0350,-0.0295,0.9975,1763.0000,1817.0000,1871.0000,,,,
0.0918,126,0,215.7415,20.9866,666.7917,214.8522,54.8436,646.2922,-0.0521,0.0316,-0.0292,0.9977,1749.0000,1817.0000,1871.0000,,,,
0.1037,126,0,215.7415,20.9866,666.7917,214.8522,54.8436,646.2922,-0.0521,0.0316,-0.0292,0.9977,1735.0000,1817.0000,1871.0000,,,,
0.1127,126,0,216.0031,24.3186,665.3068,215.1207,58.1757,644.8073,-0.0507,0.0322,-0.0301,0.9977,1724.0000,1817.0000,1871.0000,,,,
0.1235,126,0,216.0031,24.3186,665.3068,215.1207,58.1757,644.8073,-0.0507,0.0322,-0.0301,0.9977,1710.0000,1817.0000,1871.0000,,,,
0.1363,126,0,214.4745,26.2924,659.8233,214.1396,60.1594,639.3238,-0.0469,0.0308,-0.0310,0.9979,1694.0000,1817.0000,1871.0000,,,,
0.1478,126,0,214.4745,26.2924,659.8233,214.1396,60.1594,639.3238,-0.0469,0.0308,-0.0310,0.9979,1681.0000,1817.0000,1871.0000,,,,
0.1597,126,0,216.5406,27.7924,661.9518,216.0500,61.6575,641.4523,-0.0495,0.0320,-0.0305,0.9978,1666.0000,1817.0000,1871.0000,,,,
0.1718,126,0,216.5406,27.7924,661.9518,216.0500,61.6575,641.4523,-0.0495,0.0320,-0.0305,0.9978,1652.0000,1817.0000,1871.0000,,,,
0.1806,126,0,216.5406,27.7924,661.9518,216.0500,61.6575,641.4523,-0.0495,0.0320,-0.0305,0.9978,1641.0000,1817.0000,1871.0000,,,,
0.1916,126,0,218.3776,29.5370,660.3405,217.9239,63.4026,639.8409,-0.0492,0.0351,-0.0306,0.9977,1628.0000,1817.0000,1871.0000,,,,
0.2037,126,0,218.3776,29.5370,660.3405,217.9239,63.4026,639.8409,-0.0492,0.0351,-0.0306,0.9977,1613.0000,1817.0000,1871.0000,,,,
0.2157,126,0,220.7565,32.5654,655.3831,220.2382,66.4301,634.8836,-0.0472,0.0375,-0.0313,0.9977,1598.0000,1817.0000,1871.0000,,,,
0.2280,126,0,220.7565,32.5654,655.3831,220.2382,66.4301,634.8836,-0.0472,0.0375,-0.0313,0.9977,1582.0000,1817.0000,1871.0000,,,,
0.2397,126,0,219.9445,34.7765,644.0975,220.7162,68.6363,623.5980,-0.0485,0.0393,-0.0308,0.9976,1568.0000,1817.0000,1871.0000,,,,
0.2486,126,0,219.9445,34.7765,644.0975,220.7162,68.6363,623.5980,-0.0485,0.0393,-0.0308,0.9976,1557.0000,1817.0000,1871.0000,,,,
0.2596,126,0,225.2945,37.9787,649.4460,224.8060,71.8439,628.9465,-0.0454,0.0374,-0.0313,0.9978,1541.0000,1817.0000,1871.0000,,,,
0.2717,126,0,225.2945,37.9787,649.4460,224.8060,71.8439,628.9465,-0.0454,0.0374,-0.0313,0.9978,1525.0000,1817.0000,1871.0000,,,,
