{HEADER}
user_id: 125
target_id: 057
target_screen_position_mm: [-56.00, -79.88]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 5.3580
endpoint_error_mm: [0.7402, 11.5073, 1.8623]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,57,0,-62.0793,83.7171,667.9422,-64.2618,115.1704,647.9046,-0.0029,0.0473,-0.0027,0.9989,1831.0000,1800.0000,1811.0000,2.1826,-31.4534,,
0.0094,57,0,-62.0793,83.7171,667.9422,-64.2618,115.1704,647.9046,-0.0029,0.0473,-0.0027,0.9989,1831.0000,1795.0000,1811.0000,2.1826,-31.4534,,
0.0184,57,0,-62.0793,83.7171,667.9422,-64.2618,115.1704,647.9046,-0.0029,0.0473,-0.0027,0.9989,1831.0000,1788.0000,1811.0000,2.1826,-31.4534,,
0.0298,57,0,-61.4017,83.6220,668.5251,-63.0360,115.1086,648.4875,-0.0031,0.0476,-0.0029,0.9989,1831.0000,1776.0000,1811.0000,1.6344,-31.4866,,
0.0420,57,0,-61.4017,83.6220,668.5251,-63.0360,115.1086,648.4875,-0.0031,0.0476,-0.0029,0.9989,1831.0000,1760.0000,1811.0000,1.6344,-31.4866,,
0.0536,57,0,-59.6502,83.7294,661.9288,-61.4469,115.2071,641.8912,-0.0010,0.0490,-0.0022,0.9988,1831.0000,1745.0000,1811.0000,1.7967,-31.4778,,
0.0659,57,0,-59.6502,83.7294,661.9288,-61.4469,115.2071,641.8912,-0.0010,0.0490,-0.0022,0.9988,1830.0000,1726.0000,1811.0000,1.7967,-31.4778,,
0.0762,57,0,-59.6502,83.7294,661.9288,-61.4469,115.2071,641.8912,-0.0010,0.0490,-0.0022,0.9988,1830.0000,1710.0000,1811.0000,1.7967,-31.4778,,
0.0860,57,0,-59.2628,84.4360,662.5082,-61.0262,115.9157,642.4706,-0.0035,0.0534,-0.0019,0.9986,1829.0000,1696.0000,1811.0000,1.7634,-31.4797,,
0.0973,57,0,-59.2628,84.4360,662.5082,-61.0262,115.9157,642.4706,-0.0035,0.0534,-0.0019,0.9986,1828.0000,1678.0000,1811.0000,1.7634,-31.4797,,
0.1098,57,0,-59.2009,85.8590,660.7286,-61.0844,117.3317,640.6910,0.0007,0.0507,-0.0013,0.9987,1828.0000,1658.0000,1811.0000,1.8836,-31.4727,,
0.1215,57,0,-59.2009,85.8590,660.7286,-61.0844,117.3317,640.6910,0.0007,0.0507,-0.0013,0.9987,1827.0000,1639.0000,1811.0000,1.8836,-31.4727,,
0.1303,57,0,-59.2009,85.8590,660.7286,-61.0844,117.3317,640.6910,0.0007,0.0507,-0.0013,0.9987,1826.0000,1626.0000,1811.0000,1.8836,-31.4727,,
0.1414,57,0,-59.0277,87.0012,661.1946,-60.8066,118.4799,641.1570,0.0006,0.0497,-0.0012,0.9988,1825.0000,1608.0000,1811.0000,1.7789,-31.4788,,
0.1535,57,0,-59.0277,87.0012,661.1946,-60.8066,118.4799,641.1570,0.0006,0.0497,-0.0012,0.9988,1824.0000,1591.0000,1811.0000,1.7789,-31.4788,,
0.1655,57,0,-58.8402,88.6963,662.3826,-60.7003,120.1704,642.3450,0.0013,0.0486,-0.0008,0.9988,1823.0000,1572.0000,1811.0000,1.8601,-31.4741,,
0.1776,57,0,-58.8402,88.6963,662.3826,-60.7003,120.1704,642.3450,0.0013,0.0486,-0.0008,0.9988,1821.0000,1554.0000,1811.0000,1.8601,-31.4741,,
0.1893,57,0,-58.2967,88.9466,658.1555,-59.7840,120.4405,638.1179,0.0014,0.0489,-0.0014,0.9988,1819.0000,1535.0000,1811.0000,1.4872,-31.4939,,
0.1989,57,0,-58.2967,88.9466,658.1555,-59.7840,120.4405,638.1179,0.0014,0.0489,-0.0014,0.9988,1818.0000,1521.0000,1811.0000,1.4872,-31.4939,,
0.2095,57,0,-58.2967,88.9466,658.1555,-59.7840,120.4405,638.1179,0.0014,0.0489,-0.0014,0.9988,1817.0000,1504.0000,1811.0000,1.4872,-31.4939,,
0.2218,57,0,-56.4425,88.9689,657.2048,-58.1309,120.4527,637.1672,0.0008,0.0523,-0.0020,0.9986,1815.0000,1487.0000,1811.0000,1.6884,-31.4838,,
0.2336,57,0,-56.4425,88.9689,657.2048,-58.1309,120.4527,637.1672,0.0008,0.0523,-0.0020,0.9986,1813.0000,1472.0000,1811.0000,1.6884,-31.4838,,
0.2456,57,0,-48.6720,88.8579,650.8207,-50.6579,120.3243,630.7831,0.0025,0.0564,0.0023,0.9984,1811.0000,1456.0000,1811.0000,1.9858,-31.4664,,
0.2575,57,0,-48.6720,88.8579,650.8207,-50.6579,120.3243,630.7831,0.0025,0.0564,0.0023,0.9984,1805.0000,1443.0000,1811.0000,1.9858,-31.4664,,
0.2663,57,0,-47.8787,90.5160,652.9333,-49.4674,122.0050,632.8958,0.0027,0.0575,0.0035,0.9983,1801.0000,1434.0000,1811.0000,1.5886,-31.4890,,
0.2776,57,0,-47.8787,90.5160,652.9333,-49.4674,122.0050,632.8958,0.0027,0.0575,0.0035,0.9983,1795.0000,1422.0000,1811.0000,1.5886,-31.4890,,
0.2895,57,0,-47.8787,90.5160,652.9333,-49.4674,122.0050,632.8958,0.0027,0.0575,0.0035,0.9983,1789.0000,1409.0000,1811.0000,1.5886,-31.4890,,
0.3016,57,0,-47.6996,90.7445,649.2003,-49.4550,122.2246,629.1627,0.0028,0.0570,0.0010,0.9984,1785.0000,1395.0000,1811.0000,1.7554,-31.4801,,
0.3135,57,0,-47.6996,90.7445,649.2003,-49.4550,122.2246,629.1627,0.0028,0.0570,0.0010,0.9984,1781.0000,1381.0000,1811.0000,1.7554,-31.4801,,
0.3221,57,0,-42.8739,91.1223,645.2281,-44.7304,122.5966,625.1905,0.0027,0.0612,0.0002,0.9981,1778.0000,1370.0000,1811.0000,1.8565,-31.4743,,
0.3337,57,0,-42.8739,91.1223,645.2281,-44.7304,122.5966,625.1905,0.0027,0.0612,0.0002,0.9981,1771.0000,1360.0000,1811.0000,1.8565,-31.4743,,
0.3457,57,0,-35.4113,91.1286,639.9662,-37.3716,122.5966,619.9286,0.0012,0.0651,0.0046,0.9979,1765.0000,1349.0000,1811.0000,1.9603,-31.4680,,
0.3575,57,0,-35.4113,91.1286,639.9662,-37.3716,122.5966,619.9286,0.0012,0.0651,0.0046,0.9979,1754.0000,1343.0000,1811.0000,1.9603,-31.4680,,
0.3695,57,0,-32.4126,92.7703,639.2402,-34.4376,124.2342,619.2026,0.0034,0.0668,0.0066,0.9977,1744.0000,1336.0000,1811.0000,2.0251,-31.4639,,
0.3816,57,0,-32.4126,92.7703,639.2402,-34.4376,124.2342,619.2026,0.0034,0.0668,0.0066,0.9977,1732.0000,1329.0000,1811.0000,2.0251,-31.4639,,
0.3901,57,0,-32.4126,92.7703,639.2402,-34.4376,124.2342,619.2026,0.0034,0.0668,0.0066,0.9977,1726.0000,1324.0000,1811.0000,2.0251,-31.4639,,
0.4015,57,0,-29.8078,93.1492,634.9119,-31.7106,124.6208,614.8743,0.0036,0.0678,0.0050,0.9977,1717.0000,1315.0000,1811.0000,1.9028,-31.4715,,
0.4140,57,0,-29.8078,93.1492,634.9119,-31.7106,124.6208,614.8743,0.0036,0.0678,0.0050,0.9977,1706.0000,1308.0000,1811.0000,1.9028,-31.4715,,
0.4260,57,0,-22.1943,93.4972,628.3920,-24.1911,124.9629,608.3544,0.0035,0.0713,0.0059,0.9974,1696.0000,1301.0000,1811.0000,1.9968,-31.4657,,
0.4403,57,0,-22.1943,93.4972,628.3920,-24.1911,124.9629,608.3544,0.0035,0.0713,0.0059,0.9974,1678.0000,1298.0000,1811.0000,1.9968,-31.4657,,
0.4492,57,0,-17.1480,93.9286,627.7791,-19.3794,125.3785,607.7415,0.0042,0.0710,0.0076,0.9974,1668.0000,1295.0000,1811.0000,2.2314,-31.4499,,
