{HEADER}
user_id: 125
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 12.3514
endpoint_error_mm: [4.9693, 8.0327, 3.9644]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,137.1129,-65.2964,1130.1455,141.0443,-34.0135,1110.1079,-0.0466,-0.0031,-0.0910,0.9948,1806.0000,1796.0000,1785.0000,-3.9314,-31.2829,,
0.0180,124,0,137.1129,-65.2964,1130.1455,141.0443,-34.0135,1110.1079,-0.0466,-0.0031,-0.0910,0.9948,1806.0000,1799.0000,1752.0000,-3.9314,-31.2829,,
0.0268,124,0,138.3170,-65.1221,1136.9816,142.3492,-33.8520,1116.9440,-0.0524,-0.0062,-0.0918,0.9944,1806.0000,1799.0000,1741.0000,-4.0322,-31.2701,,
0.0356,124,0,138.3170,-65.1221,1136.9816,142.3492,-33.8520,1116.9440,-0.0524,-0.0062,-0.0918,0.9944,1806.0000,1799.0000,1734.0000,-4.0322,-31.2701,,
0.0443,124,0,138.3170,-65.1221,1136.9816,142.3492,-33.8520,1116.9440,-0.0524,-0.0062,-0.0918,0.9944,1806.0000,1799.0000,1736.0000,-4.0322,-31.2701,,
0.0556,124,0,139.0042,-64.7526,1142.9799,143.1645,-33.4992,1122.9423,-0.0455,-0.0059,-0.0921,0.9947,1802.0000,1799.0000,1741.0000,-4.1603,-31.2533,,
0.0676,124,0,139.0042,-64.7526,1142.9799,143.1645,-33.4992,1122.9423,-0.0455,-0.0059,-0.0921,0.9947,1778.0000,1799.0000,1747.0000,-4.1603,-31.2533,,
0.0797,124,0,136.3878,-64.7399,1147.1813,140.5400,-33.4855,1127.1437,-0.0476,0.0025,-0.0912,0.9947,1756.0000,1799.0000,1751.0000,-4.1523,-31.2544,,
0.0916,124,0,136.3878,-64.7399,1147.1813,140.5400,-33.4855,1127.1437,-0.0476,0.0025,-0.0912,0.9947,1737.0000,1799.0000,1754.0000,-4.1523,-31.2544,,
0.1006,124,0,136.3878,-64.7399,1147.1813,140.5400,-33.4855,1127.1437,-0.0476,0.0025,-0.0912,0.9947,1723.0000,1799.0000,1756.0000,-4.1523,-31.2544,,
