{HEADER}
user_id: 125
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 7.4313
endpoint_error_mm: [-1.1157, 1.3703, 1.4556]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,160.7572,-80.4961,600.7708,159.5139,-48.9916,580.7332,-0.0365,0.1240,-0.0138,0.9915,1812.0000,1800.0000,1812.0000,1.2433,-31.5045,,
0.0121,267,0,160.7572,-80.4961,600.7708,159.5139,-48.9916,580.7332,-0.0365,0.1240,-0.0138,0.9915,1800.0000,1800.0000,1812.0000,1.2433,-31.5045,,
0.0237,267,0,158.9316,-80.7006,600.8817,157.5118,-49.2036,580.8441,-0.0366,0.1227,-0.0140,0.9917,1791.0000,1800.0000,1812.0000,1.4198,-31.4970,,
0.0366,267,0,158.9316,-80.7006,600.8817,157.5118,-49.2036,580.8441,-0.0366,0.1227,-0.0140,0.9917,1780.0000,1800.0000,1811.0000,1.4198,-31.4970,,
0.0478,267,0,154.0402,-80.6153,601.9998,152.7710,-49.1118,581.9622,-0.0368,0.1202,-0.0132,0.9920,1768.0000,1800.0000,1807.0000,1.2692,-31.5034,,
0.0567,267,0,154.0402,-80.6153,601.9998,152.7710,-49.1118,581.9622,-0.0368,0.1202,-0.0132,0.9920,1758.0000,1800.0000,1803.0000,1.2692,-31.5034,,
0.0674,267,0,154.0402,-80.6153,601.9998,152.7710,-49.1118,581.9622,-0.0368,0.1202,-0.0132,0.9920,1746.0000,1800.0000,1798.0000,1.2692,-31.5034,,
0.0795,267,0,149.0611,-78.9691,600.3094,147.7526,-47.4673,580.2719,-0.0350,0.1197,-0.0150,0.9921,1733.0000,1800.0000,1792.0000,1.3085,-31.5018,,
0.0915,267,0,149.0611,-78.9691,600.3094,147.7526,-47.4673,580.2719,-0.0350,0.1197,-0.0150,0.9921,1720.0000,1800.0000,1785.0000,1.3085,-31.5018,,
0.1037,267,0,142.7079,-75.3596,602.4343,142.9495,-43.8315,582.3967,-0.0340,0.1175,-0.0161,0.9924,1707.0000,1800.0000,1779.0000,-0.2415,-31.5281,,
0.1159,267,0,142.7079,-75.3596,602.4343,142.9495,-43.8315,582.3967,-0.0340,0.1175,-0.0161,0.9924,1696.0000,1800.0000,1773.0000,-0.2415,-31.5281,,
0.1246,267,0,142.7079,-75.3596,602.4343,142.9495,-43.8315,582.3967,-0.0340,0.1175,-0.0161,0.9924,1688.0000,1800.0000,1770.0000,-0.2415,-31.5281,,
0.1355,267,0,137.5341,-72.3512,599.6979,136.5835,-40.8366,579.6603,-0.0301,0.1119,-0.0174,0.9931,1678.0000,1800.0000,1765.0000,0.9507,-31.5147,,
0.1476,267,0,137.5341,-72.3512,599.6979,136.5835,-40.8366,579.6603,-0.0301,0.1119,-0.0174,0.9931,1667.0000,1800.0000,1760.0000,0.9507,-31.5147,,
0.1597,267,0,131.2406,-68.4403,602.2155,128.0273,-37.0754,582.1779,0.6056,0.3459,-0.2264,0.6800,1657.0000,1800.0000,1756.0000,3.2133,-31.3648,,
0.1713,267,0,131.2406,-68.4403,602.2155,128.0273,-37.0754,582.1779,0.6056,0.3459,-0.2264,0.6800,1649.0000,1800.0000,1753.0000,3.2133,-31.3648,,
0.1804,267,0,131.2406,-68.4403,602.2155,128.0273,-37.0754,582.1779,0.6056,0.3459,-0.2264,0.6800,1642.0000,1800.0000,1750.0000,3.2133,-31.3648,,
0.1917,267,0,127.2070,-65.3555,602.2678,126.6287,-33.8318,582.2302,-0.0254,0.1086,-0.0164,0.9936,1635.0000,1800.0000,1747.0000,0.5783,-31.5237,,
0.2034,267,0,127.2070,-65.3555,602.2678,126.6287,-33.8318,582.2302,-0.0254,0.1086,-0.0164,0.9936,1626.0000,1800.0000,1746.0000,0.5783,-31.5237,,
0.2156,267,0,121.9523,-60.2813,597.5931,120.9972,-28.7668,577.5555,-0.0218,0.1055,-0.0157,0.9941,1617.0000,1800.0000,1743.0000,0.9551,-31.5145,,
