{HEADER}
user_id: 125
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 7.7802
endpoint_error_mm: [-3.4508, 9.8473, 4.4264]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,268.1512,-176.0869,802.2482,267.2355,-144.5712,782.2106,-0.2092,0.4632,-0.0946,0.8560,1812.0000,1800.0000,1803.0000,0.9157,-31.5157,,
0.0116,275,0,268.1512,-176.0869,802.2482,267.2355,-144.5712,782.2106,-0.2092,0.4632,-0.0946,0.8560,1801.0000,1800.0000,1786.0000,0.9157,-31.5157,,
0.0239,275,0,268.1512,-176.0869,802.2482,267.2355,-144.5712,782.2106,-0.2092,0.4632,-0.0946,0.8560,1783.0000,1800.0000,1767.0000,0.9157,-31.5157,,
0.0362,275,0,267.6924,-177.9420,800.8652,265.6353,-146.4802,780.8276,-0.0568,0.0533,-0.0027,0.9970,1763.0000,1800.0000,1749.0000,2.0571,-31.4618,,
0.0474,275,0,267.6924,-177.9420,800.8652,265.6353,-146.4802,780.8276,-0.0568,0.0533,-0.0027,0.9970,1744.0000,1800.0000,1734.0000,2.0571,-31.4618,,
0.0592,275,0,263.4244,-178.8877,796.7156,260.9156,-147.4586,776.6780,-0.0550,0.0541,0.0010,0.9970,1721.0000,1800.0000,1716.0000,2.5088,-31.4290,,
0.0680,275,0,263.4244,-178.8877,796.7156,260.9156,-147.4586,776.6780,-0.0550,0.0541,0.0010,0.9970,1707.0000,1800.0000,1704.0000,2.5088,-31.4290,,
0.0790,275,0,263.4244,-178.8877,796.7156,260.9156,-147.4586,776.6780,-0.0550,0.0541,0.0010,0.9970,1686.0000,1800.0000,1688.0000,2.5088,-31.4290,,
0.0912,275,0,261.5083,-177.4743,797.5221,259.1761,-146.0317,777.4845,-0.0529,0.0579,0.0001,0.9969,1663.0000,1800.0000,1670.0000,2.3322,-31.4426,,
0.1032,275,0,261.5083,-177.4743,797.5221,259.1761,-146.0317,777.4845,-0.0529,0.0579,0.0001,0.9969,1640.0000,1800.0000,1652.0000,2.3322,-31.4426,,
0.1153,275,0,256.0892,-170.3701,790.0325,253.4559,-138.9513,769.9949,-0.0526,0.0558,0.0022,0.9971,1617.0000,1800.0000,1634.0000,2.6333,-31.4188,,
0.1272,275,0,256.0892,-170.3701,790.0325,253.4559,-138.9513,769.9949,-0.0526,0.0558,0.0022,0.9971,1597.0000,1800.0000,1620.0000,2.6333,-31.4188,,
0.1358,275,0,256.0892,-170.3701,790.0325,253.4559,-138.9513,769.9949,-0.0526,0.0558,0.0022,0.9971,1580.0000,1800.0000,1608.0000,2.6333,-31.4188,,
0.1469,275,0,254.6319,-164.9745,791.1993,252.1568,-133.5428,771.1617,-0.0482,0.0532,0.0012,0.9974,1561.0000,1800.0000,1595.0000,2.4750,-31.4317,,
0.1593,275,0,254.6319,-164.9745,791.1993,252.1568,-133.5428,771.1617,-0.0482,0.0532,0.0012,0.9974,1539.0000,1800.0000,1581.0000,2.4750,-31.4317,,
0.1710,275,0,250.6555,-161.3733,785.8187,248.0102,-129.9554,765.7811,-0.0471,0.0540,0.0020,0.9974,1517.0000,1800.0000,1567.0000,2.6453,-31.4178,,
0.1834,275,0,250.6555,-161.3733,785.8187,248.0102,-129.9554,765.7811,-0.0471,0.0540,0.0020,0.9974,1495.0000,1800.0000,1554.0000,2.6453,-31.4178,,
0.1920,275,0,250.6555,-161.3733,785.8187,248.0102,-129.9554,765.7811,-0.0471,0.0540,0.0020,0.9974,1481.0000,1800.0000,1545.0000,2.6453,-31.4178,,
0.2033,275,0,248.5876,-159.6262,781.8864,246.2815,-128.1816,761.8488,-0.0433,0.0547,0.0025,0.9976,1462.0000,1800.0000,1533.0000,2.3060,-31.4446,,
0.2151,275,0,248.5876,-159.6262,781.8864,246.2815,-128.1816,761.8488,-0.0433,0.0547,0.0025,0.9976,1441.0000,1800.0000,1520.0000,2.3060,-31.4446,,
0.2272,275,0,243.2324,-157.7724,780.4694,240.8842,-126.3310,760.4318,-0.0398,0.0525,0.0065,0.9978,1420.0000,1800.0000,1507.0000,2.3481,-31.4414,,
0.2391,275,0,243.2324,-157.7724,780.4694,240.8842,-126.3310,760.4318,-0.0398,0.0525,0.0065,0.9978,1402.0000,1800.0000,1495.0000,2.3481,-31.4414,,
0.2510,275,0,239.6135,-155.8081,781.3610,236.7856,-124.4062,761.3234,-0.0391,0.0489,0.0096,0.9980,1384.0000,1800.0000,1483.0000,2.8279,-31.4019,,
0.2601,275,0,239.6135,-155.8081,781.3610,236.7856,-124.4062,761.3234,-0.0391,0.0489,0.0096,0.9980,1370.0000,1800.0000,1473.0000,2.8279,-31.4019,,
0.2710,275,0,239.6135,-155.8081,781.3610,236.7856,-124.4062,761.3234,-0.0391,0.0489,0.0096,0.9980,1354.0000,1800.0000,1462.0000,2.8279,-31.4019,,
0.2830,275,0,235.2133,-152.9173,776.1987,225.8618,-122.8070,756.1611,0.2304,0.2205,0.0396,0.9470,1336.0000,1800.0000,1449.0000,9.3515,-30.1103,,
0.2954,275,0,235.2133,-152.9173,776.1987,225.8618,-122.8070,756.1611,0.2304,0.2205,0.0396,0.9470,1321.0000,1800.0000,1434.0000,9.3515,-30.1103,,
0.3074,275,0,231.1762,-147.1278,772.5621,228.2403,-115.7358,752.5245,-0.0346,0.0486,0.0109,0.9982,1308.0000,1800.0000,1424.0000,2.9359,-31.3920,,
0.3190,275,0,231.1762,-147.1278,772.5621,228.2403,-115.7358,752.5245,-0.0346,0.0486,0.0109,0.9982,1291.0000,1800.0000,1416.0000,2.9359,-31.3920,,
0.3277,275,0,231.1762,-147.1278,772.5621,228.2403,-115.7358,752.5245,-0.0346,0.0486,0.0109,0.9982,1277.0000,1800.0000,1410.0000,2.9359,-31.3920,,
0.3392,275,0,230.0456,-142.1610,775.4153,227.2489,-110.7563,755.3777,-0.0358,0.0482,0.0106,0.9981,1260.0000,1800.0000,1402.0000,2.7967,-31.4047,,
0.3509,275,0,230.0456,-142.1610,775.4153,227.2489,-110.7563,755.3777,-0.0358,0.0482,0.0106,0.9981,1242.0000,1800.0000,1397.0000,2.7967,-31.4047,,
0.3632,275,0,224.3071,-133.2797,769.7161,220.8201,-101.9441,749.6785,-0.0321,0.0439,0.0121,0.9984,1223.0000,1800.0000,1390.0000,3.4870,-31.3356,,
0.3751,275,0,224.3071,-133.2797,769.7161,220.8201,-101.9441,749.6785,-0.0321,0.0439,0.0121,0.9984,1207.0000,1800.0000,1390.0000,3.4870,-31.3356,,
0.3839,275,0,224.3071,-133.2797,769.7161,220.8201,-101.9441,749.6785,-0.0321,0.0439,0.0121,0.9984,1195.0000,1800.0000,1389.0000,3.4870,-31.3356,,
0.3951,275,0,220.0631,-128.5242,764.6519,217.2497,-97.1210,744.6143,-0.0223,0.0443,0.0130,0.9987,1179.0000,1800.0000,1386.0000,2.8134,-31.4032,,
0.4070,275,0,220.0631,-128.5242,764.6519,217.2497,-97.1210,744.6143,-0.0223,0.0443,0.0130,0.9987,1164.0000,1800.0000,1386.0000,2.8134,-31.4032,,
0.4192,275,0,215.6352,-124.5680,767.3796,212.2189,-93.2247,747.3420,-0.0243,0.0435,0.0199,0.9986,1148.0000,1800.0000,1384.0000,3.4163,-31.3434,,
0.4311,275,0,215.6352,-124.5680,767.3796,212.2189,-93.2247,747.3420,-0.0243,0.0435,0.0199,0.9986,1135.0000,1800.0000,1384.0000,3.4163,-31.3434,,
0.4431,275,0,210.8254,-121.5950,758.9661,207.5071,-90.2411,738.9285,-0.0199,0.0436,0.0213,0.9986,1119.0000,1800.0000,1381.0000,3.3183,-31.3539,,
0.4529,275,0,210.8254,-121.5950,758.9661,207.5071,-90.2411,738.9285,-0.0199,0.0436,0.0213,0.9986,1110.0000,1800.0000,1380.0000,3.3183,-31.3539,,
0.4630,275,0,210.8254,-121.5950,758.9661,207.5071,-90.2411,738.9285,-0.0199,0.0436,0.0213,0.9986,1099.0000,1800.0000,1379.0000,3.3183,-31.3539,,
0.4749,275,0,207.9258,-117.4611,754.8110,204.5635,-86.1119,734.7734,-0.0187,0.0440,0.0211,0.9986,1085.0000,1800.0000,1375.0000,3.3623,-31.3492,,
0.4870,275,0,207.9258,-117.4611,754.8110,204.5635,-86.1119,734.7734,-0.0187,0.0440,0.0211,0.9986,1071.0000,1800.0000,1375.0000,3.3623,-31.3492,,
0.4994,275,0,204.4369,-114.1361,760.3350,201.2467,-82.7689,740.2974,-0.0187,0.0388,0.0214,0.9988,1058.0000,1800.0000,1374.0000,3.1902,-31.3672,,
0.5111,275,0,204.4369,-114.1361,760.3350,201.2467,-82.7689,740.2974,-0.0187,0.0388,0.0214,0.9988,1044.0000,1800.0000,1373.0000,3.1902,-31.3672,,
0.5199,275,0,204.4369,-114.1361,760.3350,201.2467,-82.7689,740.2974,-0.0187,0.0388,0.0214,0.9988,1035.0000,1800.0000,1373.0000,3.1902,-31.3672,,
0.5310,275,0,199.7151,-110.8766,759.6611,196.2737,-79.5360,739.6235,-0.0172,0.0391,0.0195,0.9989,1023.0000,1800.0000,1371.0000,3.4414,-31.3406,,
0.5431,275,0,199.7151,-110.8766,759.6611,196.2737,-79.5360,739.6235,-0.0172,0.0391,0.0195,0.9989,1011.0000,1800.0000,1371.0000,3.4414,-31.3406,,
0.5551,275,0,191.7526,-105.4330,758.9747,188.7152,-74.0507,738.9371,-0.0207,0.0320,0.0180,0.9991,999.0000,1800.0000,1370.0000,3.0374,-31.3824,,
0.5675,275,0,191.7526,-105.4330,758.9747,188.7152,-74.0507,738.9371,-0.0207,0.0320,0.0180,0.9991,992.0000,1800.0000,1373.0000,3.0374,-31.3824,,
0.5762,275,0,183.9394,-102.7469,754.6954,180.7912,-71.3755,734.6578,-0.0142,0.0341,0.0164,0.9992,986.0000,1800.0000,1375.0000,3.1482,-31.3714,,
0.5871,275,0,183.9394,-102.7469,754.6954,180.7912,-71.3755,734.6578,-0.0142,0.0341,0.0164,0.9992,984.0000,1800.0000,1377.0000,3.1482,-31.3714,,
0.5992,275,0,183.9394,-102.7469,754.6954,180.7912,-71.3755,734.6578,-0.0142,0.0341,0.0164,0.9992,979.0000,1800.0000,1378.0000,3.1482,-31.3714,,
0.6113,275,0,177.8717,-98.2265,759.0446,180.5767,-66.8138,739.0070,0.2215,0.1557,0.0538,0.9611,971.0000,1800.0000,1379.0000,-2.7049,-31.4128,,
0.6231,275,0,177.8717,-98.2265,759.0446,180.5767,-66.8138,739.0070,0.2215,0.1557,0.0538,0.9611,963.0000,1800.0000,1383.0000,-2.7049,-31.4128,,
0.6352,275,0,165.2370,-91.1376,759.6666,162.2903,-59.7466,739.6290,-0.0102,0.0277,0.0131,0.9995,954.0000,1801.0000,1386.0000,2.9467,-31.3910,,
0.6439,275,0,165.2370,-91.1376,759.6666,162.2903,-59.7466,739.6290,-0.0102,0.0277,0.0131,0.9995,959.0000,1801.0000,1394.0000,2.9467,-31.3910,,
