{HEADER}
user_id: 126
target_id: 318
target_screen_position_mm: [-152.07, 63.96]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 5.6670
endpoint_error_mm: [10.0723, 6.9408, -2.8551]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,318,0,107.8517,-123.2280,666.7800,108.4561,-91.4095,646.7307,-0.0524,0.1671,-0.0458,0.9835,1822.0000,1815.0000,1836.0000,3.7001,3.7001,,
0.0128,318,0,108.8947,-120.7915,661.7150,109.4918,-88.9728,641.6656,-0.0513,0.1689,-0.0467,0.9832,1806.0000,1815.0000,1833.0000,3.7001,3.7001,,
0.0218,318,0,108.8947,-120.7915,661.7150,109.4918,-88.9728,641.6656,-0.0513,0.1689,-0.0467,0.9832,1795.0000,1815.0000,1829.0000,3.7001,3.7001,,
0.0315,318,0,112.1109,-117.0252,659.8041,113.0067,-85.2135,639.7548,-0.0499,0.1689,-0.0478,0.9832,1785.0000,1815.0000,1822.0000,3.7067,3.7067,,
0.0434,318,0,112.1109,-117.0252,659.8041,113.0067,-85.2135,639.7548,-0.0499,0.1689,-0.0478,0.9832,1773.0000,1815.0000,1811.0000,3.7067,3.7067,,
0.0552,318,0,112.1109,-117.0252,659.8041,113.0067,-85.2135,639.7548,-0.0499,0.1689,-0.0478,0.9832,1763.0000,1815.0000,1798.0000,3.7100,3.7100,,
0.0673,318,0,113.4260,-113.3417,653.5054,113.9905,-81.5224,633.4561,-0.0501,0.1710,-0.0478,0.9828,1754.0000,1815.0000,1785.0000,3.7133,3.7133,,
0.0794,318,0,113.4260,-113.3417,653.5054,113.9905,-81.5224,633.4561,-0.0501,0.1710,-0.0478,0.9828,1745.0000,1815.0000,1771.0000,3.7203,3.7203,,
0.0884,318,0,116.0955,-108.2201,650.5245,117.1899,-76.4147,630.4752,-0.0461,0.1747,-0.0480,0.9824,1737.0000,1815.0000,1759.0000,3.7203,3.7203,,
0.0993,318,0,116.0955,-108.2201,650.5245,117.1899,-76.4147,630.4752,-0.0461,0.1747,-0.0480,0.9824,1729.0000,1815.0000,1749.0000,3.7236,3.7236,,
0.1112,318,0,116.0955,-108.2201,650.5245,117.1899,-76.4147,630.4752,-0.0461,0.1747,-0.0480,0.9824,1720.0000,1815.0000,1736.0000,3.7302,3.7302,,
0.1233,318,0,116.7832,-104.1162,643.6400,117.8194,-72.3088,623.5906,-0.0460,0.1774,-0.0487,0.9819,1710.0000,1815.0000,1724.0000,3.7302,3.7302,,
0.1354,318,0,116.7832,-104.1162,643.6400,117.8194,-72.3088,623.5906,-0.0460,0.1774,-0.0487,0.9819,1699.0000,1815.0000,1713.0000,3.7368,3.7368,,
0.1447,318,0,117.8932,-98.6977,638.7878,119.0348,-66.8939,618.7385,-0.0453,0.1785,-0.0496,0.9817,1691.0000,1815.0000,1705.0000,3.7401,3.7401,,
0.1554,318,0,117.8932,-98.6977,638.7878,119.0348,-66.8939,618.7385,-0.0453,0.1785,-0.0496,0.9817,1682.0000,1815.0000,1699.0000,3.7434,3.7434,,
0.1673,318,0,118.5863,-94.6575,634.3662,119.8400,-62.8579,614.3169,-0.0389,0.1773,-0.0512,0.9821,1670.0000,1815.0000,1691.0000,3.7534,3.7534,,
0.1794,318,0,118.5863,-94.6575,634.3662,119.8400,-62.8579,614.3169,-0.0389,0.1773,-0.0512,0.9821,1658.0000,1815.0000,1685.0000,3.7633,3.7633,,
0.1915,318,0,118.5863,-94.6575,634.3662,119.8400,-62.8579,614.3169,-0.0389,0.1773,-0.0512,0.9821,1647.0000,1815.0000,1680.0000,3.7769,3.7769,,
0.2034,318,0,117.1786,-88.7853,626.9105,118.2101,-56.9778,606.8612,-0.0388,0.1807,-0.0489,0.9815,1634.0000,1815.0000,1673.0000,3.8265,3.8265,,
0.2127,318,0,117.1786,-88.7853,626.9105,118.2101,-56.9778,606.8612,-0.0388,0.1807,-0.0489,0.9815,1625.0000,1815.0000,1671.0000,3.8563,3.8563,,
0.2235,318,0,117.9846,-83.5867,619.9457,119.0872,-51.7815,599.8964,-0.0414,0.1793,-0.0441,0.9819,1615.0000,1815.0000,1668.0000,3.9424,3.9424,,
0.2354,318,0,117.9846,-83.5867,619.9457,119.0872,-51.7815,599.8964,-0.0414,0.1793,-0.0441,0.9819,1602.0000,1815.0000,1668.0000,4.0286,4.0286,,
0.2474,318,0,117.9846,-83.5867,619.9457,119.0872,-51.7815,599.8964,-0.0414,0.1793,-0.0441,0.9819,1590.0000,1815.0000,1667.0000,4.0485,4.0485,,
0.2594,318,0,118.2792,-79.3687,612.4669,120.2043,-47.6027,592.4176,-0.0379,0.1771,-0.0427,0.9825,1577.0000,1815.0000,1665.0000,4.1085,4.1085,,
0.2714,318,0,118.2792,-79.3687,612.4669,120.2043,-47.6027,592.4176,-0.0379,0.1771,-0.0427,0.9825,1562.0000,1815.0000,1665.0000,4.1682,4.1682,,
0.2803,318,0,119.7262,-75.0345,607.9128,120.8063,-43.2286,587.8635,-0.0324,0.1817,-0.0422,0.9819,1555.0000,1815.0000,1665.0000,4.1818,4.1818,,
0.2916,318,0,119.7262,-75.0345,607.9128,120.8063,-43.2286,587.8635,-0.0324,0.1817,-0.0422,0.9819,1542.0000,1815.0000,1667.0000,4.2083,4.2083,,
0.3033,318,0,119.3515,-70.4144,598.6496,119.6067,-38.5912,578.6003,-0.0325,0.1847,-0.0423,0.9814,1527.0000,1815.0000,1669.0000,4.2880,4.2880,,
0.3154,318,0,119.3515,-70.4144,598.6496,119.6067,-38.5912,578.6003,-0.0325,0.1847,-0.0423,0.9814,1517.0000,1815.0000,1672.0000,4.3577,4.3577,,
0.3273,318,0,119.3515,-70.4144,598.6496,119.6067,-38.5912,578.6003,-0.0325,0.1847,-0.0423,0.9814,1504.0000,1815.0000,1675.0000,4.3776,4.3776,,
0.3362,318,0,116.0375,-65.0090,575.7773,117.9230,-33.2407,555.7280,-0.0351,0.1936,-0.0416,0.9796,1496.0000,1815.0000,1676.0000,4.3776,4.3776,,
0.3473,318,0,116.0375,-65.0090,575.7773,117.9230,-33.2407,555.7280,-0.0351,0.1936,-0.0416,0.9796,1485.0000,1815.0000,1681.0000,4.4242,4.4242,,
0.3593,318,0,120.6216,-63.6632,582.0962,121.7453,-31.8588,562.0469,-0.0301,0.1919,-0.0406,0.9801,1474.0000,1815.0000,1684.0000,4.4175,4.4175,,
0.3714,318,0,120.6216,-63.6632,582.0962,121.7453,-31.8588,562.0469,-0.0301,0.1919,-0.0406,0.9801,1459.0000,1815.0000,1688.0000,4.4275,4.4275,,
0.3832,318,0,120.6216,-63.6632,582.0962,121.7453,-31.8588,562.0469,-0.0301,0.1919,-0.0406,0.9801,1446.0000,1815.0000,1690.0000,4.4527,4.4527,,
0.3952,318,0,121.0927,-60.9497,575.4688,122.0613,-29.1402,555.4194,-0.0298,0.1926,-0.0406,0.9800,1433.0000,1815.0000,1692.0000,4.5005,4.5005,,
0.4038,318,0,121.0927,-60.9497,575.4688,122.0613,-29.1402,555.4194,-0.0298,0.1926,-0.0406,0.9800,1423.0000,1815.0000,1693.0000,4.7340,4.7340,,
0.4153,318,0,121.4380,-57.2036,565.8820,122.4168,-25.3944,545.8326,-0.0251,0.1981,-0.0421,0.9790,1411.0000,1815.0000,1695.0000,4.9854,4.9854,,
0.4272,318,0,121.4380,-57.2036,565.8820,122.4168,-25.3944,545.8326,-0.0251,0.1981,-0.0421,0.9790,1398.0000,1815.0000,1700.0000,5.0694,5.0694,,
0.4392,318,0,121.4380,-57.2036,565.8820,122.4168,-25.3944,545.8326,-0.0251,0.1981,-0.0421,0.9790,1386.0000,1815.0000,1703.0000,5.3139,5.3139,,
0.4514,318,0,121.6945,-54.6919,561.5744,122.9898,-22.8940,541.5251,-0.0255,0.1963,-0.0435,0.9793,1372.0000,1815.0000,1706.0000,5.3773,5.3773,,
0.4641,318,0,121.6945,-54.6919,561.5744,122.9898,-22.8940,541.5251,-0.0255,0.1963,-0.0435,0.9793,1358.0000,1815.0000,1710.0000,5.4642,5.4642,,
0.4728,318,0,119.8442,-51.9699,553.0457,121.4079,-20.1841,532.9963,-0.0255,0.1952,-0.0476,0.9793,1350.0000,1815.0000,1712.0000,5.5378,5.5378,,
0.4834,318,0,119.8442,-51.9699,553.0457,121.4079,-20.1841,532.9963,-0.0255,0.1952,-0.0476,0.9793,1339.0000,1815.0000,1717.0000,5.6418,5.6418,,
0.4954,318,0,119.7677,-50.7274,548.2368,121.2817,-18.9392,528.1874,-0.0251,0.1976,-0.0470,0.9788,1320.0000,1815.0000,1723.0000,5.7623,5.7623,,
0.5074,318,0,119.7677,-50.7274,548.2368,121.2817,-18.9392,528.1874,-0.0251,0.1976,-0.0470,0.9788,1317.0000,1815.0000,1724.0000,5.7623,5.7623,,
0.5193,318,0,119.7677,-50.7274,548.2368,121.2817,-18.9392,528.1874,-0.0251,0.1976,-0.0470,0.9788,1306.0000,1815.0000,1726.0000,5.8829,5.8829,,
0.5279,318,0,119.2632,-48.9958,540.4261,120.8367,-17.2105,520.3768,-0.0277,0.2008,-0.0440,0.9783,1298.0000,1815.0000,1728.0000,6.0002,6.0002,,
0.5393,318,0,119.2632,-48.9958,540.4261,120.8367,-17.2105,520.3768,-0.0277,0.2008,-0.0440,0.9783,1288.0000,1815.0000,1731.0000,6.0438,6.0438,,
0.5513,318,0,118.4800,-45.7889,532.7806,120.0605,-14.0039,512.7313,-0.0262,0.1994,-0.0440,0.9786,1276.0000,1815.0000,1734.0000,6.0807,6.0807,,
0.5633,318,0,118.4800,-45.7889,532.7806,120.0605,-14.0039,512.7313,-0.0262,0.1994,-0.0440,0.9786,1266.0000,1815.0000,1739.0000,6.2519,6.2519,,
0.5757,318,0,118.4800,-45.7889,532.7806,120.0605,-14.0039,512.7313,-0.0262,0.1994,-0.0440,0.9786,1256.0000,1815.0000,1743.0000,6.3392,6.3392,,
0.5872,318,0,117.1406,-43.1515,526.8559,118.9556,-11.3791,506.8066,-0.0239,0.2010,-0.0456,0.9782,1246.0000,1815.0000,1745.0000,6.4603,6.4603,,
