{HEADER}
user_id: 127
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 8.8078
endpoint_error_mm: [5.8371, 10.0569, 6.3759]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,216.3734,7.0158,480.6960,215.1020,39.4863,460.7087,-0.0536,0.1671,-0.0147,0.9844,1817.0000,1818.0000,1848.0000,-5.6272,6.0051,,
0.0123,124,0,216.6571,8.7910,481.3860,215.3694,41.2609,461.3987,-0.0519,0.1671,-0.0146,0.9845,1793.0000,1818.0000,1848.0000,-5.6272,6.0051,,
0.0242,124,0,216.6571,8.7910,481.3860,215.3694,41.2609,461.3987,-0.0519,0.1671,-0.0146,0.9845,1772.0000,1818.0000,1850.0000,-5.6272,6.0051,,
0.0329,124,0,215.9590,10.1401,479.8904,214.6156,42.6077,459.9031,-0.0500,0.1671,-0.0137,0.9846,1753.0000,1818.0000,1851.0000,-5.6207,6.0088,,
0.0438,124,0,215.9590,10.1401,479.8904,214.6156,42.6077,459.9031,-0.0500,0.1671,-0.0137,0.9846,1733.0000,1818.0000,1851.0000,-5.6207,6.0088,,
0.0557,124,0,215.9590,10.1401,479.8904,214.6156,42.6077,459.9031,-0.0500,0.1671,-0.0137,0.9846,1707.0000,1818.0000,1851.0000,-5.6174,6.0107,,
0.0678,124,0,216.0257,11.2330,479.9728,214.5072,43.6929,459.9854,-0.0504,0.1658,-0.0121,0.9848,1680.0000,1818.0000,1851.0000,-5.6142,6.0125,,
0.0796,124,0,216.0257,11.2330,479.9728,214.5072,43.6929,459.9854,-0.0504,0.1658,-0.0121,0.9848,1655.0000,1818.0000,1851.0000,-5.6076,6.0162,,
0.0916,124,0,214.7810,13.4296,479.0406,205.5773,44.5944,459.0533,0.2446,0.1213,-0.0540,0.9605,1628.0000,1818.0000,1851.0000,-5.5946,6.0236,,
0.1003,124,0,214.7810,13.4296,479.0406,205.5773,44.5944,459.0533,0.2446,0.1213,-0.0540,0.9605,1611.0000,1818.0000,1851.0000,-5.5946,6.0236,,
0.1115,124,0,214.7810,13.4296,479.0406,205.5773,44.5944,459.0533,0.2446,0.1213,-0.0540,0.9605,1588.0000,1818.0000,1851.0000,-5.5065,6.0735,,
0.1235,124,0,214.5418,14.9161,479.4227,213.2349,47.3852,459.4354,-0.0463,0.1660,-0.0139,0.9849,1561.0000,1818.0000,1851.0000,-5.2648,6.2105,,
0.1358,124,0,214.5418,14.9161,479.4227,213.2349,47.3852,459.4354,-0.0463,0.1660,-0.0139,0.9849,1530.0000,1818.0000,1851.0000,-5.0719,6.3199,,
0.1477,124,0,214.5418,14.9161,479.4227,213.2349,47.3852,459.4354,-0.0463,0.1660,-0.0139,0.9849,1506.0000,1818.0000,1851.0000,-4.8819,6.4275,,
0.1596,124,0,213.9852,16.9801,477.5888,204.8208,48.1565,457.6015,0.2436,0.1160,-0.0547,0.9614,1478.0000,1818.0000,1851.0000,-4.8098,6.4684,,
0.1683,124,0,213.9852,16.9801,477.5888,204.8208,48.1565,457.6015,0.2436,0.1160,-0.0547,0.9614,1460.0000,1818.0000,1851.0000,-4.5704,6.6072,,
0.1797,124,0,212.4029,19.2225,475.1945,211.2016,51.6957,455.2071,-0.0459,0.1654,-0.0150,0.9850,1434.0000,1818.0000,1851.0000,-4.2384,6.7953,,
0.1916,124,0,212.4029,19.2225,475.1945,211.2016,51.6957,455.2071,-0.0459,0.1654,-0.0150,0.9850,1407.0000,1818.0000,1851.0000,-3.8200,7.0355,,
0.2037,124,0,212.4029,19.2225,475.1945,211.2016,51.6957,455.2071,-0.0459,0.1654,-0.0150,0.9850,1378.0000,1818.0000,1851.0000,-3.4562,7.2397,,
0.2158,124,0,212.5189,20.2502,475.6122,211.3230,52.7235,455.6249,-0.0459,0.1658,-0.0141,0.9850,1347.0000,1818.0000,1851.0000,-3.2444,7.3627,,
