{HEADER}
user_id: 127
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 10.0031
endpoint_error_mm: [-10.3377, 2.0181, 2.7762]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,225.5465,-68.3452,539.5259,226.2974,-35.8585,519.5386,-0.0329,0.1359,-0.0548,0.9887,1841.0000,1828.0000,1848.0000,-1.0479,-1.9565,,
0.0092,275,0,225.5465,-68.3452,539.5259,226.2974,-35.8585,519.5386,-0.0329,0.1359,-0.0548,0.9887,1832.0000,1828.0000,1848.0000,-1.0479,-1.9565,,
0.0197,275,0,225.5465,-68.3452,539.5259,226.2974,-35.8585,519.5386,-0.0329,0.1359,-0.0548,0.9887,1823.0000,1828.0000,1847.0000,-1.0479,-1.9565,,
0.0313,275,0,223.9932,-67.9345,542.0014,224.5224,-35.4435,522.0141,-0.0305,0.1360,-0.0535,0.9888,1803.0000,1828.0000,1844.0000,-1.0479,-1.9565,,
0.0434,275,0,223.9932,-67.9345,542.0014,224.5224,-35.4435,522.0141,-0.0305,0.1360,-0.0535,0.9888,1779.0000,1828.0000,1840.0000,-1.0479,-1.9565,,
0.0552,275,0,223.9932,-67.9345,542.0014,224.5224,-35.4435,522.0141,-0.0305,0.1360,-0.0535,0.9888,1756.0000,1828.0000,1836.0000,-1.0479,-1.9565,,
0.0673,275,0,220.8301,-64.2886,544.8320,221.6321,-31.8031,524.8447,-0.0277,0.1307,-0.0536,0.9896,1729.0000,1828.0000,1832.0000,-1.0447,-1.9547,,
0.0760,275,0,220.8301,-64.2886,544.8320,221.6321,-31.8031,524.8447,-0.0277,0.1307,-0.0536,0.9896,1710.0000,1828.0000,1829.0000,-1.0255,-1.9439,,
0.0871,275,0,216.1051,-60.0482,544.0751,217.3712,-27.5775,524.0878,-0.0245,0.1309,-0.0555,0.9895,1684.0000,1828.0000,1825.0000,-1.0066,-1.9323,,
0.0992,275,0,216.1051,-60.0482,544.0751,217.3712,-27.5775,524.0878,-0.0245,0.1309,-0.0555,0.9895,1659.0000,1828.0000,1822.0000,-0.9842,-1.9196,,
0.1112,275,0,216.1051,-60.0482,544.0751,217.3712,-27.5775,524.0878,-0.0245,0.1309,-0.0555,0.9895,1632.0000,1828.0000,1818.0000,-0.8433,-1.8398,,
0.1232,275,0,213.4179,-58.5866,543.6073,210.9335,-26.1863,523.6200,0.0000,0.0000,0.0000,1.0000,1607.0000,1828.0000,1815.0000,-0.6449,-1.7265,,
0.1353,275,0,213.4179,-58.5866,543.6073,210.9335,-26.1863,523.6200,0.0000,0.0000,0.0000,1.0000,1582.0000,1828.0000,1812.0000,-0.5358,-1.6647,,
0.1440,275,0,211.3316,-55.9909,545.4882,210.3200,-23.5113,525.5009,0.6166,0.3022,-0.2567,0.6801,1564.0000,1828.0000,1810.0000,-0.3013,-1.5318,,
0.1550,275,0,211.3316,-55.9909,545.4882,210.3200,-23.5113,525.5009,0.6166,0.3022,-0.2567,0.6801,1542.0000,1828.0000,1808.0000,-0.1086,-1.4186,,
0.1671,275,0,208.7160,-55.5281,543.2534,209.9228,-23.0552,523.2661,-0.0230,0.1264,-0.0564,0.9901,1518.0000,1828.0000,1806.0000,0.1653,-1.2634,,
0.1793,275,0,208.7160,-55.5281,543.2534,209.9228,-23.0552,523.2661,-0.0230,0.1264,-0.0564,0.9901,1495.0000,1828.0000,1804.0000,0.5109,-1.0714,,
0.1911,275,0,208.7160,-55.5281,543.2534,209.9228,-23.0552,523.2661,-0.0230,0.1264,-0.0564,0.9901,1471.0000,1828.0000,1802.0000,0.9092,-0.8496,,
0.2003,275,0,206.8334,-56.3216,544.2946,208.1296,-23.8521,524.3073,-0.0214,0.1222,-0.0564,0.9907,1453.0000,1828.0000,1800.0000,1.1037,-0.7394,,
0.2112,275,0,206.8334,-56.3216,544.2946,208.1296,-23.8521,524.3073,-0.0214,0.1222,-0.0564,0.9907,1431.0000,1828.0000,1798.0000,1.5683,-0.4729,,
0.2235,275,0,203.5583,-56.4134,545.7222,205.3724,-23.9687,525.7349,-0.0275,0.1200,-0.0554,0.9908,1408.0000,1828.0000,1795.0000,1.7016,-0.3935,,
0.2353,275,0,203.5583,-56.4134,545.7222,205.3724,-23.9687,525.7349,-0.0275,0.1200,-0.0554,0.9908,1384.0000,1828.0000,1792.0000,2.1321,-0.1495,,
0.2473,275,0,203.5583,-56.4134,545.7222,205.3724,-23.9687,525.7349,-0.0275,0.1200,-0.0554,0.9908,1363.0000,1828.0000,1790.0000,2.2693,-0.0717,,
0.2590,275,0,200.4152,-56.8337,544.5521,201.6565,-24.3621,524.5648,-0.0205,0.1179,-0.0564,0.9912,1341.0000,1828.0000,1787.0000,2.5016,0.0599,,
0.2706,275,0,200.4152,-56.8337,544.5521,201.6565,-24.3621,524.5648,-0.0205,0.1179,-0.0564,0.9912,1319.0000,1828.0000,1784.0000,3.0693,0.3770,,
0.2837,275,0,197.8555,-56.8274,543.4035,198.3634,-24.3360,523.4162,-0.3402,0.6232,0.2065,0.6733,1295.0000,1828.0000,1781.0000,3.3159,0.5168,,
0.2927,275,0,197.8555,-56.8274,543.4035,198.3634,-24.3360,523.4162,-0.3402,0.6232,0.2065,0.6733,1278.0000,1828.0000,1778.0000,3.8299,0.8182,,
0.3049,275,0,197.8555,-56.8274,543.4035,198.3634,-24.3360,523.4162,-0.3402,0.6232,0.2065,0.6733,1257.0000,1828.0000,1775.0000,4.2529,1.0711,,
