{HEADER}
user_id: 130
target_id: 324
target_screen_position_mm: [-56.00, 63.96]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 10.7957
endpoint_error_mm: [-3.5731, -3.3091, 31.8532]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,324,0,-146.7989,-106.2220,939.0884,-154.3145,-73.4771,920.5302,-0.0303,0.0538,0.0634,0.9961,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0120,324,0,-146.7989,-106.2220,939.0884,-154.3145,-73.4771,920.5302,-0.0303,0.0538,0.0634,0.9961,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0249,324,0,-146.9136,-104.1085,939.7484,-153.6010,-71.1845,921.1901,-0.0281,0.0546,0.0626,0.9961,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0359,324,0,-144.8935,-101.7143,937.9749,-152.2518,-68.9337,919.4167,-0.0240,0.0527,0.0639,0.9963,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0447,324,0,-144.8935,-101.7143,937.9749,-152.2518,-68.9337,919.4167,-0.0240,0.0527,0.0639,0.9963,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0557,324,0,-145.4706,-100.5052,939.3447,-153.2255,-67.8161,920.7864,0.2279,0.1243,0.1219,0.9580,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0678,324,0,-144.1254,-98.7555,939.7721,-151.5599,-65.9921,921.2139,-0.0269,0.0563,0.0644,0.9960,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0801,324,0,-144.1254,-98.7555,939.7721,-151.5599,-65.9921,921.2139,-0.0269,0.0563,0.0644,0.9960,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.0917,324,0,-143.3926,-97.4416,938.3680,-149.8030,-64.4625,919.8098,-0.0265,0.0542,0.0636,0.9961,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
0.1038,324,0,-141.3767,-96.0846,936.8698,-147.9069,-63.1291,918.3116,-0.0275,0.0543,0.0629,0.9962,1880.0000,1847.0000,1836.0000,2.3461,0.5083,,
