{HEADER}
user_id: 790
target_id: 080
target_screen_position_mm: [-119.96, -63.96]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 3.4876
endpoint_error_mm: [4.3459, -10.0200, 29.0495]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,80,0,63.1498,52.7789,485.0264,63.1415,85.8709,463.5353,-0.0317,0.0752,-0.0317,0.9962,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0121,80,0,62.5561,52.6216,485.7465,62.8128,85.7126,464.2554,-0.0320,0.0753,-0.0319,0.9961,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0212,80,0,62.5561,52.6216,485.7465,62.8128,85.7126,464.2554,-0.0320,0.0753,-0.0319,0.9961,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.0341,80,0,62.2581,52.1399,486.6310,62.3952,85.2316,465.1399,-0.0323,0.0751,-0.0324,0.9961,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.0455,80,0,62.1752,51.6734,487.2953,62.0997,84.7653,465.8041,-0.0330,0.0739,-0.0326,0.9962,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.0556,80,0,62.1752,51.6734,487.2953,62.0997,84.7653,465.8041,-0.0330,0.0739,-0.0326,0.9962,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0680,80,0,62.1354,51.3539,488.1024,62.3446,84.4452,466.6113,-0.0330,0.0743,-0.0330,0.9961,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0796,80,0,62.0772,50.7355,488.4396,62.3646,83.8262,466.9485,-0.0327,0.0746,-0.0341,0.9961,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0883,80,0,62.2202,50.6654,488.3970,62.3464,83.7571,466.9059,-0.0331,0.0742,-0.0342,0.9961,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.0997,80,0,62.2202,50.6654,488.3970,62.3464,83.7571,466.9059,-0.0331,0.0742,-0.0342,0.9961,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.1118,80,0,62.6216,50.5971,488.1613,62.6366,83.6891,466.6702,-0.0332,0.0742,-0.0340,0.9961,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.1235,80,0,63.4440,50.7164,488.3904,63.5975,83.8081,466.8992,-0.0341,0.0750,-0.0339,0.9960,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.1356,80,0,63.4440,50.7164,488.3904,63.5975,83.8081,466.8992,-0.0341,0.0750,-0.0339,0.9960,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.1441,80,0,63.7108,50.8072,487.6909,63.8684,83.8988,466.1998,-0.0338,0.0756,-0.0342,0.9960,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.1555,80,0,64.7417,51.4231,486.6013,64.8041,84.5151,465.1102,-0.0332,0.0753,-0.0343,0.9960,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.1674,80,0,64.9812,51.7976,486.3423,65.0005,84.8896,464.8512,-0.0337,0.0765,-0.0336,0.9959,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.1797,80,0,64.9812,51.7976,486.3423,65.0005,84.8896,464.8512,-0.0337,0.0765,-0.0336,0.9959,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.1916,80,0,65.6014,51.9401,485.7545,65.7224,85.0319,464.2634,-0.0326,0.0774,-0.0333,0.9959,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.2035,80,0,66.4745,53.1146,484.2997,66.6965,86.2059,462.8085,-0.0322,0.0776,-0.0324,0.9959,1890.0000,1821.0000,1834.0000,-6.7192,-4.5594,,
0.2121,80,0,66.4745,53.1146,484.2997,66.6965,86.2059,462.8085,-0.0322,0.0776,-0.0324,0.9959,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.2236,80,0,66.2167,53.8117,483.2107,66.4754,86.9027,461.7195,-0.0315,0.0778,-0.0327,0.9959,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.2355,80,0,66.0054,55.3524,481.7450,66.1740,88.4440,460.2539,-0.0308,0.0782,-0.0335,0.9959,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.2476,80,0,66.0855,56.0910,480.9347,66.3025,89.1823,459.4436,-0.0302,0.0786,-0.0337,0.9959,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.2603,80,0,66.0855,56.0910,480.9347,66.3025,89.1823,459.4436,-0.0302,0.0786,-0.0337,0.9959,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.2717,80,0,66.1566,56.9627,479.7653,66.2599,90.0545,458.2741,-0.0296,0.0784,-0.0335,0.9959,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.2807,80,0,66.5415,58.5056,477.7251,66.8025,91.5966,456.2340,-0.0287,0.0797,-0.0332,0.9959,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.2915,80,0,66.5415,58.5056,477.7251,66.8025,91.5966,456.2340,-0.0287,0.0797,-0.0332,0.9959,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.3034,80,0,66.6372,59.5228,476.4496,66.8771,92.6139,454.9585,-0.0271,0.0802,-0.0333,0.9959,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.3154,80,0,66.7904,61.8031,473.9090,67.0436,94.8941,452.4178,-0.0259,0.0810,-0.0342,0.9958,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.3276,80,0,66.5187,62.8528,472.0452,58.5965,94.9825,450.5541,0.0492,0.4704,-0.0861,0.8769,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3360,80,0,66.5187,62.8528,472.0452,58.5965,94.9825,450.5541,0.0492,0.4704,-0.0861,0.8769,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3482,80,0,66.6794,63.7211,470.9251,66.9944,96.8116,449.4340,-0.0238,0.0822,-0.0346,0.9957,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3597,80,0,67.6058,65.6823,467.5609,67.8826,98.7731,446.0697,-0.0224,0.0828,-0.0331,0.9958,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3716,80,0,67.6058,65.6823,467.5609,67.8826,98.7731,446.0697,-0.0224,0.0828,-0.0331,0.9958,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3836,80,0,67.7902,66.6996,466.0521,67.9880,99.7910,444.5610,-0.0211,0.0838,-0.0332,0.9957,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.3958,80,0,68.0996,68.7712,462.6649,68.4627,101.8612,441.1738,-0.0196,0.0854,-0.0342,0.9956,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.4042,80,0,68.4791,69.7721,461.0555,68.8556,102.8619,439.5643,-0.0192,0.0861,-0.0341,0.9955,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.4154,80,0,68.4791,69.7721,461.0555,68.8556,102.8619,439.5643,-0.0192,0.0861,-0.0341,0.9955,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.4274,80,0,68.8912,70.5859,459.9564,69.3023,103.6753,438.4653,-0.0186,0.0883,-0.0336,0.9953,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.4400,80,0,70.3354,71.7760,455.5851,70.7346,104.8656,434.0939,-0.0171,0.0893,-0.0332,0.9953,1890.0000,1821.0000,1834.0000,-6.7143,-4.5566,,
0.4513,80,0,70.7168,72.5121,453.6731,71.0490,105.6024,432.1820,-0.0159,0.0908,-0.0333,0.9952,1890.0000,1821.0000,1834.0000,-6.7118,-4.5551,,
0.4634,80,0,70.7168,72.5121,453.6731,71.0490,105.6024,432.1820,-0.0159,0.0908,-0.0333,0.9952,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
0.4719,80,0,70.9108,73.1291,451.8785,71.2419,106.2195,430.3874,0.2903,0.1634,-0.1343,0.9333,1890.0000,1821.0000,1834.0000,-6.7168,-4.5580,,
