{HEADER}
user_id: 790
target_id: 127
target_screen_position_mm: [152.07, -48.04]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 4.0078
endpoint_error_mm: [-4.0093, 11.4096, 29.9926]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,127,0,317.4182,4.4387,500.5093,322.0753,37.2014,479.0182,-0.4819,0.3886,0.2214,0.7534,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0120,127,0,315.6627,5.5788,500.2452,313.8685,38.6221,478.7541,-0.0508,0.1206,-0.0042,0.9914,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0242,127,0,315.6627,5.5788,500.2452,313.8685,38.6221,478.7541,-0.0508,0.1206,-0.0042,0.9914,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0360,127,0,314.9464,6.1656,500.0210,313.0271,39.2019,478.5299,-0.0511,0.1203,-0.0049,0.9914,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0447,127,0,313.5667,8.0429,499.8407,311.8141,41.0885,478.3496,-0.0517,0.1205,-0.0064,0.9913,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0557,127,0,313.5667,8.0429,499.8407,311.8141,41.0885,478.3496,-0.0517,0.1205,-0.0064,0.9913,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0676,127,0,313.0246,9.1254,499.1023,310.7365,42.1381,477.6112,-0.0507,0.1176,-0.0070,0.9917,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0797,127,0,312.3008,11.2158,498.2998,310.7851,44.2730,476.8087,-0.0515,0.1207,-0.0080,0.9913,1886.0000,1823.0000,1835.0000,-2.5816,-3.0873,,
0.0916,127,0,312.1511,12.1006,497.1810,310.5167,45.1522,475.6899,-0.0498,0.1210,-0.0081,0.9914,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1037,127,0,312.0696,13.3894,495.8091,310.3760,46.4380,474.3179,-0.0499,0.1206,-0.0079,0.9914,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1124,127,0,312.0696,13.3894,495.8091,310.3760,46.4380,474.3179,-0.0499,0.1206,-0.0079,0.9914,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1237,127,0,312.1428,14.4210,494.7294,310.6352,47.4787,473.2383,-0.0491,0.1218,-0.0077,0.9913,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1356,127,0,311.9782,17.0603,491.9791,310.3148,50.1105,470.4879,-0.0463,0.1215,-0.0078,0.9915,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1476,127,0,311.9782,17.0603,491.9791,310.3148,50.1105,470.4879,-0.0463,0.1215,-0.0078,0.9915,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1599,127,0,311.4673,19.0927,490.3323,310.0323,52.1536,468.8412,-0.0455,0.1226,-0.0084,0.9914,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1717,127,0,311.4481,24.0672,487.8698,310.1910,57.1353,466.3787,-0.0430,0.1225,-0.0108,0.9915,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1802,127,0,311.4481,24.0672,487.8698,310.1910,57.1353,466.3787,-0.0430,0.1225,-0.0108,0.9915,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.1915,127,0,311.1229,26.5369,485.3962,309.7138,59.5989,463.9051,-0.0423,0.1236,-0.0113,0.9914,1886.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.2037,127,0,312.1111,30.2540,481.2589,310.4530,63.3044,459.7677,-0.0408,0.1229,-0.0108,0.9915,1861.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.2156,127,0,311.9382,32.0115,478.3248,310.6974,65.0802,456.8337,-0.0383,0.1270,-0.0115,0.9911,1752.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.2277,127,0,311.9382,32.0115,478.3248,310.6974,65.0802,456.8337,-0.0383,0.1270,-0.0115,0.9911,1751.0000,1823.0000,1835.0000,-2.5852,-3.0853,,
0.2364,127,0,312.6260,33.7298,476.0833,311.4537,66.8010,454.5922,-0.0376,0.1278,-0.0108,0.9910,1666.0000,1823.0000,1835.0000,-2.5014,-3.0379,,
0.2476,127,0,313.3941,37.5621,470.9665,312.1555,70.6309,449.4754,-0.0339,0.1291,-0.0108,0.9910,1471.0000,1823.0000,1835.0000,-2.3296,-2.9365,,
0.2597,127,0,313.6466,39.3928,468.0283,312.5060,72.4651,446.5372,-0.0329,0.1306,-0.0104,0.9908,1354.0000,1823.0000,1835.0000,-1.9550,-2.7242,,
0.2716,127,0,313.6466,39.3928,468.0283,312.5060,72.4651,446.5372,-0.0329,0.1306,-0.0104,0.9908,1345.0000,1823.0000,1835.0000,-1.0132,-2.1904,,
0.2836,127,0,314.1925,40.4376,465.2472,312.9504,73.5063,443.7561,-0.0327,0.1324,-0.0093,0.9906,1231.0000,1823.0000,1835.0000,-0.4649,-1.8764,,
0.2957,127,0,314.6339,40.9202,461.2972,313.2345,73.9826,439.8061,-0.0312,0.1329,-0.0059,0.9906,1062.0000,1823.0000,1836.0000,1.0227,-0.9834,,
0.3044,127,0,314.6339,40.9202,461.2972,313.2345,73.9826,439.8061,-0.0312,0.1329,-0.0059,0.9906,1055.0000,1823.0000,1836.0000,1.4262,-0.7251,,
0.3157,127,0,312.7343,40.9232,460.6743,311.1226,73.9759,439.1831,-0.0308,0.1313,-0.0047,0.9909,1020.0000,1823.0000,1836.0000,2.3187,-0.2056,,
0.3276,127,0,303.9990,39.8479,467.2380,302.4351,72.9029,445.7469,-0.0334,0.1202,-0.0062,0.9922,1012.0000,1823.0000,1836.0000,3.1961,0.3214,,
