{HEADER}
user_id: 790
target_id: 207
target_screen_position_mm: [-7.96, 0.00]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 3.3528
endpoint_error_mm: [9.5164, -3.9588, 29.3236]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,207,0,71.2820,-28.7104,605.1646,72.5492,4.3573,583.6735,-0.0317,-0.0254,-0.0561,0.9976,1888.0000,1823.0000,1837.0000,-3.5090,-2.7176,,
0.0125,207,0,71.7825,-27.6479,604.4585,73.1803,5.4145,582.9674,-0.0327,-0.0265,-0.0548,0.9976,1888.0000,1823.0000,1837.0000,-3.5301,-2.7057,,
0.0248,207,0,71.7825,-27.6479,604.4585,73.1803,5.4145,582.9674,-0.0327,-0.0265,-0.0548,0.9976,1888.0000,1823.0000,1837.0000,-3.5724,-2.6817,,
0.0359,207,0,71.5102,-26.5216,603.9778,72.8117,6.5448,582.4867,-0.0316,-0.0254,-0.0535,0.9977,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.0446,207,0,73.1658,-24.7282,602.2872,74.0600,8.3517,580.7961,-0.0305,-0.0249,-0.0510,0.9979,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.0558,207,0,73.1658,-24.7282,602.2872,74.0600,8.3517,580.7961,-0.0305,-0.0249,-0.0510,0.9979,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.0678,207,0,73.9987,-23.6409,601.1300,74.9833,9.4365,579.6389,-0.0290,-0.0256,-0.0514,0.9979,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.0797,207,0,76.1959,-22.2577,598.4828,77.4891,10.8090,576.9918,-0.0286,-0.0231,-0.0524,0.9979,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.0918,207,0,77.4648,-21.7908,598.0204,78.6205,11.2810,576.5293,-0.0283,-0.0224,-0.0523,0.9980,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1041,207,0,77.4648,-21.7908,598.0204,78.6205,11.2810,576.5293,-0.0283,-0.0224,-0.0523,0.9980,1888.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1127,207,0,78.5208,-21.3276,595.9437,79.5506,11.7484,574.4526,-0.0298,-0.0225,-0.0525,0.9979,1884.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1239,207,0,78.5208,-21.3276,595.9437,79.5506,11.7484,574.4526,-0.0298,-0.0225,-0.0525,0.9979,1884.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1359,207,0,80.7927,-20.9455,593.5414,81.9140,12.1274,572.0503,-0.0293,-0.0207,-0.0528,0.9980,1868.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1478,207,0,83.3642,-20.4557,590.2988,84.3672,12.6211,568.8077,-0.0285,-0.0191,-0.0531,0.9980,1845.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1598,207,0,85.2321,-20.0767,588.5312,86.3973,12.9948,567.0401,-0.0280,-0.0188,-0.0527,0.9980,1832.0000,1823.0000,1837.0000,-3.5794,-2.6777,,
0.1684,207,0,85.2321,-20.0767,588.5312,86.3973,12.9948,567.0401,-0.0280,-0.0188,-0.0527,0.9980,1831.0000,1823.0000,1837.0000,-3.5769,-2.6763,,
0.1796,207,0,86.9843,-20.2527,586.8527,88.1635,12.8182,565.3616,-0.0278,-0.0175,-0.0523,0.9981,1817.0000,1823.0000,1837.0000,-3.5744,-2.6749,,
0.1919,207,0,90.9317,-21.0208,582.8289,91.6573,12.0632,561.3378,-0.0278,-0.0151,-0.0496,0.9983,1785.0000,1823.0000,1837.0000,-3.6414,-2.6369,,
0.2039,207,0,92.9396,-21.7723,580.7059,94.0342,11.3016,559.2148,-0.0272,-0.0148,-0.0485,0.9983,1766.0000,1823.0000,1837.0000,-3.6857,-2.6061,,
0.2157,207,0,92.9396,-21.7723,580.7059,94.0342,11.3016,559.2148,-0.0272,-0.0148,-0.0485,0.9983,1763.0000,1823.0000,1837.0000,-3.6993,-2.5899,,
0.2278,207,0,94.5394,-22.1295,578.3171,95.3652,10.9522,556.8260,-0.0287,-0.0118,-0.0477,0.9984,1741.0000,1823.0000,1837.0000,-3.8092,-2.5162,,
0.2366,207,0,99.0143,-23.0755,573.9938,99.6353,10.0106,552.5027,-0.0283,-0.0096,-0.0462,0.9985,1704.0000,1823.0000,1837.0000,-3.8410,-2.4982,,
0.2478,207,0,99.0143,-23.0755,573.9938,99.6353,10.0106,552.5027,-0.0283,-0.0096,-0.0462,0.9985,1701.0000,1823.0000,1837.0000,-3.8592,-2.4765,,
0.2610,207,0,100.9207,-23.8032,571.4335,101.6204,9.2814,549.9424,-0.0296,-0.0080,-0.0454,0.9985,1676.0000,1823.0000,1837.0000,-3.8166,-2.4524,,
0.2721,207,0,105.1776,-24.4744,566.1469,105.8996,8.6097,544.6558,-0.0299,-0.0062,-0.0457,0.9985,1627.0000,1823.0000,1837.0000,-3.7464,-2.4126,,
0.2838,207,0,106.9186,-24.8426,563.5391,107.6312,8.2417,542.0480,-0.0289,-0.0032,-0.0466,0.9985,1599.0000,1823.0000,1837.0000,-3.6887,-2.3799,,
0.2958,207,0,106.9186,-24.8426,563.5391,107.6312,8.2417,542.0480,-0.0289,-0.0032,-0.0466,0.9985,1594.0000,1823.0000,1837.0000,-3.5932,-2.3258,,
0.3049,207,0,108.8756,-24.8426,560.9218,109.5728,8.2420,539.4307,-0.0295,-0.0021,-0.0465,0.9985,1567.0000,1823.0000,1837.0000,-3.5229,-2.2859,,
0.3157,207,0,111.5080,-25.1615,555.2081,112.1751,7.9238,533.7170,-0.0295,0.0008,-0.0452,0.9985,1509.0000,1823.0000,1837.0000,-3.3391,-2.1818,,
0.3279,207,0,111.5080,-25.1615,555.2081,112.1751,7.9238,533.7170,-0.0295,0.0008,-0.0452,0.9985,1503.0000,1823.0000,1837.0000,-3.1979,-2.1018,,
0.3407,207,0,112.6838,-24.8950,552.7095,113.3005,8.1913,531.2184,-0.0298,0.0023,-0.0450,0.9985,1473.0000,1823.0000,1837.0000,-2.9832,-1.9801,,
0.3518,207,0,114.1237,-24.5646,547.2314,114.8569,8.5193,525.7404,-0.0298,0.0033,-0.0454,0.9985,1415.0000,1823.0000,1837.0000,-2.6776,-1.7898,,
0.3605,207,0,114.1237,-24.5646,547.2314,114.8569,8.5193,525.7404,-0.0298,0.0033,-0.0454,0.9985,1410.0000,1823.0000,1837.0000,-2.6776,-1.7898,,
0.3716,207,0,114.6283,-24.1784,544.6808,115.5226,8.9015,523.1898,-0.0293,0.0030,-0.0462,0.9985,1379.0000,1823.0000,1837.0000,-2.3854,-1.6078,,
0.3837,207,0,114.5683,-23.3201,539.7508,115.3164,9.7635,518.2597,-0.0280,0.0032,-0.0465,0.9985,1324.0000,1823.0000,1837.0000,-2.1279,-1.4587,,
