{HEADER}
user_id: 790
target_id: 308
target_screen_position_mm: [167.99, 48.04]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 4.0082
endpoint_error_mm: [-5.8618, 10.0976, 29.2600]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,308,0,357.2364,-61.7154,407.8524,354.1872,-28.7642,386.3613,-0.0396,0.0921,0.0176,0.9948,1830.0000,1817.0000,1828.0000,-9.2131,-1.8701,,
0.0124,308,0,357.2364,-61.7154,407.8524,354.1872,-28.7642,386.3613,-0.0396,0.0921,0.0176,0.9948,1830.0000,1817.0000,1828.0000,-9.2131,-1.8701,,
0.0247,308,0,356.1042,-61.7844,409.5995,353.7719,-28.7747,388.1083,0.0705,0.4715,-0.0104,0.8790,1829.0000,1817.0000,1828.0000,-9.1982,-1.8617,,
0.0346,308,0,355.2749,-61.0174,414.8183,352.2975,-28.0596,393.3272,-0.0391,0.0883,0.0157,0.9952,1829.0000,1817.0000,1828.0000,-9.1982,-1.8617,,
0.0447,308,0,355.2749,-61.0174,414.8183,352.2975,-28.0596,393.3272,-0.0391,0.0883,0.0157,0.9952,1829.0000,1817.0000,1828.0000,-9.1982,-1.8617,,
0.0559,308,0,354.1894,-60.2358,417.1290,351.3774,-27.2635,395.6379,-0.0389,0.0873,0.0143,0.9953,1829.0000,1817.0000,1828.0000,-9.2106,-1.8687,,
0.0678,308,0,352.8884,-59.1338,422.7893,354.8419,-26.0995,401.2982,0.4727,0.3974,-0.2373,0.7499,1829.0000,1817.0000,1828.0000,-9.2106,-1.8687,,
0.0799,308,0,351.8055,-58.9958,425.2017,349.0215,-26.0212,403.7105,-0.0393,0.0813,0.0108,0.9959,1828.0000,1817.0000,1829.0000,-9.1982,-1.8617,,
0.0920,308,0,351.8055,-58.9958,425.2017,349.0215,-26.0212,403.7105,-0.0393,0.0813,0.0108,0.9959,1828.0000,1817.0000,1829.0000,-9.2106,-1.8687,,
0.1010,308,0,350.8564,-59.0361,427.5538,348.2147,-26.0497,406.0627,-0.0396,0.0805,0.0105,0.9959,1828.0000,1817.0000,1829.0000,-9.2106,-1.8687,,
0.1121,308,0,349.3043,-60.4248,431.6429,346.7162,-27.4342,410.1518,-0.0394,0.0789,0.0111,0.9960,1828.0000,1817.0000,1829.0000,-9.2106,-1.8687,,
0.1238,308,0,349.3043,-60.4248,431.6429,346.7162,-27.4342,410.1518,-0.0394,0.0789,0.0111,0.9960,1828.0000,1817.0000,1829.0000,-9.1982,-1.8617,,
0.1359,308,0,347.9634,-61.0625,432.9593,345.2948,-28.0783,411.4682,-0.0402,0.0781,0.0115,0.9961,1829.0000,1817.0000,1829.0000,-9.2106,-1.8720,,
0.1480,308,0,346.9634,-61.4074,437.9673,344.3919,-28.4155,416.4762,-0.0398,0.0747,0.0110,0.9964,1829.0000,1817.0000,1829.0000,-9.1957,-1.8636,,
0.1565,308,0,346.9634,-61.4074,437.9673,344.3919,-28.4155,416.4762,-0.0398,0.0747,0.0110,0.9964,1829.0000,1817.0000,1829.0000,-9.1993,-1.8615,,
0.1678,308,0,345.5430,-61.1887,439.5295,342.9583,-28.1978,418.0384,-0.0396,0.0742,0.0104,0.9964,1829.0000,1817.0000,1829.0000,-9.1969,-1.8601,,
0.1798,308,0,343.9398,-61.7925,443.2268,341.1774,-28.8160,421.7357,-0.0405,0.0716,0.0102,0.9966,1829.0000,1817.0000,1828.0000,-9.1993,-1.8615,,
0.1919,308,0,343.1856,-62.4417,444.9592,340.5613,-29.4540,423.4681,-0.0415,0.0701,0.0107,0.9966,1829.0000,1817.0000,1828.0000,-9.2030,-1.8595,,
0.2042,308,0,341.7362,-63.0644,445.6925,339.0493,-30.0817,424.2014,-0.0413,0.0689,0.0107,0.9967,1830.0000,1817.0000,1828.0000,-9.2030,-1.8595,,
0.2158,308,0,341.7362,-63.0644,445.6925,339.0493,-30.0817,424.2014,-0.0413,0.0689,0.0107,0.9967,1830.0000,1817.0000,1828.0000,-9.2030,-1.8595,,
0.2245,308,0,341.2353,-63.1007,447.4232,338.4788,-30.1237,425.9321,-0.0422,0.0677,0.0105,0.9968,1830.0000,1817.0000,1828.0000,-9.2030,-1.8595,,
0.2357,308,0,339.7630,-62.3133,450.1851,337.2016,-29.3206,428.6939,-0.0418,0.0657,0.0090,0.9969,1830.0000,1817.0000,1828.0000,-9.2154,-1.8665,,
0.2484,308,0,339.7630,-62.3133,450.1851,337.2016,-29.3206,428.6939,-0.0418,0.0657,0.0090,0.9969,1830.0000,1817.0000,1828.0000,-9.2154,-1.8665,,
0.2600,308,0,339.0706,-62.1212,451.2726,336.3554,-29.1408,429.7815,-0.0419,0.0658,0.0087,0.9969,1830.0000,1817.0000,1828.0000,-9.2079,-1.8623,,
0.2718,308,0,337.5872,-62.2226,452.8474,335.0385,-29.2289,431.3563,-0.0419,0.0641,0.0088,0.9970,1831.0000,1817.0000,1828.0000,-9.2104,-1.8637,,
0.2838,308,0,336.7419,-61.6751,453.5891,334.1350,-28.6860,432.0980,-0.0423,0.0630,0.0082,0.9971,1831.0000,1817.0000,1828.0000,-9.2104,-1.8637,,
0.2935,308,0,336.7419,-61.6751,453.5891,334.1350,-28.6860,432.0980,-0.0423,0.0630,0.0082,0.9971,1831.0000,1817.0000,1828.0000,-9.2104,-1.8637,,
0.3039,308,0,335.9888,-60.5863,454.6134,333.4684,-27.5904,433.1223,-0.0417,0.0627,0.0071,0.9971,1831.0000,1817.0000,1828.0000,-9.2079,-1.8623,,
0.3158,308,0,334.4413,-58.7626,455.8332,331.9827,-25.7620,434.3421,-0.0407,0.0611,0.0055,0.9973,1831.0000,1817.0000,1828.0000,-9.2054,-1.8609,,
0.3277,308,0,334.4413,-58.7626,455.8332,331.9827,-25.7620,434.3421,-0.0407,0.0611,0.0055,0.9973,1831.0000,1817.0000,1828.0000,-9.2129,-1.8651,,
0.3396,308,0,333.8417,-58.5267,456.2542,331.3109,-25.5317,434.7631,-0.0409,0.0603,0.0062,0.9973,1831.0000,1817.0000,1829.0000,-9.2054,-1.8609,,
0.3481,308,0,332.6247,-58.0093,457.1436,330.1151,-25.0126,435.6525,-0.0395,0.0594,0.0072,0.9974,1831.0000,1817.0000,1829.0000,-9.2129,-1.8651,,
0.3600,308,0,331.6202,-57.0034,456.9859,329.1292,-24.0053,435.4948,-0.0390,0.0594,0.0069,0.9974,1831.0000,1817.0000,1829.0000,-9.2154,-1.8665,,
0.3717,308,0,331.6202,-57.0034,456.9859,329.1292,-24.0053,435.4948,-0.0390,0.0594,0.0069,0.9974,1831.0000,1817.0000,1829.0000,-9.2178,-1.8679,,
0.3838,308,0,331.0630,-55.6173,457.6319,328.6251,-22.6152,436.1408,-0.0382,0.0576,0.0057,0.9976,1832.0000,1817.0000,1829.0000,-9.2154,-1.8665,,
0.3962,308,0,329.0322,-51.9376,457.8881,326.8351,-18.9187,436.3969,-0.0370,0.0568,0.0027,0.9977,1832.0000,1817.0000,1829.0000,-9.2154,-1.8665,,
0.4081,308,0,328.1065,-50.1455,457.8447,325.9555,-17.1235,436.3535,-0.0359,0.0567,0.0013,0.9977,1832.0000,1817.0000,1829.0000,-9.2178,-1.8679,,
0.4167,308,0,328.1065,-50.1455,457.8447,325.9555,-17.1235,436.3535,-0.0359,0.0567,0.0013,0.9977,1831.0000,1817.0000,1830.0000,-9.2030,-1.8595,,
0.4278,308,0,327.4580,-48.9431,457.9438,325.2915,-15.9222,436.4527,-0.0350,0.0553,0.0009,0.9979,1831.0000,1817.0000,1830.0000,-9.2005,-1.8581,,
0.4396,308,0,325.6193,-46.6463,456.7663,323.6101,-13.6153,435.2751,-0.0341,0.0554,0.0007,0.9979,1831.0000,1817.0000,1830.0000,-9.2129,-1.8651,,
0.4518,308,0,325.6193,-46.6463,456.7663,323.6101,-13.6153,435.2751,-0.0341,0.0554,0.0007,0.9979,1831.0000,1817.0000,1831.0000,-9.2054,-1.8609,,
0.4638,308,0,325.3121,-45.5235,456.2890,323.3292,-12.4910,434.7979,-0.0331,0.0555,0.0005,0.9979,1831.0000,1817.0000,1831.0000,-9.2054,-1.8609,,
0.4724,308,0,324.0377,-42.7350,454.2536,322.1185,-9.6987,432.7625,-0.0319,0.0558,-0.0005,0.9979,1831.0000,1817.0000,1831.0000,-9.2030,-1.8595,,
0.4838,308,0,324.0377,-42.7350,454.2536,322.1185,-9.6987,432.7625,-0.0319,0.0558,-0.0005,0.9979,1831.0000,1817.0000,1831.0000,-9.2079,-1.8623,,
0.4958,308,0,323.6774,-41.2923,453.1530,321.7614,-8.2558,431.6618,-0.0308,0.0556,-0.0014,0.9980,1831.0000,1817.0000,1832.0000,-9.2079,-1.8623,,
0.5078,308,0,323.3112,-39.0639,450.8643,321.5439,-6.0191,429.3732,-0.0293,0.0564,-0.0023,0.9980,1831.0000,1817.0000,1832.0000,-9.2104,-1.8637,,
0.5200,308,0,323.3969,-38.2342,449.5379,321.7415,-5.1837,428.0468,-0.0286,0.0573,-0.0025,0.9979,1831.0000,1817.0000,1832.0000,-9.2079,-1.8623,,
0.5318,308,0,323.3969,-38.2342,449.5379,321.7415,-5.1837,428.0468,-0.0286,0.0573,-0.0025,0.9979,1831.0000,1817.0000,1833.0000,-9.2129,-1.8651,,
0.5407,308,0,323.5254,-37.4190,448.0112,321.6824,-4.3783,426.5201,-0.0286,0.0575,-0.0026,0.9979,1831.0000,1817.0000,1833.0000,-9.2030,-1.8595,,
0.5518,308,0,323.6497,-36.5084,444.9930,328.0860,-3.7151,423.5019,0.5336,0.3410,-0.2652,0.7271,1831.0000,1817.0000,1833.0000,-9.2030,-1.8595,,
0.5638,308,0,324.0555,-36.0466,443.6367,322.3323,-2.9995,422.1456,-0.0275,0.0586,-0.0035,0.9979,1830.0000,1817.0000,1833.0000,-9.2005,-1.8581,,
0.5765,308,0,324.0555,-36.0466,443.6367,322.3323,-2.9995,422.1456,-0.0275,0.0586,-0.0035,0.9979,1830.0000,1817.0000,1834.0000,-9.2018,-1.8629,,
0.5878,308,0,324.0849,-35.7434,441.8144,322.3479,-2.6971,420.3233,-0.0277,0.0595,-0.0038,0.9978,1830.0000,1817.0000,1834.0000,-9.1993,-1.8615,,
0.5997,308,0,324.9243,-35.2318,438.2748,323.3689,-2.1764,416.7837,-0.0276,0.0607,-0.0050,0.9978,1830.0000,1817.0000,1834.0000,-9.1993,-1.8615,,
0.6094,308,0,324.9243,-35.2318,438.2748,323.3689,-2.1764,416.7837,-0.0276,0.0607,-0.0050,0.9978,1830.0000,1817.0000,1834.0000,-9.2068,-1.8624,,
0.6201,308,0,325.2964,-35.2765,436.2574,323.7134,-2.2224,414.7663,-0.0279,0.0620,-0.0051,0.9977,1830.0000,1817.0000,1834.0000,-9.2043,-1.8610,,
0.6316,308,0,326.3060,-35.3121,432.0529,324.6523,-2.2615,410.5618,-0.0279,0.0640,-0.0050,0.9975,1830.0000,1817.0000,1834.0000,-9.2043,-1.8610,,
0.6438,308,0,326.8884,-35.6793,430.0473,325.3063,-2.6252,408.5562,-0.0279,0.0650,-0.0043,0.9975,1830.0000,1817.0000,1834.0000,-9.1957,-1.8603,,
0.6559,308,0,326.8884,-35.6793,430.0473,325.3063,-2.6252,408.5562,-0.0279,0.0650,-0.0043,0.9975,1830.0000,1817.0000,1834.0000,-9.1957,-1.8603,,
0.6644,308,0,327.1332,-36.0405,427.5601,325.5590,-2.9860,406.0690,0.4032,0.3450,-0.1378,0.8363,1830.0000,1817.0000,1834.0000,-9.1896,-1.8609,,
0.6762,308,0,328.5261,-37.2312,423.1688,326.6695,-4.1914,401.6776,-0.0268,0.0683,-0.0007,0.9973,1830.0000,1817.0000,1834.0000,-9.1921,-1.8623,,
0.6878,308,0,328.5261,-37.2312,423.1688,326.6695,-4.1914,401.6776,-0.0268,0.0683,-0.0007,0.9973,1830.0000,1817.0000,1834.0000,-9.1984,-1.8700,,
0.6997,308,0,329.0624,-37.6892,420.3675,327.1606,-4.6520,398.8764,-0.0268,0.0693,0.0003,0.9972,1829.0000,1818.0000,1834.0000,-9.1548,-1.8863,,
0.7122,308,0,331.0984,-39.0341,415.5566,328.8782,-6.0167,394.0655,-0.0270,0.0712,0.0026,0.9971,1829.0000,1818.0000,1834.0000,-9.0609,-1.9395,,
0.7239,308,0,331.6232,-39.7910,412.5892,329.3875,-6.7746,391.0981,-0.0270,0.0735,0.0035,0.9969,1829.0000,1818.0000,1834.0000,-8.9837,-1.9776,,
0.7326,308,0,331.6232,-39.7910,412.5892,329.3875,-6.7746,391.0981,-0.0270,0.0735,0.0035,0.9969,1829.0000,1818.0000,1834.0000,-8.8780,-2.0404,,
0.7439,308,0,332.2469,-40.1694,410.1227,330.1510,-7.1438,388.6316,-0.0271,0.0747,0.0033,0.9968,1829.0000,1818.0000,1834.0000,-8.8383,-2.0629,,
0.7558,308,0,332.5105,-40.6981,405.5554,330.4262,-7.6719,384.0643,-0.0282,0.0760,0.0029,0.9967,1739.0000,1818.0000,1832.0000,-8.8358,-2.0615,,
0.7678,308,0,332.5172,-40.5816,403.7282,330.3450,-7.5610,382.2371,-0.0281,0.0765,0.0026,0.9967,1667.0000,1818.0000,1830.0000,-8.8308,-2.0586,,
0.7811,308,0,332.5172,-40.5816,403.7282,330.3450,-7.5610,382.2371,-0.0281,0.0765,0.0026,0.9967,1666.0000,1818.0000,1829.0000,-8.5899,-1.9221,,
0.7920,308,0,332.2674,-40.6889,400.6291,330.2234,-7.6601,379.1380,-0.0288,0.0781,0.0025,0.9965,1541.0000,1818.0000,1826.0000,-8.0720,-1.6531,,
0.8006,308,0,333.3773,-41.6338,395.7330,329.5275,-8.7665,374.2419,0.2148,-0.1262,0.0161,0.9683,1344.0000,1818.0000,1819.0000,-7.3390,-1.3603,,
0.8118,308,0,333.3773,-41.6338,395.7330,329.5275,-8.7665,374.2419,0.2148,-0.1262,0.0161,0.9683,1342.0000,1818.0000,1818.0000,-7.0101,-1.2286,,
0.8238,308,0,333.2223,-42.0820,393.4228,331.0505,-9.0613,371.9316,-0.0293,0.0814,0.0039,0.9962,1245.0000,1818.0000,1814.0000,-5.9928,-0.8733,,
0.8356,308,0,330.3601,-43.4185,393.0333,328.1579,-10.3999,371.5422,-0.0308,0.0777,0.0041,0.9965,1223.0000,1819.0000,1812.0000,-4.6796,-0.4263,,
0.8478,308,0,327.3868,-42.8432,394.1915,325.3130,-9.8163,372.7003,-0.0306,0.0737,0.0022,0.9968,1218.0000,1819.0000,1811.0000,-3.4186,-0.0714,,
0.8562,308,0,327.3868,-42.8432,394.1915,325.3130,-9.8163,372.7003,-0.0306,0.0737,0.0022,0.9968,1215.0000,1820.0000,1810.0000,-2.3393,0.3135,,
0.8676,308,0,324.6099,-40.6709,397.5034,322.7806,-7.6295,376.0123,-0.0304,0.0686,-0.0006,0.9972,1213.0000,1820.0000,1810.0000,-1.8859,0.4886,,
0.8797,308,0,315.2369,-38.7615,406.2787,313.5981,-5.7101,384.7875,-0.0310,0.0533,-0.0064,0.9981,1210.0000,1820.0000,1810.0000,-1.0388,0.8710,,
0.8916,308,0,310.3477,-36.3931,409.4076,308.8391,-3.3355,387.9165,-0.0299,0.0479,-0.0097,0.9984,1213.0000,1820.0000,1813.0000,-0.9903,0.8978,,
0.9037,308,0,306.2622,-35.6494,411.9096,305.0660,-2.5791,390.4185,-0.0315,0.0425,-0.0127,0.9985,1217.0000,1820.0000,1816.0000,-0.9903,0.8978,,
0.9160,308,0,306.2622,-35.6494,411.9096,305.0660,-2.5791,390.4185,-0.0315,0.0425,-0.0127,0.9985,1221.0000,1820.0000,1819.0000,-0.9903,0.8978,,
