{HEADER}
user_id: 795
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 9.2593
endpoint_error_mm: [-4.7073, -0.8993, 27.1005]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-101.0835,-167.5590,833.2553,-106.0353,-134.5445,809.7274,-0.0460,0.0578,0.0525,0.9959,1882.0000,1839.0000,1834.0000,1.1736,-4.2894,,
0.0122,354,0,-101.0835,-167.5590,833.2553,-106.0353,-134.5445,809.7274,-0.0460,0.0578,0.0525,0.9959,1882.0000,1839.0000,1834.0000,1.1736,-4.2827,,
0.0239,354,0,-100.7530,-167.4875,833.0931,-105.7239,-134.4758,809.5652,-0.0459,0.0569,0.0524,0.9959,1882.0000,1839.0000,1834.0000,1.1703,-4.2776,,
0.0334,354,0,-99.8984,-167.1595,832.1022,-104.8293,-134.1419,808.5742,-0.0494,0.0594,0.0525,0.9956,1882.0000,1838.0000,1827.0000,1.1703,-4.2776,,
0.0435,354,0,-99.8984,-167.1595,832.1022,-104.8293,-134.1419,808.5742,-0.0494,0.0594,0.0525,0.9956,1882.0000,1837.0000,1825.0000,1.1703,-4.2776,,
0.0558,354,0,-99.4823,-167.4016,832.1879,-104.3770,-134.3786,808.6599,-0.0474,0.0590,0.0523,0.9958,1882.0000,1837.0000,1824.0000,1.1670,-4.2757,,
0.0674,354,0,-96.9881,-166.9916,830.5453,-102.0582,-133.9951,807.0174,-0.0483,0.0576,0.0524,0.9958,1882.0000,1833.0000,1807.0000,1.1670,-4.2757,,
0.0794,354,0,-96.9881,-166.9916,830.5453,-102.0582,-133.9951,807.0174,-0.0483,0.0576,0.0524,0.9958,1882.0000,1833.0000,1805.0000,1.1638,-4.2739,,
0.0914,354,0,-97.0059,-166.6817,830.8107,-102.5375,-133.7594,807.2827,-0.0470,0.0596,0.0526,0.9957,1882.0000,1833.0000,1803.0000,1.1441,-4.2661,,
0.1004,354,0,-95.7028,-166.1485,830.7663,-100.8414,-133.1626,807.2383,-0.0459,0.0584,0.0524,0.9959,1882.0000,1833.0000,1802.0000,1.1441,-4.2661,,
0.1115,354,0,-95.7028,-166.1485,830.7663,-100.8414,-133.1626,807.2383,-0.0459,0.0584,0.0524,0.9959,1882.0000,1832.0000,1801.0000,1.1409,-4.2642,,
0.1235,354,0,-95.0842,-165.8418,830.8307,-99.7454,-132.7850,807.3028,-0.0457,0.0608,0.0513,0.9958,1882.0000,1832.0000,1800.0000,1.1409,-4.2642,,
0.1354,354,0,-93.8394,-165.5250,831.1044,-98.7702,-132.5074,807.5764,-0.0445,0.0590,0.0507,0.9960,1882.0000,1832.0000,1799.0000,1.1376,-4.2623,,
0.1472,354,0,-93.8394,-165.5250,831.1044,-98.7702,-132.5074,807.5764,-0.0445,0.0590,0.0507,0.9960,1882.0000,1832.0000,1799.0000,1.1376,-4.2623,,
0.1558,354,0,-92.9181,-165.1131,829.3876,-97.7211,-132.0766,805.8596,-0.0484,0.0614,0.0502,0.9957,1882.0000,1830.0000,1783.0000,1.1376,-4.2623,,
0.1674,354,0,-90.9413,-164.7643,830.0195,-96.6286,-131.8685,806.4916,-0.0464,0.0608,0.0509,0.9958,1882.0000,1830.0000,1783.0000,1.1376,-4.2623,,
