{HEADER}
user_id: 801
target_id: 107
target_screen_position_mm: [-167.99, -48.04]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 3.5008
endpoint_error_mm: [3.8975, -3.5818, 28.9609]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,107,0,-11.0211,151.8185,645.6792,-10.2884,183.9080,623.7787,-0.0011,0.1966,0.0054,0.9805,1863.0000,1828.0000,1839.0000,1.9614,7.2962,,
0.0122,107,0,-11.0211,151.8185,645.6792,-10.2884,183.9080,623.7787,-0.0011,0.1966,0.0054,0.9805,1863.0000,1828.0000,1839.0000,1.9614,7.2962,,
0.0246,107,0,-9.6276,151.7135,643.1810,-1.7766,182.8364,621.2805,0.1294,0.5331,-0.0264,0.8357,1863.0000,1828.0000,1839.0000,1.9614,7.2962,,
0.0363,107,0,-7.2551,152.2226,640.0411,-6.7119,184.3159,618.1406,-0.0003,0.1994,0.0088,0.9799,1863.0000,1828.0000,1839.0000,1.9614,7.2962,,
0.0479,107,0,-6.2902,152.2126,638.5113,-5.8037,184.3068,616.6108,-0.0013,0.1996,0.0100,0.9798,1863.0000,1828.0000,1839.0000,1.9579,7.2982,,
0.0570,107,0,-6.2902,152.2126,638.5113,-5.8037,184.3068,616.6108,-0.0013,0.1996,0.0100,0.9798,1863.0000,1828.0000,1839.0000,1.9545,7.3001,,
0.0679,107,0,-5.1084,152.1494,635.7928,-4.7229,184.2449,613.8923,0.0003,0.2011,0.0104,0.9795,1863.0000,1828.0000,1839.0000,1.9540,7.3037,,
0.0798,107,0,-3.2910,152.6881,631.4386,-3.0006,184.7846,609.5381,0.0006,0.2034,0.0115,0.9790,1863.0000,1828.0000,1839.0000,1.9505,7.3057,,
0.0920,107,0,-2.5801,153.2966,629.1884,-2.1105,185.3911,607.2879,0.0014,0.2044,0.0119,0.9788,1863.0000,1828.0000,1839.0000,1.9505,7.3057,,
0.1039,107,0,-2.5801,153.2966,629.1884,-2.1105,185.3911,607.2879,0.0014,0.2044,0.0119,0.9788,1863.0000,1828.0000,1839.0000,1.9505,7.3057,,
0.1159,107,0,-1.5461,154.1608,626.7752,-1.3525,186.2581,604.8747,0.0013,0.2050,0.0128,0.9787,1863.0000,1828.0000,1839.0000,1.9505,7.3057,,
0.1247,107,0,-1.2604,155.0923,620.7038,-1.1845,187.1901,598.8033,0.0029,0.2047,0.0133,0.9787,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1359,107,0,-1.2604,155.0923,620.7038,-1.1845,187.1901,598.8033,0.0029,0.2047,0.0133,0.9787,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1479,107,0,-1.9262,155.9032,620.2705,-1.4743,187.9978,598.3700,0.0017,0.2069,0.0130,0.9783,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1601,107,0,-3.7696,157.8892,615.2662,-3.1416,189.9809,593.3657,0.0040,0.2079,0.0110,0.9781,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1720,107,0,-4.7043,158.7077,612.3681,-6.5455,190.7527,590.4676,0.0372,0.4502,0.0349,0.8915,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1805,107,0,-4.7043,158.7077,612.3681,-6.5455,190.7527,590.4676,0.0372,0.4502,0.0349,0.8915,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.1919,107,0,-5.1551,159.7822,609.1617,-4.5938,191.8752,587.2612,0.0067,0.2082,0.0087,0.9780,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.2037,107,0,-5.1630,161.0040,603.9076,-4.6664,193.0981,582.0071,0.0078,0.2099,0.0094,0.9776,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.2176,107,0,-4.9082,161.6354,601.1095,-4.4096,193.7294,579.2090,0.0083,0.2104,0.0101,0.9775,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.2278,107,0,-4.9082,161.6354,601.1095,-4.4096,193.7294,579.2090,0.0083,0.2104,0.0101,0.9775,1863.0000,1828.0000,1839.0000,1.9563,7.3090,,
0.2401,107,0,-4.9892,162.3647,598.3560,-4.4168,194.4575,576.4554,0.0083,0.2110,0.0112,0.9774,1863.0000,1828.0000,1839.0000,1.9650,7.3139,,
0.2488,107,0,-5.9027,163.9108,593.9613,-5.3142,196.0033,572.0608,0.0110,0.2131,0.0102,0.9769,1863.0000,1828.0000,1839.0000,1.9650,7.3139,,
