{HEADER}
user_id: 801
target_id: 230
target_screen_position_mm: [-119.96, 15.92]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 5.0478
endpoint_error_mm: [10.8966, -4.3403, 28.9991]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,230,0,-217.5534,-65.7979,712.3804,-218.6967,-33.7204,690.4799,-0.2938,-0.3625,-0.0384,0.8836,1875.0000,1841.0000,1835.0000,4.2686,-5.3200,,
0.0140,230,0,-217.2480,-65.8502,711.9009,-216.9531,-33.7537,690.0004,-0.0448,0.0516,-0.0268,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3167,,
0.0235,230,0,-217.2480,-65.8502,711.9009,-216.9531,-33.7537,690.0004,-0.0448,0.0516,-0.0268,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3167,,
0.0330,230,0,-216.7278,-65.7459,710.6505,-216.3817,-33.6499,688.7500,-0.0454,0.0503,-0.0270,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3167,,
0.0440,230,0,-216.7278,-65.7459,710.6505,-216.3817,-33.6499,688.7500,-0.0454,0.0503,-0.0270,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3167,,
0.0559,230,0,-215.6808,-65.9177,709.7592,-215.5493,-33.8201,687.8586,-0.0454,0.0506,-0.0272,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3134,,
0.0679,230,0,-214.1828,-65.8196,709.1396,-214.0437,-33.7220,687.2391,-0.0453,0.0511,-0.0272,0.9973,1875.0000,1841.0000,1835.0000,4.2686,-5.3101,,
0.0799,230,0,-214.1828,-65.8196,709.1396,-214.0437,-33.7220,687.2391,-0.0453,0.0511,-0.0272,0.9973,1875.0000,1841.0000,1835.0000,4.2653,-5.3082,,
0.0887,230,0,-213.8246,-65.5419,709.2218,-213.4753,-33.4459,687.3213,-0.0451,0.0536,-0.0273,0.9972,1875.0000,1841.0000,1835.0000,4.2621,-5.3064,,
0.0999,230,0,-211.9068,-64.9025,707.9955,-211.8986,-32.8046,686.0950,-0.0434,0.0532,-0.0266,0.9973,1875.0000,1841.0000,1835.0000,4.2621,-5.3064,,
0.1120,230,0,-211.9068,-64.9025,707.9955,-211.8986,-32.8046,686.0950,-0.0434,0.0532,-0.0266,0.9973,1875.0000,1841.0000,1835.0000,4.2621,-5.3064,,
