{HEADER}
user_id: 888
target_id: 284
target_screen_position_mm: [-216.03, 48.04]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 7.8032
endpoint_error_mm: [4.6344, -6.4975, 7.0680]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,284,0,-107.6201,-85.5456,617.4532,-103.6828,-53.4093,598.3914,-0.0392,0.0747,-0.0895,0.9924,1861.0000,1842.0000,1839.0000,-0.0885,-0.6108,,
0.0169,284,0,-108.4769,-84.6273,619.0656,-104.0987,-52.5481,600.0038,-0.0400,0.0727,-0.0895,0.9925,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0258,284,0,-109.4941,-84.1365,621.7110,-105.2355,-52.0413,602.6492,-0.0397,0.0750,-0.0895,0.9924,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0361,284,0,-109.4941,-84.1365,621.7110,-105.2355,-52.0413,602.6492,-0.0397,0.0750,-0.0895,0.9924,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0473,284,0,-109.6565,-82.9280,620.6965,-105.4349,-50.8279,601.6346,-0.0378,0.0739,-0.0898,0.9925,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0562,284,0,-109.6565,-82.9280,620.6965,-105.4349,-50.8279,601.6346,-0.0378,0.0739,-0.0898,0.9925,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0672,284,0,-110.1735,-80.8582,616.9537,-106.0943,-48.7396,597.8918,-0.0376,0.0727,-0.0900,0.9926,1861.0000,1842.0000,1839.0000,-0.0885,-0.6561,,
0.0791,284,0,-111.4447,-80.5854,619.3652,-107.0416,-48.5096,600.3033,-0.0379,0.0736,-0.0899,0.9925,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.0913,284,0,-111.4407,-80.5290,619.2786,-107.2148,-48.4294,600.2167,-0.0354,0.0727,-0.0899,0.9927,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1036,284,0,-111.4407,-80.5290,619.2786,-107.2148,-48.4294,600.2167,-0.0354,0.0727,-0.0899,0.9927,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1152,284,0,-112.0029,-80.2302,619.2200,-107.8682,-48.1187,600.1581,-0.0366,0.0724,-0.0893,0.9927,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1236,284,0,-112.0029,-80.2302,619.2200,-107.8682,-48.1187,600.1581,-0.0366,0.0724,-0.0893,0.9927,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1354,284,0,-113.2590,-79.3460,619.5527,-109.1265,-47.2343,600.4908,-0.0370,0.0732,-0.0878,0.9928,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1474,284,0,-114.1783,-78.8295,620.0014,-109.9567,-46.7294,600.9396,-0.0356,0.0732,-0.0870,0.9929,1861.0000,1842.0000,1839.0000,-0.0885,-0.6593,,
0.1593,284,0,-113.9486,-78.6242,618.2874,-109.8241,-46.5114,599.2256,-0.0346,0.0721,-0.0870,0.9930,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.1714,284,0,-113.9486,-78.6242,618.2874,-109.8241,-46.5114,599.2256,-0.0346,0.0721,-0.0870,0.9930,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.1797,284,0,-113.9649,-78.1405,618.1657,-104.6919,-47.1202,599.1039,0.3432,0.0866,0.0149,0.9352,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.1920,284,0,-113.7611,-77.8728,618.6398,-109.7134,-45.7502,599.5780,-0.0364,0.0721,-0.0851,0.9931,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.2036,284,0,-113.7611,-77.8728,618.6398,-109.7134,-45.7502,599.5780,-0.0364,0.0721,-0.0851,0.9931,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.2153,284,0,-113.3969,-77.6452,617.6221,-109.4662,-45.5081,598.5603,-0.0358,0.0728,-0.0853,0.9930,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.2274,284,0,-113.5183,-77.1480,618.4438,-107.9052,-45.2618,599.3820,0.1223,0.4806,-0.1475,0.8558,1861.0000,1842.0000,1839.0000,-0.0918,-0.6575,,
0.2392,284,0,-113.3985,-76.9403,615.8237,-109.4139,-44.8098,596.7618,-0.0355,0.0740,-0.0849,0.9930,1861.0000,1842.0000,1839.0000,-0.0950,-0.6557,,
0.2477,284,0,-113.3985,-76.9403,615.8237,-109.4139,-44.8098,596.7618,-0.0355,0.0740,-0.0849,0.9930,1861.0000,1842.0000,1839.0000,-0.0950,-0.6557,,
0.2593,284,0,-113.5770,-76.7955,615.4744,-109.5029,-44.6763,596.4125,-0.0350,0.0735,-0.0844,0.9931,1861.0000,1842.0000,1839.0000,-0.0950,-0.6557,,
0.2712,284,0,-113.5770,-76.7955,615.4744,-109.5029,-44.6763,596.4125,-0.0350,0.0735,-0.0844,0.9931,1861.0000,1842.0000,1839.0000,-0.0982,-0.6538,,
0.2833,284,0,-114.3967,-75.9533,615.9413,-110.1953,-43.8505,596.8795,-0.0342,0.0739,-0.0846,0.9931,1861.0000,1842.0000,1839.0000,-0.1047,-0.6502,,
0.2953,284,0,-114.2709,-75.4195,615.7347,-110.0883,-43.3143,596.6729,-0.0333,0.0733,-0.0853,0.9931,1861.0000,1842.0000,1839.0000,-0.1176,-0.6428,,
0.3078,284,0,-113.8723,-75.2036,615.8933,-109.6945,-43.0977,596.8315,-0.0329,0.0755,-0.0855,0.9929,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3165,284,0,-113.8723,-75.2036,615.8933,-109.6945,-43.0977,596.8315,-0.0329,0.0755,-0.0855,0.9929,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3272,284,0,-113.1126,-74.1722,612.9553,-109.0491,-42.0517,593.8935,-0.0324,0.0741,-0.0848,0.9931,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3393,284,0,-112.6645,-72.9355,614.2187,-108.8042,-40.7898,595.1569,-0.0333,0.0765,-0.0841,0.9930,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3515,284,0,-112.6645,-72.9355,614.2187,-108.8042,-40.7898,595.1569,-0.0333,0.0765,-0.0841,0.9930,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3634,284,0,-112.2403,-72.0194,612.6155,-108.1100,-39.9073,593.5537,-0.0323,0.0754,-0.0841,0.9931,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3722,284,0,-111.6177,-69.8054,610.1826,-107.3797,-37.7074,591.1207,-0.0318,0.0760,-0.0848,0.9930,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3832,284,0,-111.6177,-69.8054,610.1826,-107.3797,-37.7074,591.1207,-0.0318,0.0760,-0.0848,0.9930,1861.0000,1842.0000,1839.0000,-0.1370,-0.6319,,
0.3953,284,0,-111.6942,-69.2459,610.8256,-108.0491,-37.0751,591.7638,-0.0307,0.0750,-0.0846,0.9931,1861.0000,1842.0000,1839.0000,-0.1402,-0.6300,,
0.4081,284,0,-111.5221,-67.3764,608.2828,-107.2292,-35.2856,589.2209,-0.0318,0.0787,-0.0829,0.9929,1861.0000,1842.0000,1839.0000,-0.1373,-0.6284,,
0.4193,284,0,-111.5221,-67.3764,608.2828,-107.2292,-35.2856,589.2209,-0.0318,0.0787,-0.0829,0.9929,1861.0000,1842.0000,1839.0000,-0.1373,-0.6284,,
0.4314,284,0,-110.6273,-66.1118,606.9821,-106.8584,-33.9554,587.9203,-0.0302,0.0782,-0.0823,0.9931,1861.0000,1842.0000,1839.0000,-0.1405,-0.6265,,
0.4400,284,0,-109.3706,-63.6240,604.9067,-105.6218,-31.4652,585.8448,-0.0296,0.0780,-0.0806,0.9933,1861.0000,1842.0000,1839.0000,-0.1405,-0.6265,,
0.4512,284,0,-109.3706,-63.6240,604.9067,-105.6218,-31.4652,585.8448,-0.0296,0.0780,-0.0806,0.9933,1861.0000,1842.0000,1839.0000,-0.1405,-0.6265,,
0.4632,284,0,-109.1738,-62.4318,604.9091,-105.0613,-30.3175,585.8473,-0.0288,0.0770,-0.0804,0.9934,1861.0000,1842.0000,1839.0000,-0.1405,-0.6265,,
0.4752,284,0,-107.9876,-60.0913,602.0988,-104.3031,-27.9251,583.0370,-0.0258,0.0796,-0.0798,0.9933,1861.0000,1842.0000,1839.0000,-0.1405,-0.6265,,
0.4873,284,0,-107.7686,-58.5352,602.4675,-103.9658,-26.3827,583.4056,-0.0252,0.0799,-0.0790,0.9934,1861.0000,1842.0000,1839.0000,-0.1376,-0.6249,,
0.4993,284,0,-107.7686,-58.5352,602.4675,-103.9658,-26.3827,583.4056,-0.0252,0.0799,-0.0790,0.9934,1861.0000,1842.0000,1839.0000,-0.1376,-0.6249,,
0.5084,284,0,-107.5724,-56.9461,601.9225,-103.9158,-24.7766,582.8607,-0.0251,0.0803,-0.0782,0.9934,1861.0000,1842.0000,1839.0000,-0.1376,-0.6249,,
0.5193,284,0,-106.4483,-53.8032,598.4940,-102.6577,-21.6492,579.4321,-0.0240,0.0798,-0.0766,0.9936,1861.0000,1842.0000,1839.0000,-0.1505,-0.6175,,
0.5312,284,0,-106.4483,-53.8032,598.4940,-102.6577,-21.6492,579.4321,-0.0240,0.0798,-0.0766,0.9936,1861.0000,1842.0000,1839.0000,-0.1814,-0.5769,,
0.5432,284,0,-106.8027,-52.1266,599.4622,-103.0724,-19.9657,580.4004,-0.0226,0.0825,-0.0753,0.9935,1861.0000,1842.0000,1839.0000,-0.2280,-0.5006,,
0.5552,284,0,-106.6637,-48.4586,595.4814,-103.2282,-16.2648,576.4196,-0.0210,0.0810,-0.0721,0.9939,1861.0000,1841.0000,1839.0000,-0.3945,-0.2500,,
0.5638,284,0,-106.6637,-48.4586,595.4814,-103.2282,-16.2648,576.4196,-0.0210,0.0810,-0.0721,0.9939,1861.0000,1841.0000,1839.0000,-0.3945,-0.2500,,
0.5753,284,0,-105.6625,-46.5748,593.0601,-102.4610,-14.3569,573.9983,-0.0194,0.0821,-0.0705,0.9939,1860.0000,1841.0000,1839.0000,-0.6446,0.1382,,
0.5872,284,0,-103.7127,-43.0673,592.5339,-100.8013,-10.8219,573.4721,-0.0199,0.0837,-0.0657,0.9941,1860.0000,1840.0000,1839.0000,-0.8063,0.3933,,
0.5993,284,0,-102.7155,-41.8176,591.1995,-99.7599,-9.5762,572.1377,-0.0162,0.0854,-0.0637,0.9942,1860.0000,1840.0000,1839.0000,-0.8882,0.5131,,
0.6111,284,0,-102.7155,-41.8176,591.1995,-99.7599,-9.5762,572.1377,-0.0162,0.0854,-0.0637,0.9942,1860.0000,1840.0000,1839.0000,-1.0216,0.7589,,
0.6234,284,0,-101.8551,-40.5199,591.8925,-98.9176,-8.2769,572.8307,-0.0183,0.0876,-0.0618,0.9941,1860.0000,1839.0000,1839.0000,-1.0378,0.8016,,
0.6320,284,0,-98.6416,-38.5391,588.4694,-96.0345,-6.2677,569.4075,-0.0159,0.0889,-0.0591,0.9942,1860.0000,1839.0000,1839.0000,-1.0900,0.8646,,
0.6433,284,0,-98.6416,-38.5391,588.4694,-96.0345,-6.2677,569.4075,-0.0159,0.0889,-0.0591,0.9942,1860.0000,1839.0000,1839.0000,-1.1260,0.8850,,
0.6552,284,0,-97.4720,-37.3065,585.3080,-94.9574,-5.0277,566.2462,-0.0159,0.0899,-0.0572,0.9942,1860.0000,1839.0000,1839.0000,-1.1260,0.8850,,
0.6673,284,0,-96.1880,-35.1958,581.9915,-93.5852,-2.9240,562.9297,-0.0143,0.0908,-0.0558,0.9942,1860.0000,1839.0000,1839.0000,-1.1260,0.8850,,
0.6794,284,0,-96.2750,-34.9787,581.9597,-93.9659,-2.6846,562.8979,-0.0150,0.0918,-0.0564,0.9941,1860.0000,1839.0000,1839.0000,-1.1260,0.8850,,
0.6880,284,0,-96.2750,-34.9787,581.9597,-93.9659,-2.6846,562.8979,-0.0150,0.0918,-0.0564,0.9941,1860.0000,1839.0000,1839.0000,-1.1260,0.8850,,
0.6991,284,0,-96.9101,-34.5044,582.2664,-94.3571,-2.2287,563.2045,-0.0144,0.0925,-0.0570,0.9940,1860.0000,1839.0000,1839.0000,-1.1083,0.8950,,
0.7113,284,0,-98.0493,-33.1989,579.7292,-95.4058,-0.9304,560.6674,-0.0122,0.0933,-0.0573,0.9939,1860.0000,1839.0000,1839.0000,-1.0847,0.9084,,
0.7235,284,0,-98.0493,-33.1989,579.7292,-95.4058,-0.9304,560.6674,-0.0122,0.0933,-0.0573,0.9939,1860.0000,1839.0000,1839.0000,-1.0404,0.9367,,
0.7352,284,0,-97.7705,-32.4491,577.1544,-95.1420,-0.1794,558.0925,-0.0116,0.0924,-0.0578,0.9940,1859.0000,1839.0000,1839.0000,-0.9637,0.9964,,
0.7473,284,0,-97.9247,-31.1033,575.9209,-95.3231,1.1685,556.8591,-0.0111,0.0949,-0.0569,0.9938,1859.0000,1839.0000,1839.0000,-0.9312,1.0148,,
0.7559,284,0,-97.9247,-31.1033,575.9209,-95.3231,1.1685,556.8591,-0.0111,0.0949,-0.0569,0.9938,1859.0000,1839.0000,1839.0000,-0.8750,1.0466,,
0.7672,284,0,-97.4262,-30.7328,572.9780,-94.6938,1.5282,553.9162,-0.0104,0.0933,-0.0571,0.9939,1859.0000,1839.0000,1839.0000,-0.7952,1.0919,,
0.7791,284,0,-97.0134,-30.7620,571.0242,-94.3310,1.5033,551.9623,-0.0102,0.0969,-0.0573,0.9936,1859.0000,1839.0000,1839.0000,-0.7419,1.1221,,
0.7915,284,0,-97.0851,-30.8108,568.9672,-94.5348,1.4652,549.9054,-0.0102,0.0960,-0.0575,0.9937,1859.0000,1839.0000,1839.0000,-0.6975,1.1472,,
0.8032,284,0,-97.0851,-30.8108,568.9672,-94.5348,1.4652,549.9054,-0.0102,0.0960,-0.0575,0.9937,1859.0000,1839.0000,1839.0000,-0.7005,1.1455,,
