{HEADER}
user_id: 888
target_id: 357
target_screen_position_mm: [40.08, 79.88]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 9.8671
endpoint_error_mm: [-0.9314, -11.5085, 2.9844]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,357,0,139.4711,-126.5860,613.3508,140.1165,-94.2158,594.2889,-0.0413,0.0467,-0.0364,0.9974,1834.0000,1845.0000,1771.0000,0.0407,6.1144,,
0.0115,357,0,139.4711,-126.5860,613.3508,140.1165,-94.2158,594.2889,-0.0413,0.0467,-0.0364,0.9974,1828.0000,1845.0000,1772.0000,0.0407,6.1079,,
0.0204,357,0,139.2479,-126.5679,613.2410,139.7435,-94.1951,594.1791,-0.0392,0.0484,-0.0368,0.9974,1823.0000,1845.0000,1771.0000,0.0407,6.1079,,
0.0318,357,0,139.2479,-126.5679,613.2410,139.7435,-94.1951,594.1791,-0.0392,0.0484,-0.0368,0.9974,1820.0000,1845.0000,1771.0000,0.0407,6.1079,,
0.0434,357,0,139.6998,-125.5485,611.6171,140.3273,-93.1780,592.5552,-0.0419,0.0453,-0.0364,0.9974,1803.0000,1845.0000,1751.0000,0.0407,6.1079,,
0.0553,357,0,139.6253,-124.6158,611.9841,140.0968,-92.2427,592.9223,-0.0394,0.0450,-0.0371,0.9975,1799.0000,1845.0000,1751.0000,0.0407,6.1079,,
0.0672,357,0,139.7180,-123.7639,612.0593,140.3357,-91.3932,592.9975,-0.0402,0.0465,-0.0374,0.9974,1796.0000,1845.0000,1752.0000,0.0467,6.1080,,
0.0793,357,0,138.9366,-123.3857,611.8118,139.6980,-91.0181,592.7500,-0.0394,0.0476,-0.0368,0.9974,1793.0000,1845.0000,1753.0000,0.0467,6.1080,,
0.0880,357,0,138.9366,-123.3857,611.8118,139.6980,-91.0181,592.7500,-0.0394,0.0476,-0.0368,0.9974,1792.0000,1845.0000,1753.0000,0.0467,6.1080,,
0.1000,357,0,139.1586,-123.1438,611.4137,139.9004,-90.7758,592.3519,-0.0391,0.0470,-0.0363,0.9975,1788.0000,1845.0000,1751.0000,0.0467,6.1080,,
0.1110,357,0,139.1586,-123.1438,611.4137,139.9004,-90.7758,592.3519,-0.0391,0.0470,-0.0363,0.9975,1787.0000,1845.0000,1751.0000,0.0467,6.1080,,
0.1249,357,0,139.3983,-121.8423,610.7830,139.7007,-89.4671,591.7212,-0.0379,0.0472,-0.0363,0.9975,1779.0000,1845.0000,1744.0000,0.0467,6.1080,,
0.1352,357,0,139.7004,-120.0085,609.8303,140.3032,-87.6375,590.7685,-0.0387,0.0469,-0.0376,0.9974,1769.0000,1845.0000,1733.0000,0.0467,6.1080,,
0.1438,357,0,139.7004,-120.0085,609.8303,140.3032,-87.6375,590.7685,-0.0387,0.0469,-0.0376,0.9974,1767.0000,1845.0000,1733.0000,0.0467,6.1080,,
0.1552,357,0,139.6426,-119.4020,610.3889,140.5287,-87.0375,591.3271,-0.0364,0.0475,-0.0381,0.9975,1766.0000,1845.0000,1734.0000,0.0496,6.1065,,
0.1673,357,0,140.8542,-117.9350,610.4643,141.5927,-85.5668,591.4025,-0.0349,0.0480,-0.0381,0.9975,1765.0000,1845.0000,1735.0000,0.0496,6.1065,,
0.1794,357,0,140.9013,-117.0363,609.6144,141.8078,-84.6724,590.5526,-0.0355,0.0506,-0.0376,0.9974,1762.0000,1845.0000,1733.0000,0.0496,6.1065,,
0.1912,357,0,140.9013,-117.0363,609.6144,141.8078,-84.6724,590.5526,-0.0355,0.0506,-0.0376,0.9974,1761.0000,1845.0000,1734.0000,0.0496,6.1065,,
0.2035,357,0,141.8354,-115.9931,608.5014,142.5683,-83.6248,589.4396,-0.0369,0.0485,-0.0379,0.9974,1747.0000,1845.0000,1722.0000,0.0496,6.1065,,
0.2124,357,0,142.3705,-113.6664,607.2378,142.9702,-81.2954,588.1760,-0.0358,0.0502,-0.0381,0.9974,1732.0000,1845.0000,1708.0000,0.0496,6.1065,,
0.2234,357,0,142.3705,-113.6664,607.2378,142.9702,-81.2954,588.1760,-0.0358,0.0502,-0.0381,0.9974,1731.0000,1845.0000,1710.0000,0.0586,6.1115,,
0.2353,357,0,142.7278,-112.5147,607.5399,143.4787,-80.1468,588.4781,-0.0321,0.0495,-0.0384,0.9975,1729.0000,1845.0000,1711.0000,0.0676,6.1134,,
0.2481,357,0,143.2579,-109.9361,605.8980,144.1273,-77.5712,586.8362,-0.0312,0.0501,-0.0388,0.9975,1712.0000,1845.0000,1698.0000,0.0765,6.1152,,
0.2592,357,0,143.8603,-108.7868,605.6588,144.4447,-76.4155,586.5969,-0.0319,0.0502,-0.0387,0.9975,1708.0000,1845.0000,1697.0000,0.0670,6.1206,,
0.2683,357,0,143.8603,-108.7868,605.6588,144.4447,-76.4155,586.5969,-0.0319,0.0502,-0.0387,0.9975,1706.0000,1845.0000,1699.0000,0.0572,6.1262,,
0.2791,357,0,143.6931,-107.7010,604.8018,144.4093,-75.3324,585.7400,-0.0306,0.0513,-0.0385,0.9975,1694.0000,1845.0000,1691.0000,-0.0192,6.1565,,
0.2912,357,0,144.1661,-105.6034,602.4952,144.7712,-73.2324,583.4334,-0.0309,0.0512,-0.0379,0.9975,1665.0000,1845.0000,1668.0000,-0.0861,6.1912,,
0.3034,357,0,144.1661,-105.6034,602.4952,144.7712,-73.2324,583.4334,-0.0309,0.0512,-0.0379,0.9975,1663.0000,1845.0000,1671.0000,-0.0959,6.1936,,
0.3155,357,0,144.0864,-104.7345,601.7814,144.8335,-72.3665,582.7195,-0.0299,0.0534,-0.0379,0.9974,1652.0000,1845.0000,1666.0000,-0.0809,6.1727,,
0.3272,357,0,144.0079,-102.8452,600.3571,144.7390,-70.4769,581.2953,-0.0285,0.0540,-0.0373,0.9974,1633.0000,1845.0000,1653.0000,-0.0391,6.1867,,
0.3359,357,0,144.0079,-102.8452,600.3571,144.7390,-70.4769,581.2953,-0.0285,0.0540,-0.0373,0.9974,1631.0000,1845.0000,1655.0000,0.0058,6.2121,,
0.3472,357,0,144.5155,-102.7279,600.1516,150.0778,-70.8327,581.0898,-0.3871,-0.2674,-0.0393,0.8816,1627.0000,1845.0000,1655.0000,0.1883,6.3123,,
0.3593,357,0,143.5690,-100.2939,598.1135,144.1292,-67.9221,579.0517,-0.0285,0.0521,-0.0360,0.9976,1597.0000,1845.0000,1637.0000,0.2363,6.3395,,
0.3713,357,0,143.2948,-100.0901,597.5167,144.1422,-67.7247,578.4549,-0.0259,0.0524,-0.0365,0.9976,1588.0000,1845.0000,1634.0000,0.2632,6.3548,,
0.3832,357,0,143.2948,-100.0901,597.5167,144.1422,-67.7247,578.4549,-0.0259,0.0524,-0.0365,0.9976,1587.0000,1845.0000,1637.0000,0.2872,6.3586,,
0.3952,357,0,142.2406,-99.5215,597.5078,142.7631,-67.1491,578.4459,-0.0260,0.0536,-0.0364,0.9976,1586.0000,1845.0000,1639.0000,0.3382,6.3679,,
0.4039,357,0,141.5789,-98.9749,596.5656,142.2876,-66.6060,577.5037,-0.0246,0.0513,-0.0362,0.9977,1574.0000,1845.0000,1632.0000,0.3862,6.3559,,
0.4150,357,0,141.5789,-98.9749,596.5656,142.2876,-66.6060,577.5037,-0.0246,0.0513,-0.0362,0.9977,1574.0000,1845.0000,1633.0000,0.3982,6.3366,,
0.4270,357,0,140.8555,-98.2066,595.9182,141.3929,-65.8345,576.8563,-0.0240,0.0542,-0.0363,0.9976,1566.0000,1845.0000,1629.0000,0.4132,6.2439,,
0.4392,357,0,140.2630,-97.0974,593.9359,141.2364,-64.7354,574.8741,-0.0263,0.0509,-0.0352,0.9977,1540.0000,1845.0000,1613.0000,0.4254,6.1982,,
0.4512,357,0,139.3639,-96.4771,592.1879,140.0514,-64.1078,573.1261,-0.0258,0.0512,-0.0354,0.9977,1517.0000,1845.0000,1599.0000,0.4314,6.2016,,
0.4599,357,0,139.3639,-96.4771,592.1879,140.0514,-64.1078,573.1261,-0.0258,0.0512,-0.0354,0.9977,1518.0000,1845.0000,1601.0000,0.4764,6.2239,,
0.4712,357,0,138.7203,-95.4816,593.1915,139.2437,-63.1093,574.1296,-0.0228,0.0520,-0.0352,0.9978,1518.0000,1845.0000,1603.0000,0.6356,6.3076,,
0.4832,357,0,137.4073,-93.5724,592.2388,138.0360,-61.2020,573.1770,-0.0216,0.0515,-0.0350,0.9978,1518.0000,1845.0000,1605.0000,0.8645,6.4301,,
0.4953,357,0,137.4073,-93.5724,592.2388,138.0360,-61.2020,573.1770,-0.0216,0.0515,-0.0350,0.9978,1519.0000,1845.0000,1608.0000,1.0213,6.5121,,
0.5073,357,0,136.7784,-92.9990,591.1100,137.1585,-60.6246,572.0482,-0.0243,0.0522,-0.0350,0.9977,1505.0000,1845.0000,1601.0000,1.0786,6.5446,,
0.5199,357,0,134.9306,-93.1838,589.3166,135.4591,-60.8115,570.2548,-0.0217,0.0504,-0.0342,0.9979,1482.0000,1845.0000,1589.0000,1.0846,6.5480,,
0.5286,357,0,134.9306,-93.1838,589.3166,135.4591,-60.8115,570.2548,-0.0217,0.0504,-0.0342,0.9979,1483.0000,1845.0000,1590.0000,1.1057,6.5599,,
0.5392,357,0,134.2029,-93.3743,588.6495,134.5786,-60.9999,569.5876,-0.0226,0.0499,-0.0343,0.9979,1476.0000,1845.0000,1586.0000,1.1419,6.5805,,
0.5514,357,0,133.2167,-93.1116,587.3425,133.8363,-60.7410,568.2807,-0.0209,0.0495,-0.0344,0.9980,1461.0000,1845.0000,1576.0000,1.2476,6.6403,,
0.5633,357,0,133.2167,-93.1116,587.3425,133.8363,-60.7410,568.2807,-0.0209,0.0495,-0.0344,0.9980,1463.0000,1845.0000,1577.0000,1.3204,6.6744,,
0.5753,357,0,133.3627,-92.6358,587.2020,133.7074,-60.2610,568.1402,-0.0205,0.0486,-0.0336,0.9980,1463.0000,1845.0000,1577.0000,1.3414,6.6866,,
0.5873,357,0,130.9272,-93.0565,584.7309,131.4032,-60.6835,565.6691,-0.0217,0.0481,-0.0318,0.9981,1433.0000,1845.0000,1558.0000,1.4322,6.7345,,
0.5959,357,0,130.0611,-93.5529,583.9435,130.2377,-61.1768,564.8817,-0.0225,0.0484,-0.0305,0.9981,1426.0000,1845.0000,1552.0000,1.4322,6.7345,,
0.6071,357,0,130.0611,-93.5529,583.9435,130.2377,-61.1768,564.8817,-0.0225,0.0484,-0.0305,0.9981,1429.0000,1845.0000,1552.0000,1.5774,6.8135,,
0.6197,357,0,129.0450,-93.3471,583.8124,129.2346,-60.9711,564.7506,-0.0209,0.0470,-0.0296,0.9982,1431.0000,1845.0000,1551.0000,1.7165,6.8960,,
0.6315,357,0,126.9370,-93.5022,581.2783,126.9876,-61.1256,562.2165,-0.0243,0.0481,-0.0269,0.9982,1403.0000,1845.0000,1530.0000,1.7680,6.9252,,
0.6433,357,0,126.3127,-94.0528,581.5001,126.0498,-61.6773,562.4383,-0.0204,0.0468,-0.0260,0.9984,1408.0000,1845.0000,1530.0000,1.8133,6.9512,,
0.6521,357,0,126.3127,-94.0528,581.5001,126.0498,-61.6773,562.4383,-0.0204,0.0468,-0.0260,0.9984,1412.0000,1845.0000,1530.0000,1.8346,6.9632,,
0.6632,357,0,125.0219,-94.0583,580.0432,125.3414,-61.6833,560.9814,-0.0234,0.0480,-0.0253,0.9983,1401.0000,1845.0000,1519.0000,1.9256,7.0148,,
0.6753,357,0,124.0771,-94.4645,578.3065,124.1185,-62.0880,559.2446,-0.0211,0.0456,-0.0252,0.9984,1385.0000,1845.0000,1504.0000,1.9831,7.0477,,
0.6874,357,0,124.0771,-94.4645,578.3065,124.1185,-62.0880,559.2446,-0.0211,0.0456,-0.0252,0.9984,1390.0000,1845.0000,1503.0000,1.9891,7.0512,,
0.6999,357,0,123.1855,-94.1575,577.2484,123.0641,-61.7812,558.1866,-0.0223,0.0469,-0.0253,0.9983,1382.0000,1845.0000,1494.0000,2.0162,7.0705,,
