{HEADER}
user_id: 988
target_id: 363
target_screen_position_mm: [135.88, 79.88]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 10.6220
endpoint_error_mm: [-16.1903, -14.6953, -1.8945]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,363,0,37.7748,-71.2491,770.4794,36.5981,-38.9715,751.2874,0.3571,-0.4020,0.1093,0.8360,1860.0000,1812.0000,1831.0000,-4.8977,1.0667,,
0.0107,363,0,37.7748,-71.2491,770.4794,36.5981,-38.9715,751.2874,0.3571,-0.4020,0.1093,0.8360,1860.0000,1721.0000,1827.0000,-4.8977,1.0667,,
0.0233,363,0,37.7748,-71.2491,770.4794,38.2701,-38.9539,751.2874,-0.0097,-0.1155,-0.0401,0.9924,1860.0000,1704.0000,1809.0000,-4.9108,1.0742,,
0.0345,363,0,37.7748,-71.2491,770.4794,38.1659,-38.9525,751.2874,-0.0184,-0.1243,-0.0410,0.9912,1860.0000,1757.0000,1799.0000,-5.0423,1.1487,,
0.0436,363,0,38.2507,-77.8014,831.3699,38.6418,-45.5048,812.1779,-0.0184,-0.1243,-0.0410,0.9912,1860.0000,1793.0000,1794.0000,-5.2069,1.2386,,
0.0542,363,0,38.2507,-77.8014,831.3699,38.6599,-45.5050,812.1779,-0.0190,-0.1231,-0.0413,0.9914,1860.0000,1823.0000,1792.0000,-5.6420,1.4852,,
0.0662,363,0,38.2507,-77.8014,831.3699,38.9444,-45.5098,812.1779,0.3195,-0.3682,0.0468,0.8719,1860.0000,1837.0000,1791.0000,-5.6354,1.4815,,
0.0784,363,0,38.2507,-77.8014,831.3699,38.9444,-45.5098,812.1779,0.3195,-0.3682,0.0468,0.8719,1860.0000,1837.0000,1779.0000,-5.6222,1.4740,,
0.0903,363,0,37.2329,-77.8116,832.2336,37.5241,-45.5139,813.0416,0.0464,-0.0830,-0.0376,0.9948,1860.0000,1837.0000,1763.0000,-5.6222,1.4706,,
0.1021,363,0,37.2329,-78.1953,832.7223,37.6565,-45.8991,813.5302,0.0225,-0.0997,-0.0379,0.9940,1860.0000,1837.0000,1755.0000,-5.6222,1.4706,,
