{HEADER}
user_id: 999
target_id: 334
target_screen_position_mm: [104.04, 63.96]
fingertip_offset: [-0.97, 32.92, 19.60]
completion_time: 4.6594
endpoint_error_mm: [4.1735, 5.0194, 1.1299]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.232760, 6.795296, 5.159784, 7.054626]
control_points_accel: [0.511740, -1.614305, 3.032177, -1.929612]
stiffness_measurements: [0.286907, 0.181744, 0.304497, 0.290343]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,334,0,212.5196,-4.8760,472.4814,213.4308,28.0417,452.8835,0.0324,0.0612,-0.0339,0.9970,1782.0000,1836.0000,1835.0000,12.5592,-0.3946,,
0.0090,334,0,212.5196,-4.8760,472.4814,213.4308,28.0417,452.8835,0.0324,0.0612,-0.0339,0.9970,1653.0000,1857.0000,1835.0000,12.5592,-0.3946,,
0.0203,334,0,212.4371,-2.9430,472.3900,213.5134,29.9698,452.7921,0.0334,0.0604,-0.0361,0.9970,1507.0000,1857.0000,1835.0000,12.5795,-0.3831,,
0.0322,334,0,212.4371,-2.9430,472.3900,213.5134,29.9698,452.7921,0.0334,0.0604,-0.0361,0.9970,1386.0000,1857.0000,1835.0000,12.6896,-0.3207,,
0.0437,334,0,197.8286,-2.2874,441.9259,204.1367,30.0331,422.3280,0.2276,0.4229,-0.0335,0.8765,662.0000,1857.0000,1835.0000,13.0727,-0.1036,,
0.0555,334,0,210.7356,-2.6958,472.9852,211.8860,30.2145,453.3873,0.0318,0.0609,-0.0365,0.9970,659.0000,1857.0000,1835.0000,13.3929,0.0779,,
0.0642,334,0,210.4665,-3.6304,473.5323,211.3962,29.2868,453.9344,0.0321,0.0595,-0.0360,0.9971,641.0000,1857.0000,1835.0000,15.0003,0.9989,,
0.0753,334,0,210.4665,-3.6304,473.5323,211.3962,29.2868,453.9344,0.0321,0.0595,-0.0360,0.9971,604.0000,1857.0000,1835.0000,18.4036,2.9092,,
0.0873,334,0,209.0494,-4.7606,474.1737,209.9604,28.1572,454.5758,0.0317,0.0589,-0.0352,0.9971,574.0000,1857.0000,1835.0000,21.5920,4.6210,,
0.0994,334,0,201.9954,-9.6271,477.5710,202.7121,23.2955,457.9731,0.0283,0.0516,-0.0317,0.9978,559.0000,1858.0000,1836.0000,23.6105,5.4568,,
0.1114,334,0,190.6051,-19.3017,482.4925,190.9022,13.6273,462.8946,0.0217,0.0404,-0.0243,0.9987,552.0000,1859.0000,1836.0000,24.9224,5.6683,,
0.1236,334,0,177.9310,-28.1451,487.5985,178.6147,4.7782,468.0006,0.0150,0.0301,-0.0286,0.9990,547.0000,1860.0000,1836.0000,25.8372,5.6746,,
0.1325,334,0,177.9310,-28.1451,487.5985,178.6147,4.7782,468.0006,0.0150,0.0301,-0.0286,0.9990,544.0000,1860.0000,1836.0000,26.3346,5.6892,,
0.1435,334,0,165.3902,-31.5074,491.4095,166.4149,1.4071,471.8116,0.0087,0.0181,-0.0405,0.9990,543.0000,1860.0000,1836.0000,26.5130,5.7169,,
0.1556,334,0,145.8727,-36.0149,496.8513,147.1503,-3.1093,477.2534,0.0052,-0.0003,-0.0475,0.9989,542.0000,1860.0000,1836.0000,26.6169,5.8192,,
0.1676,334,0,141.1991,-37.6591,497.9274,142.4044,-4.7508,478.3295,0.0060,-0.0033,-0.0461,0.9989,541.0000,1860.0000,1836.0000,26.6668,5.8375,,
0.1799,334,0,141.1991,-37.6591,497.9274,142.4044,-4.7508,478.3295,0.0060,-0.0033,-0.0461,0.9989,541.0000,1860.0000,1836.0000,26.6984,5.8619,,
0.1917,334,0,138.7628,-40.0414,498.0816,140.0273,-7.1354,478.4837,0.0046,-0.0057,-0.0454,0.9989,538.0000,1860.0000,1836.0000,26.9647,6.0918,,
0.2002,334,0,135.7941,-43.0876,498.1573,137.1709,-10.1860,478.5594,0.0024,-0.0081,-0.0483,0.9988,537.0000,1860.0000,1836.0000,27.0435,6.2184,,
0.2114,334,0,135.7941,-43.0876,498.1573,137.1709,-10.1860,478.5594,0.0024,-0.0081,-0.0483,0.9988,537.0000,1860.0000,1831.0000,27.1105,6.3549,,
0.2236,334,0,135.4924,-43.3377,497.8331,136.9961,-10.4417,478.2352,0.0015,-0.0080,-0.0506,0.9987,534.0000,1860.0000,1806.0000,27.3760,6.6797,,
0.2357,334,0,134.3570,-46.8248,496.8932,136.0514,-13.9380,477.2953,-0.0001,-0.0073,-0.0524,0.9986,533.0000,1860.0000,1788.0000,27.4489,6.7177,,
0.2476,334,0,133.7192,-49.2136,496.6420,135.4332,-16.3279,477.0440,-0.0032,-0.0089,-0.0548,0.9985,530.0000,1860.0000,1767.0000,27.7571,6.8824,,
0.2561,334,0,133.7192,-49.2136,496.6420,135.4332,-16.3279,477.0440,-0.0032,-0.0089,-0.0548,0.9985,527.0000,1860.0000,1746.0000,28.0214,7.0289,,
0.2676,334,0,131.6447,-51.9783,496.2246,133.4679,-19.0984,476.6267,-0.0057,-0.0099,-0.0560,0.9984,526.0000,1860.0000,1731.0000,28.1169,7.0764,,
0.2795,334,0,127.3568,-53.6985,496.1619,129.3301,-20.8274,476.5640,-0.0057,-0.0132,-0.0572,0.9983,525.0000,1860.0000,1707.0000,28.2671,7.1615,,
0.2915,334,0,127.3568,-53.6985,496.1619,129.3301,-20.8274,476.5640,-0.0057,-0.0132,-0.0572,0.9983,524.0000,1860.0000,1690.0000,28.3566,7.2090,,
0.3036,334,0,125.1467,-55.2567,495.5513,127.1472,-22.3872,475.9534,-0.0082,-0.0146,-0.0574,0.9982,542.0000,1860.0000,1673.0000,28.3824,7.2269,,
0.3157,334,0,120.8414,-57.5237,495.0304,122.6110,-24.6409,475.4324,-0.0095,-0.0174,-0.0556,0.9983,570.0000,1860.0000,1657.0000,28.3918,7.2256,,
0.3244,334,0,120.8414,-57.5237,495.0304,122.6110,-24.6409,475.4324,-0.0095,-0.0174,-0.0556,0.9983,594.0000,1860.0000,1644.0000,28.3888,7.2240,,
0.3356,334,0,118.9140,-58.0501,494.6598,120.4734,-25.1566,475.0618,-0.0097,-0.0185,-0.0542,0.9983,621.0000,1860.0000,1631.0000,28.3918,7.2191,,
0.3476,334,0,115.6210,-58.9769,493.1461,117.1445,-26.0818,473.5482,-0.0107,-0.0185,-0.0523,0.9984,648.0000,1860.0000,1619.0000,28.3915,7.2090,,
0.3598,334,0,114.6240,-59.8510,492.5763,115.9643,-26.9479,472.9783,-0.0123,-0.0204,-0.0513,0.9984,681.0000,1860.0000,1605.0000,28.3824,7.2073,,
0.3716,334,0,114.6240,-59.8510,492.5763,115.9643,-26.9479,472.9783,-0.0123,-0.0204,-0.0513,0.9984,706.0000,1860.0000,1595.0000,28.3822,7.2005,,
0.3811,334,0,112.9230,-60.7333,491.7538,114.4127,-27.8367,472.1559,-0.0128,-0.0211,-0.0505,0.9984,723.0000,1860.0000,1587.0000,28.3846,7.1886,,
0.3915,334,0,112.9230,-60.7333,491.7538,114.4127,-27.8367,472.1559,-0.0128,-0.0211,-0.0505,0.9984,742.0000,1860.0000,1579.0000,28.3726,7.1885,,
0.4033,334,0,108.3809,-61.3218,490.7071,109.8435,-28.4240,471.1092,-0.0130,-0.0229,-0.0512,0.9983,762.0000,1860.0000,1571.0000,28.3785,7.1819,,
0.4155,334,0,103.3963,-61.3775,489.6793,104.8759,-28.4804,470.0814,-0.0134,-0.0266,-0.0517,0.9982,786.0000,1860.0000,1564.0000,28.3694,7.1802,,
0.4276,334,0,100.3496,-60.9099,489.0304,101.9239,-28.0172,469.4325,-0.0136,-0.0272,-0.0519,0.9982,817.0000,1860.0000,1558.0000,28.3598,7.1714,,
0.4397,334,0,97.7006,-60.4391,488.6121,99.1771,-27.5418,469.0141,-0.0135,-0.0289,-0.0518,0.9981,848.0000,1860.0000,1555.0000,28.3654,7.1581,,
0.4486,334,0,97.7006,-60.4391,488.6121,99.1771,-27.5418,469.0141,-0.0135,-0.0289,-0.0518,0.9981,870.0000,1860.0000,1553.0000,28.3534,7.1547,,
0.4597,334,0,94.5859,-60.0268,487.9849,96.2859,-27.1404,468.3870,-0.0124,-0.0304,-0.0519,0.9981,893.0000,1860.0000,1552.0000,28.3526,7.1410,,
0.4716,334,0,88.5403,-58.6970,487.2454,90.1423,-25.8056,467.6475,-0.0114,-0.0347,-0.0527,0.9979,919.0000,1860.0000,1552.0000,28.3404,7.1374,,
0.4837,334,0,88.5403,-58.6970,487.2454,90.1423,-25.8056,467.6475,-0.0114,-0.0347,-0.0527,0.9979,948.0000,1860.0000,1554.0000,28.3281,7.1371,,
0.4956,334,0,85.5927,-58.1089,486.8272,86.9373,-25.2060,467.2293,-0.0107,-0.0369,-0.0525,0.9979,975.0000,1860.0000,1556.0000,28.3305,7.1285,,
0.5078,334,0,79.2458,-57.0923,485.4614,80.6675,-24.1926,465.8635,-0.0101,-0.0399,-0.0524,0.9978,1001.0000,1860.0000,1560.0000,28.2966,7.1260,,
0.5168,334,0,79.2458,-57.0923,485.4614,80.6675,-24.1926,465.8635,-0.0101,-0.0399,-0.0524,0.9978,1025.0000,1860.0000,1563.0000,28.2865,7.1136,,
0.5281,334,0,75.6431,-56.5533,485.1755,77.1539,-23.6576,465.5776,-0.0095,-0.0424,-0.0527,0.9977,1052.0000,1860.0000,1567.0000,28.2676,7.1062,,
0.5398,334,0,68.0985,-55.7327,483.8918,69.5717,-22.8353,464.2939,-0.0088,-0.0455,-0.0536,0.9975,1081.0000,1860.0000,1571.0000,28.2580,7.0975,,
0.5517,334,0,64.4150,-55.4421,483.5118,65.8698,-22.5439,463.9139,-0.0086,-0.0488,-0.0530,0.9974,1120.0000,1860.0000,1576.0000,28.2292,7.0812,,
0.5636,334,0,64.4150,-55.4421,483.5118,65.8698,-22.5439,463.9139,-0.0086,-0.0488,-0.0530,0.9974,1158.0000,1860.0000,1581.0000,28.2197,7.0757,,
0.5723,334,0,60.0176,-55.1886,482.8478,61.4374,-22.2889,463.2499,-0.0075,-0.0505,-0.0531,0.9973,1179.0000,1860.0000,1584.0000,28.1855,7.0697,,
0.5846,334,0,50.8464,-53.6677,481.9564,52.5340,-20.7806,462.3584,-0.0069,-0.0568,-0.0561,0.9968,1216.0000,1860.0000,1588.0000,28.0649,7.0548,,
0.5957,334,0,50.8464,-53.6677,481.9564,52.5340,-20.7806,462.3584,-0.0069,-0.0568,-0.0561,0.9968,1255.0000,1860.0000,1594.0000,27.9476,7.0417,,
0.6076,334,0,46.0783,-52.9888,481.4544,47.7948,-20.1032,461.8565,-0.0060,-0.0595,-0.0585,0.9965,1289.0000,1860.0000,1598.0000,27.4862,7.0610,,
0.6205,334,0,37.7568,-51.9725,480.3360,39.5581,-19.0915,460.7381,-0.0050,-0.0639,-0.0613,0.9961,1329.0000,1859.0000,1605.0000,27.2092,7.0446,,
0.6318,334,0,34.4563,-51.3985,479.8336,36.3572,-18.5230,460.2357,-0.0050,-0.0659,-0.0621,0.9959,1371.0000,1859.0000,1611.0000,26.9310,6.9607,,
0.6405,334,0,34.4563,-51.3985,479.8336,36.3572,-18.5230,460.2357,-0.0050,-0.0659,-0.0621,0.9959,1405.0000,1859.0000,1617.0000,26.7837,6.9073,,
0.6516,334,0,31.1850,-50.9450,479.1820,33.2084,-18.0768,459.5840,-0.0049,-0.0666,-0.0626,0.9958,1436.0000,1859.0000,1622.0000,26.5784,6.8077,,
0.6636,334,0,24.2648,-50.5327,478.1426,26.0972,-17.6534,458.5447,-0.0041,-0.0704,-0.0623,0.9956,1473.0000,1859.0000,1628.0000,26.3565,6.6820,,
0.6755,334,0,20.3607,-49.5060,477.4330,22.3437,-16.6354,457.8351,-0.0037,-0.0720,-0.0634,0.9954,1518.0000,1859.0000,1634.0000,26.2583,6.6296,,
0.6879,334,0,20.3607,-49.5060,477.4330,22.3437,-16.6354,457.8351,-0.0037,-0.0720,-0.0634,0.9954,1556.0000,1859.0000,1640.0000,26.0717,6.5238,,
