{HEADER}
user_id: 123
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [1.54, 32.43, 20.49]
completion_time: 7.8916
endpoint_error_mm: [-9.7188, 0.7022, -2.2116]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-102.5908,-163.6584,794.3905,-100.1747,-131.2823,773.8969,-0.0636,0.0684,-0.0614,0.9937,1809.0000,1812.0000,1814.0000,-2.4161,-32.3761,,
0.0125,286,0,-102.5908,-163.6584,794.3905,-100.1747,-131.2823,773.8969,-0.0636,0.0684,-0.0614,0.9937,1810.0000,1812.0000,1809.0000,-2.4161,-32.3761,,
0.0215,286,0,-102.5908,-163.6584,794.3905,-100.1747,-131.2823,773.8969,-0.0636,0.0684,-0.0614,0.9937,1810.0000,1812.0000,1804.0000,-2.4161,-32.3761,,
0.0318,286,0,-103.3985,-164.0047,794.7012,-100.8811,-131.6364,774.2076,-0.0663,0.0692,-0.0613,0.9935,1810.0000,1812.0000,1797.0000,-2.5174,-32.3684,,
0.0436,286,0,-103.3985,-164.0047,794.7012,-100.8811,-131.6364,774.2076,-0.0663,0.0692,-0.0613,0.9935,1810.0000,1810.0000,1789.0000,-2.5174,-32.3684,,
0.0556,286,0,-102.2510,-164.0296,792.0512,-100.0622,-131.6374,771.5576,-0.0622,0.0688,-0.0618,0.9938,1810.0000,1808.0000,1779.0000,-2.1889,-32.3922,,
0.0677,286,0,-102.2510,-164.0296,792.0512,-100.0622,-131.6374,771.5576,-0.0622,0.0688,-0.0618,0.9938,1810.0000,1805.0000,1769.0000,-2.1889,-32.3922,,
0.0796,286,0,-102.2510,-164.0296,792.0512,-100.0622,-131.6374,771.5576,-0.0622,0.0688,-0.0618,0.9938,1810.0000,1803.0000,1758.0000,-2.1889,-32.3922,,
0.0884,286,0,-98.9984,-159.8437,775.0457,-96.9983,-127.4393,754.5521,-0.0623,0.0735,-0.0614,0.9935,1810.0000,1801.0000,1751.0000,-2.0001,-32.4044,,
0.0999,286,0,-98.9984,-159.8437,775.0457,-96.9983,-127.4393,754.5521,-0.0623,0.0735,-0.0614,0.9935,1810.0000,1799.0000,1741.0000,-2.0001,-32.4044,,
0.1118,286,0,-97.2728,-160.0228,786.4622,-95.2392,-127.6204,765.9686,-0.0647,0.0795,-0.0607,0.9929,1810.0000,1797.0000,1731.0000,-2.0335,-32.4024,,
