{HEADER}
user_id: 124
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [3.03, 32.73, 19.23]
completion_time: 8.9516
endpoint_error_mm: [-2.0768, 3.0857, 2.0050]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.685735, 9.682273, 7.470439, 8.990629]
control_points_accel: [0.497382, -2.264590, 3.190859, -1.423652]
stiffness_measurements: [0.185872, 0.059771, 0.120415, 0.242385]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,143.6333,-27.5170,1091.0460,143.7347,5.3560,1071.8179,-0.0349,0.0171,-0.0397,0.9985,1850.0000,1833.0000,1842.0000,-0.1014,-32.8730,,
0.0099,124,0,143.6333,-27.5170,1091.0460,143.7347,5.3560,1071.8179,-0.0349,0.0171,-0.0397,0.9985,1848.0000,1833.0000,1842.0000,-0.1014,-32.8730,,
0.0209,124,0,142.6479,-29.8181,1084.8501,142.7670,3.0549,1065.6219,-0.0328,0.0127,-0.0387,0.9986,1842.0000,1834.0000,1842.0000,-0.1190,-32.8730,,
0.0323,124,0,142.6479,-29.8181,1084.8501,142.7670,3.0549,1065.6219,-0.0328,0.0127,-0.0387,0.9986,1829.0000,1834.0000,1842.0000,-0.1190,-32.8730,,
0.0439,124,0,142.6479,-29.8181,1084.8501,142.7670,3.0549,1065.6219,-0.0328,0.0127,-0.0387,0.9986,1815.0000,1834.0000,1842.0000,-0.1190,-32.8730,,
0.0557,124,0,141.2611,-33.6134,1099.7537,141.6852,-0.7429,1080.5255,-0.0254,0.0188,-0.0379,0.9988,1798.0000,1834.0000,1842.0000,-0.4242,-32.8705,,
0.0677,124,0,141.2611,-33.6134,1099.7537,141.6852,-0.7429,1080.5255,-0.0254,0.0188,-0.0379,0.9988,1782.0000,1834.0000,1842.0000,-0.4242,-32.8705,,
0.0766,124,0,138.9814,-34.2610,1095.6190,139.0466,-1.3879,1076.3909,-0.0322,0.0120,-0.0367,0.9987,1768.0000,1834.0000,1842.0000,-0.0652,-32.8731,,
0.0886,124,0,138.9814,-34.2610,1095.6190,139.0466,-1.3879,1076.3909,-0.0322,0.0120,-0.0367,0.9987,1750.0000,1834.0000,1842.0000,-0.0652,-32.8731,,
0.0998,124,0,138.9814,-34.2610,1095.6190,139.0466,-1.3879,1076.3909,-0.0322,0.0120,-0.0367,0.9987,1734.0000,1834.0000,1842.0000,-0.0652,-32.8731,,
0.1121,124,0,136.7038,-32.6316,1096.6283,137.2153,0.2376,1077.4001,-0.0335,0.0131,-0.0382,0.9986,1715.0000,1834.0000,1842.0000,-0.5116,-32.8692,,
0.1237,124,0,136.7038,-32.6316,1096.6283,137.2153,0.2376,1077.4001,-0.0335,0.0131,-0.0382,0.9986,1698.0000,1834.0000,1842.0000,-0.5116,-32.8692,,
0.1322,124,0,131.7259,-27.3822,1072.4868,132.0471,5.4894,1053.2587,-0.0272,0.0104,-0.0377,0.9989,1687.0000,1834.0000,1842.0000,-0.3212,-32.8716,,
0.1436,124,0,131.7259,-27.3822,1072.4868,132.0471,5.4894,1053.2587,-0.0272,0.0104,-0.0377,0.9989,1671.0000,1834.0000,1842.0000,-0.3212,-32.8716,,
0.1563,124,0,132.1850,-25.3408,1087.8171,131.6599,7.5282,1068.5890,-0.0335,0.0132,-0.0361,0.9987,1654.0000,1834.0000,1842.0000,0.5251,-32.8690,,
0.1682,124,0,132.1850,-25.3408,1087.8171,131.6599,7.5282,1068.5890,-0.0335,0.0132,-0.0361,0.9987,1640.0000,1834.0000,1842.0000,0.5251,-32.8690,,
0.1799,124,0,132.1850,-25.3408,1087.8171,131.6599,7.5282,1068.5890,-0.0335,0.0132,-0.0361,0.9987,1624.0000,1834.0000,1842.0000,0.5251,-32.8690,,
0.1919,124,0,128.0453,-23.0969,1086.6522,128.1763,9.7760,1067.4241,-0.0322,0.0140,-0.0365,0.9987,1608.0000,1834.0000,1842.0000,-0.1309,-32.8729,,
0.2006,124,0,128.0453,-23.0969,1086.6522,128.1763,9.7760,1067.4241,-0.0322,0.0140,-0.0365,0.9987,1598.0000,1834.0000,1842.0000,-0.1309,-32.8729,,
0.2118,124,0,119.8862,-18.0440,1089.1664,119.6542,14.8284,1069.9382,-0.0343,0.0102,-0.0376,0.9987,1585.0000,1834.0000,1842.0000,0.2320,-32.8724,,
0.2238,124,0,119.8862,-18.0440,1089.1664,119.6542,14.8284,1069.9382,-0.0343,0.0102,-0.0376,0.9987,1574.0000,1834.0000,1842.0000,0.2320,-32.8724,,
0.2369,124,0,110.9196,-16.8072,1090.7954,110.5887,16.0644,1071.5673,-0.0268,0.0100,-0.0385,0.9988,1562.0000,1834.0000,1842.0000,0.3309,-32.8715,,
0.2478,124,0,110.9196,-16.8072,1090.7954,110.5887,16.0644,1071.5673,-0.0268,0.0100,-0.0385,0.9988,1555.0000,1834.0000,1842.0000,0.3309,-32.8715,,
0.2565,124,0,110.9196,-16.8072,1090.7954,110.5887,16.0644,1071.5673,-0.0268,0.0100,-0.0385,0.9988,1549.0000,1834.0000,1842.0000,0.3309,-32.8715,,
0.2677,124,0,101.1461,-16.5330,1074.3235,100.3691,16.3310,1055.0953,-0.0251,0.0103,-0.0389,0.9989,1541.0000,1834.0000,1842.0000,0.7770,-32.8640,,
0.2799,124,0,101.1461,-16.5330,1074.3235,100.3691,16.3310,1055.0953,-0.0251,0.0103,-0.0389,0.9989,1537.0000,1834.0000,1842.0000,0.7770,-32.8640,,
0.2918,124,0,90.5731,-18.2904,1066.1715,90.1266,14.5798,1046.9434,-0.0307,-0.0007,-0.0326,0.9990,1533.0000,1834.0000,1842.0000,0.4465,-32.8702,,
