{HEADER}
user_id: 125
target_id: 286
target_screen_position_mm: [-183.92, 48.04]
fingertip_offset: [0.72, 31.52, 20.04]
completion_time: 9.0110
endpoint_error_mm: [3.1906, -5.4197, 4.1397]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.526157, 7.702400, 9.025190, 8.415630]
control_points_accel: [2.208233, -0.255412, -0.830226, -1.122595]
stiffness_measurements: [0.125060, 0.186677, 0.208203, 0.316209]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,286,0,-3.1823,-28.2713,615.2239,-0.9709,3.1801,595.1863,-0.0046,0.1083,-0.0644,0.9920,1802.0000,1799.0000,1813.0000,-2.2114,-31.4514,,
0.0113,286,0,-3.1823,-28.2713,615.2239,-0.9709,3.1801,595.1863,-0.0046,0.1083,-0.0644,0.9920,1796.0000,1799.0000,1813.0000,-2.2114,-31.4514,,
0.0233,286,0,-3.9446,-26.3973,611.6378,-1.3712,5.0265,591.6002,0.0016,0.1097,-0.0653,0.9918,1791.0000,1799.0000,1813.0000,-2.5734,-31.4238,,
0.0371,286,0,-3.9446,-26.3973,611.6378,-1.3712,5.0265,591.6002,0.0016,0.1097,-0.0653,0.9918,1789.0000,1799.0000,1813.0000,-2.5734,-31.4238,,
0.0469,286,0,-3.9651,-24.2067,611.0685,-7.4519,7.1289,591.0309,0.4621,-0.1316,-0.0177,0.8768,1788.0000,1798.0000,1813.0000,3.4867,-31.3356,,
0.0557,286,0,-3.9651,-24.2067,611.0685,-7.4519,7.1289,591.0309,0.4621,-0.1316,-0.0177,0.8768,1789.0000,1797.0000,1813.0000,3.4867,-31.3356,,
0.0671,286,0,-3.4158,-22.7034,606.3816,-0.6500,8.7041,586.3440,0.0011,0.1091,-0.0660,0.9918,1790.0000,1796.0000,1813.0000,-2.7657,-31.4075,,
0.0790,286,0,-3.4158,-22.7034,606.3816,-0.6500,8.7041,586.3440,0.0011,0.1091,-0.0660,0.9918,1790.0000,1795.0000,1813.0000,-2.7657,-31.4075,,
0.0910,286,0,-3.4158,-22.7034,606.3816,-0.6500,8.7041,586.3440,0.0011,0.1091,-0.0660,0.9918,1791.0000,1794.0000,1813.0000,-2.7657,-31.4075,,
0.1033,286,0,-2.5919,-21.5793,604.6811,0.1295,9.8321,584.6435,0.0014,0.1095,-0.0669,0.9917,1791.0000,1793.0000,1813.0000,-2.7214,-31.4113,,
0.1150,286,0,-2.5919,-21.5793,604.6811,0.1295,9.8321,584.6435,0.0014,0.1095,-0.0669,0.9917,1792.0000,1793.0000,1813.0000,-2.7214,-31.4113,,
0.1237,286,0,-0.5500,-20.3406,600.8942,2.3351,11.0561,580.8566,0.0035,0.1132,-0.0678,0.9913,1792.0000,1792.0000,1813.0000,-2.8852,-31.3967,,
0.1352,286,0,-0.5500,-20.3406,600.8942,2.3351,11.0561,580.8566,0.0035,0.1132,-0.0678,0.9913,1791.0000,1792.0000,1813.0000,-2.8852,-31.3967,,
0.1495,286,0,1.8745,-19.3938,596.2546,4.7480,12.0040,576.2170,0.0045,0.1143,-0.0682,0.9911,1791.0000,1792.0000,1813.0000,-2.8735,-31.3978,,
0.1598,286,0,1.8745,-19.3938,596.2546,4.7480,12.0040,576.2170,0.0045,0.1143,-0.0682,0.9911,1789.0000,1792.0000,1813.0000,-2.8735,-31.3978,,
0.1711,286,0,3.8288,-18.8674,595.6792,6.6380,12.5362,575.6416,0.0046,0.1140,-0.0683,0.9911,1788.0000,1792.0000,1813.0000,-2.8093,-31.4036,,
0.1829,286,0,3.8288,-18.8674,595.6792,6.6380,12.5362,575.6416,0.0046,0.1140,-0.0683,0.9911,1786.0000,1793.0000,1813.0000,-2.8093,-31.4036,,
0.1915,286,0,3.8288,-18.8674,595.6792,6.6380,12.5362,575.6416,0.0046,0.1140,-0.0683,0.9911,1784.0000,1794.0000,1813.0000,-2.8093,-31.4036,,
0.2033,286,0,5.8171,-17.6275,589.4727,8.7669,13.7632,569.4351,0.0070,0.1180,-0.0692,0.9906,1782.0000,1794.0000,1813.0000,-2.9499,-31.3907,,
0.2152,286,0,5.8171,-17.6275,589.4727,8.7669,13.7632,569.4351,0.0070,0.1180,-0.0692,0.9906,1779.0000,1796.0000,1813.0000,-2.9499,-31.3907,,
0.2271,286,0,9.0107,-15.1110,584.9078,11.4877,16.3206,564.8702,0.0076,0.1204,-0.0692,0.9903,1776.0000,1797.0000,1813.0000,-2.4770,-31.4316,,
0.2401,286,0,9.0107,-15.1110,584.9078,11.4877,16.3206,564.8702,0.0076,0.1204,-0.0692,0.9903,1771.0000,1798.0000,1813.0000,-2.4770,-31.4316,,
0.2489,286,0,11.1480,-13.2028,580.0927,14.0909,18.1885,560.0551,0.0076,0.1219,-0.0690,0.9901,1768.0000,1799.0000,1813.0000,-2.9429,-31.3914,,
0.2596,286,0,11.1480,-13.2028,580.0927,14.0909,18.1885,560.0551,0.0076,0.1219,-0.0690,0.9901,1763.0000,1799.0000,1813.0000,-2.9429,-31.3914,,
0.2718,286,0,11.1480,-13.2028,580.0927,14.0909,18.1885,560.0551,0.0076,0.1219,-0.0690,0.9901,1758.0000,1799.0000,1813.0000,-2.9429,-31.3914,,
0.2832,286,0,13.2488,-10.8043,576.9452,16.2277,20.5837,556.9076,0.0077,0.1238,-0.0686,0.9899,1753.0000,1799.0000,1813.0000,-2.9789,-31.3880,,
0.2951,286,0,13.2488,-10.8043,576.9452,16.2277,20.5837,556.9076,0.0077,0.1238,-0.0686,0.9899,1747.0000,1799.0000,1813.0000,-2.9789,-31.3880,,
0.3074,286,0,16.7248,-7.0729,567.9933,19.8250,24.3033,547.9557,0.0101,0.1258,-0.0681,0.9897,1741.0000,1799.0000,1813.0000,-3.1002,-31.3762,,
0.3162,286,0,16.7248,-7.0729,567.9933,19.8250,24.3033,547.9557,0.0101,0.1258,-0.0681,0.9897,1735.0000,1799.0000,1813.0000,-3.1002,-31.3762,,
