{HEADER}
user_id: 126
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 9.3156
endpoint_error_mm: [20.6705, 7.9378, 4.1548]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,143.2745,-131.7886,746.6038,140.8158,-100.0595,726.5544,-0.1017,0.1532,-0.0102,0.9829,1833.0000,1818.0000,1830.0000,-0.7885,-0.7885,,
0.0119,111,0,139.3515,-134.2769,753.2335,137.2841,-102.5199,733.1842,-0.1025,0.1498,-0.0106,0.9833,1808.0000,1818.0000,1817.0000,-0.8029,-0.8029,,
0.0238,111,0,139.3515,-134.2769,753.2335,137.2841,-102.5199,733.1842,-0.1025,0.1498,-0.0106,0.9833,1789.0000,1818.0000,1804.0000,-0.8174,-0.8174,,
0.0328,111,0,139.3515,-134.2769,753.2335,137.2841,-102.5199,733.1842,-0.1025,0.1498,-0.0106,0.9833,1776.0000,1818.0000,1793.0000,-0.7793,-0.7793,,
0.0446,111,0,136.9868,-135.3548,756.2881,134.8121,-103.6050,736.2388,-0.1001,0.1445,-0.0104,0.9844,1763.0000,1818.0000,1779.0000,-0.6588,-0.6588,,
0.0558,111,0,136.9868,-135.3548,756.2881,134.8121,-103.6050,736.2388,-0.1001,0.1445,-0.0104,0.9844,1753.0000,1818.0000,1765.0000,-0.5795,-0.5795,,
0.0677,111,0,132.4842,-136.3010,759.4522,129.8248,-104.5881,739.4029,-0.1065,0.1414,-0.0083,0.9842,1743.0000,1818.0000,1748.0000,-0.3952,-0.3952,,
0.0793,111,0,132.4842,-136.3010,759.4522,129.8248,-104.5881,739.4029,-0.1065,0.1414,-0.0083,0.9842,1735.0000,1818.0000,1732.0000,-0.3157,-0.3157,,
0.0917,111,0,132.4842,-136.3010,759.4522,129.8248,-104.5881,739.4029,-0.1065,0.1414,-0.0083,0.9842,1728.0000,1818.0000,1715.0000,-0.2903,-0.2903,,
0.1005,111,0,128.0997,-136.5178,759.8174,125.7433,-104.7809,739.7681,-0.1031,0.1412,-0.0092,0.9846,1723.0000,1818.0000,1702.0000,-0.2534,-0.2534,,
0.1115,111,0,128.0997,-136.5178,759.8174,125.7433,-104.7809,739.7681,-0.1031,0.1412,-0.0092,0.9846,1717.0000,1818.0000,1686.0000,-0.2503,-0.2503,,
0.1236,111,0,121.1184,-136.7956,765.5294,119.0204,-105.0406,745.4800,-0.0988,0.1382,-0.0101,0.9854,1711.0000,1817.0000,1668.0000,-0.4368,-0.4368,,
0.1357,111,0,121.1184,-136.7956,765.5294,119.0204,-105.0406,745.4800,-0.0988,0.1382,-0.0101,0.9854,1706.0000,1817.0000,1649.0000,-0.5490,-0.5490,,
0.1476,111,0,121.1184,-136.7956,765.5294,119.0204,-105.0406,745.4800,-0.0988,0.1382,-0.0101,0.9854,1701.0000,1817.0000,1632.0000,-0.5418,-0.5418,,
0.1595,111,0,118.1974,-138.8184,771.5558,115.9914,-107.0707,751.5065,-0.1004,0.1402,-0.0107,0.9850,1696.0000,1817.0000,1613.0000,-0.5290,-0.5290,,
0.1682,111,0,118.1974,-138.8184,771.5558,115.9914,-107.0707,751.5065,-0.1004,0.1402,-0.0107,0.9850,1693.0000,1817.0000,1600.0000,-0.4653,-0.4653,,
0.1797,111,0,116.6137,-137.2966,777.0690,114.6505,-105.5329,757.0197,-0.0986,0.1318,-0.0110,0.9863,1689.0000,1817.0000,1581.0000,-0.4048,-0.4048,,
0.1917,111,0,116.6137,-137.2966,777.0690,114.6505,-105.5329,757.0197,-0.0986,0.1318,-0.0110,0.9863,1684.0000,1817.0000,1562.0000,-0.1560,-0.1560,,
0.2038,111,0,116.6137,-137.2966,777.0690,114.6505,-105.5329,757.0197,-0.0986,0.1318,-0.0110,0.9863,1679.0000,1817.0000,1544.0000,-0.1401,-0.1401,,
0.2157,111,0,115.0018,-134.6623,777.6990,112.2377,-102.9583,757.6497,-0.0976,0.1291,-0.0086,0.9868,1673.0000,1817.0000,1526.0000,-0.1401,-0.1401,,
0.2246,111,0,115.0018,-134.6623,777.6990,112.2377,-102.9583,757.6497,-0.0976,0.1291,-0.0086,0.9868,1669.0000,1817.0000,1514.0000,-0.1401,-0.1401,,
0.2356,111,0,110.4320,-132.6263,781.7835,108.1329,-100.8853,761.7342,-0.0948,0.1306,-0.0079,0.9869,1664.0000,1817.0000,1500.0000,-0.1401,-0.1401,,
0.2478,111,0,110.4320,-132.6263,781.7835,108.1329,-100.8853,761.7342,-0.0948,0.1306,-0.0079,0.9869,1660.0000,1817.0000,1485.0000,-0.1401,-0.1401,,
0.2597,111,0,110.4320,-132.6263,781.7835,108.1329,-100.8853,761.7342,-0.0948,0.1306,-0.0079,0.9869,1655.0000,1817.0000,1469.0000,-0.1401,-0.1401,,
0.2717,111,0,108.5882,-130.3938,784.3172,106.6027,-98.6316,764.2679,-0.0936,0.1306,-0.0101,0.9870,1650.0000,1817.0000,1454.0000,-0.1369,-0.1369,,
0.2835,111,0,108.5882,-130.3938,784.3172,106.6027,-98.6316,764.2679,-0.0936,0.1306,-0.0101,0.9870,1644.0000,1817.0000,1441.0000,-0.1337,-0.1337,,
0.2923,111,0,105.5942,-121.2786,782.3532,103.8012,-89.5049,762.3039,-0.0915,0.1307,-0.0092,0.9871,1639.0000,1817.0000,1431.0000,-0.1337,-0.1337,,
0.3037,111,0,105.5942,-121.2786,782.3532,103.8012,-89.5049,762.3039,-0.0915,0.1307,-0.0092,0.9871,1632.0000,1817.0000,1426.0000,-0.1301,-0.1301,,
0.3155,111,0,105.5942,-121.2786,782.3532,103.8012,-89.5049,762.3039,-0.0915,0.1307,-0.0092,0.9871,1625.0000,1817.0000,1420.0000,-0.1228,-0.1228,,
0.3276,111,0,103.7963,-114.2696,782.7681,101.8099,-82.5074,762.7188,-0.0861,0.1259,-0.0085,0.9883,1617.0000,1817.0000,1413.0000,-0.1156,-0.1156,,
0.3396,111,0,103.7963,-114.2696,782.7681,101.8099,-82.5074,762.7188,-0.0861,0.1259,-0.0085,0.9883,1609.0000,1817.0000,1411.0000,-0.1024,-0.1024,,
0.3485,111,0,99.1624,-104.2100,787.8981,97.1198,-72.4514,767.8488,-0.0799,0.1236,-0.0092,0.9891,1601.0000,1817.0000,1411.0000,-0.0960,-0.0960,,
0.3597,111,0,99.1624,-104.2100,787.8981,97.1198,-72.4514,767.8488,-0.0799,0.1236,-0.0092,0.9891,1594.0000,1817.0000,1417.0000,-0.0928,-0.0928,,
0.3721,111,0,93.4771,-92.8054,785.4126,91.4438,-61.0461,765.3633,-0.0734,0.1208,-0.0068,0.9899,1586.0000,1817.0000,1422.0000,-0.0545,-0.0545,,
0.3838,111,0,93.4771,-92.8054,785.4126,91.4438,-61.0461,765.3633,-0.0734,0.1208,-0.0068,0.9899,1579.0000,1817.0000,1436.0000,-0.0353,-0.0353,,
0.3956,111,0,93.4771,-92.8054,785.4126,91.4438,-61.0461,765.3633,-0.0734,0.1208,-0.0068,0.9899,1572.0000,1817.0000,1446.0000,0.0350,0.0350,,
0.4076,111,0,89.9108,-87.4798,788.8123,81.3386,-56.8318,768.7630,-0.0838,0.7290,0.5044,0.4552,1565.0000,1817.0000,1454.0000,0.0989,0.0989,,
0.4163,111,0,89.9108,-87.4798,788.8123,81.3386,-56.8318,768.7630,-0.0838,0.7290,0.5044,0.4552,1565.0000,1817.0000,1459.0000,0.0989,0.0989,,
0.4276,111,0,84.3895,-80.2931,785.9739,82.1411,-48.5483,765.9246,-0.0676,0.1181,-0.0039,0.9907,1563.0000,1817.0000,1466.0000,0.1053,0.1053,,
0.4405,111,0,84.3895,-80.2931,785.9739,82.1411,-48.5483,765.9246,-0.0676,0.1181,-0.0039,0.9907,1557.0000,1817.0000,1482.0000,0.1117,0.1117,,
0.4521,111,0,80.5969,-75.6248,787.8140,78.2987,-43.8837,767.7647,-0.0621,0.1139,-0.0045,0.9915,1552.0000,1817.0000,1494.0000,0.1213,0.1213,,
0.4636,111,0,80.5969,-75.6248,787.8140,78.2987,-43.8837,767.7647,-0.0621,0.1139,-0.0045,0.9915,1548.0000,1817.0000,1507.0000,0.1405,0.1405,,
0.4756,111,0,80.5969,-75.6248,787.8140,78.2987,-43.8837,767.7647,-0.0621,0.1139,-0.0045,0.9915,1543.0000,1817.0000,1518.0000,0.1501,0.1501,,
0.4843,111,0,78.2412,-69.5930,786.0858,76.2374,-37.8319,766.0364,-0.0595,0.1118,-0.0048,0.9919,1540.0000,1817.0000,1523.0000,0.1820,0.1820,,
