{HEADER}
user_id: 126
target_id: 124
target_screen_position_mm: [104.04, -48.04]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 11.2677
endpoint_error_mm: [4.7590, -4.3132, 2.8348]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,124,0,223.5101,-82.4783,695.9020,223.1338,-50.6563,675.8527,-0.0717,0.0806,-0.0350,0.9935,1831.0000,1824.0000,1825.0000,3.7575,3.7575,,
0.0123,124,0,223.5101,-82.4783,695.9020,223.1338,-50.6563,675.8527,-0.0717,0.0806,-0.0350,0.9935,1812.0000,1824.0000,1815.0000,3.7575,3.7575,,
0.0249,124,0,223.5101,-82.4783,695.9020,223.1338,-50.6563,675.8527,-0.0717,0.0806,-0.0350,0.9935,1798.0000,1824.0000,1809.0000,3.7540,3.7540,,
0.0338,124,0,224.6982,-81.9345,699.3134,224.2732,-50.1131,679.2640,-0.0720,0.0777,-0.0328,0.9938,1781.0000,1824.0000,1802.0000,3.7540,3.7540,,
0.0442,124,0,224.6982,-81.9345,699.3134,224.2732,-50.1131,679.2640,-0.0720,0.0777,-0.0328,0.9938,1763.0000,1824.0000,1797.0000,3.7540,3.7540,,
0.0565,124,0,224.6982,-81.9345,699.3134,224.2732,-50.1131,679.2640,-0.0720,0.0777,-0.0328,0.9938,1741.0000,1824.0000,1791.0000,3.7540,3.7540,,
0.0678,124,0,223.3843,-79.8467,690.4645,222.7636,-48.0285,670.4152,-0.0703,0.0786,-0.0304,0.9940,1720.0000,1824.0000,1787.0000,3.7540,3.7540,,
0.0798,124,0,223.3843,-79.8467,690.4645,222.7636,-48.0285,670.4152,-0.0703,0.0786,-0.0304,0.9940,1701.0000,1824.0000,1783.0000,3.7540,3.7540,,
0.0920,124,0,226.1858,-79.0459,688.4904,225.4413,-47.2303,668.4411,-0.0718,0.0800,-0.0269,0.9938,1680.0000,1824.0000,1780.0000,3.7568,3.7568,,
0.1007,124,0,226.1858,-79.0459,688.4904,225.4413,-47.2303,668.4411,-0.0718,0.0800,-0.0269,0.9938,1664.0000,1824.0000,1777.0000,3.7788,3.7788,,
0.1119,124,0,226.1858,-79.0459,688.4904,225.4413,-47.2303,668.4411,-0.0718,0.0800,-0.0269,0.9938,1645.0000,1824.0000,1774.0000,3.7914,3.7914,,
0.1239,124,0,226.4973,-77.4117,684.0778,225.6880,-45.5977,664.0284,-0.0688,0.0817,-0.0253,0.9940,1624.0000,1824.0000,1771.0000,3.8384,3.8384,,
0.1356,124,0,226.4973,-77.4117,684.0778,225.6880,-45.5977,664.0284,-0.0688,0.0817,-0.0253,0.9940,1605.0000,1824.0000,1768.0000,3.8538,3.8538,,
0.1477,124,0,227.3953,-76.7517,681.0321,226.2666,-44.9475,660.9828,-0.0678,0.0822,-0.0232,0.9940,1583.0000,1824.0000,1764.0000,3.9407,3.9407,,
0.1565,124,0,227.3953,-76.7517,681.0321,226.2666,-44.9475,660.9828,-0.0678,0.0822,-0.0232,0.9940,1566.0000,1824.0000,1762.0000,3.9909,3.9909,,
0.1679,124,0,227.3953,-76.7517,681.0321,226.2666,-44.9475,660.9828,-0.0678,0.0822,-0.0232,0.9940,1547.0000,1824.0000,1758.0000,4.1046,4.1046,,
0.1799,124,0,228.0156,-75.8163,679.9916,227.1510,-44.0038,659.9423,-0.0698,0.0760,-0.0230,0.9944,1525.0000,1824.0000,1755.0000,4.2343,4.2343,,
0.1918,124,0,228.0156,-75.8163,679.9916,227.1510,-44.0038,659.9423,-0.0698,0.0760,-0.0230,0.9944,1505.0000,1824.0000,1751.0000,4.4337,4.4337,,
0.2042,124,0,226.0586,-73.0155,674.6047,221.2063,-41.5633,654.5554,0.4872,0.4935,-0.0395,0.7194,1481.0000,1824.0000,1747.0000,4.5664,4.5664,,
0.2157,124,0,226.0586,-73.0155,674.6047,221.2063,-41.5633,654.5554,0.4872,0.4935,-0.0395,0.7194,1463.0000,1824.0000,1745.0000,4.6771,4.6771,,
0.2247,124,0,224.6990,-70.7900,673.4909,224.0152,-38.9731,653.4416,-0.0653,0.0823,-0.0237,0.9942,1448.0000,1824.0000,1743.0000,4.7247,4.7247,,
0.2358,124,0,224.6990,-70.7900,673.4909,224.0152,-38.9731,653.4416,-0.0653,0.0823,-0.0237,0.9942,1429.0000,1824.0000,1741.0000,4.7945,4.7945,,
0.2508,124,0,224.6990,-70.7900,673.4909,224.0152,-38.9731,653.4416,-0.0653,0.0823,-0.0237,0.9942,1404.0000,1824.0000,1739.0000,4.8993,4.8993,,
0.2601,124,0,223.4862,-67.6381,673.5221,222.7382,-35.8226,653.4728,-0.0643,0.0792,-0.0247,0.9945,1386.0000,1824.0000,1737.0000,4.9597,4.9597,,
0.2722,124,0,223.4862,-67.6381,673.5221,222.7382,-35.8226,653.4728,-0.0643,0.0792,-0.0247,0.9945,1367.0000,1824.0000,1735.0000,5.1856,5.1856,,
0.2838,124,0,219.9326,-61.1822,667.3952,219.0482,-29.3703,647.3459,-0.0616,0.0788,-0.0251,0.9947,1348.0000,1824.0000,1735.0000,5.2174,5.2174,,
0.2926,124,0,219.9326,-61.1822,667.3952,219.0482,-29.3703,647.3459,-0.0616,0.0788,-0.0251,0.9947,1333.0000,1824.0000,1736.0000,5.3356,5.3356,,
0.3041,124,0,219.9326,-61.1822,667.3952,219.0482,-29.3703,647.3459,-0.0616,0.0788,-0.0251,0.9947,1315.0000,1824.0000,1738.0000,5.5726,5.5726,,
0.3160,124,0,219.0054,-56.1818,666.3531,218.4539,-24.3623,646.3038,-0.0582,0.0782,-0.0259,0.9949,1297.0000,1824.0000,1739.0000,5.6527,5.6527,,
0.3279,124,0,219.0054,-56.1818,666.3531,218.4539,-24.3623,646.3038,-0.0582,0.0782,-0.0259,0.9949,1277.0000,1824.0000,1742.0000,5.9606,5.9606,,
0.3400,124,0,216.0038,-47.8427,662.4838,215.2832,-16.0266,642.4344,-0.0529,0.0797,-0.0277,0.9950,1259.0000,1824.0000,1744.0000,6.1280,6.1280,,
0.3487,124,0,216.0038,-47.8427,662.4838,215.2832,-16.0266,642.4344,-0.0529,0.0797,-0.0277,0.9950,1247.0000,1824.0000,1750.0000,6.2430,6.2430,,
0.3598,124,0,214.1094,-43.6979,659.8598,213.3924,-11.8817,639.8105,-0.0541,0.0769,-0.0264,0.9952,1231.0000,1824.0000,1756.0000,6.3655,6.3655,,
