{HEADER}
user_id: 126
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 7.0465
endpoint_error_mm: [8.6512, 7.5068, -0.0037]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,209.4021,-78.0923,720.6486,208.5688,-46.2790,700.5992,-0.0379,0.1408,-0.0193,0.9891,1834.0000,1820.0000,1827.0000,8.1018,8.1018,,
0.0121,267,0,209.4021,-78.0923,720.6486,208.5688,-46.2790,700.5992,-0.0379,0.1408,-0.0193,0.9891,1823.0000,1820.0000,1819.0000,8.1018,8.1018,,
0.0233,267,0,209.4021,-78.0923,720.6486,208.5688,-46.2790,700.5992,-0.0379,0.1408,-0.0193,0.9891,1808.0000,1820.0000,1814.0000,8.1018,8.1018,,
0.0347,267,0,209.8877,-76.3171,717.7775,208.9096,-44.5079,697.7281,-0.0366,0.1394,-0.0188,0.9894,1790.0000,1820.0000,1809.0000,8.1018,8.1018,,
0.0469,267,0,209.8877,-76.3171,717.7775,208.9096,-44.5079,697.7281,-0.0366,0.1394,-0.0188,0.9894,1769.0000,1820.0000,1804.0000,8.1051,8.1051,,
0.0557,267,0,209.1207,-72.8098,712.9407,208.9145,-40.9863,692.8914,0.1433,0.6164,-0.1302,0.7632,1753.0000,1820.0000,1801.0000,8.1118,8.1118,,
0.0669,267,0,209.1207,-72.8098,712.9407,208.9145,-40.9863,692.8914,0.1433,0.6164,-0.1302,0.7632,1732.0000,1820.0000,1798.0000,8.1151,8.1151,,
0.0791,267,0,209.1207,-72.8098,712.9407,208.9145,-40.9863,692.8914,0.1433,0.6164,-0.1302,0.7632,1711.0000,1820.0000,1794.0000,8.1251,8.1251,,
0.0915,267,0,208.2608,-70.5729,711.1331,207.4356,-38.7593,691.0837,-0.0348,0.1413,-0.0196,0.9892,1687.0000,1820.0000,1790.0000,8.1350,8.1350,,
0.1025,267,0,208.2608,-70.5729,711.1331,207.4356,-38.7593,691.0837,-0.0348,0.1413,-0.0196,0.9892,1666.0000,1820.0000,1787.0000,8.1417,8.1417,,
0.1147,267,0,208.3170,-65.4578,708.9432,207.9221,-33.6360,688.8939,-0.0329,0.1449,-0.0221,0.9887,1643.0000,1820.0000,1784.0000,8.1849,8.1849,,
0.1234,267,0,208.3170,-65.4578,708.9432,207.9221,-33.6360,688.8939,-0.0329,0.1449,-0.0221,0.9887,1626.0000,1820.0000,1783.0000,8.1849,8.1849,,
0.1347,267,0,208.6692,-61.6541,702.9077,208.4843,-29.8304,682.8583,-0.0323,0.1434,-0.0235,0.9889,1606.0000,1820.0000,1781.0000,8.3146,8.3146,,
0.1467,267,0,208.6692,-61.6541,702.9077,208.4843,-29.8304,682.8583,-0.0323,0.1434,-0.0235,0.9889,1584.0000,1820.0000,1780.0000,8.3745,8.3745,,
0.1587,267,0,208.6692,-61.6541,702.9077,208.4843,-29.8304,682.8583,-0.0323,0.1434,-0.0235,0.9889,1562.0000,1820.0000,1779.0000,8.3978,8.3978,,
0.1706,267,0,211.6389,-59.1296,703.7224,214.9461,-27.4776,683.6731,0.4889,0.5407,-0.1376,0.6706,1541.0000,1820.0000,1778.0000,8.4578,8.4578,,
