{HEADER}
user_id: 126
target_id: 275
target_screen_position_mm: [119.96, 32.12]
fingertip_offset: [1.52, 31.79, 20.05]
completion_time: 10.0551
endpoint_error_mm: [10.2078, -4.2531, 2.3303]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.829333, 6.945366, 8.158839, 7.363811]
control_points_accel: [-1.841099, 2.295798, -2.241730, 1.787030]
stiffness_measurements: [0.143792, 0.074999, 0.179081, 0.368585]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,275,0,265.0543,-158.8614,660.5826,262.4095,-127.1472,640.5333,-0.0642,0.0877,0.0011,0.9941,1839.0000,1826.0000,1835.0000,4.0079,4.0079,,
0.0152,275,0,265.0543,-158.8614,660.5826,262.4095,-127.1472,640.5333,-0.0642,0.0877,0.0011,0.9941,1818.0000,1826.0000,1824.0000,4.0009,4.0009,,
0.0245,275,0,265.0543,-158.8614,660.5826,262.4095,-127.1472,640.5333,-0.0642,0.0877,0.0011,0.9941,1801.0000,1826.0000,1813.0000,4.0009,4.0009,,
0.0333,275,0,263.8949,-156.7199,660.0733,261.4904,-124.9867,640.0240,-0.0657,0.0817,0.0018,0.9945,1784.0000,1826.0000,1801.0000,4.0009,4.0009,,
0.0421,275,0,263.8949,-156.7199,660.0733,261.4904,-124.9867,640.0240,-0.0657,0.0817,0.0018,0.9945,1766.0000,1826.0000,1789.0000,3.9940,3.9940,,
0.0510,275,0,263.8949,-156.7199,660.0733,261.4904,-124.9867,640.0240,-0.0657,0.0817,0.0018,0.9945,1747.0000,1826.0000,1776.0000,3.9940,3.9940,,
0.0631,275,0,262.1127,-153.2192,658.9665,259.6209,-121.4927,638.9172,-0.0627,0.0850,0.0012,0.9944,1721.0000,1826.0000,1758.0000,3.9940,3.9940,,
0.0753,275,0,262.1127,-153.2192,658.9665,259.6209,-121.4927,638.9172,-0.0627,0.0850,0.0012,0.9944,1696.0000,1826.0000,1741.0000,3.9971,3.9971,,
0.0871,275,0,263.8890,-150.0212,661.4944,261.4108,-118.2936,641.4451,-0.0611,0.0838,0.0019,0.9946,1669.0000,1826.0000,1722.0000,4.0127,4.0127,,
0.0992,275,0,263.8890,-150.0212,661.4944,261.4108,-118.2936,641.4451,-0.0611,0.0838,0.0019,0.9946,1642.0000,1826.0000,1705.0000,4.0127,4.0127,,
0.1085,275,0,263.8890,-150.0212,661.4944,261.4108,-118.2936,641.4451,-0.0611,0.0838,0.0019,0.9946,1622.0000,1826.0000,1692.0000,4.0221,4.0221,,
0.1191,275,0,262.1481,-145.8851,655.6285,259.8015,-114.1475,635.5792,-0.0601,0.0850,0.0017,0.9946,1599.0000,1826.0000,1678.0000,4.0596,4.0596,,
0.1311,275,0,262.1481,-145.8851,655.6285,259.8015,-114.1475,635.5792,-0.0601,0.0850,0.0017,0.9946,1571.0000,1826.0000,1662.0000,4.1255,4.1255,,
0.1431,275,0,259.9503,-140.0804,649.4454,257.6987,-108.3359,629.3961,-0.0550,0.0855,0.0027,0.9948,1545.0000,1826.0000,1647.0000,4.2224,4.2224,,
0.1553,275,0,259.9503,-140.0804,649.4454,257.6987,-108.3359,629.3961,-0.0550,0.0855,0.0027,0.9948,1517.0000,1826.0000,1633.0000,4.3224,4.3224,,
0.1673,275,0,258.9370,-135.1194,648.1268,256.5091,-103.3879,628.0775,-0.0530,0.0844,0.0032,0.9950,1493.0000,1826.0000,1621.0000,4.4602,4.4602,,
0.1774,275,0,258.9370,-135.1194,648.1268,256.5091,-103.3879,628.0775,-0.0530,0.0844,0.0032,0.9950,1473.0000,1826.0000,1613.0000,4.6388,4.6388,,
0.1872,275,0,258.9370,-135.1194,648.1268,256.5091,-103.3879,628.0775,-0.0530,0.0844,0.0032,0.9950,1453.0000,1826.0000,1605.0000,4.7328,4.7328,,
0.1992,275,0,256.1616,-129.0661,645.1472,253.6579,-97.3405,625.0979,-0.0499,0.0836,0.0037,0.9952,1426.0000,1826.0000,1594.0000,4.9275,4.9275,,
0.2111,275,0,256.1616,-129.0661,645.1472,253.6579,-97.3405,625.0979,-0.0499,0.0836,0.0037,0.9952,1403.0000,1826.0000,1586.0000,5.1004,5.1004,,
0.2233,275,0,255.0636,-125.1528,646.6155,253.0121,-93.3948,626.5662,-0.0484,0.0815,0.0003,0.9955,1378.0000,1826.0000,1578.0000,5.2861,5.2861,,
0.2321,275,0,255.0636,-125.1528,646.6155,253.0121,-93.3948,626.5662,-0.0484,0.0815,0.0003,0.9955,1359.0000,1826.0000,1573.0000,5.4499,5.4499,,
0.2433,275,0,255.0636,-125.1528,646.6155,253.0121,-93.3948,626.5662,-0.0484,0.0815,0.0003,0.9955,1337.0000,1826.0000,1567.0000,5.5256,5.5256,,
0.2551,275,0,252.2245,-122.6406,644.6216,250.1310,-90.8853,624.5723,-0.0481,0.0834,-0.0013,0.9954,1312.0000,1826.0000,1559.0000,5.8863,5.8863,,
0.2671,275,0,252.2245,-122.6406,644.6216,250.1310,-90.8853,624.5723,-0.0481,0.0834,-0.0013,0.9954,1288.0000,1826.0000,1552.0000,6.1911,6.1911,,
0.2792,275,0,250.0566,-121.0617,644.3611,247.7691,-89.3197,624.3118,-0.0461,0.0796,-0.0022,0.9958,1265.0000,1826.0000,1545.0000,6.3344,6.3344,,
0.2913,275,0,250.0566,-121.0617,644.3611,247.7691,-89.3197,624.3118,-0.0461,0.0796,-0.0022,0.9958,1241.0000,1826.0000,1537.0000,6.6808,6.6808,,
0.3002,275,0,246.6248,-120.3258,641.1210,244.3019,-88.5864,621.0717,-0.0464,0.0787,-0.0012,0.9958,1226.0000,1826.0000,1532.0000,6.7791,6.7791,,
0.3113,275,0,246.6248,-120.3258,641.1210,244.3019,-88.5864,621.0717,-0.0464,0.0787,-0.0012,0.9958,1205.0000,1826.0000,1525.0000,6.8972,6.8972,,
0.3231,275,0,246.6248,-120.3258,641.1210,244.3019,-88.5864,621.0717,-0.0464,0.0787,-0.0012,0.9958,1185.0000,1826.0000,1517.0000,6.9351,6.9351,,
0.3353,275,0,245.1001,-121.4284,645.8287,242.6642,-89.6975,625.7794,-0.0460,0.0755,-0.0002,0.9961,1162.0000,1826.0000,1508.0000,7.0976,7.0976,,
0.3474,275,0,245.1001,-121.4284,645.8287,242.6642,-89.6975,625.7794,-0.0460,0.0755,-0.0002,0.9961,1140.0000,1826.0000,1498.0000,7.3534,7.3534,,
0.3564,275,0,240.0763,-120.2196,647.2345,237.8709,-88.4719,627.1852,-0.0458,0.0722,-0.0007,0.9963,1124.0000,1826.0000,1490.0000,7.6347,7.6347,,
0.3672,275,0,240.0763,-120.2196,647.2345,237.8709,-88.4719,627.1852,-0.0458,0.0722,-0.0007,0.9963,1105.0000,1826.0000,1480.0000,7.7665,7.7665,,
0.3792,275,0,240.0763,-120.2196,647.2345,237.8709,-88.4719,627.1852,-0.0458,0.0722,-0.0007,0.9963,1086.0000,1826.0000,1471.0000,8.0916,8.0916,,
0.3912,275,0,237.1118,-118.3941,646.0361,234.9817,-86.6413,625.9868,-0.0439,0.0720,-0.0012,0.9964,1063.0000,1826.0000,1460.0000,8.4104,8.4104,,
0.4031,275,0,237.1118,-118.3941,646.0361,234.9817,-86.6413,625.9868,-0.0439,0.0720,-0.0012,0.9964,1044.0000,1826.0000,1452.0000,8.7422,8.7422,,
0.4154,275,0,229.9408,-118.0058,647.8533,227.9425,-86.2444,627.8040,-0.0428,0.0676,-0.0024,0.9968,1023.0000,1826.0000,1442.0000,9.3039,9.3039,,
0.4242,275,0,229.9408,-118.0058,647.8533,227.9425,-86.2444,627.8040,-0.0428,0.0676,-0.0024,0.9968,1012.0000,1826.0000,1436.0000,9.3039,9.3039,,
0.4352,275,0,224.6401,-117.3525,652.5156,222.6997,-85.5875,632.4663,-0.0436,0.0630,-0.0038,0.9971,995.0000,1826.0000,1426.0000,9.7898,9.7898,,
0.4472,275,0,224.6401,-117.3525,652.5156,222.6997,-85.5875,632.4663,-0.0436,0.0630,-0.0038,0.9971,980.0000,1826.0000,1416.0000,10.0307,10.0307,,
