{HEADER}
user_id: 127
target_id: 267
target_screen_position_mm: [-7.96, 32.12]
fingertip_offset: [0.90, 32.48, 19.99]
completion_time: 11.4156
endpoint_error_mm: [0.9343, 0.3695, 5.1488]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.866152, 6.262093, 8.555854, 7.134895]
control_points_accel: [-1.434911, 2.992726, -3.489342, 1.931526]
stiffness_measurements: [0.160299, 0.232607, 0.084488, 0.496826]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,267,0,45.1944,-113.7353,762.0604,46.1382,-81.2537,742.0731,-0.0606,0.1077,-0.0536,0.9909,1828.0000,1811.0000,1842.0000,0.1476,12.5293,,
0.0124,267,0,45.1944,-113.7353,762.0604,46.1382,-81.2537,742.0731,-0.0606,0.1077,-0.0536,0.9909,1828.0000,1809.0000,1820.0000,0.1476,12.5293,,
0.0240,267,0,44.9152,-113.9630,759.7639,45.9454,-81.4840,739.7766,-0.0609,0.1073,-0.0546,0.9909,1828.0000,1815.0000,1797.0000,0.1476,12.5293,,
0.0357,267,0,44.9152,-113.9630,759.7639,45.9454,-81.4840,739.7766,-0.0609,0.1073,-0.0546,0.9909,1828.0000,1815.0000,1771.0000,0.1476,12.5079,,
0.0446,267,0,44.9152,-113.9630,759.7639,45.9454,-81.4840,739.7766,-0.0609,0.1073,-0.0546,0.9909,1828.0000,1815.0000,1746.0000,0.1476,12.4834,,
0.0557,267,0,45.3565,-114.3486,761.6702,46.4170,-81.8706,741.6829,-0.0596,0.1076,-0.0545,0.9909,1828.0000,1815.0000,1719.0000,0.1476,12.4100,,
0.0677,267,0,45.3565,-114.3486,761.6702,46.4170,-81.8706,741.6829,-0.0596,0.1076,-0.0545,0.9909,1828.0000,1815.0000,1695.0000,0.1513,12.3252,,
0.0796,267,0,45.1122,-110.8745,742.7545,50.4191,-78.8154,722.7672,0.0000,0.0000,0.0000,1.0000,1828.0000,1815.0000,1679.0000,0.1513,12.2670,,
0.0921,267,0,45.1122,-110.8745,742.7545,50.4191,-78.8154,722.7672,0.0000,0.0000,0.0000,1.0000,1829.0000,1815.0000,1667.0000,0.1341,12.1439,,
0.1008,267,0,45.1122,-110.8745,742.7545,50.4191,-78.8154,722.7672,0.0000,0.0000,0.0000,1.0000,1829.0000,1815.0000,1658.0000,0.0962,12.0611,,
0.1116,267,0,45.3854,-111.4105,759.8519,46.4113,-78.9313,739.8646,-0.0580,0.1063,-0.0545,0.9911,1829.0000,1815.0000,1647.0000,-0.0344,11.9472,,
0.1238,267,0,45.3854,-111.4105,759.8519,46.4113,-78.9313,739.8646,-0.0580,0.1063,-0.0545,0.9911,1829.0000,1815.0000,1632.0000,-0.1650,11.8578,,
0.1358,267,0,45.9949,-108.3990,762.1276,46.7773,-75.9130,742.1403,-0.0592,0.1063,-0.0521,0.9912,1829.0000,1815.0000,1617.0000,-0.1684,11.8405,,
0.1478,267,0,45.9949,-108.3990,762.1276,46.7773,-75.9130,742.1403,-0.0592,0.1063,-0.0521,0.9912,1829.0000,1815.0000,1605.0000,-0.1684,11.7607,,
0.1606,267,0,46.4790,-103.5135,755.6121,47.5733,-71.0365,735.6248,-0.0555,0.1081,-0.0517,0.9912,1829.0000,1815.0000,1591.0000,-0.1684,11.7208,,
0.1694,267,0,46.4790,-103.5135,755.6121,47.5733,-71.0365,735.6248,-0.0555,0.1081,-0.0517,0.9912,1829.0000,1815.0000,1584.0000,-0.1684,11.6132,,
