{HEADER}
user_id: 130
target_id: 249
target_screen_position_mm: [183.92, 15.92]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 6.1759
endpoint_error_mm: [3.9030, 6.9130, 31.5719]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,249,0,14.9064,-69.3863,863.5909,15.1103,-35.7906,845.0327,-0.0483,0.0375,-0.0360,0.9975,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0122,249,0,14.9064,-69.3863,863.5909,15.1103,-35.7906,845.0327,-0.0483,0.0375,-0.0360,0.9975,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0246,249,0,16.2794,-68.6376,862.9495,16.4878,-35.0419,844.3913,-0.0487,0.0388,-0.0368,0.9974,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0343,249,0,20.5294,-67.3813,862.1918,20.5195,-33.7850,843.6335,-0.0440,0.0389,-0.0373,0.9976,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0440,249,0,20.5294,-67.3813,862.1918,20.5195,-33.7850,843.6335,-0.0440,0.0389,-0.0373,0.9976,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0559,249,0,21.9546,-67.0882,861.8865,22.1577,-33.4925,843.3283,-0.0481,0.0406,-0.0365,0.9973,1877.0000,1835.0000,1835.0000,-4.6634,5.8240,,
0.0679,249,0,26.3299,-65.9610,861.5418,25.6403,-32.3717,842.9836,-0.0441,0.0412,-0.0353,0.9976,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.0800,249,0,27.7014,-65.3475,860.5499,20.9607,-32.4344,841.9917,0.2641,-0.1719,-0.0006,0.9491,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.0889,249,0,27.7014,-65.3475,860.5499,20.9607,-32.4344,841.9917,0.2641,-0.1719,-0.0006,0.9491,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.0999,249,0,29.8047,-64.3606,857.9631,29.6546,-30.7646,839.4048,-0.0467,0.0431,-0.0360,0.9973,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1121,249,0,33.1800,-63.6087,856.8898,33.2211,-30.0125,838.3315,-0.0430,0.0446,-0.0363,0.9974,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1238,249,0,33.1800,-63.6087,856.8898,33.2211,-30.0125,838.3315,-0.0430,0.0446,-0.0363,0.9974,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1361,249,0,34.9415,-63.5907,856.0059,34.8802,-29.9944,837.4477,-0.0447,0.0457,-0.0359,0.9973,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1480,249,0,39.1875,-63.0952,856.7682,38.6580,-29.5030,838.2100,-0.0432,0.0460,-0.0353,0.9974,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1566,249,0,39.1875,-63.0952,856.7682,38.6580,-29.5030,838.2100,-0.0432,0.0460,-0.0353,0.9974,1877.0000,1835.0000,1835.0000,-4.6607,5.8255,,
0.1683,249,0,40.9962,-62.3402,853.6234,40.8447,-28.7442,835.0651,-0.0420,0.0476,-0.0359,0.9973,1873.0000,1835.0000,1825.0000,-4.6607,5.8255,,
0.1799,249,0,45.6144,-60.8682,849.6667,45.6450,-27.2719,831.1085,-0.0437,0.0510,-0.0353,0.9971,1866.0000,1835.0000,1808.0000,-4.6607,5.8255,,
0.1919,249,0,48.4281,-60.7188,851.2653,48.4741,-27.1226,832.7071,-0.0403,0.0490,-0.0346,0.9974,1864.0000,1835.0000,1809.0000,-4.6580,5.8238,,
0.2041,249,0,48.4281,-60.7188,851.2653,48.4741,-27.1226,832.7071,-0.0403,0.0490,-0.0346,0.9974,1862.0000,1835.0000,1811.0000,-4.6553,5.8253,,
0.2161,249,0,51.4075,-59.6094,850.4809,50.6632,-26.0214,831.9227,-0.0392,0.0505,-0.0339,0.9974,1861.0000,1835.0000,1811.0000,-4.6553,5.8253,,
0.2248,249,0,56.5352,-58.2501,847.2869,56.1781,-24.6557,828.7286,-0.0399,0.0543,-0.0341,0.9971,1853.0000,1835.0000,1803.0000,-4.6553,5.8253,,
0.2371,249,0,56.5352,-58.2501,847.2869,56.1781,-24.6557,828.7286,-0.0399,0.0543,-0.0341,0.9971,1851.0000,1835.0000,1805.0000,-4.6527,5.8268,,
0.2483,249,0,59.7606,-57.2243,847.7125,59.7360,-23.6280,829.1542,-0.0416,0.0533,-0.0346,0.9971,1849.0000,1835.0000,1806.0000,-4.6527,5.8235,,
0.2600,249,0,65.9292,-55.9094,843.1821,66.0287,-22.3133,824.6239,-0.0398,0.0586,-0.0344,0.9969,1833.0000,1835.0000,1794.0000,-4.6600,5.8307,,
0.2720,249,0,69.8099,-54.9381,840.1346,69.6317,-21.3423,821.5764,-0.0385,0.0590,-0.0335,0.9970,1818.0000,1834.0000,1787.0000,-4.6834,5.8440,,
0.2807,249,0,69.8099,-54.9381,840.1346,69.6317,-21.3423,821.5764,-0.0385,0.0590,-0.0335,0.9970,1815.0000,1834.0000,1789.0000,-4.7028,5.8671,,
0.2920,249,0,73.0621,-54.3166,839.9247,73.2240,-20.7207,821.3665,-0.0390,0.0592,-0.0328,0.9969,1810.0000,1834.0000,1790.0000,-4.7664,5.9303,,
