{HEADER}
user_id: 130
target_id: 260
target_screen_position_mm: [-119.96, 32.12]
fingertip_offset: [2.01, 33.54, 18.56]
completion_time: 11.1203
endpoint_error_mm: [-7.5243, -4.5098, 31.5155]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [6.623162, 9.639349, 12.775930, 6.874553]
control_points_accel: [0.232463, 1.827177, -7.248406, 5.188766]
stiffness_measurements: [0.228392, 0.293825, 0.109327, 0.488727]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,260,0,-215.8125,-116.6046,932.3523,-220.1738,-83.2926,913.7941,-0.0415,0.0403,0.0264,0.9980,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0122,260,0,-218.2442,-117.3415,932.0971,-223.2940,-84.1269,913.5389,0.2154,0.1008,0.0891,0.9672,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0282,260,0,-218.7248,-117.8839,931.2586,-222.8541,-84.5423,912.7004,-0.0403,0.0402,0.0258,0.9980,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0376,260,0,-218.7248,-117.8839,931.2586,-222.8541,-84.5423,912.7004,-0.0403,0.0402,0.0258,0.9980,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0464,260,0,-219.0888,-118.3037,929.9534,-223.4416,-84.9906,911.3952,-0.0412,0.0384,0.0261,0.9981,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0558,260,0,-219.0888,-118.3037,929.9534,-223.4416,-84.9906,911.3952,-0.0412,0.0384,0.0261,0.9981,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0680,260,0,-220.0775,-119.3598,928.9697,-224.9526,-86.1191,910.4115,-0.0413,0.0388,0.0257,0.9981,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0800,260,0,-221.0133,-120.9269,929.9885,-226.2999,-87.7491,911.4302,0.2126,0.0966,0.0894,0.9682,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.0919,260,0,-221.0133,-120.9269,929.9885,-226.2999,-87.7491,911.4302,0.2126,0.0966,0.0894,0.9682,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.1008,260,0,-219.9350,-120.8789,927.5803,-224.9997,-87.6666,909.0220,-0.0441,0.0369,0.0255,0.9980,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.1120,260,0,-221.3592,-121.9252,929.5070,-225.6135,-88.5994,910.9488,-0.0448,0.0389,0.0247,0.9979,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.1240,260,0,-221.3592,-121.9252,929.5070,-225.6135,-88.5994,910.9488,-0.0448,0.0389,0.0247,0.9979,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.1357,260,0,-221.5151,-122.0844,929.8722,-225.6186,-88.7396,911.3140,-0.0433,0.0405,0.0250,0.9979,1869.0000,1846.0000,1840.0000,8.9204,7.0441,,
0.1477,260,0,-220.6642,-121.6367,927.2416,-225.0087,-88.3225,908.6833,-0.0424,0.0387,0.0257,0.9980,1869.0000,1846.0000,1840.0000,8.9008,7.0330,,
0.1566,260,0,-220.6642,-121.6367,927.2416,-225.0087,-88.3225,908.6833,-0.0424,0.0387,0.0257,0.9980,1869.0000,1846.0000,1840.0000,8.8615,7.0107,,
0.1676,260,0,-219.7654,-121.2529,925.3590,-224.1474,-87.9436,906.8008,-0.0421,0.0389,0.0259,0.9980,1869.0000,1846.0000,1840.0000,8.8447,7.0012,,
0.1797,260,0,-219.8096,-120.8259,925.0963,-224.2453,-87.5237,906.5380,-0.0433,0.0402,0.0261,0.9979,1869.0000,1846.0000,1840.0000,8.8195,6.9869,,
0.1918,260,0,-219.8096,-120.8259,925.0963,-224.2453,-87.5237,906.5380,-0.0433,0.0402,0.0261,0.9979,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2037,260,0,-219.8596,-120.8707,926.0524,-224.3055,-87.5699,907.4942,-0.0441,0.0392,0.0260,0.9979,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2161,260,0,-216.4740,-119.3192,921.4247,-221.1078,-86.0439,902.8665,-0.0455,0.0389,0.0265,0.9979,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2257,260,0,-216.4740,-119.3192,921.4247,-221.1078,-86.0439,902.8665,-0.0455,0.0389,0.0265,0.9979,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2356,260,0,-218.0964,-119.9770,925.3083,-222.4627,-86.6657,906.7501,-0.0438,0.0402,0.0256,0.9979,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2476,260,0,-216.8017,-119.2204,924.1871,-220.9742,-85.8842,905.6288,-0.0387,0.0381,0.0248,0.9982,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2598,260,0,-216.8017,-119.2204,924.1871,-220.9742,-85.8842,905.6288,-0.0387,0.0381,0.0248,0.9982,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2717,260,0,-216.2759,-119.0367,923.5417,-220.3178,-85.6844,904.9835,-0.0413,0.0412,0.0236,0.9980,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2843,260,0,-213.8868,-117.2943,923.7351,-212.3866,-83.7315,905.1769,0.0000,0.0000,0.0000,1.0000,1869.0000,1846.0000,1840.0000,8.8167,6.9853,,
0.2936,260,0,-212.1117,-116.0202,922.3063,-213.5694,-82.4555,903.7480,0.1438,-0.5086,0.2284,0.8176,1869.0000,1846.0000,1840.0000,8.8139,6.9837,,
0.3037,260,0,-212.1117,-116.0202,922.3063,-213.5694,-82.4555,903.7480,0.1438,-0.5086,0.2284,0.8176,1869.0000,1846.0000,1840.0000,8.8083,6.9773,,
0.3157,260,0,-209.9097,-114.4886,921.8199,-213.9838,-81.1402,903.2617,-0.0397,0.0426,0.0235,0.9980,1869.0000,1846.0000,1840.0000,8.8055,6.9757,,
0.3277,260,0,-205.5866,-111.9096,919.1785,-209.6084,-78.5549,900.6202,-0.0368,0.0433,0.0233,0.9981,1869.0000,1842.0000,1838.0000,8.7970,6.9710,,
0.3398,260,0,-205.5866,-111.9096,919.1785,-209.6084,-78.5549,900.6202,-0.0368,0.0433,0.0233,0.9981,1869.0000,1842.0000,1838.0000,8.7942,6.9694,,
0.3489,260,0,-204.4647,-110.6509,921.4479,-209.0013,-77.3623,902.8897,-0.0362,0.0478,0.0231,0.9979,1869.0000,1842.0000,1838.0000,8.7746,6.9550,,
0.3597,260,0,-199.6232,-107.2255,919.4445,-203.5431,-73.8587,900.8862,-0.0377,0.0490,0.0226,0.9978,1869.0000,1842.0000,1838.0000,8.7718,6.9502,,
0.3718,260,0,-199.6232,-107.2255,919.4445,-203.5431,-73.8587,900.8862,-0.0377,0.0490,0.0226,0.9978,1869.0000,1843.0000,1838.0000,8.7718,6.9470,,
0.3836,260,0,-197.7834,-105.7911,919.8457,-201.7997,-72.4358,901.2875,-0.0349,0.0506,0.0224,0.9979,1869.0000,1843.0000,1838.0000,8.7718,6.9470,,
0.3958,260,0,-192.4635,-102.1950,919.0110,-196.2293,-68.8104,900.4528,-0.0351,0.0513,0.0219,0.9978,1869.0000,1841.0000,1837.0000,8.7718,6.9470,,
0.4076,260,0,-192.4635,-102.1950,919.0110,-196.2293,-68.8104,900.4528,-0.0351,0.0513,0.0219,0.9978,1869.0000,1841.0000,1837.0000,8.7718,6.9470,,
0.4166,260,0,-189.6187,-100.6979,918.6464,-194.1839,-67.4132,900.0882,-0.0342,0.0505,0.0226,0.9979,1869.0000,1837.0000,1835.0000,8.7718,6.9470,,
0.4277,260,0,-184.7445,-98.1674,918.0767,-189.2365,-64.8728,899.5185,-0.0334,0.0510,0.0229,0.9979,1869.0000,1831.0000,1833.0000,8.7690,6.9325,,
0.4398,260,0,-184.7445,-98.1674,918.0767,-189.2365,-64.8728,899.5185,-0.0334,0.0510,0.0229,0.9979,1869.0000,1831.0000,1833.0000,8.7606,6.9084,,
0.4517,260,0,-182.4752,-96.7532,917.0898,-186.5202,-63.4013,898.5316,-0.0312,0.0550,0.0226,0.9977,1869.0000,1821.0000,1828.0000,8.7578,6.9003,,
0.4639,260,0,-176.7806,-92.8386,912.4326,-180.4023,-59.4381,893.8743,-0.0258,0.0535,0.0246,0.9979,1869.0000,1775.0000,1808.0000,8.7578,6.8971,,
0.4728,260,0,-176.7806,-92.8386,912.4326,-180.4023,-59.4381,893.8743,-0.0258,0.0535,0.0246,0.9979,1869.0000,1775.0000,1808.0000,8.7547,6.8989,,
0.4838,260,0,-175.4363,-91.0109,915.1812,-179.5972,-57.6732,896.6230,-0.0307,0.0561,0.0254,0.9976,1869.0000,1776.0000,1809.0000,8.7388,6.9014,,
0.4958,260,0,-170.3585,-87.1265,910.3362,-174.1656,-53.7466,891.7780,-0.0255,0.0575,0.0261,0.9977,1869.0000,1757.0000,1801.0000,8.6755,6.9211,,
0.5080,260,0,-169.9307,-86.9016,913.2749,-174.2644,-53.5860,894.7167,-0.0275,0.0618,0.0261,0.9974,1869.0000,1758.0000,1803.0000,8.6379,6.9361,,
0.5206,260,0,-169.9307,-86.9016,913.2749,-174.2644,-53.5860,894.7167,-0.0275,0.0618,0.0261,0.9974,1869.0000,1760.0000,1804.0000,8.5809,6.9651,,
0.5317,260,0,-167.6487,-85.5076,909.9830,-171.8604,-52.1763,891.4248,-0.0292,0.0598,0.0270,0.9974,1869.0000,1757.0000,1803.0000,8.4766,7.0210,,
0.5413,260,0,-163.6881,-84.6307,908.3636,-168.0096,-51.3135,889.8054,-0.0288,0.0618,0.0265,0.9973,1869.0000,1743.0000,1798.0000,8.2922,7.0748,,
0.5518,260,0,-163.6881,-84.6307,908.3636,-168.0096,-51.3135,889.8054,-0.0288,0.0618,0.0265,0.9973,1869.0000,1744.0000,1799.0000,8.2391,7.0446,,
0.5637,260,0,-162.9668,-84.3944,908.8817,-167.0269,-51.0443,890.3235,-0.0267,0.0628,0.0275,0.9973,1870.0000,1746.0000,1800.0000,8.0346,6.9259,,
