{HEADER}
user_id: 789
target_id: 294
target_screen_position_mm: [-56.00, 48.04]
fingertip_offset: [-1.99, 32.86, 20.26]
completion_time: 5.1479
endpoint_error_mm: [6.2479, 1.3117, 30.8346]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.166339, 14.558929, 12.456643, 8.418297]
control_points_accel: [3.646828, -5.379620, -0.353702, 2.086494]
stiffness_measurements: [0.175111, 0.116433, 0.156206, 0.181919]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,294,0,3.5731,-166.9464,791.5473,9.8954,-134.6392,771.2863,-0.5212,0.5473,0.0071,0.6548,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0123,294,0,3.6141,-167.2559,791.0341,6.5117,-134.4636,770.7731,-0.0464,0.0783,-0.0834,0.9924,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0242,294,0,3.6141,-167.2559,791.0341,6.5117,-134.4636,770.7731,-0.0464,0.0783,-0.0834,0.9924,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0331,294,0,3.5877,-167.2401,790.4289,6.5411,-134.4528,770.1679,-0.0463,0.0788,-0.0835,0.9923,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0435,294,0,3.5877,-167.2401,790.4289,6.5411,-134.4528,770.1679,-0.0463,0.0788,-0.0835,0.9923,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0557,294,0,3.4812,-166.6329,789.5732,6.7164,-133.8722,769.3122,-0.0481,0.0766,-0.0833,0.9924,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0676,294,0,2.9492,-165.0476,789.0383,6.0649,-132.2754,768.7773,-0.0473,0.0766,-0.0825,0.9925,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0803,294,0,3.2725,-163.4513,786.2252,6.7480,-130.7153,765.9642,-0.0430,0.0759,-0.0820,0.9928,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0891,294,0,3.2725,-163.4513,786.2252,6.7480,-130.7153,765.9642,-0.0430,0.0759,-0.0820,0.9928,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.0994,294,0,2.6711,-162.9534,788.3276,5.4489,-130.1508,768.0667,-0.0441,0.0768,-0.0818,0.9927,1865.0000,1796.0000,1807.0000,-0.4613,7.2355,,
0.1115,294,0,2.2182,-160.8288,786.5294,5.1387,-128.0386,766.2684,-0.0451,0.0780,-0.0817,0.9926,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.1238,294,0,2.2182,-160.8288,786.5294,5.1387,-128.0386,766.2684,-0.0451,0.0780,-0.0817,0.9926,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.1356,294,0,1.8923,-159.8538,786.2006,4.9103,-127.0724,765.9396,-0.0410,0.0777,-0.0818,0.9928,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.1476,294,0,1.4890,-158.1339,785.2968,4.2915,-125.3333,765.0358,-0.0423,0.0760,-0.0796,0.9930,1865.0000,1796.0000,1807.0000,-0.4588,7.2369,,
0.1563,294,0,1.4890,-158.1339,785.2968,4.2915,-125.3333,765.0358,-0.0423,0.0760,-0.0796,0.9930,1865.0000,1796.0000,1807.0000,-0.4613,7.2355,,
0.1674,294,0,0.4105,-156.9996,784.1240,3.3939,-124.2150,763.8630,-0.0409,0.0797,-0.0791,0.9928,1865.0000,1796.0000,1807.0000,-0.4588,7.2336,,
0.1797,294,0,-0.3202,-155.3858,783.0064,3.1526,-122.6495,762.7454,-0.6453,0.3482,0.1838,0.6547,1865.0000,1796.0000,1807.0000,-0.4623,7.2256,,
0.1916,294,0,-0.3202,-155.3858,783.0064,3.1526,-122.6495,762.7454,-0.6453,0.3482,0.1838,0.6547,1865.0000,1796.0000,1807.0000,-0.4623,7.2223,,
0.2036,294,0,-1.2193,-154.7377,783.1639,1.4358,-121.9249,762.9029,-0.0420,0.0775,-0.0770,0.9931,1865.0000,1796.0000,1807.0000,-0.4623,7.2223,,
0.2155,294,0,-2.4600,-153.6362,782.4778,0.2969,-120.8318,762.2169,-0.0422,0.0770,-0.0777,0.9931,1865.0000,1796.0000,1807.0000,-0.4658,7.2210,,
0.2245,294,0,-2.4600,-153.6362,782.4778,0.2969,-120.8318,762.2169,-0.0422,0.0770,-0.0777,0.9931,1865.0000,1796.0000,1807.0000,-0.4658,7.2210,,
0.2356,294,0,-2.7520,-153.1668,781.9402,0.0797,-120.3688,761.6792,-0.0384,0.0754,-0.0782,0.9933,1865.0000,1796.0000,1807.0000,-0.4763,7.2269,,
