{HEADER}
user_id: 790
target_id: 325
target_screen_position_mm: [-40.08, 63.96]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 5.1038
endpoint_error_mm: [5.8768, -0.6252, 28.9979]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,325,0,141.8160,-130.2887,545.1934,142.5739,-97.2054,523.7023,-0.0664,0.0305,-0.0471,0.9962,1890.0000,1825.0000,1837.0000,-3.3232,-4.4536,,
0.0123,325,0,141.6766,-129.7755,543.7373,142.4604,-96.6928,522.2462,-0.0675,0.0288,-0.0470,0.9962,1890.0000,1825.0000,1837.0000,-3.3232,-4.4536,,
0.0247,325,0,142.1855,-129.0182,542.7921,142.8896,-95.9337,521.3010,-0.0681,0.0288,-0.0473,0.9961,1890.0000,1825.0000,1837.0000,-3.3207,-4.4522,,
0.0379,325,0,142.5150,-128.6291,542.5973,143.3197,-95.5469,521.1062,-0.0676,0.0298,-0.0474,0.9961,1890.0000,1825.0000,1837.0000,-3.3232,-4.4536,,
0.0480,325,0,142.5150,-128.6291,542.5973,143.3197,-95.5469,521.1062,-0.0676,0.0298,-0.0474,0.9961,1890.0000,1825.0000,1837.0000,-3.3232,-4.4536,,
0.0571,325,0,142.6425,-127.8863,541.6726,143.3691,-94.8023,520.1815,-0.0671,0.0299,-0.0473,0.9962,1890.0000,1825.0000,1837.0000,-3.3207,-4.4522,,
0.0680,325,0,142.6425,-127.8863,541.6726,143.3691,-94.8023,520.1815,-0.0671,0.0299,-0.0473,0.9962,1890.0000,1825.0000,1837.0000,-3.3207,-4.4522,,
0.0798,325,0,143.3149,-126.1009,540.6032,143.6516,-93.0107,519.1121,-0.0668,0.0274,-0.0470,0.9963,1890.0000,1825.0000,1837.0000,-3.3207,-4.4522,,
0.0919,325,0,143.7745,-123.5418,539.4154,152.9252,-91.7402,517.9243,-0.0453,0.1805,-0.0033,0.9825,1889.0000,1825.0000,1835.0000,-3.3207,-4.4522,,
0.1038,325,0,143.9569,-122.3998,539.0165,144.8218,-89.3191,517.5255,-0.0646,0.0325,-0.0485,0.9962,1886.0000,1825.0000,1831.0000,-3.3207,-4.4522,,
0.1158,325,0,143.9569,-122.3998,539.0165,144.8218,-89.3191,517.5255,-0.0646,0.0325,-0.0485,0.9962,1886.0000,1825.0000,1831.0000,-3.3207,-4.4522,,
0.1243,325,0,144.3237,-121.3801,538.1843,145.2312,-88.3006,516.6932,-0.0632,0.0315,-0.0483,0.9963,1879.0000,1825.0000,1823.0000,-3.3232,-4.4536,,
0.1363,325,0,144.9451,-118.7867,536.6835,145.7620,-85.7048,515.1924,-0.0617,0.0320,-0.0480,0.9964,1868.0000,1825.0000,1808.0000,-3.3183,-4.4508,,
0.1478,325,0,144.9451,-118.7867,536.6835,145.7620,-85.7048,515.1924,-0.0617,0.0320,-0.0480,0.9964,1868.0000,1825.0000,1809.0000,-3.3232,-4.4536,,
0.1599,325,0,145.2421,-117.3852,535.7965,146.0368,-84.3028,514.3054,-0.0614,0.0325,-0.0486,0.9964,1861.0000,1825.0000,1801.0000,-3.3207,-4.4555,,
0.1720,325,0,146.2454,-114.2604,533.2946,146.8077,-81.1732,511.8035,-0.0609,0.0310,-0.0491,0.9965,1842.0000,1825.0000,1778.0000,-3.3207,-4.4555,,
0.1806,325,0,146.2454,-114.2604,533.2946,146.8077,-81.1732,511.8035,-0.0609,0.0310,-0.0491,0.9965,1841.0000,1825.0000,1778.0000,-3.3183,-4.4541,,
0.1918,325,0,146.5078,-113.2234,532.7291,147.3564,-80.1423,511.2380,-0.0592,0.0333,-0.0493,0.9965,1836.0000,1825.0000,1774.0000,-3.3158,-4.4723,,
0.2038,325,0,147.6278,-111.0319,530.4998,148.4895,-77.9511,509.0086,-0.0587,0.0346,-0.0496,0.9964,1818.0000,1825.0000,1754.0000,-3.3183,-4.4770,,
0.2163,325,0,148.2680,-109.8921,529.6466,149.1798,-76.8127,508.1555,-0.0582,0.0367,-0.0502,0.9964,1810.0000,1825.0000,1748.0000,-3.3158,-4.4789,,
0.2277,325,0,148.2680,-109.8921,529.6466,149.1798,-76.8127,508.1555,-0.0582,0.0367,-0.0502,0.9964,1809.0000,1825.0000,1749.0000,-3.3034,-4.4817,,
0.2397,325,0,149.1887,-108.3871,528.3195,150.2695,-75.3127,506.8283,-0.0571,0.0362,-0.0505,0.9964,1797.0000,1825.0000,1739.0000,-3.2985,-4.4789,,
0.2489,325,0,151.5045,-105.8696,525.9653,152.4690,-72.7917,504.4742,-0.0552,0.0381,-0.0511,0.9964,1776.0000,1825.0000,1720.0000,-3.2985,-4.4821,,
0.2598,325,0,151.5045,-105.8696,525.9653,152.4690,-72.7917,504.4742,-0.0552,0.0381,-0.0511,0.9964,1774.0000,1825.0000,1722.0000,-3.2960,-4.4807,,
0.2716,325,0,152.4345,-104.9657,524.2523,153.4851,-71.8904,502.7612,-0.0551,0.0392,-0.0505,0.9964,1758.0000,1825.0000,1709.0000,-3.2787,-4.4840,,
0.2840,325,0,154.3309,-102.5403,521.4500,155.5157,-69.4695,499.9589,-0.0528,0.0413,-0.0507,0.9965,1731.0000,1825.0000,1688.0000,-3.2539,-4.4733,,
0.2957,325,0,155.5172,-101.2397,519.8214,156.7140,-68.1694,498.3303,-0.0522,0.0421,-0.0507,0.9965,1713.0000,1825.0000,1677.0000,-3.2306,-4.4673,,
0.3047,325,0,155.5172,-101.2397,519.8214,156.7140,-68.1694,498.3303,-0.0522,0.0421,-0.0507,0.9965,1710.0000,1825.0000,1679.0000,-3.1737,-4.4416,,
0.3160,325,0,156.4367,-100.1622,518.2478,157.4303,-67.0851,496.7567,-0.0515,0.0424,-0.0506,0.9965,1693.0000,1825.0000,1668.0000,-3.0596,-4.4064,,
0.3279,325,0,158.1675,-98.4279,515.2000,159.1317,-65.3500,493.7088,-0.0504,0.0448,-0.0492,0.9965,1661.0000,1825.0000,1647.0000,-3.0323,-4.4040,,
0.3397,325,0,159.0366,-97.6022,513.7152,159.9209,-64.5220,492.2241,-0.0497,0.0456,-0.0486,0.9965,1643.0000,1825.0000,1638.0000,-2.9966,-4.4369,,
0.3521,325,0,159.0366,-97.6022,513.7152,159.9209,-64.5220,492.2241,-0.0497,0.0456,-0.0486,0.9965,1638.0000,1825.0000,1641.0000,-2.9096,-4.5089,,
0.3639,325,0,159.4955,-96.7181,512.7031,160.4269,-63.6393,491.2119,-0.0489,0.0479,-0.0484,0.9965,1625.0000,1825.0000,1636.0000,-2.7992,-4.5323,,
0.3725,325,0,161.4002,-94.2115,509.2710,162.2614,-61.1308,487.7798,-0.0476,0.0483,-0.0481,0.9965,1588.0000,1825.0000,1612.0000,-2.7768,-4.5426,,
0.3846,325,0,161.4002,-94.2115,509.2710,162.2614,-61.1308,487.7798,-0.0476,0.0483,-0.0481,0.9965,1583.0000,1825.0000,1616.0000,-2.7694,-4.5384,,
0.3958,325,0,161.9743,-92.8711,507.9284,162.8885,-59.7918,486.4373,-0.0466,0.0493,-0.0479,0.9965,1565.0000,1825.0000,1609.0000,-2.7619,-4.5407,,
0.4077,325,0,163.2122,-90.1081,505.2895,164.1147,-57.0284,483.7983,-0.0444,0.0501,-0.0476,0.9966,1533.0000,1825.0000,1594.0000,-2.7519,-4.5351,,
0.4200,325,0,164.3452,-89.1069,503.8698,165.2306,-56.0268,482.3787,-0.0436,0.0527,-0.0478,0.9965,1512.0000,1825.0000,1590.0000,-2.7096,-4.5111,,
0.4318,325,0,164.3452,-89.1069,503.8698,165.2306,-56.0268,482.3787,-0.0436,0.0527,-0.0478,0.9965,1506.0000,1825.0000,1593.0000,-2.3703,-4.3221,,
0.4405,325,0,165.7292,-88.8198,501.6179,166.5574,-55.7382,480.1268,-0.0441,0.0530,-0.0470,0.9965,1478.0000,1825.0000,1581.0000,-2.3703,-4.3221,,
0.4525,325,0,168.2224,-88.4735,497.5312,168.7187,-55.3853,476.0401,-0.0436,0.0550,-0.0436,0.9966,1426.0000,1825.0000,1557.0000,-2.0849,-4.1603,,
0.4640,325,0,168.2224,-88.4735,497.5312,168.7187,-55.3853,476.0401,-0.0436,0.0550,-0.0436,0.9966,1419.0000,1825.0000,1561.0000,-1.9393,-4.0811,,
0.4757,325,0,168.5589,-89.0979,496.4148,168.6986,-56.0062,474.9237,0.2684,0.1683,-0.1298,0.9396,1401.0000,1825.0000,1556.0000,-1.7624,-3.9913,,
0.4882,325,0,168.8861,-88.6749,493.1219,169.4053,-55.5869,471.6308,-0.0425,0.0563,-0.0414,0.9967,1358.0000,1825.0000,1536.0000,-1.5438,-3.8754,,
0.4968,325,0,168.8861,-88.6749,493.1219,169.4053,-55.5869,471.6308,-0.0425,0.0563,-0.0414,0.9967,1354.0000,1825.0000,1537.0000,-1.2670,-3.7693,,
0.5081,325,0,169.3039,-87.8944,491.7204,169.9398,-54.8085,470.2293,-0.0420,0.0560,-0.0423,0.9966,1334.0000,1825.0000,1530.0000,-1.1220,-3.7459,,
0.5201,325,0,169.6254,-86.6528,489.0639,170.2345,-53.5664,467.5728,-0.0423,0.0562,-0.0433,0.9966,1297.0000,1825.0000,1516.0000,-0.6168,-3.7280,,
0.5319,325,0,169.5181,-86.5948,487.8450,170.1518,-53.5089,466.3539,-0.0426,0.0562,-0.0430,0.9966,1278.0000,1826.0000,1511.0000,-0.1086,-3.7081,,
0.5438,325,0,169.5181,-86.5948,487.8450,170.1518,-53.5089,466.3539,-0.0426,0.0562,-0.0430,0.9966,1272.0000,1826.0000,1514.0000,0.3387,-3.6388,,
0.5558,325,0,168.6386,-86.4539,486.5587,169.2723,-53.3679,465.0676,-0.0424,0.0548,-0.0421,0.9967,1252.0000,1826.0000,1507.0000,0.9002,-3.4784,,
0.5644,325,0,164.1678,-85.6800,486.3900,164.5558,-52.5903,464.8989,-0.0406,0.0509,-0.0403,0.9971,1248.0000,1826.0000,1508.0000,0.9002,-3.4784,,
0.5762,325,0,164.1678,-85.6800,486.3900,164.5558,-52.5903,464.8989,-0.0406,0.0509,-0.0403,0.9971,1249.0000,1826.0000,1511.0000,1.3244,-3.4692,,
0.5881,325,0,162.1965,-84.8153,486.2119,162.6330,-51.7262,464.7208,-0.0397,0.0488,-0.0414,0.9972,1248.0000,1826.0000,1512.0000,1.5506,-3.3995,,
