{HEADER}
user_id: 790
target_id: 335
target_screen_position_mm: [119.96, 63.96]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 3.0399
endpoint_error_mm: [19.9774, -17.7835, 29.1238]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,335,0,157.1226,-45.1924,574.2507,163.2747,-12.6773,552.7596,-0.0503,-0.0364,-0.1285,0.9898,1886.0000,1821.0000,1837.0000,-4.4771,-1.1995,,
0.0123,335,0,157.8141,-43.9864,573.3377,163.8665,-11.4526,551.8466,-0.0484,-0.0356,-0.1286,0.9899,1886.0000,1821.0000,1837.0000,-4.4771,-1.1995,,
0.0240,335,0,157.8141,-43.9864,573.3377,163.8665,-11.4526,551.8466,-0.0484,-0.0356,-0.1286,0.9899,1886.0000,1821.0000,1837.0000,-4.4771,-1.1995,,
0.0365,335,0,159.5818,-41.8300,570.5399,165.7153,-9.3115,549.0488,-0.0470,-0.0345,-0.1279,0.9901,1886.0000,1821.0000,1837.0000,-4.4771,-1.1995,,
0.0476,335,0,162.2410,-39.6312,567.8012,168.1580,-7.0725,546.3101,-0.0457,-0.0338,-0.1262,0.9904,1884.0000,1821.0000,1837.0000,-4.4821,-1.2024,,
0.0595,335,0,162.2410,-39.6312,567.8012,168.1580,-7.0725,546.3101,-0.0457,-0.0338,-0.1262,0.9904,1883.0000,1821.0000,1837.0000,-4.4923,-1.2082,,
0.0680,335,0,163.6747,-38.4964,565.9438,169.5998,-5.9392,544.4528,-0.0454,-0.0319,-0.1256,0.9905,1863.0000,1821.0000,1836.0000,-4.5354,-1.2326,,
0.0795,335,0,167.3546,-36.7782,561.8010,173.1479,-4.1973,540.3099,-0.0453,-0.0301,-0.1233,0.9909,1812.0000,1821.0000,1834.0000,-4.6594,-1.3029,,
0.0915,335,0,167.3546,-36.7782,561.8010,173.1479,-4.1973,540.3099,-0.0453,-0.0301,-0.1233,0.9909,1808.0000,1821.0000,1834.0000,-4.7566,-1.3539,,
0.1037,335,0,170.1757,-36.1183,560.4816,175.6656,-3.4849,538.9905,-0.0452,-0.0301,-0.1220,0.9910,1788.0000,1821.0000,1834.0000,-4.7754,-1.3404,,
0.1158,335,0,174.9973,-34.8605,555.6608,180.4631,-2.2230,534.1697,-0.0433,-0.0268,-0.1202,0.9914,1719.0000,1821.0000,1832.0000,-4.8039,-1.3242,,
0.1275,335,0,174.9973,-34.8605,555.6608,180.4631,-2.2230,534.1697,-0.0433,-0.0268,-0.1202,0.9914,1713.0000,1821.0000,1832.0000,-4.8096,-1.3153,,
0.1363,335,0,177.9331,-33.8244,553.2284,183.6306,-1.2266,531.7373,-0.0427,-0.0252,-0.1198,0.9916,1674.0000,1821.0000,1832.0000,-4.7843,-1.3010,,
0.1473,335,0,177.9331,-33.8244,553.2284,183.6306,-1.2266,531.7373,-0.0427,-0.0252,-0.1198,0.9916,1670.0000,1821.0000,1832.0000,-4.7843,-1.3010,,
0.1593,335,0,182.6626,-33.5408,547.7380,188.1327,-0.9040,526.2469,-0.0418,-0.0212,-0.1189,0.9918,1583.0000,1821.0000,1831.0000,-4.7691,-1.2924,,
0.1714,335,0,187.4144,-32.7363,542.6298,192.8059,-0.0865,521.1387,-0.0418,-0.0193,-0.1175,0.9920,1498.0000,1821.0000,1831.0000,-4.7388,-1.2752,,
0.1833,335,0,189.1719,-32.2309,539.6609,194.4447,0.4384,518.1699,-0.0410,-0.0174,-0.1174,0.9921,1443.0000,1821.0000,1831.0000,-4.6451,-1.2221,,
0.1916,335,0,189.1719,-32.2309,539.6609,194.4447,0.4384,518.1699,-0.0410,-0.0174,-0.1174,0.9921,1435.0000,1821.0000,1832.0000,-4.3915,-1.0783,,
0.2033,335,0,191.2519,-31.3342,536.7034,196.5365,1.3332,515.2123,-0.0403,-0.0160,-0.1171,0.9922,1377.0000,1821.0000,1832.0000,-3.9919,-0.8519,,
0.2153,335,0,191.2519,-31.3342,536.7034,196.5365,1.3332,515.2123,-0.0403,-0.0160,-0.1171,0.9922,1368.0000,1821.0000,1834.0000,-3.8132,-0.7506,,
0.2272,335,0,195.2185,-29.9772,530.8383,200.3331,2.7172,509.3471,-0.0394,-0.0130,-0.1158,0.9924,1261.0000,1821.0000,1834.0000,-3.4266,-0.5119,,
0.2394,335,0,196.9682,-30.1699,526.5202,201.9321,2.5477,505.0291,-0.0378,-0.0129,-0.1129,0.9928,1177.0000,1821.0000,1837.0000,-3.3188,-0.4475,,
0.2515,335,0,196.9682,-30.1699,526.5202,201.9321,2.5477,505.0291,-0.0378,-0.0129,-0.1129,0.9928,1164.0000,1821.0000,1837.0000,-2.9225,-0.2228,,
0.2598,335,0,196.8261,-30.2300,524.3391,201.8351,2.4807,502.8480,-0.0367,-0.0132,-0.1116,0.9930,1120.0000,1821.0000,1837.0000,-2.7418,-0.1172,,
0.2714,335,0,197.0141,-28.2342,519.8172,202.1027,4.4642,498.3261,-0.0357,-0.0126,-0.1126,0.9929,1030.0000,1821.0000,1837.0000,-2.3197,0.1580,,
0.2833,335,0,197.0141,-28.2342,519.8172,202.1027,4.4642,498.3261,-0.0357,-0.0126,-0.1126,0.9929,1019.0000,1821.0000,1837.0000,-1.9210,0.4618,,
0.2954,335,0,197.3494,-27.0907,517.5657,202.3988,5.6137,496.0746,-0.0357,-0.0123,-0.1123,0.9930,968.0000,1821.0000,1837.0000,-1.5154,0.7596,,
0.3073,335,0,197.6436,-27.2617,513.4830,202.4170,5.4842,491.9919,-0.0346,-0.0133,-0.1087,0.9934,885.0000,1821.0000,1837.0000,-1.2377,0.9660,,
0.3157,335,0,197.6436,-27.2617,513.4830,202.4170,5.4842,491.9919,-0.0346,-0.0133,-0.1087,0.9934,879.0000,1821.0000,1837.0000,-1.1406,1.0602,,
0.3276,335,0,197.1142,-27.6428,510.7466,201.8930,5.1023,489.2555,-0.0353,-0.0131,-0.1077,0.9935,822.0000,1821.0000,1837.0000,-0.8566,1.3224,,
0.3396,335,0,197.1142,-27.6428,510.7466,201.8930,5.1023,489.2555,-0.0353,-0.0131,-0.1077,0.9935,815.0000,1821.0000,1837.0000,-0.4247,1.6505,,
0.3515,335,0,196.3296,-26.4886,507.4326,201.1871,6.2449,485.9415,-0.0333,-0.0154,-0.1086,0.9934,777.0000,1821.0000,1838.0000,0.4303,2.3196,,
0.3635,335,0,196.4945,-26.0088,502.5842,201.1836,6.7492,481.0931,-0.0326,-0.0165,-0.1077,0.9935,774.0000,1821.0000,1838.0000,0.7266,2.5983,,
0.3752,335,0,196.4945,-26.0088,502.5842,201.1836,6.7492,481.0931,-0.0326,-0.0165,-0.1077,0.9935,767.0000,1821.0000,1838.0000,1.2824,3.1142,,
0.3836,335,0,195.9819,-28.3489,500.4272,200.5154,4.4310,478.9361,-0.0335,-0.0172,-0.1044,0.9938,763.0000,1821.0000,1838.0000,1.5846,3.3799,,
0.3952,335,0,192.6489,-33.4895,497.1649,196.7956,-0.6583,475.6738,-0.0351,-0.0208,-0.0981,0.9943,757.0000,1821.0000,1838.0000,2.1270,3.8272,,
0.4079,335,0,192.6489,-33.4895,497.1649,196.7956,-0.6583,475.6738,-0.0351,-0.0208,-0.0981,0.9943,753.0000,1821.0000,1839.0000,2.4760,4.2496,,
0.4196,335,0,190.3873,-36.9581,495.8333,194.3636,-4.1058,474.3421,-0.0381,-0.0228,-0.0970,0.9943,752.0000,1821.0000,1839.0000,2.5684,4.3506,,
0.4313,335,0,185.3159,-43.1584,493.0534,189.0023,-10.2724,471.5623,-0.0411,-0.0282,-0.0934,0.9944,749.0000,1821.0000,1838.0000,2.8316,4.6172,,
0.4433,335,0,185.3159,-43.1584,493.0534,189.0023,-10.2724,471.5623,-0.0411,-0.0282,-0.0934,0.9944,746.0000,1821.0000,1818.0000,3.0406,4.8182,,
0.4519,335,0,184.0280,-44.8390,491.6631,187.7363,-11.9555,470.1720,-0.0418,-0.0293,-0.0922,0.9944,746.0000,1821.0000,1807.0000,3.0851,4.9397,,
0.4634,335,0,181.8270,-48.8538,487.4958,185.2551,-15.9398,466.0047,-0.0445,-0.0318,-0.0887,0.9946,744.0000,1821.0000,1788.0000,3.2491,5.1425,,
0.4756,335,0,181.8270,-48.8538,487.4958,185.2551,-15.9398,466.0047,-0.0445,-0.0318,-0.0887,0.9946,742.0000,1821.0000,1767.0000,3.3964,5.2632,,
0.4873,335,0,180.2178,-50.2554,484.5354,183.6039,-17.3372,463.0443,-0.0454,-0.0309,-0.0882,0.9946,742.0000,1821.0000,1749.0000,3.4419,5.2906,,
0.4998,335,0,177.7859,-54.5689,480.4376,180.9845,-21.6319,458.9464,-0.0481,-0.0336,-0.0869,0.9945,739.0000,1821.0000,1727.0000,3.6750,5.4227,,
0.5084,335,0,177.7859,-54.5689,480.4376,180.9845,-21.6319,458.9464,-0.0481,-0.0336,-0.0869,0.9945,738.0000,1821.0000,1710.0000,3.7892,5.4794,,
0.5196,335,0,175.2604,-56.7311,477.8822,178.3483,-23.7835,456.3911,-0.0490,-0.0339,-0.0854,0.9946,735.0000,1821.0000,1689.0000,4.0271,5.6037,,
0.5317,335,0,171.1489,-57.9747,474.4629,174.2542,-25.0288,452.9717,-0.0491,-0.0366,-0.0843,0.9946,734.0000,1821.0000,1665.0000,4.1133,5.6485,,
0.5436,335,0,171.1489,-57.9747,474.4629,174.2542,-25.0288,452.9717,-0.0491,-0.0366,-0.0843,0.9946,734.0000,1821.0000,1647.0000,4.1712,5.6813,,
0.5556,335,0,167.9958,-59.6750,473.4814,171.0987,-26.7289,451.9903,-0.0502,-0.0388,-0.0839,0.9945,732.0000,1821.0000,1631.0000,4.2843,5.7422,,
0.5678,335,0,161.3363,-60.3417,470.6811,164.4760,-27.3990,449.1900,-0.0499,-0.0432,-0.0855,0.9942,732.0000,1821.0000,1611.0000,4.2926,5.7437,,
0.5763,335,0,161.3363,-60.3417,470.6811,164.4760,-27.3990,449.1900,-0.0499,-0.0432,-0.0855,0.9942,732.0000,1821.0000,1601.0000,4.3064,5.7515,,
0.5873,335,0,158.1051,-60.8149,469.5430,161.3081,-27.8783,448.0519,-0.0493,-0.0445,-0.0857,0.9941,732.0000,1821.0000,1588.0000,4.3119,5.7514,,
