{HEADER}
user_id: 790
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [-0.06, 33.09, 21.49]
completion_time: 6.1435
endpoint_error_mm: [-5.2540, 7.7510, 28.5395]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.201843, 12.199990, 12.138453, 7.347800]
control_points_accel: [-0.394181, -0.770353, -3.964669, 5.129203]
stiffness_measurements: [0.196251, 0.271653, 0.229283, 0.129463]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,156.0744,-78.9712,449.4172,156.9029,-45.8896,427.9261,-0.0235,0.0392,-0.0447,0.9980,1892.0000,1831.0000,1835.0000,0.3981,-8.6534,,
0.0119,354,0,155.9780,-79.0069,449.1838,156.8369,-45.9261,427.6927,-0.0239,0.0399,-0.0446,0.9979,1891.0000,1831.0000,1835.0000,0.3981,-8.6534,,
0.0248,354,0,156.0281,-78.9534,448.9149,156.6112,-45.8666,427.4237,-0.0234,0.0394,-0.0439,0.9980,1889.0000,1831.0000,1834.0000,0.3981,-8.6534,,
0.0355,354,0,155.9984,-78.9020,448.8099,156.6280,-45.8160,427.3188,-0.0231,0.0392,-0.0439,0.9980,1888.0000,1831.0000,1834.0000,0.3981,-8.6534,,
0.0443,354,0,155.9984,-78.9020,448.8099,156.6280,-45.8160,427.3188,-0.0231,0.0392,-0.0439,0.9980,1887.0000,1831.0000,1833.0000,0.3981,-8.6534,,
0.0559,354,0,155.9282,-78.8643,448.5329,156.6909,-45.7811,427.0418,-0.0236,0.0393,-0.0441,0.9980,1884.0000,1831.0000,1832.0000,0.3981,-8.6534,,
0.0674,354,0,155.9282,-78.8643,448.5329,156.6909,-45.7811,427.0418,-0.0236,0.0393,-0.0441,0.9980,1883.0000,1831.0000,1831.0000,0.3981,-8.6534,,
0.0795,354,0,155.7470,-78.7367,448.2363,156.4690,-45.6526,426.7452,-0.0233,0.0398,-0.0444,0.9979,1879.0000,1831.0000,1830.0000,0.4005,-8.6520,,
0.0914,354,0,155.8704,-78.9081,448.1569,156.5408,-45.8229,426.6658,-0.0234,0.0397,-0.0440,0.9980,1878.0000,1831.0000,1829.0000,0.4005,-8.6520,,
0.1034,354,0,155.7164,-78.9369,448.0085,156.4586,-45.8533,426.5173,-0.0238,0.0400,-0.0439,0.9979,1876.0000,1831.0000,1828.0000,0.4005,-8.6520,,
0.1121,354,0,155.7164,-78.9369,448.0085,156.4586,-45.8533,426.5173,-0.0238,0.0400,-0.0439,0.9979,1875.0000,1831.0000,1828.0000,0.4005,-8.6520,,
0.1248,354,0,155.6381,-78.8877,447.9066,156.3853,-45.8042,426.4155,-0.0243,0.0398,-0.0438,0.9979,1874.0000,1831.0000,1827.0000,0.4005,-8.6520,,
0.1361,354,0,155.5464,-79.0894,447.8216,156.5551,-46.0127,426.3305,-0.0233,0.0398,-0.0448,0.9979,1872.0000,1831.0000,1826.0000,0.4030,-8.6506,,
0.1474,354,0,155.5772,-79.1013,447.7953,156.5959,-46.0250,426.3042,-0.0237,0.0397,-0.0447,0.9979,1871.0000,1831.0000,1826.0000,0.4078,-8.6478,,
0.1594,354,0,155.5772,-79.1013,447.7953,156.5959,-46.0250,426.3042,-0.0237,0.0397,-0.0447,0.9979,1871.0000,1831.0000,1826.0000,0.4323,-8.6340,,
0.1714,354,0,155.5527,-79.2795,447.7942,156.4603,-46.1999,426.3030,-0.0235,0.0397,-0.0445,0.9979,1871.0000,1831.0000,1826.0000,0.5178,-8.5855,,
0.1800,354,0,155.2988,-79.2199,447.8229,156.8062,-46.1623,426.3318,-0.4918,0.3592,0.1971,0.7683,1871.0000,1831.0000,1826.0000,0.5398,-8.5763,,
0.1918,354,0,155.2988,-79.2199,447.8229,156.8062,-46.1623,426.3318,-0.4918,0.3592,0.1971,0.7683,1871.0000,1831.0000,1825.0000,0.5472,-8.5722,,
0.2037,354,0,155.0770,-79.1799,447.5602,155.7511,-46.0948,426.0691,-0.0240,0.0387,-0.0439,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5722,,
0.2154,354,0,154.2512,-79.1728,447.7609,154.9429,-46.0880,426.2698,-0.0238,0.0388,-0.0438,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5722,,
0.2274,354,0,154.1389,-78.9553,447.8650,154.8327,-45.8706,426.3739,-0.0240,0.0383,-0.0441,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5722,,
0.2360,354,0,154.1389,-78.9553,447.8650,154.8327,-45.8706,426.3739,-0.0240,0.0383,-0.0441,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5722,,
0.2472,354,0,154.0610,-78.7402,447.8222,154.7874,-45.6562,426.3311,-0.0239,0.0383,-0.0447,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5722,,
0.2594,354,0,154.0910,-78.7955,447.9022,154.8347,-45.7119,426.4111,-0.0233,0.0384,-0.0446,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5754,,
0.2721,354,0,154.0910,-78.7955,447.9022,154.8347,-45.7119,426.4111,-0.0233,0.0384,-0.0446,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5787,,
0.2837,354,0,154.1478,-78.8203,447.7157,154.8769,-45.7364,426.2246,-0.0232,0.0389,-0.0443,0.9980,1867.0000,1831.0000,1824.0000,0.5472,-8.5886,,
0.2955,354,0,154.2868,-78.8431,447.4549,155.0048,-45.7589,425.9638,-0.0233,0.0390,-0.0444,0.9980,1866.0000,1831.0000,1823.0000,0.5472,-8.6116,,
0.3045,354,0,154.2868,-78.8431,447.4549,155.0048,-45.7589,425.9638,-0.0233,0.0390,-0.0444,0.9980,1866.0000,1831.0000,1823.0000,0.5472,-8.6314,,
0.3154,354,0,154.2365,-78.6817,447.5093,155.2880,-45.6064,426.0182,0.2664,0.2099,-0.1371,0.9307,1866.0000,1831.0000,1823.0000,0.5472,-8.6512,,
0.3274,354,0,153.9985,-78.2510,446.9806,154.8002,-45.1687,425.4895,-0.0231,0.0383,-0.0450,0.9980,1860.0000,1831.0000,1820.0000,0.5472,-8.6709,,
0.3395,354,0,153.9740,-78.0507,447.1413,154.8808,-44.9712,425.6502,-0.0228,0.0384,-0.0449,0.9980,1860.0000,1831.0000,1820.0000,0.5472,-8.6973,,
0.3516,354,0,153.9740,-78.0507,447.1413,154.8808,-44.9712,425.6502,-0.0228,0.0384,-0.0449,0.9980,1860.0000,1831.0000,1820.0000,0.5545,-8.7260,,
0.3603,354,0,153.8776,-78.0103,446.8924,154.8173,-44.9317,425.4012,-0.0223,0.0384,-0.0448,0.9980,1858.0000,1831.0000,1820.0000,0.5570,-8.7477,,
0.3715,354,0,153.8974,-77.5587,446.7945,154.7161,-44.4769,425.3033,-0.0216,0.0379,-0.0445,0.9981,1857.0000,1831.0000,1819.0000,0.5619,-8.7944,,
0.3833,354,0,153.8974,-77.5587,446.7945,154.7161,-44.4769,425.3033,-0.0216,0.0379,-0.0445,0.9981,1857.0000,1831.0000,1819.0000,0.5668,-8.8081,,
0.3960,354,0,153.6223,-77.2390,446.8514,154.2554,-44.1530,425.3603,-0.0216,0.0386,-0.0443,0.9980,1857.0000,1831.0000,1819.0000,0.5790,-8.8110,,
0.4073,354,0,153.2911,-76.0747,446.5244,154.1180,-42.9930,425.0332,-0.0208,0.0384,-0.0446,0.9981,1853.0000,1831.0000,1817.0000,0.5961,-8.8046,,
0.4199,354,0,153.2934,-75.5078,446.4071,154.0778,-42.4251,424.9160,-0.0206,0.0378,-0.0449,0.9981,1852.0000,1831.0000,1817.0000,0.6035,-8.8005,,
0.4286,354,0,153.2934,-75.5078,446.4071,154.0778,-42.4251,424.9160,-0.0206,0.0378,-0.0449,0.9981,1852.0000,1831.0000,1817.0000,0.6084,-8.8010,,
0.4394,354,0,153.3263,-75.4324,446.2948,154.1493,-42.3506,424.8037,-0.0201,0.0377,-0.0450,0.9981,1850.0000,1831.0000,1816.0000,0.6304,-8.7885,,
0.4513,354,0,153.3263,-75.4324,446.2948,154.1493,-42.3506,424.8037,-0.0201,0.0377,-0.0450,0.9981,1850.0000,1831.0000,1816.0000,0.6378,-8.7843,,
0.4633,354,0,153.3972,-75.5794,446.0422,154.3050,-42.4999,424.5511,-0.0194,0.0380,-0.0447,0.9981,1847.0000,1831.0000,1815.0000,0.6427,-8.7815,,
0.4754,354,0,153.6162,-75.9329,445.8281,154.4937,-42.8526,424.3369,-0.0192,0.0382,-0.0440,0.9981,1844.0000,1831.0000,1814.0000,0.6427,-8.7815,,
0.4874,354,0,153.6612,-76.0008,445.4334,154.5311,-42.9203,423.9423,-0.0200,0.0384,-0.0442,0.9981,1838.0000,1831.0000,1811.0000,0.6427,-8.7815,,
0.4970,354,0,153.6612,-76.0008,445.4334,154.5311,-42.9203,423.9423,-0.0200,0.0384,-0.0442,0.9981,1838.0000,1831.0000,1811.0000,0.6500,-8.7774,,
0.5073,354,0,153.8269,-75.8181,445.1444,154.6150,-42.7355,423.6533,-0.0192,0.0388,-0.0446,0.9981,1834.0000,1831.0000,1810.0000,0.6622,-8.7704,,
0.5194,354,0,154.3793,-75.8646,444.7707,155.1864,-42.7825,423.2796,-0.0190,0.0385,-0.0447,0.9981,1829.0000,1831.0000,1808.0000,0.6966,-8.7510,,
0.5323,354,0,154.3912,-75.9724,444.0152,155.3087,-42.8932,422.5241,-0.0196,0.0388,-0.0444,0.9981,1819.0000,1831.0000,1803.0000,0.7309,-8.7316,,
