{HEADER}
user_id: 791
target_id: 056
target_screen_position_mm: [-71.92, -79.88]
fingertip_offset: [0.40, 33.44, 23.16]
completion_time: 6.4101
endpoint_error_mm: [-10.4140, 7.0264, 27.7982]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [10.927567, 9.985579, 10.120739, 9.858398]
control_points_accel: [-1.954779, 1.386970, -0.973794, 1.541603]
stiffness_measurements: [0.226669, 0.155536, 0.122788, 0.348330]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,56,0,114.6567,59.5492,573.4850,116.3165,92.9553,550.3289,-0.0702,0.2080,-0.0318,0.9751,1856.0000,1798.0000,1818.0000,6.0466,-4.9047,,
0.0113,56,0,114.1795,60.0721,573.1068,115.6959,93.4850,549.9507,-0.0707,0.2080,-0.0320,0.9750,1856.0000,1798.0000,1818.0000,6.0466,-4.9047,,
0.0227,56,0,113.7383,60.2325,572.6750,115.1078,93.6518,549.5190,-0.0695,0.2087,-0.0324,0.9750,1856.0000,1798.0000,1818.0000,6.0493,-4.9031,,
0.0330,56,0,113.7383,60.2325,572.6750,115.1078,93.6518,549.5190,-0.0695,0.2087,-0.0324,0.9750,1856.0000,1798.0000,1818.0000,6.0493,-4.9031,,
0.0420,56,0,114.0084,60.4315,572.3073,115.5018,93.8455,549.1512,-0.0699,0.2079,-0.0324,0.9751,1856.0000,1798.0000,1818.0000,6.0493,-4.9031,,
0.0539,56,0,114.0084,60.4315,572.3073,115.5018,93.8455,549.1512,-0.0699,0.2079,-0.0324,0.9751,1856.0000,1798.0000,1818.0000,6.0493,-4.9031,,
0.0659,56,0,114.0955,60.4790,570.9307,115.6667,93.8894,547.7746,-0.0691,0.2079,-0.0329,0.9752,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.0782,56,0,114.7835,60.3941,570.6028,116.3596,93.8043,547.4467,-0.0697,0.2095,-0.0329,0.9748,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.0868,56,0,114.7835,60.3941,570.6028,116.3596,93.8043,547.4467,-0.0697,0.2095,-0.0329,0.9748,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.0983,56,0,115.2753,60.2812,569.7512,116.8589,93.6910,546.5952,-0.0693,0.2093,-0.0331,0.9748,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1100,56,0,116.0501,60.1681,568.8766,117.7057,93.5744,545.7206,-0.0696,0.2103,-0.0336,0.9746,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1223,56,0,116.2702,60.1164,568.7432,117.8309,93.5273,545.5872,-0.0704,0.2108,-0.0338,0.9744,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1341,56,0,116.2702,60.1164,568.7432,117.8309,93.5273,545.5872,-0.0704,0.2108,-0.0338,0.9744,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1461,56,0,116.6760,60.3682,568.0816,118.2501,93.7785,544.9255,-0.0710,0.2100,-0.0342,0.9745,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1549,56,0,116.9340,60.2947,567.1077,118.5407,93.7034,543.9516,-0.0701,0.2112,-0.0351,0.9743,1856.0000,1798.0000,1818.0000,6.0458,-4.9012,,
0.1658,56,0,116.9340,60.2947,567.1077,118.5407,93.7034,543.9516,-0.0701,0.2112,-0.0351,0.9743,1856.0000,1798.0000,1818.0000,6.0485,-4.8996,,
0.1780,56,0,117.4042,60.4240,566.1876,119.1365,93.8265,543.0315,-0.0699,0.2114,-0.0346,0.9743,1856.0000,1798.0000,1818.0000,6.0485,-4.8965,,
