{HEADER}
user_id: 795
target_id: 111
target_screen_position_mm: [-104.04, -48.04]
fingertip_offset: [0.63, 33.38, 23.53]
completion_time: 4.4714
endpoint_error_mm: [-13.9126, -1.3396, 27.8125]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [8.416233, 12.234168, 13.635418, 6.455830]
control_points_accel: [-0.914396, 0.574472, -7.260165, 7.600089]
stiffness_measurements: [0.288490, 0.289500, 0.219428, 0.294233]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,111,0,-24.6778,57.1124,681.4837,-25.6361,90.4824,657.9557,-0.0490,0.1329,0.0050,0.9899,1865.0000,1209.0000,1839.0000,3.5679,9.5664,,
0.0118,111,0,-23.9541,57.3014,681.7906,-23.9461,90.6852,658.2627,0.6692,0.0289,-0.5271,0.5230,1865.0000,1248.0000,1839.0000,3.5679,9.5664,,
0.0236,111,0,-23.9541,57.3014,681.7906,-23.9461,90.6852,658.2627,0.6692,0.0289,-0.5271,0.5230,1865.0000,1292.0000,1839.0000,2.9831,9.8978,,
0.0357,111,0,-22.9789,57.8140,681.6747,-24.2413,91.1739,658.1468,-0.0505,0.1330,0.0064,0.9898,1865.0000,1333.0000,1839.0000,0.7812,11.1683,,
0.0445,111,0,-21.5185,58.0789,681.3496,-22.6884,91.4422,657.8217,-0.0476,0.1352,0.0071,0.9897,1865.0000,1352.0000,1839.0000,0.7812,11.1683,,
0.0553,111,0,-21.5185,58.0789,681.3496,-22.6884,91.4422,657.8217,-0.0476,0.1352,0.0071,0.9897,1858.0000,1378.0000,1840.0000,-0.0850,11.8881,,
0.0675,111,0,-19.3214,58.7524,680.2476,-20.3450,92.1205,656.7197,-0.0485,0.1349,0.0071,0.9896,1836.0000,1384.0000,1840.0000,-0.0795,12.0107,,
0.0796,111,0,-2.6566,45.2645,678.3301,-2.7687,78.6481,654.8022,-0.0542,0.1489,-0.0089,0.9873,1812.0000,1382.0000,1840.0000,-0.0760,12.0087,,
0.0916,111,0,2.8706,35.5413,682.4420,2.7470,68.9249,658.9141,-0.0623,0.1525,-0.0082,0.9863,1787.0000,1422.0000,1840.0000,-0.0620,12.0008,,
0.1035,111,0,2.8706,35.5413,682.4420,2.7470,68.9249,658.9141,-0.0623,0.1525,-0.0082,0.9863,1766.0000,1466.0000,1840.0000,-0.0585,11.9988,,
0.1134,111,0,6.8465,33.1182,681.6588,6.3391,66.4981,658.1309,-0.0631,0.1545,-0.0035,0.9860,1753.0000,1493.0000,1840.0000,-0.0270,11.9809,,
0.1236,111,0,11.7006,33.8307,680.2462,11.2512,67.2115,656.7183,-0.0647,0.1572,-0.0011,0.9855,1738.0000,1522.0000,1840.0000,0.0516,11.9461,,
0.1357,111,0,11.7006,33.8307,680.2462,11.2512,67.2115,656.7183,-0.0647,0.1572,-0.0011,0.9855,1719.0000,1555.0000,1840.0000,0.0819,11.9354,,
0.1476,111,0,12.2274,33.9759,680.0446,11.6076,67.3539,656.5166,-0.0650,0.1579,-0.0014,0.9853,1705.0000,1579.0000,1840.0000,0.1006,11.9540,,
0.1598,111,0,13.7923,34.3786,677.5513,13.2514,67.7580,654.0234,-0.0626,0.1583,-0.0029,0.9854,1688.0000,1597.0000,1840.0000,0.1369,11.9627,,
0.1684,111,0,13.7923,34.3786,677.5513,13.2514,67.7580,654.0234,-0.0626,0.1583,-0.0029,0.9854,1680.0000,1609.0000,1840.0000,0.1563,11.9776,,
0.1803,111,0,14.3908,35.0624,677.1718,13.9259,68.4429,653.6439,-0.0631,0.1598,-0.0025,0.9851,1669.0000,1624.0000,1840.0000,0.2349,12.0142,,
0.1916,111,0,15.5429,32.5275,676.2540,15.2529,65.9100,652.7260,-0.0658,0.1609,-0.0035,0.9848,1656.0000,1632.0000,1840.0000,0.2843,12.0415,,
0.2035,111,0,15.5429,32.5275,676.2540,15.2529,65.9100,652.7260,-0.0658,0.1609,-0.0035,0.9848,1649.0000,1647.0000,1840.0000,0.4022,12.0884,,
0.2155,111,0,15.9865,31.7349,675.2285,15.4245,65.1140,651.7005,-0.0651,0.1612,-0.0029,0.9848,1638.0000,1654.0000,1840.0000,0.5644,12.1169,,
0.2274,111,0,16.3065,29.5414,673.2142,14.6732,62.8852,649.6862,-0.6302,0.2264,0.2554,0.6974,1623.0000,1655.0000,1840.0000,0.5937,12.1296,,
0.2360,111,0,16.3065,29.5414,673.2142,14.6732,62.8852,649.6862,-0.6302,0.2264,0.2554,0.6974,1622.0000,1661.0000,1840.0000,0.6569,12.1654,,
0.2475,111,0,15.8955,28.6075,672.5859,15.3077,61.9861,649.0579,-0.0675,0.1613,-0.0022,0.9846,1618.0000,1666.0000,1840.0000,0.7719,12.2370,,
0.2593,111,0,15.0645,26.1073,670.9235,14.3681,59.4838,647.3956,-0.0675,0.1616,-0.0046,0.9845,1607.0000,1668.0000,1840.0000,0.8324,12.2777,,
0.2718,111,0,15.2495,24.5699,669.4603,14.5655,57.9467,645.9324,-0.0682,0.1619,-0.0048,0.9844,1600.0000,1670.0000,1840.0000,0.9590,12.3495,,
0.2834,111,0,15.2495,24.5699,669.4603,14.5655,57.9467,645.9324,-0.0682,0.1619,-0.0048,0.9844,1602.0000,1677.0000,1840.0000,1.0080,12.3773,,
0.2924,111,0,14.9764,22.1526,668.3727,14.2841,55.5292,644.8448,-0.0676,0.1612,-0.0061,0.9846,1597.0000,1678.0000,1840.0000,1.1627,12.4531,,
0.3034,111,0,14.9764,22.1526,668.3727,14.2841,55.5292,644.8448,-0.0676,0.1612,-0.0061,0.9846,1600.0000,1684.0000,1840.0000,1.2338,12.4815,,
0.3155,111,0,12.3621,17.8388,666.9948,12.2421,51.2223,643.4669,-0.0695,0.1609,-0.0110,0.9845,1595.0000,1685.0000,1840.0000,1.2658,12.4797,,
0.3276,111,0,11.4608,13.9009,665.0040,11.4635,47.2847,641.4760,-0.0695,0.1617,-0.0150,0.9843,1592.0000,1685.0000,1840.0000,1.2785,12.4790,,
0.3400,111,0,11.9072,11.7156,663.4368,11.9211,45.0994,639.9088,-0.0714,0.1614,-0.0164,0.9842,1594.0000,1688.0000,1840.0000,1.2918,12.4945,,
0.3515,111,0,11.9072,11.7156,663.4368,11.9211,45.0994,639.9088,-0.0714,0.1614,-0.0164,0.9842,1602.0000,1695.0000,1840.0000,1.3206,12.5108,,
0.3602,111,0,12.5763,9.6425,662.1677,12.7274,43.0259,638.6398,-0.0716,0.1619,-0.0182,0.9840,1601.0000,1696.0000,1840.0000,1.3611,12.5434,,
0.3714,111,0,12.5763,9.6425,662.1677,12.7274,43.0259,638.6398,-0.0716,0.1619,-0.0182,0.9840,1607.0000,1704.0000,1840.0000,1.3935,12.5643,,
0.3835,111,0,15.9644,5.4883,659.1297,22.9513,38.1328,635.6017,-0.2156,0.4485,0.0539,0.8657,1597.0000,1706.0000,1840.0000,1.4478,12.6022,,
0.3955,111,0,19.0355,1.2196,656.0226,19.2803,34.6025,632.4946,-0.0769,0.1671,-0.0179,0.9828,1577.0000,1729.0000,1840.0000,1.5117,12.5988,,
0.4074,111,0,20.3957,-1.0226,655.2975,20.8452,32.3582,631.7696,-0.0770,0.1682,-0.0182,0.9826,1577.0000,1748.0000,1840.0000,1.5321,12.5905,,
0.4195,111,0,20.3957,-1.0226,655.2975,20.8452,32.3582,631.7696,-0.0770,0.1682,-0.0182,0.9826,1579.0000,1766.0000,1840.0000,1.6293,12.5584,,
0.4282,111,0,22.1685,-2.3343,652.6143,22.2903,31.0492,629.0863,-0.0781,0.1691,-0.0181,0.9823,1568.0000,1777.0000,1840.0000,1.7664,12.5332,,
0.4395,111,0,25.4962,-4.3777,649.6861,25.7126,29.0054,626.1581,-0.0803,0.1715,-0.0180,0.9817,1555.0000,1794.0000,1840.0000,2.0042,12.4542,,
0.4515,111,0,25.4962,-4.3777,649.6861,25.7126,29.0054,626.1581,-0.0803,0.1715,-0.0180,0.9817,1553.0000,1815.0000,1840.0000,2.3340,12.3920,,
0.4635,111,0,27.2677,-4.6279,646.8084,27.4276,28.7555,623.2805,-0.0805,0.1718,-0.0177,0.9817,1536.0000,1826.0000,1840.0000,2.5348,12.3834,,
0.4755,111,0,29.8108,-5.5383,644.0563,29.8703,27.8454,620.5283,-0.0818,0.1756,-0.0168,0.9809,1520.0000,1826.0000,1840.0000,3.0698,12.3236,,
0.4842,111,0,29.8108,-5.5383,644.0563,29.8703,27.8454,620.5283,-0.0818,0.1756,-0.0168,0.9809,1515.0000,1826.0000,1840.0000,3.4796,12.3352,,
0.4956,111,0,30.3231,-5.2987,641.1055,30.3839,28.0851,617.5775,-0.0825,0.1729,-0.0155,0.9814,1494.0000,1826.0000,1840.0000,3.6028,12.3578,,
0.5076,111,0,29.3542,-5.4869,637.4595,29.1404,27.8962,613.9316,-0.0815,0.1727,-0.0148,0.9815,1470.0000,1827.0000,1840.0000,3.8500,12.4192,,
0.5198,111,0,29.3542,-5.4869,637.4595,29.1404,27.8962,613.9316,-0.0815,0.1727,-0.0148,0.9815,1466.0000,1827.0000,1840.0000,4.1488,12.4351,,
0.5315,111,0,28.6936,-5.1028,635.7401,28.5719,28.2807,612.2121,-0.0815,0.1722,-0.0152,0.9816,1456.0000,1827.0000,1840.0000,4.5386,12.4792,,
0.5435,111,0,26.9694,-5.0032,631.6168,26.6674,28.3793,608.0889,-0.0815,0.1703,-0.0155,0.9819,1433.0000,1827.0000,1840.0000,4.8683,12.5247,,
0.5522,111,0,26.9694,-5.0032,631.6168,26.6674,28.3793,608.0889,-0.0815,0.1703,-0.0155,0.9819,1435.0000,1827.0000,1840.0000,5.0298,12.5495,,
0.5635,111,0,25.9129,-6.0502,630.3593,25.8526,27.3335,606.8314,-0.0811,0.1713,-0.0166,0.9817,1429.0000,1827.0000,1840.0000,5.2037,12.5108,,
0.5756,111,0,24.5099,-6.6381,625.8120,24.3445,26.7453,602.2841,-0.0816,0.1689,-0.0163,0.9821,1411.0000,1827.0000,1840.0000,5.3656,12.5554,,
0.5875,111,0,24.5099,-6.6381,625.8120,24.3445,26.7453,602.2841,-0.0816,0.1689,-0.0163,0.9821,1417.0000,1827.0000,1840.0000,5.4772,12.6187,,
0.5994,111,0,23.8004,-7.4892,623.4707,23.6893,25.8944,599.9427,-0.0811,0.1683,-0.0177,0.9822,1413.0000,1827.0000,1840.0000,5.6446,12.7446,,
0.6113,111,0,23.3987,-8.1800,619.4396,23.4898,25.2036,595.9116,-0.0819,0.1696,-0.0209,0.9819,1399.0000,1827.0000,1840.0000,5.6441,12.7901,,
0.6200,111,0,23.3987,-8.1800,619.4396,23.4898,25.2036,595.9116,-0.0819,0.1696,-0.0209,0.9819,1404.0000,1827.0000,1840.0000,5.6677,12.8485,,
0.6315,111,0,23.5214,-10.1552,617.8047,23.7573,23.2277,594.2768,-0.0825,0.1690,-0.0208,0.9819,1403.0000,1827.0000,1840.0000,5.8302,12.9399,,
0.6435,111,0,23.4914,-15.7090,613.1253,23.6595,17.6744,589.5974,-0.0863,0.1709,-0.0230,0.9812,1388.0000,1827.0000,1840.0000,5.9172,12.9775,,
0.6555,111,0,23.8453,-18.3717,610.1580,24.1479,15.0107,586.6301,-0.0880,0.1705,-0.0241,0.9811,1388.0000,1827.0000,1840.0000,6.0178,12.9405,,
0.6675,111,0,23.8453,-18.3717,610.1580,24.1479,15.0107,586.6301,-0.0880,0.1705,-0.0241,0.9811,1401.0000,1828.0000,1840.0000,6.0386,12.9287,,
0.6762,111,0,23.5657,-20.8697,608.3354,23.9331,12.5121,584.8075,-0.0898,0.1723,-0.0240,0.9806,1402.0000,1828.0000,1840.0000,6.0628,12.9150,,
0.6875,111,0,23.5657,-20.8697,608.3354,23.9331,12.5121,584.8075,-0.0898,0.1723,-0.0240,0.9806,1415.0000,1828.0000,1840.0000,6.2349,12.8208,,
0.6995,111,0,21.9472,-25.1954,603.1570,22.3230,8.1862,579.6291,-0.0923,0.1714,-0.0254,0.9805,1407.0000,1828.0000,1840.0000,6.4123,12.7570,,
0.7117,111,0,19.5724,-27.9089,598.0427,19.9769,5.4724,574.5147,-0.0927,0.1704,-0.0264,0.9806,1408.0000,1828.0000,1840.0000,6.5772,12.7606,,
0.7234,111,0,17.9058,-29.4154,595.7626,18.2943,3.9661,572.2347,-0.0925,0.1706,-0.0268,0.9806,1431.0000,1828.0000,1840.0000,6.9268,12.8102,,
