{HEADER}
user_id: 801
target_id: 209
target_screen_position_mm: [23.88, 0.00]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 5.9595
endpoint_error_mm: [-3.1001, -8.8098, 28.6642]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,209,0,63.9593,-6.7122,654.3738,65.5003,25.3487,632.4733,-0.0473,0.1235,-0.0403,0.9904,1863.0000,1835.0000,1838.0000,7.1349,4.1469,,
0.0120,209,0,64.1991,-6.6865,654.0243,65.8225,25.3703,632.1238,-0.0467,0.1230,-0.0404,0.9905,1863.0000,1835.0000,1838.0000,7.1349,4.1469,,
0.0218,209,0,64.1991,-6.6865,654.0243,65.8225,25.3703,632.1238,-0.0467,0.1230,-0.0404,0.9905,1863.0000,1835.0000,1838.0000,7.0972,4.1256,,
0.0317,209,0,64.2382,-6.4968,653.9652,65.7802,25.5640,632.0647,-0.0473,0.1237,-0.0402,0.9904,1864.0000,1835.0000,1838.0000,6.7936,3.9535,,
0.0436,209,0,64.0544,-5.8068,654.1279,65.2014,26.2705,632.2274,-0.0482,0.1235,-0.0403,0.9904,1864.0000,1835.0000,1838.0000,6.7012,3.8979,,
0.0576,209,0,64.0613,-5.6775,653.7081,65.5066,26.3878,631.8076,-0.0475,0.1238,-0.0404,0.9903,1864.0000,1835.0000,1838.0000,6.6666,3.8782,,
0.0675,209,0,64.0613,-5.6775,653.7081,65.5066,26.3878,631.8076,-0.0475,0.1238,-0.0404,0.9903,1864.0000,1835.0000,1838.0000,6.6464,3.8668,,
0.0796,209,0,64.9720,-4.6190,653.9000,66.6875,27.4330,631.9995,-0.0492,0.1245,-0.0413,0.9901,1864.0000,1835.0000,1838.0000,6.5714,3.8210,,
0.0889,209,0,67.1772,-3.3503,653.2467,64.4705,28.6333,631.3462,0.0911,0.4151,-0.0783,0.9018,1864.0000,1835.0000,1838.0000,6.5541,3.8080,,
0.0996,209,0,67.1772,-3.3503,653.2467,64.4705,28.6333,631.3462,0.0911,0.4151,-0.0783,0.9018,1864.0000,1835.0000,1838.0000,6.5368,3.7982,,
0.1114,209,0,67.4898,-3.8795,652.8571,68.9046,28.1872,630.9565,-0.0466,0.1258,-0.0389,0.9902,1864.0000,1835.0000,1838.0000,6.5311,3.7949,,
0.1235,209,0,68.3268,-2.0855,652.1501,69.7628,29.9802,630.2496,-0.0466,0.1273,-0.0387,0.9900,1864.0000,1835.0000,1838.0000,6.5282,3.7933,,
0.1355,209,0,68.1623,-1.4119,652.0408,69.8871,30.6396,630.1403,-0.0465,0.1277,-0.0392,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.1475,209,0,68.1623,-1.4119,652.0408,69.8871,30.6396,630.1403,-0.0465,0.1277,-0.0392,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.1565,209,0,68.2442,-1.1462,651.8574,69.8670,30.9106,629.9568,-0.0465,0.1278,-0.0398,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.1675,209,0,69.2747,-1.4672,651.4743,70.7644,30.5961,629.5738,-0.0467,0.1269,-0.0384,0.9901,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.1795,209,0,69.0014,-1.9748,650.7797,70.2090,30.1003,628.8792,-0.0465,0.1284,-0.0376,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.1914,209,0,69.0014,-1.9748,650.7797,70.2090,30.1003,628.8792,-0.0465,0.1284,-0.0376,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2035,209,0,68.8177,-2.2845,650.3284,70.5212,29.7681,628.4279,-0.0475,0.1285,-0.0377,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2123,209,0,68.9044,-2.0077,649.8887,70.3600,30.0571,627.9882,-0.0471,0.1296,-0.0386,0.9897,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2235,209,0,68.9044,-2.0077,649.8887,70.3600,30.0571,627.9882,-0.0471,0.1296,-0.0386,0.9897,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2354,209,0,69.0514,-2.0537,649.1388,70.5606,30.0087,627.2383,-0.0433,0.1286,-0.0392,0.9900,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2480,209,0,70.1102,-1.1953,648.3448,71.6004,30.8680,626.4443,-0.0452,0.1276,-0.0387,0.9900,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2597,209,0,70.1773,-1.1461,647.7596,71.7282,30.9143,625.8591,-0.0440,0.1284,-0.0385,0.9900,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2714,209,0,70.1773,-1.1461,647.7596,71.7282,30.9143,625.8591,-0.0440,0.1284,-0.0385,0.9900,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2801,209,0,71.1491,-0.9718,647.0469,72.8844,31.0791,625.1464,-0.0450,0.1290,-0.0387,0.9899,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.2917,209,0,72.8761,-0.6681,645.3436,70.4264,31.3362,623.4431,0.0915,0.4178,-0.0767,0.9006,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3038,209,0,72.8761,-0.6681,645.3436,70.4264,31.3362,623.4431,0.0915,0.4178,-0.0767,0.9006,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3156,209,0,73.9602,-0.4741,644.2736,71.3677,31.5189,622.3730,0.0920,0.4188,-0.0768,0.9001,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3275,209,0,76.4797,0.2271,642.3690,77.9287,32.2922,620.4684,-0.0452,0.1325,-0.0371,0.9895,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3364,209,0,77.7436,0.6434,640.4426,78.9332,32.7192,618.5421,-0.0460,0.1344,-0.0367,0.9892,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3475,209,0,77.7436,0.6434,640.4426,78.9332,32.7192,618.5421,-0.0460,0.1344,-0.0367,0.9892,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3596,209,0,79.4453,0.5947,639.2582,80.8375,32.6623,617.3577,-0.0444,0.1335,-0.0365,0.9894,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3716,209,0,82.6333,0.9521,636.1750,84.0491,33.0187,614.2745,-0.0449,0.1372,-0.0353,0.9889,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3836,209,0,84.6071,1.0680,634.7280,85.9877,33.1362,612.8275,0.3058,-0.2902,0.0756,0.9036,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.3963,209,0,84.6071,1.0680,634.7280,85.9877,33.1362,612.8275,0.3058,-0.2902,0.0756,0.9036,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.4052,209,0,86.3828,1.2091,632.1332,87.7919,33.2761,610.2327,-0.0437,0.1395,-0.0349,0.9886,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
0.4156,209,0,90.6463,0.8263,628.4617,92.1570,32.8886,606.5612,-0.0427,0.1406,-0.0344,0.9885,1864.0000,1835.0000,1838.0000,6.5253,3.7917,,
