{HEADER}
user_id: 801
target_id: 257
target_screen_position_mm: [-167.99, 32.12]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 8.3885
endpoint_error_mm: [0.8765, -5.9408, 28.3230]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,257,0,77.9240,97.7284,945.5123,77.2591,129.8193,923.6118,0.0013,0.2022,0.0233,0.9791,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0088,257,0,78.1184,97.9780,944.3540,77.2722,130.0648,922.4535,0.0039,0.2028,0.0233,0.9789,1871.0000,1845.0000,1836.0000,9.1937,-4.8490,,
0.0203,257,0,78.1184,97.9780,944.3540,77.2722,130.0648,922.4535,0.0039,0.2028,0.0233,0.9789,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0343,257,0,78.1987,97.9809,944.1851,77.4182,130.0693,922.2845,0.0043,0.2019,0.0233,0.9791,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0440,257,0,77.9104,98.3037,943.9471,76.9053,130.3858,922.0466,0.0016,0.2020,0.0240,0.9791,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0558,257,0,77.7464,98.2221,945.8058,76.7406,130.3042,923.9053,0.0031,0.2026,0.0233,0.9790,1871.0000,1845.0000,1836.0000,9.1910,-4.8538,,
0.0678,257,0,77.7464,98.2221,945.8058,76.7406,130.3042,923.9053,0.0031,0.2026,0.0233,0.9790,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0767,257,0,77.7024,98.3648,944.2429,76.7163,130.4476,922.3424,0.0023,0.2026,0.0231,0.9790,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.0878,257,0,77.8482,98.6906,944.9516,76.9069,130.7746,923.0511,0.0017,0.2016,0.0232,0.9792,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.1005,257,0,77.8482,98.6906,944.9516,76.9069,130.7746,923.0511,0.0017,0.2016,0.0232,0.9792,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.1118,257,0,77.8301,98.6665,945.0898,76.8722,130.7501,923.1893,0.0022,0.2032,0.0233,0.9789,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.1241,257,0,77.1877,99.0283,946.4030,76.2419,131.1123,924.5025,0.0014,0.2036,0.0236,0.9788,1871.0000,1845.0000,1836.0000,9.1910,-4.8505,,
0.1328,257,0,76.5766,99.1500,945.7195,75.8950,131.2407,923.8190,0.0016,0.2034,0.0236,0.9788,1871.0000,1845.0000,1836.0000,9.1910,-4.8538,,
0.1439,257,0,76.5766,99.1500,945.7195,75.8950,131.2407,923.8190,0.0016,0.2034,0.0236,0.9788,1871.0000,1845.0000,1836.0000,9.1882,-4.8554,,
0.1561,257,0,76.3104,99.0842,945.2466,75.6600,131.1755,923.3461,0.0041,0.2026,0.0227,0.9790,1871.0000,1845.0000,1836.0000,9.1882,-4.8554,,
0.1680,257,0,75.9665,99.2407,946.0400,74.9169,131.3214,924.1395,0.0044,0.2034,0.0229,0.9788,1871.0000,1845.0000,1836.0000,9.1688,-4.8631,,
0.1800,257,0,75.4470,99.9275,947.7584,74.6520,132.0155,925.8578,0.0040,0.2033,0.0235,0.9788,1871.0000,1845.0000,1836.0000,9.1574,-4.8692,,
0.1919,257,0,75.4470,99.9275,947.7584,74.6520,132.0155,925.8578,0.0040,0.2033,0.0235,0.9788,1871.0000,1845.0000,1836.0000,9.1435,-4.8738,,
