{HEADER}
user_id: 801
target_id: 324
target_screen_position_mm: [-56.00, 63.96]
fingertip_offset: [2.38, 32.01, 21.90]
completion_time: 6.4717
endpoint_error_mm: [0.5635, 14.4761, 28.5519]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [9.481085, 8.959431, 10.310367, 11.795253]
control_points_accel: [1.675292, 0.552823, 0.667007, -2.895123]
stiffness_measurements: [0.159483, 0.135938, 0.259365, 0.279000]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,324,0,-213.2575,-142.5341,763.7618,-216.3709,-110.5875,741.8613,-0.0521,0.0074,0.0247,0.9983,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0126,324,0,-213.0813,-141.9485,763.1121,-216.1813,-110.0007,741.2116,-0.0527,0.0078,0.0243,0.9983,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0245,324,0,-212.9276,-140.5102,762.5822,-216.4952,-108.6112,740.6816,-0.0541,0.0062,0.0252,0.9982,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0359,324,0,-212.9276,-140.5102,762.5822,-216.4952,-108.6112,740.6816,-0.0541,0.0062,0.0252,0.9982,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0478,324,0,-214.1056,-140.1850,764.5128,-217.3129,-108.2477,742.6123,-0.0510,0.0075,0.0249,0.9984,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0566,324,0,-214.1056,-140.1850,764.5128,-217.3129,-108.2477,742.6123,-0.0510,0.0075,0.0249,0.9984,1874.0000,1838.0000,1838.0000,2.9118,-1.4206,,
0.0680,324,0,-213.7817,-138.8764,762.5035,-216.6792,-106.9096,740.6030,-0.0515,0.0084,0.0244,0.9983,1874.0000,1838.0000,1838.0000,2.9091,-1.4222,,
0.0801,324,0,-213.1418,-137.7380,761.1532,-216.4045,-105.8064,739.2527,-0.0535,0.0078,0.0249,0.9982,1874.0000,1838.0000,1838.0000,2.8954,-1.4299,,
0.0917,324,0,-212.8549,-137.0830,761.3504,-216.3438,-105.1753,739.4499,-0.0516,0.0059,0.0256,0.9983,1874.0000,1838.0000,1838.0000,2.8927,-1.4315,,
0.1037,324,0,-212.8549,-137.0830,761.3504,-216.3438,-105.1753,739.4499,-0.0516,0.0059,0.0256,0.9983,1874.0000,1838.0000,1838.0000,2.8927,-1.4315,,
