{HEADER}
user_id: 888
target_id: 143
target_screen_position_mm: [-71.92, -32.12]
fingertip_offset: [0.74, 32.37, 19.06]
completion_time: 7.9355
endpoint_error_mm: [2.2438, -0.3240, 2.8491]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.090197, 10.664299, 11.462750, 6.777050]
control_points_accel: [1.306651, -1.011622, -4.009737, 3.714707]
stiffness_measurements: [0.257543, 0.071535, 0.203961, 0.251292]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,143,0,98.3572,-11.6917,593.9837,100.1334,20.6361,574.9219,-0.0606,0.1174,-0.0542,0.9898,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0089,143,0,98.2986,-11.5116,594.1724,100.2156,20.8082,575.1106,-0.0590,0.1190,-0.0541,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0207,143,0,98.2986,-11.5116,594.1724,100.2156,20.8082,575.1106,-0.0590,0.1190,-0.0541,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0318,143,0,98.7263,-11.0465,593.2006,100.8076,21.2631,574.1388,-0.0604,0.1172,-0.0534,0.9898,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0441,143,0,99.7192,-10.7018,593.0290,101.6127,21.6194,573.9672,-0.0598,0.1200,-0.0529,0.9896,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0555,143,0,100.4499,-10.2126,591.7397,102.3728,22.1068,572.6779,-0.0599,0.1191,-0.0529,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0675,143,0,100.4499,-10.2126,591.7397,102.3728,22.1068,572.6779,-0.0599,0.1191,-0.0529,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0762,143,0,101.2432,-9.9500,590.8505,103.0159,22.3780,571.7887,-0.0591,0.1191,-0.0527,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0878,143,0,102.8940,-9.0331,589.3069,104.7711,23.2890,570.2451,-0.0566,0.1207,-0.0527,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.0995,143,0,102.8940,-9.0331,589.3069,104.7711,23.2890,570.2451,-0.0566,0.1207,-0.0527,0.9897,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1113,143,0,103.7681,-8.3091,588.4967,107.3397,23.8699,569.4349,0.1046,0.5231,-0.1513,0.8322,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1236,143,0,105.2800,-7.5866,587.1862,107.3031,24.7267,568.1244,-0.0582,0.1232,-0.0529,0.9893,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1356,143,0,106.2146,-7.0766,585.9697,107.9567,25.2531,566.9078,-0.0588,0.1227,-0.0525,0.9893,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1443,143,0,106.2146,-7.0766,585.9697,107.9567,25.2531,566.9078,-0.0588,0.1227,-0.0525,0.9893,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1552,143,0,106.9024,-6.1782,585.9915,108.5805,26.1549,566.9296,-0.0591,0.1251,-0.0520,0.9890,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1674,143,0,107.8793,-4.3909,583.6935,109.7007,27.9344,564.6317,-0.0560,0.1247,-0.0525,0.9892,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1794,143,0,107.8793,-4.3909,583.6935,109.7007,27.9344,564.6317,-0.0560,0.1247,-0.0525,0.9892,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.1915,143,0,108.2171,-3.4149,583.1410,110.1919,28.9014,564.0792,-0.0581,0.1249,-0.0528,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2001,143,0,108.8986,-1.8119,580.9144,110.8282,30.5071,561.8525,-0.0568,0.1251,-0.0533,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2114,143,0,108.8986,-1.8119,580.9144,110.8282,30.5071,561.8525,-0.0568,0.1251,-0.0533,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2234,143,0,108.9527,-1.1705,581.1473,111.0265,31.1396,562.0855,-0.0545,0.1261,-0.0537,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2352,143,0,109.5850,0.9070,579.7606,111.6691,33.2165,560.6987,-0.0562,0.1267,-0.0537,0.9889,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2473,143,0,109.8293,1.7566,578.9814,119.4271,32.6779,559.9196,0.1270,0.5111,-0.1360,0.8392,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2594,143,0,109.8293,1.7566,578.9814,119.4271,32.6779,559.9196,0.1270,0.5111,-0.1360,0.8392,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2678,143,0,110.1037,2.7703,576.2383,112.2742,35.0741,557.1765,-0.0534,0.1258,-0.0540,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2795,143,0,109.7306,4.7751,576.0888,111.7644,37.0878,557.0270,-0.0532,0.1263,-0.0544,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
0.2916,143,0,109.7306,4.7751,576.0888,111.7644,37.0878,557.0270,-0.0532,0.1263,-0.0544,0.9891,1851.0000,1831.0000,1841.0000,-5.8680,16.5303,,
