{HEADER}
user_id: 988
target_id: 166
target_screen_position_mm: [-183.92, -15.92]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 7.0787
endpoint_error_mm: [-5.0309, -17.2475, 5.4847]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,166,0,-321.1746,54.2247,780.7916,-319.7750,86.4933,761.5995,-0.0401,0.0206,-0.0449,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0109,166,0,-321.2256,54.3035,780.7150,-320.2455,86.5876,761.5229,-0.0403,0.0206,-0.0452,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0227,166,0,-321.2766,54.3823,780.6384,-320.2965,86.6664,761.4464,-0.0403,0.0206,-0.0452,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0349,166,0,-321.2766,54.3823,780.6384,-320.0276,86.6571,761.4464,-0.0404,0.0206,-0.0454,0.9979,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0463,166,0,-321.2766,54.3823,779.7401,-320.4753,86.6713,760.5480,-0.0400,0.0203,-0.0450,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0583,166,0,-321.0031,55.6395,779.4609,-320.2017,87.9285,760.2688,-0.0400,0.0203,-0.0450,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0670,166,0,-321.0031,55.6395,779.4609,-319.8907,87.9193,760.2688,-0.0402,0.0203,-0.0453,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0786,166,0,-321.4086,55.8008,779.1543,-320.2963,88.0806,759.9622,-0.0402,0.0203,-0.0453,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.0904,166,0,-321.4086,55.8008,779.1543,-320.2893,88.0804,759.9622,-0.0397,0.0200,-0.0448,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.1023,166,0,-321.4086,55.8008,779.1543,-318.9618,88.0070,759.9622,-0.0770,0.0405,-0.0874,0.9924,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.1142,166,0,-321.4086,55.8008,779.1543,-318.9618,88.0070,759.9622,-0.0766,0.0421,-0.0875,0.9923,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.1264,166,0,-321.8273,56.7930,778.2203,-320.5556,89.0669,759.0282,-0.0390,0.0213,-0.0446,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
0.1353,166,0,-322.3393,58.0512,777.5391,-321.4954,90.3391,758.3470,-0.0395,0.0215,-0.0452,0.9980,1860.0000,1841.0000,1828.0000,-3.1862,-1.9208,,
