{HEADER}
user_id: 988
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 8.3435
endpoint_error_mm: [5.7105, -21.7493, 6.9828]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-243.6680,-85.8265,874.5955,-242.3708,-53.5536,855.4034,-0.0112,-0.0666,-0.0557,0.9962,1870.0000,1851.0000,1836.0000,-1.8055,-4.0107,,
0.0092,354,0,-243.6680,-85.8265,874.5955,-242.3708,-53.5536,855.4034,-0.0112,-0.0666,-0.0557,0.9962,1870.0000,1851.0000,1836.0000,-1.8055,-4.0107,,
0.0206,354,0,-243.6680,-85.8265,874.5955,-242.2508,-53.5586,855.4034,-0.0146,-0.0666,-0.0558,0.9961,1870.0000,1845.0000,1834.0000,-1.8055,-4.0107,,
0.0333,354,0,-244.4346,-84.4783,873.3987,-242.8140,-52.2200,854.2066,-0.0107,-0.0665,-0.0553,0.9962,1870.0000,1834.0000,1831.0000,-1.8055,-4.0107,,
0.0434,354,0,-245.5384,-82.3277,873.0176,-243.9178,-50.0694,853.8255,-0.0107,-0.0665,-0.0553,0.9962,1870.0000,1831.0000,1830.0000,-1.8055,-4.0107,,
0.0557,354,0,-245.5384,-82.3277,873.0176,-244.3847,-50.0493,853.8255,-0.0125,-0.0652,-0.0548,0.9963,1870.0000,1824.0000,1829.0000,-1.8055,-4.0107,,
0.0645,354,0,-246.2935,-80.9889,872.5402,-244.7064,-48.7289,853.3481,-0.0110,-0.0671,-0.0534,0.9963,1870.0000,1818.0000,1827.0000,-1.8086,-4.0089,,
0.0756,354,0,-247.9073,-78.4380,872.2944,-246.3202,-46.1780,853.1024,-0.0110,-0.0671,-0.0534,0.9963,1870.0000,1815.0000,1827.0000,-1.8086,-4.0089,,
0.0877,354,0,-247.9073,-78.4380,872.2944,-246.5567,-46.1673,853.1024,-0.0136,-0.0683,-0.0532,0.9962,1870.0000,1804.0000,1824.0000,-1.8086,-4.0089,,
0.0997,354,0,-248.8905,-77.1311,871.7910,-247.7539,-44.8521,852.5989,-0.0096,-0.0690,-0.0530,0.9962,1870.0000,1786.0000,1820.0000,-1.8268,-4.0017,,
