{HEADER}
user_id: 988
target_id: 357
target_screen_position_mm: [40.08, 79.88]
fingertip_offset: [-1.88, 32.24, 19.19]
completion_time: 8.3433
endpoint_error_mm: [9.2981, -1.6935, 6.5561]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.750585, 8.214128, 7.602108, 4.909562]
control_points_accel: [-2.800403, 0.701205, -2.619878, 4.719076]
stiffness_measurements: [0.168906, 0.210330, 0.283971, 0.132568]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,357,0,-117.1347,-9.8054,837.2622,-113.7282,22.3134,818.0701,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8261,2.0791,,
0.0132,357,0,-117.1347,-9.8054,837.2622,-113.7282,22.3134,818.0701,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8199,2.0826,,
0.0259,357,0,-117.1347,-9.8054,837.2622,-113.4499,22.2827,818.0701,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8199,2.0826,,
0.0351,357,0,-118.0317,-9.5961,837.2622,-114.6895,22.5295,818.0701,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8199,2.0826,,
0.0437,357,0,-118.7024,-9.1098,835.5938,-115.3602,23.0158,816.4017,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8199,2.0826,,
0.0552,357,0,-118.7024,-9.1098,835.5938,-115.4300,23.0230,816.4017,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1836.0000,7.8199,2.0826,,
0.0671,357,0,-118.9596,-9.0133,835.4004,-115.6872,23.1194,816.2083,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.8014,2.0996,,
0.0796,357,0,-118.9596,-9.0133,835.4004,-115.0831,23.0522,816.2083,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.7212,2.1484,,
0.0912,357,0,-119.4621,-7.4417,835.4004,-115.9555,24.6664,816.2083,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6564,2.1851,,
0.0997,357,0,-119.7038,-5.4003,834.7220,-116.1971,26.7078,815.5299,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1868,,
0.1116,357,0,-119.7038,-5.4003,834.7220,-116.2656,26.7152,815.5299,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1901,,
0.1235,357,0,-119.5257,-5.0605,833.3612,-116.2358,27.0705,814.1691,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1901,,
0.1353,357,0,-119.1692,-3.4068,832.4260,-115.8932,28.7256,813.2339,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1901,,
0.1473,357,0,-118.0564,-2.0649,831.6708,-114.7804,30.0675,812.4788,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1901,,
0.1557,357,0,-118.0564,-2.0649,831.6708,-114.7405,30.0634,812.4788,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1934,,
0.1671,357,0,-118.0564,-0.8774,831.4828,-114.2710,31.1990,812.2908,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1934,,
0.1797,357,0,-118.4064,1.4094,831.4828,-114.6211,33.4858,812.2908,0.0000,0.0000,0.0000,1.0000,1855.0000,1851.0000,1837.0000,7.6533,2.1934,,
0.1913,357,0,-118.4064,1.4094,831.4828,-115.0270,33.5311,812.2908,0.0000,0.0000,0.0000,1.0000,1855.0000,1841.0000,1837.0000,7.6533,2.1934,,
0.2033,357,0,-118.4064,2.7082,829.4294,-115.0123,34.8283,810.2374,0.0000,0.0000,0.0000,1.0000,1855.0000,1841.0000,1837.0000,7.6533,2.1934,,
0.2157,357,0,-118.9236,4.2008,829.4294,-115.5295,36.3210,810.2374,0.0000,0.0000,0.0000,1.0000,1855.0000,1841.0000,1837.0000,7.6533,2.1934,,
