{HEADER}
user_id: 999
target_id: 242
target_screen_position_mm: [71.92, 15.92]
fingertip_offset: [-0.97, 32.92, 19.60]
completion_time: 5.9625
endpoint_error_mm: [2.7095, -2.3716, 2.0876]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.232760, 6.795296, 5.159784, 7.054626]
control_points_accel: [0.511740, -1.614305, 3.032177, -1.929612]
stiffness_measurements: [0.286907, 0.181744, 0.304497, 0.290343]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,242,0,-264.9993,-34.7758,654.3070,-264.3278,-1.8523,634.7091,-0.0396,-0.1785,-0.0465,0.9820,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0111,242,0,-264.9993,-34.7758,654.3070,-264.3278,-1.8523,634.7091,-0.0396,-0.1785,-0.0465,0.9820,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0238,242,0,-263.9240,-33.3929,654.4804,-263.5424,-0.4648,634.8824,-0.0391,-0.1795,-0.0464,0.9819,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0395,242,0,-261.6691,-30.5928,652.8754,-261.3510,2.3361,633.2775,-0.0381,-0.1767,-0.0464,0.9824,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0483,242,0,-261.6691,-30.5928,652.8754,-261.3510,2.3361,633.2775,-0.0381,-0.1767,-0.0464,0.9824,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0569,242,0,-261.0054,-29.6400,652.8386,-260.6428,3.2883,633.2406,-0.0377,-0.1769,-0.0468,0.9824,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0666,242,0,-261.0054,-29.6400,652.8386,-260.6428,3.2883,633.2406,-0.0377,-0.1769,-0.0468,0.9824,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0785,242,0,-259.2827,-28.0245,651.5909,-258.7654,4.9018,631.9930,-0.0348,-0.1756,-0.0468,0.9827,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.0908,242,0,-257.9947,-26.6065,650.6743,-257.5218,6.3205,631.0764,-0.0341,-0.1746,-0.0471,0.9829,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.1027,242,0,-257.0630,-25.6724,650.0771,-256.6952,7.2559,630.4791,-0.0340,-0.1748,-0.0476,0.9829,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
0.1114,242,0,-257.0630,-25.6724,650.0771,-256.6952,7.2559,630.4791,-0.0340,-0.1748,-0.0476,0.9829,1864.0000,1850.0000,1839.0000,7.3866,5.4073,,
