t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0055,79,1,-87.2552,-134.0125,216.0818,-0.0333,-0.0069,-0.0949,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0125,79,1,-87.2552,-134.0125,216.0818,-0.0333,-0.0069,-0.0949,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0233,79,1,-87.2552,-134.0125,216.0818,-0.0333,-0.0069,-0.0949,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0355,79,1,-87.2552,-134.0125,216.0818,-0.0333,-0.0069,-0.0949,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0471,79,1,-87.2947,-133.5764,216.3654,-0.0338,-0.0072,-0.0948,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0594,79,1,-87.2947,-133.5764,216.3654,-0.0338,-0.0072,-0.0948,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0718,79,1,-87.2947,-133.5764,216.3654,-0.0338,-0.0072,-0.0948,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0805,79,1,-87.2947,-133.5764,216.3654,-0.0338,-0.0072,-0.0948,0.9949,2047.0000,2047.0000,2047.0000,,,,
0.0911,79,1,-87.2814,-133.5034,216.3371,-0.0360,-0.0094,-0.0953,0.9948,2047.0000,2047.0000,2047.0000,,,,
0.1034,79,1,-87.2814,-133.5034,216.3371,-0.0360,-0.0094,-0.0953,0.9948,2047.0000,2047.0000,2047.0000,,,,
0.1153,79,1,-87.2814,-133.5034,216.3371,-0.0360,-0.0094,-0.0953,0.9948,2047.0000,2047.0000,2047.0000,,,,
0.1278,79,1,-87.2814,-133.5034,216.3371,-0.0360,-0.0094,-0.0953,0.9948,2047.0000,2047.0000,2047.0000,,,,
0.1392,79,1,-86.9404,-133.3825,216.9494,-0.0375,-0.0082,-0.0949,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.1483,79,1,-86.9404,-133.3825,216.9494,-0.0375,-0.0082,-0.0949,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.1591,79,1,-86.9404,-133.3825,216.9494,-0.0375,-0.0082,-0.0949,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.1717,79,1,-86.9404,-133.3825,216.9494,-0.0375,-0.0082,-0.0949,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.1836,79,1,-86.9404,-133.3825,216.9494,-0.0375,-0.0082,-0.0949,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.1958,79,0,-87.0224,-133.0935,217.0922,-0.0371,-0.0075,-0.0954,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2047,79,0,-87.0224,-133.0935,217.0922,-0.0371,-0.0075,-0.0954,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2152,79,0,-87.0224,-133.0935,217.0922,-0.0371,-0.0075,-0.0954,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2274,79,0,-87.0224,-133.0935,217.0922,-0.0371,-0.0075,-0.0954,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2392,79,0,-87.1289,-132.6028,217.6189,-0.0385,-0.0072,-0.0955,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2508,79,0,-87.1289,-132.6028,217.6189,-0.0385,-0.0072,-0.0955,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2648,79,0,-87.1289,-132.6028,217.6189,-0.0385,-0.0072,-0.0955,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2735,79,0,-87.1289,-132.6028,217.6189,-0.0385,-0.0072,-0.0955,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2829,79,0,-87.1289,-132.6028,217.6189,-0.0385,-0.0072,-0.0955,0.9947,2047.0000,2047.0000,2047.0000,,,,
0.2954,79,0,-86.1544,-132.6544,217.3729,-0.0384,-0.0112,-0.0959,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.3083,79,0,-86.1544,-132.6544,217.3729,-0.0384,-0.0112,-0.0959,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.3191,79,0,-86.1544,-132.6544,217.3729,-0.0384,-0.0112,-0.0959,0.9946,2047.0000,2047.0000,2047.0000,,,,
0.3311,79,0,-86.1544,-132.6544,217.3729,-0.0384,-0.0112,-0.0959,0.9946,2047.0000,2047.0000,2047.0000,,,,
