t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,284,0,-165.1631,13.6925,574.9132,-0.0682,-0.3182,-0.0305,0.9451,1859.0000,1875.0000,1861.0000,,,,
0.0139,284,0,-165.1631,13.6925,574.9132,-0.0682,-0.3182,-0.0305,0.9451,1859.0000,1864.0000,1861.0000,,,,
0.0223,284,0,-165.1631,13.6925,574.9132,-0.0682,-0.3182,-0.0305,0.9451,1859.0000,1856.0000,1861.0000,,,,
0.0320,284,0,-165.1631,13.6925,574.9132,-0.0682,-0.3182,-0.0305,0.9451,1859.0000,1846.0000,1861.0000,,,,
0.0423,284,0,-293.9909,31.1663,764.6045,-0.0433,0.4016,-0.1258,0.9061,1859.0000,1836.0000,1861.0000,,,,
0.0541,284,0,-293.9909,31.1663,764.6045,-0.0433,0.4016,-0.1258,0.9061,1859.0000,1824.0000,1861.0000,,,,
0.0661,284,0,-293.9909,31.1663,764.6045,-0.0433,0.4016,-0.1258,0.9061,1859.0000,1812.0000,1861.0000,,,,
0.0784,284,0,-270.0405,-4.7284,673.0242,-0.3209,0.2577,0.0275,0.9110,1859.0000,1800.0000,1861.0000,,,,
0.0870,284,0,-270.0405,-4.7284,673.0242,-0.3209,0.2577,0.0275,0.9110,1859.0000,1790.0000,1861.0000,,,,
0.0983,284,0,-270.0405,-4.7284,673.0242,-0.3209,0.2577,0.0275,0.9110,1859.0000,1777.0000,1861.0000,,,,
0.1100,284,0,-232.6983,27.7978,672.4091,-0.0586,0.0424,-0.0618,0.9955,1859.0000,1764.0000,1861.0000,,,,
0.1235,284,0,-232.6983,27.7978,672.4091,-0.0586,0.0424,-0.0618,0.9955,1859.0000,1749.0000,1861.0000,,,,
0.1346,284,0,-232.6983,27.7978,672.4091,-0.0586,0.0424,-0.0618,0.9955,1859.0000,1737.0000,1861.0000,,,,
0.1458,284,0,-278.5562,35.1482,797.9127,0.0840,0.2601,-0.0604,0.9600,1859.0000,1725.0000,1861.0000,,,,
0.1568,284,0,-278.5562,35.1482,797.9127,0.0840,0.2601,-0.0604,0.9600,1859.0000,1713.0000,1861.0000,,,,
0.1669,284,0,-278.5562,35.1482,797.9127,0.0840,0.2601,-0.0604,0.9600,1859.0000,1702.0000,1861.0000,,,,
0.1780,284,0,-278.5562,35.1482,797.9127,0.0840,0.2601,-0.0604,0.9600,1859.0000,1689.0000,1861.0000,,,,
0.1901,284,0,-266.7700,160.8005,857.1505,-0.2049,0.2614,-0.1673,0.9283,1859.0000,1676.0000,1861.0000,,,,
0.2022,284,0,-266.7700,160.8005,857.1505,-0.2049,0.2614,-0.1673,0.9283,1859.0000,1666.0000,1861.0000,,,,
0.2124,284,0,-266.7700,160.8005,857.1505,-0.2049,0.2614,-0.1673,0.9283,1859.0000,1657.0000,1861.0000,,,,
0.2232,284,0,-205.8233,4.9056,705.7415,0.5245,0.2851,-0.1725,0.7835,1859.0000,1648.0000,1861.0000,,,,
0.2347,284,0,-205.8233,4.9056,705.7415,0.5245,0.2851,-0.1725,0.7835,1859.0000,1634.0000,1861.0000,,,,
0.2458,284,0,-205.8233,4.9056,705.7415,0.5245,0.2851,-0.1725,0.7835,1859.0000,1621.0000,1861.0000,,,,
0.2587,284,0,-205.8233,4.9056,705.7415,0.5245,0.2851,-0.1725,0.7835,1859.0000,1606.0000,1861.0000,,,,
0.2700,284,0,-230.3912,61.9023,753.1341,0.2876,0.1751,-0.1407,0.9310,1859.0000,1594.0000,1861.0000,,,,
0.2785,284,0,-230.3912,61.9023,753.1341,0.2876,0.1751,-0.1407,0.9310,1859.0000,1585.0000,1861.0000,,,,
0.2900,284,0,-230.3912,61.9023,753.1341,0.2876,0.1751,-0.1407,0.9310,1859.0000,1573.0000,1861.0000,,,,
0.3022,284,0,-230.0212,30.3595,693.3337,-0.0680,0.0611,-0.0594,0.9940,1859.0000,1561.0000,1861.0000,,,,
0.3146,284,0,-230.0212,30.3595,693.3337,-0.0680,0.0611,-0.0594,0.9940,1859.0000,1549.0000,1861.0000,,,,
0.3266,284,0,-230.0212,30.3595,693.3337,-0.0680,0.0611,-0.0594,0.9940,1859.0000,1538.0000,1861.0000,,,,
0.3386,284,0,-219.7098,27.8529,676.6994,-0.0693,0.0570,-0.0552,0.9944,1859.0000,1526.0000,1861.0000,,,,
0.3477,284,0,-219.7098,27.8529,676.6994,-0.0693,0.0570,-0.0552,0.9944,1859.0000,1518.0000,1861.0000,,,,
0.3579,284,0,-219.7098,27.8529,676.6994,-0.0693,0.0570,-0.0552,0.9944,1859.0000,1509.0000,1861.0000,,,,
0.3701,284,0,-219.7098,27.8529,676.6994,-0.0693,0.0570,-0.0552,0.9944,1859.0000,1497.0000,1861.0000,,,,
0.3825,284,0,-141.4847,42.0191,850.5964,0.1620,0.3463,-0.1023,0.9183,1859.0000,1485.0000,1861.0000,,,,
0.3947,284,0,-141.4847,42.0191,850.5964,0.1620,0.3463,-0.1023,0.9183,1859.0000,1478.0000,1861.0000,,,,
0.4034,284,0,-141.4847,42.0191,850.5964,0.1620,0.3463,-0.1023,0.9183,1859.0000,1473.0000,1861.0000,,,,
0.4141,284,0,-175.7800,24.3516,591.4538,-0.2563,-0.2856,-0.0934,0.9187,1859.0000,1466.0000,1861.0000,,,,
0.4259,284,0,-175.7800,24.3516,591.4538,-0.2563,-0.2856,-0.0934,0.9187,1859.0000,1462.0000,1861.0000,,,,
0.4382,284,0,-175.7800,24.3516,591.4538,-0.2563,-0.2856,-0.0934,0.9187,1859.0000,1456.0000,1861.0000,,,,
0.4507,284,0,-191.1441,31.0918,683.3777,-0.0717,0.0747,-0.0515,0.9933,1859.0000,1449.0000,1861.0000,,,,
0.4632,284,0,-191.1441,31.0918,683.3777,-0.0717,0.0747,-0.0515,0.9933,1859.0000,1444.0000,1861.0000,,,,
0.4710,284,0,-191.1441,31.0918,683.3777,-0.0717,0.0747,-0.0515,0.9933,1859.0000,1440.0000,1861.0000,,,,
0.4823,284,0,-191.1441,31.0918,683.3777,-0.0717,0.0747,-0.0515,0.9933,1859.0000,1434.0000,1861.0000,,,,
0.4941,284,0,-212.5945,28.9817,819.1368,0.2035,0.3165,-0.0758,0.9234,1859.0000,1428.0000,1861.0000,,,,
0.5065,284,0,-212.5945,28.9817,819.1368,0.2035,0.3165,-0.0758,0.9234,1859.0000,1431.0000,1860.0000,,,,
0.5185,284,0,-212.5945,28.9817,819.1368,0.2035,0.3165,-0.0758,0.9234,1859.0000,1432.0000,1860.0000,,,,
0.5298,284,0,-138.1386,18.1289,569.9500,-0.2654,-0.2619,-0.0862,0.9239,1859.0000,1431.0000,1860.0000,,,,
0.5382,284,0,-138.1386,18.1289,569.9500,-0.2654,-0.2619,-0.0862,0.9239,1859.0000,1432.0000,1861.0000,,,,
0.5503,284,0,-138.1386,18.1289,569.9500,-0.2654,-0.2619,-0.0862,0.9239,1859.0000,1432.0000,1861.0000,,,,
0.5619,284,0,-138.1386,18.1289,569.9500,-0.2654,-0.2619,-0.0862,0.9239,1859.0000,1431.0000,1861.0000,,,,
0.5742,284,0,-189.6389,-8.1051,690.7604,-0.3447,0.2585,0.0556,0.9007,1859.0000,1428.0000,1861.0000,,,,
