{HEADER}
user_id: 111
target_id: 055
target_screen_position_mm: [-88.11, -79.88]
fingertip_offset: [4.08, 34.26, 19.96]
completion_time: 5.5000
endpoint_error_mm: [9.6224, 4.0306, -2.0690]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.110677, 11.539132, 11.784826, 5.832462]
control_points_accel: [0.988690, -1.616388, -4.694393, 5.322090]
stiffness_measurements: [0.351504, 0.209004, 0.169117, 0.433350]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,55,0,-128.8141,-22.5186,565.0452,-129.4627,11.9724,545.0889,-0.1003,-0.0683,-0.0080,0.9926,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0122,55,0,-131.2992,-23.1793,568.3823,-131.9362,11.3119,548.4260,-0.1006,-0.0695,-0.0088,0.9925,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0240,55,0,-132.9851,-23.8170,569.8328,-133.4703,10.6766,549.8765,-0.1008,-0.0700,-0.0079,0.9924,1898.0000,1833.0000,1884.0000,0.6793,8.6418,,
0.0319,55,0,-132.9851,-23.8170,569.8328,-133.4703,10.6766,549.8765,-0.1008,-0.0700,-0.0079,0.9924,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0440,55,0,-132.7413,-23.2439,569.1512,-132.9925,11.2522,549.1949,-0.1008,-0.0693,-0.0083,0.9925,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0560,55,0,-132.7413,-23.2439,569.1512,-132.9925,11.2522,549.1949,-0.1008,-0.0693,-0.0083,0.9925,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0680,55,0,-136.2656,-21.2107,569.7682,-136.9518,13.2795,549.8119,-0.1004,-0.0725,-0.0087,0.9923,1898.0000,1833.0000,1884.0000,0.6793,8.6418,,
0.0799,55,0,-138.2033,-21.0579,572.4608,-138.4931,13.4379,552.5045,-0.1012,-0.0711,-0.0102,0.9923,1898.0000,1833.0000,1884.0000,0.6793,8.6418,,
0.0919,55,0,-138.2033,-21.0579,572.4608,-138.4931,13.4379,552.5045,-0.1012,-0.0711,-0.0102,0.9923,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.0999,55,0,-136.6528,-21.5467,571.2279,-136.9156,12.9493,551.2716,-0.1028,-0.0719,-0.0104,0.9920,1898.0000,1833.0000,1884.0000,0.6793,8.6418,,
0.1121,55,0,-137.2434,-19.9423,572.6451,-137.8684,14.5491,552.6888,-0.1029,-0.0700,-0.0104,0.9922,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1240,55,0,-137.2434,-19.9423,572.6451,-137.8684,14.5491,552.6888,-0.1029,-0.0700,-0.0104,0.9922,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1361,55,0,-134.0662,-19.5730,568.2517,-134.5195,14.9210,548.2954,-0.0990,-0.0689,-0.0097,0.9927,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1481,55,0,-134.7279,-17.1300,567.8153,-135.1645,17.3643,547.8590,-0.0991,-0.0690,-0.0097,0.9926,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1560,55,0,-134.7279,-17.1300,567.8153,-135.1645,17.3643,547.8590,-0.0991,-0.0690,-0.0097,0.9926,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1681,55,0,-131.3204,-16.0620,563.1049,-132.1852,18.4242,543.1486,-0.0984,-0.0704,-0.0094,0.9926,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1801,55,0,-131.3204,-16.0620,563.1049,-132.1852,18.4242,543.1486,-0.0984,-0.0704,-0.0094,0.9926,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.1920,55,0,-130.0979,-14.3449,563.7135,-130.5831,20.1488,543.7572,-0.0980,-0.0676,-0.0097,0.9928,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2041,55,0,-127.8481,-12.2164,560.6185,-128.5045,22.2744,540.6622,-0.0943,-0.0650,-0.0103,0.9934,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2161,55,0,-127.8481,-12.2164,560.6185,-128.5045,22.2744,540.6622,-0.0943,-0.0650,-0.0103,0.9934,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2241,55,0,-125.6990,-11.5099,560.2482,-126.1394,22.9843,540.2919,-0.0962,-0.0635,-0.0115,0.9933,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2361,55,0,-126.9573,-7.8694,561.8461,-127.2342,26.6265,541.8898,-0.0945,-0.0625,-0.0111,0.9935,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2481,55,0,-126.9573,-7.8694,561.8461,-127.2342,26.6265,541.8898,-0.0945,-0.0625,-0.0111,0.9935,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2601,55,0,-125.2501,-6.4822,561.1675,-125.7353,28.0114,541.2112,-0.0947,-0.0595,-0.0111,0.9937,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2721,55,0,-123.8397,-2.6648,559.9675,-124.1507,31.8309,540.0112,-0.0915,-0.0582,-0.0112,0.9940,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2841,55,0,-123.8397,-2.6648,559.9675,-124.1507,31.8309,540.0112,-0.0915,-0.0582,-0.0112,0.9940,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.2920,55,0,-121.8593,-1.2742,555.9141,-122.7177,33.2122,535.9578,-0.0903,-0.0562,-0.0114,0.9943,1898.0000,1833.0000,1884.0000,0.6793,8.6443,,
0.3040,55,0,-121.8593,-1.2742,555.9141,-122.7177,33.2122,535.9578,-0.0903,-0.0562,-0.0114,0.9943,1898.0000,1793.0000,1884.0000,0.6793,8.6443,,
0.3159,55,0,-116.9354,1.0375,552.9452,-117.4318,35.5310,532.9889,-0.0893,-0.0548,-0.0109,0.9944,1898.0000,1793.0000,1884.0000,0.6793,8.6443,,
0.3279,55,0,-115.4145,6.2773,551.0600,-115.9217,40.7706,531.1037,-0.0874,-0.0514,-0.0108,0.9948,1898.0000,1721.0000,1884.0000,0.6793,8.6443,,
0.3399,55,0,-115.4145,6.2773,551.0600,-115.9217,40.7706,531.1037,-0.0874,-0.0514,-0.0108,0.9948,1898.0000,1721.0000,1884.0000,0.6658,8.6519,,
0.3480,55,0,-111.6773,5.6232,548.3811,-112.3791,40.1131,528.4248,-0.0862,-0.0488,-0.0114,0.9950,1898.0000,1721.0000,1884.0000,0.6354,8.6691,,
0.3600,55,0,-109.9950,8.7059,547.3471,-110.4880,43.1995,527.3908,-0.0855,-0.0471,-0.0123,0.9952,1898.0000,1681.0000,1884.0000,0.5005,8.7456,,
0.3720,55,0,-109.9950,8.7059,547.3471,-110.4880,43.1995,527.3908,-0.0855,-0.0471,-0.0123,0.9952,1898.0000,1666.0000,1884.0000,0.2338,8.8968,,
0.3840,55,0,-104.9198,9.6884,541.9346,-105.5965,44.1788,521.9783,-0.0845,-0.0485,-0.0118,0.9952,1898.0000,1587.0000,1884.0000,0.0242,9.0207,,
0.3960,55,0,-104.6895,12.3174,540.9439,-105.7524,46.7980,520.9876,-0.0835,-0.0415,-0.0127,0.9956,1898.0000,1588.0000,1884.0000,-0.1688,9.1326,,
0.4081,55,0,-104.6895,12.3174,540.9439,-105.7524,46.7980,520.9876,-0.0835,-0.0415,-0.0127,0.9956,1898.0000,1574.0000,1884.0000,-0.3891,9.2574,,
0.4160,55,0,-103.7880,12.8061,541.1754,-104.2956,47.2994,521.2191,-0.0822,-0.0366,-0.0133,0.9959,1898.0000,1575.0000,1884.0000,-0.3891,9.2574,,
0.4279,55,0,-97.9587,14.1191,539.4427,-99.0546,48.5988,519.4865,-0.0846,-0.0321,-0.0118,0.9958,1898.0000,1575.0000,1884.0000,-0.6845,9.4248,,
