{HEADER}
user_id: 111
target_id: 303
target_screen_position_mm: [88.11, 48.04]
fingertip_offset: [4.08, 34.26, 19.96]
completion_time: 3.2161
endpoint_error_mm: [3.7277, 15.3506, 1.8848]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.110677, 11.539132, 11.784826, 5.832462]
control_points_accel: [0.988690, -1.616388, -4.694393, 5.322090]
stiffness_measurements: [0.351504, 0.209004, 0.169117, 0.433350]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,303,0,64.6545,-29.0621,450.2295,62.0287,5.3348,430.2731,-0.0401,-0.0139,0.0086,0.9991,1898.0000,1841.0000,1883.0000,-0.6107,0.1021,,
0.0119,303,0,64.6545,-29.0621,450.2295,62.0287,5.3348,430.2731,-0.0401,-0.0139,0.0086,0.9991,1898.0000,1796.0000,1883.0000,-0.6107,0.1021,,
0.0199,303,0,63.9812,-28.9640,449.0077,61.5945,5.4504,429.0513,-0.0400,-0.0141,0.0089,0.9991,1896.0000,1797.0000,1883.0000,-0.6107,0.1021,,
0.0319,303,0,63.4057,-29.0408,449.7819,60.5492,5.3377,429.8256,-0.0413,-0.0154,0.0085,0.9990,1889.0000,1814.0000,1883.0000,-0.6204,0.1076,,
0.0440,303,0,63.4057,-29.0408,449.7819,60.5492,5.3377,429.8256,-0.0413,-0.0154,0.0085,0.9990,1884.0000,1825.0000,1883.0000,-0.6269,0.1113,,
0.0559,303,0,62.8346,-28.8237,448.6976,60.3330,5.5825,428.7413,-0.0403,-0.0159,0.0084,0.9990,1874.0000,1838.0000,1883.0000,-0.6269,0.1113,,
0.0680,303,0,62.0185,-29.0477,448.6202,59.2809,5.3405,428.6639,-0.0386,-0.0155,0.0080,0.9991,1868.0000,1841.0000,1883.0000,-0.6269,0.1113,,
0.0759,303,0,62.0185,-29.0477,448.6202,59.2809,5.3405,428.6639,-0.0386,-0.0155,0.0080,0.9991,1863.0000,1841.0000,1883.0000,-0.6269,0.1113,,
0.0880,303,0,61.8324,-28.9730,448.7394,59.4518,5.4417,428.7831,-0.0394,-0.0170,0.0074,0.9991,1857.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1000,303,0,61.8324,-28.9730,448.7394,59.4518,5.4417,428.7831,-0.0394,-0.0170,0.0074,0.9991,1854.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1120,303,0,61.6208,-28.5449,447.8194,59.1159,5.8611,427.8630,-0.0400,-0.0153,0.0077,0.9991,1850.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1240,303,0,62.0402,-28.7188,446.9383,59.2997,5.6692,426.9820,-0.0404,-0.0154,0.0087,0.9990,1840.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1359,303,0,61.6976,-28.8157,446.6671,59.3203,5.5993,426.7108,-0.0391,-0.0141,0.0088,0.9991,1828.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1440,303,0,61.6976,-28.8157,446.6671,59.3203,5.5993,426.7108,-0.0391,-0.0141,0.0088,0.9991,1824.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1559,303,0,62.2745,-28.6641,446.1836,59.5357,5.7240,426.2272,-0.0400,-0.0148,0.0086,0.9991,1816.0000,1841.0000,1883.0000,-0.6237,0.1095,,
0.1680,303,0,62.2745,-28.6641,446.1836,59.5357,5.7240,426.2272,-0.0400,-0.0148,0.0086,0.9991,1815.0000,1841.0000,1883.0000,-0.6167,0.1135,,
0.1800,303,0,62.7084,-28.7085,445.6734,60.2019,5.6973,425.7170,-0.0405,-0.0144,0.0085,0.9990,1814.0000,1841.0000,1883.0000,-0.6167,0.1135,,
0.1920,303,0,63.1596,-29.2530,444.5962,60.5481,5.1450,424.6399,-0.0390,-0.0139,0.0086,0.9991,1806.0000,1841.0000,1883.0000,-0.6167,0.1135,,
0.2040,303,0,63.1596,-29.2530,444.5962,60.5481,5.1450,424.6399,-0.0390,-0.0139,0.0086,0.9991,1793.0000,1841.0000,1883.0000,-0.6167,0.1135,,
0.2120,303,0,63.6770,-29.1676,444.3042,61.1801,5.2390,424.3479,-0.0397,-0.0145,0.0085,0.9991,1792.0000,1841.0000,1883.0000,-0.6143,0.1148,,
0.2240,303,0,64.4558,-29.1405,443.2443,62.0752,5.2743,423.2880,-0.0402,-0.0139,0.0085,0.9991,1788.0000,1841.0000,1883.0000,-0.5909,0.1280,,
0.2359,303,0,64.4558,-29.1405,443.2443,62.0752,5.2743,423.2880,-0.0402,-0.0139,0.0085,0.9991,1774.0000,1841.0000,1883.0000,-0.5301,0.1625,,
0.2480,303,0,64.8289,-29.2959,442.9733,62.3339,5.1108,423.0170,-0.0397,-0.0132,0.0089,0.9991,1773.0000,1841.0000,1883.0000,-0.4715,0.1957,,
0.2600,303,0,65.7337,-29.3099,441.9729,63.1270,5.0885,422.0166,-0.0398,-0.0123,0.0092,0.9991,1757.0000,1841.0000,1883.0000,-0.4013,0.2355,,
0.2680,303,0,65.7337,-29.3099,441.9729,63.1270,5.0885,422.0166,-0.0398,-0.0123,0.0092,0.9991,1755.0000,1841.0000,1883.0000,-0.3966,0.2382,,
0.2800,303,0,65.3253,-29.4209,440.5269,62.7266,4.9781,420.5706,-0.0395,-0.0117,0.0096,0.9991,1737.0000,1841.0000,1883.0000,-0.3966,0.2382,,
0.2920,303,0,65.8152,-29.3866,440.1965,63.0972,5.0032,420.2402,-0.0405,-0.0128,0.0097,0.9991,1732.0000,1841.0000,1883.0000,-0.3943,0.2395,,
0.3040,303,0,65.8152,-29.3866,440.1965,63.0972,5.0032,420.2402,-0.0405,-0.0128,0.0097,0.9991,1731.0000,1841.0000,1883.0000,-0.3919,0.2408,,
0.3160,303,0,65.9245,-29.4085,440.4866,63.0915,4.9720,420.5303,-0.0398,-0.0127,0.0101,0.9991,1730.0000,1841.0000,1883.0000,-0.3334,0.2740,,
0.3280,303,0,66.4082,-29.4214,439.8226,63.6839,4.9679,419.8663,-0.0398,-0.0123,0.0102,0.9991,1725.0000,1841.0000,1883.0000,-0.2889,0.2992,,
0.3360,303,0,66.4082,-29.4214,439.8226,63.6839,4.9679,419.8663,-0.0398,-0.0123,0.0102,0.9991,1725.0000,1841.0000,1883.0000,-0.1321,0.3881,,
0.3480,303,0,66.7205,-29.5389,439.8406,63.8876,4.8416,419.8843,-0.0400,-0.0128,0.0102,0.9991,1724.0000,1841.0000,1883.0000,-0.0081,0.4584,,
0.3600,303,0,65.6957,-29.9117,439.0432,63.2054,4.4953,419.0869,-0.0389,-0.0123,0.0100,0.9991,1723.0000,1841.0000,1883.0000,0.0739,0.5048,,
0.3720,303,0,65.6957,-29.9117,439.0432,63.2054,4.4953,419.0869,-0.0389,-0.0123,0.0100,0.9991,1714.0000,1841.0000,1883.0000,0.2822,0.6229,,
0.3840,303,0,64.9034,-30.5128,438.8279,62.4081,3.8939,418.8716,-0.0409,-0.0140,0.0101,0.9990,1714.0000,1841.0000,1883.0000,0.4306,0.7033,,
0.3960,303,0,62.9802,-30.9762,438.4558,60.4850,3.4305,418.4995,-0.0400,-0.0147,0.0091,0.9990,1707.0000,1841.0000,1883.0000,0.5242,0.7564,,
0.4040,303,0,62.9802,-30.9762,438.4558,60.4850,3.4305,418.4995,-0.0400,-0.0147,0.0091,0.9990,1708.0000,1841.0000,1883.0000,0.5663,0.7803,,
0.4160,303,0,62.7338,-31.5013,439.1081,60.1299,2.8973,419.1518,-0.0401,-0.0172,0.0087,0.9990,1709.0000,1841.0000,1883.0000,0.6178,0.8095,,
0.4280,303,0,61.0923,-32.4426,438.7758,58.6028,1.9644,418.8195,-0.0416,-0.0181,0.0091,0.9989,1710.0000,1841.0000,1883.0000,0.6155,0.8081,,
0.4400,303,0,61.0923,-32.4426,438.7758,58.6028,1.9644,418.8195,-0.0416,-0.0181,0.0091,0.9989,1711.0000,1841.0000,1883.0000,0.6155,0.8081,,
