{HEADER}
user_id: 111
target_id: 354
target_screen_position_mm: [-7.96, 79.88]
fingertip_offset: [4.08, 34.26, 19.96]
completion_time: 5.3401
endpoint_error_mm: [12.3409, 0.1050, 2.5865]
calibration_angle_count: 4
calibration_angles_deg: [0.000000, 90.000000, 180.000000, 270.000000]
control_points_theta: [0.000000, 1.570796, 3.141593, 4.712389]
control_points_radius: [7.110677, 11.539132, 11.784826, 5.832462]
control_points_accel: [0.988690, -1.616388, -4.694393, 5.322090]
stiffness_measurements: [0.351504, 0.209004, 0.169117, 0.433350]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,virtual_x_mm,virtual_y_mm,touch_x_mm,touch_y_mm
0.0000,354,0,-106.9881,-47.4680,506.8995,-109.0140,-13.0306,486.9432,-0.0284,-0.1299,-0.0142,0.9910,1898.0000,1843.0000,1882.0000,-1.5685,-4.4984,,
0.0120,354,0,-106.1031,-47.1798,506.9202,-108.3717,-12.7574,486.9639,-0.0274,-0.1307,-0.0145,0.9909,1898.0000,1843.0000,1882.0000,-1.5685,-4.4984,,
0.0241,354,0,-105.9497,-46.8093,507.8781,-110.7426,-12.6469,487.9218,0.2528,-0.2198,0.1112,0.9356,1898.0000,1843.0000,1882.0000,-1.5685,-4.4984,,
0.0361,354,0,-105.9497,-46.8093,507.8781,-110.7426,-12.6469,487.9218,0.2528,-0.2198,0.1112,0.9356,1898.0000,1843.0000,1882.0000,-1.5685,-4.4984,,
0.0439,354,0,-105.2800,-46.4124,506.8023,-107.7684,-12.0052,486.8460,-0.0275,-0.1305,-0.0145,0.9910,1898.0000,1842.0000,1882.0000,-1.5685,-4.4984,,
0.0559,354,0,-105.2800,-46.4124,506.8023,-107.7684,-12.0052,486.8460,-0.0275,-0.1305,-0.0145,0.9910,1898.0000,1842.0000,1882.0000,-1.5685,-4.4984,,
0.0680,354,0,-105.2167,-45.5341,507.6439,-107.5797,-11.1181,487.6876,-0.0268,-0.1295,-0.0139,0.9911,1898.0000,1842.0000,1882.0000,-1.5685,-4.4984,,
0.0800,354,0,-104.6043,-44.5692,507.0709,-106.7951,-10.1418,487.1146,-0.0266,-0.1287,-0.0141,0.9912,1898.0000,1842.0000,1882.0000,-1.5685,-4.4984,,
0.0920,354,0,-104.6043,-44.5692,507.0709,-106.7951,-10.1418,487.1146,-0.0266,-0.1287,-0.0141,0.9912,1898.0000,1842.0000,1882.0000,-1.5685,-4.4984,,
0.1000,354,0,-104.2780,-44.2149,506.6615,-106.4723,-9.7877,486.7051,-0.0270,-0.1275,-0.0149,0.9914,1898.0000,1840.0000,1882.0000,-1.5685,-4.4984,,
0.1120,354,0,-104.2780,-44.2149,506.6615,-106.4723,-9.7877,486.7051,-0.0270,-0.1275,-0.0149,0.9914,1898.0000,1840.0000,1882.0000,-1.5685,-4.4984,,
0.1240,354,0,-104.0925,-43.4760,506.7746,-107.3813,-9.1362,486.8182,0.4699,0.2495,-0.0541,0.8450,1898.0000,1840.0000,1882.0000,-1.5685,-4.4984,,
0.1360,354,0,-103.6939,-42.9355,506.0908,-106.2106,-8.5304,486.1345,-0.0251,-0.1292,-0.0153,0.9912,1898.0000,1834.0000,1881.0000,-1.5685,-4.4984,,
0.1480,354,0,-103.5749,-42.8591,506.3910,-105.7656,-8.4317,486.4347,-0.0251,-0.1286,-0.0155,0.9913,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.1600,354,0,-103.5749,-42.8591,506.3910,-105.7656,-8.4317,486.4347,-0.0251,-0.1286,-0.0155,0.9913,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.1680,354,0,-103.7236,-42.8000,506.9075,-105.6557,-8.3571,486.9512,-0.0249,-0.1276,-0.0153,0.9914,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.1800,354,0,-103.7236,-42.8000,506.9075,-105.6557,-8.3571,486.9512,-0.0249,-0.1276,-0.0153,0.9914,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.1920,354,0,-102.8249,-43.1781,506.7830,-105.0741,-8.7544,486.8267,-0.0247,-0.1285,-0.0146,0.9913,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.2040,354,0,-103.4876,-43.5252,505.5198,-105.6361,-9.0952,485.5635,-0.0250,-0.1275,-0.0149,0.9914,1898.0000,1833.0000,1881.0000,-1.5685,-4.4984,,
0.2160,354,0,-103.4876,-43.5252,505.5198,-105.6361,-9.0952,485.5635,-0.0250,-0.1275,-0.0149,0.9914,1898.0000,1827.0000,1881.0000,-1.5685,-4.4984,,
0.2280,354,0,-103.0494,-43.7598,505.5845,-105.3052,-9.3366,485.6282,-0.0259,-0.1280,-0.0153,0.9913,1898.0000,1827.0000,1881.0000,-1.5718,-4.4966,,
0.2360,354,0,-102.2155,-44.3910,505.8509,-103.6813,-9.9252,485.8946,-0.0313,-0.1342,-0.0160,0.9903,1898.0000,1827.0000,1881.0000,-1.5718,-4.4966,,
0.2480,354,0,-102.2155,-44.3910,505.8509,-103.6813,-9.9252,485.8946,-0.0313,-0.1342,-0.0160,0.9903,1898.0000,1827.0000,1881.0000,-1.5718,-4.4966,,
0.2600,354,0,-102.5924,-44.5532,505.9163,-104.9538,-10.1371,485.9600,-0.0265,-0.1276,-0.0156,0.9913,1898.0000,1827.0000,1881.0000,-1.5718,-4.4966,,
0.2720,354,0,-102.2711,-45.0735,505.8308,-106.9301,-10.8925,485.8745,0.2529,-0.2183,0.1089,0.9362,1898.0000,1827.0000,1881.0000,-1.5718,-4.4966,,
