t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,350,0,-226.9201,-6.3363,750.5022,-231.1356,24.2759,770.5903,0.1698,-0.3299,-0.0334,0.9280,1903.0000,1865.0000,1872.0000,,,,
0.0121,350,0,-226.9201,-6.3363,750.5022,-231.1356,24.2759,770.5903,0.1698,-0.3299,-0.0334,0.9280,1903.0000,1858.0000,1872.0000,,,,
0.0244,350,0,-226.9201,-6.3363,750.5022,-231.1356,24.2759,770.5903,0.1698,-0.3299,-0.0334,0.9280,1903.0000,1849.0000,1872.0000,,,,
0.0333,350,0,-226.9201,-6.3363,750.5022,-231.1356,24.2759,770.5903,0.1698,-0.3299,-0.0334,0.9280,1903.0000,1843.0000,1872.0000,,,,
0.0441,350,0,-225.7144,-6.2567,744.6271,-229.2660,24.4396,764.7151,0.1747,0.1512,-0.0584,0.9712,1903.0000,1834.0000,1872.0000,,,,
0.0560,350,0,-225.7144,-6.2567,744.6271,-229.2660,24.4396,764.7151,0.1747,0.1512,-0.0584,0.9712,1903.0000,1823.0000,1872.0000,,,,
0.0678,350,0,-225.7144,-6.2567,744.6271,-229.2660,24.4396,764.7151,0.1747,0.1512,-0.0584,0.9712,1903.0000,1812.0000,1872.0000,,,,
0.0801,350,0,-229.2159,-6.3031,760.8615,-216.2754,21.7579,780.9495,0.1177,-0.4667,0.0150,0.8764,1903.0000,1801.0000,1872.0000,,,,
0.0889,350,0,-229.2159,-6.3031,760.8615,-216.2754,21.7579,780.9495,0.1177,-0.4667,0.0150,0.8764,1903.0000,1793.0000,1872.0000,,,,
0.0998,350,0,-229.2159,-6.3031,760.8615,-216.2754,21.7579,780.9495,0.1177,-0.4667,0.0150,0.8764,1903.0000,1784.0000,1872.0000,,,,
0.1117,350,0,-229.2159,-6.3031,760.8615,-216.2754,21.7579,780.9495,0.1177,-0.4667,0.0150,0.8764,1903.0000,1773.0000,1872.0000,,,,
0.1238,350,0,-230.3365,-7.8035,764.0275,-222.3690,22.0528,784.1155,0.3875,-0.3590,-0.0052,0.8491,1903.0000,1763.0000,1872.0000,,,,
0.1359,350,0,-230.3365,-7.8035,764.0275,-222.3690,22.0528,784.1155,0.3875,-0.3590,-0.0052,0.8491,1903.0000,1751.0000,1872.0000,,,,
0.1482,350,0,-230.3365,-7.8035,764.0275,-222.3690,22.0528,784.1155,0.3875,-0.3590,-0.0052,0.8491,1903.0000,1739.0000,1872.0000,,,,
0.1570,350,0,-229.6624,-10.0432,764.2775,-238.8670,19.4552,784.3655,-0.2655,-0.3514,-0.2199,0.8705,1903.0000,1731.0000,1872.0000,,,,
0.1679,350,0,-229.6624,-10.0432,764.2775,-238.8670,19.4552,784.3655,-0.2655,-0.3514,-0.2199,0.8705,1903.0000,1719.0000,1872.0000,,,,
0.1798,350,0,-229.6624,-10.0432,764.2775,-238.8670,19.4552,784.3655,-0.2655,-0.3514,-0.2199,0.8705,1903.0000,1706.0000,1872.0000,,,,
0.1918,350,0,-229.6624,-10.0432,764.2775,-238.8670,19.4552,784.3655,-0.2655,-0.3514,-0.2199,0.8705,1903.0000,1694.0000,1872.0000,,,,
0.2037,350,0,-225.1044,-9.5671,751.7980,-221.3791,21.1087,771.8861,0.1674,0.0580,-0.0640,0.9821,1903.0000,1681.0000,1872.0000,,,,
0.2159,350,0,-225.1044,-9.5671,751.7980,-221.3791,21.1087,771.8861,0.1674,0.0580,-0.0640,0.9821,1903.0000,1672.0000,1872.0000,,,,
0.2245,350,0,-225.1044,-9.5671,751.7980,-221.3791,21.1087,771.8861,0.1674,0.0580,-0.0640,0.9821,1903.0000,1665.0000,1872.0000,,,,
0.2356,350,0,-203.2411,-7.6596,686.5592,-190.8297,20.6394,706.6473,0.6375,-0.2760,0.2408,0.6778,1903.0000,1656.0000,1872.0000,,,,
0.2478,350,0,-203.2411,-7.6596,686.5592,-190.8297,20.6394,706.6473,0.6375,-0.2760,0.2408,0.6778,1903.0000,1652.0000,1872.0000,,,,
0.2597,350,0,-203.2411,-7.6596,686.5592,-190.8297,20.6394,706.6473,0.6375,-0.2760,0.2408,0.6778,1903.0000,1647.0000,1872.0000,,,,
0.2717,350,0,-221.4948,-8.2795,748.0569,-217.1006,22.3076,768.1450,0.0055,0.0933,-0.0771,0.9926,1903.0000,1641.0000,1872.0000,,,,
0.2807,350,0,-221.4948,-8.2795,748.0569,-217.1006,22.3076,768.1450,0.0055,0.0933,-0.0771,0.9926,1903.0000,1632.0000,1872.0000,,,,
0.2918,350,0,-221.4948,-8.2795,748.0569,-217.1006,22.3076,768.1450,0.0055,0.0933,-0.0771,0.9926,1903.0000,1621.0000,1872.0000,,,,
0.3037,350,0,-221.4948,-8.2795,748.0569,-217.1006,22.3076,768.1450,0.0055,0.0933,-0.0771,0.9926,1903.0000,1609.0000,1872.0000,,,,
0.3157,350,0,-199.1756,-7.3155,671.3193,-194.0072,23.1503,691.4073,0.6724,0.2766,-0.2513,0.6389,1903.0000,1599.0000,1872.0000,,,,
0.3276,350,0,-199.1756,-7.3155,671.3193,-194.0072,23.1503,691.4073,0.6724,0.2766,-0.2513,0.6389,1903.0000,1593.0000,1872.0000,,,,
0.3398,350,0,-199.1756,-7.3155,671.3193,-194.0072,23.1503,691.4073,0.6724,0.2766,-0.2513,0.6389,1903.0000,1588.0000,1872.0000,,,,
0.3496,350,0,-224.3685,-6.9717,755.0927,-213.3755,21.9079,775.1807,0.1590,0.2280,-0.0619,0.9586,1903.0000,1582.0000,1872.0000,,,,
0.3598,350,0,-224.3685,-6.9717,755.0927,-213.3755,21.9079,775.1807,0.1590,0.2280,-0.0619,0.9586,1903.0000,1572.0000,1872.0000,,,,
0.3717,350,0,-224.3685,-6.9717,755.0927,-213.3755,21.9079,775.1807,0.1590,0.2280,-0.0619,0.9586,1903.0000,1559.0000,1872.0000,,,,
0.3838,350,0,-211.3743,-7.8226,712.7054,-183.1292,4.7110,732.7935,0.0000,0.0000,0.0000,1.0000,1903.0000,1548.0000,1872.0000,,,,
0.3959,350,0,-211.3743,-7.8226,712.7054,-183.1292,4.7110,732.7935,0.0000,0.0000,0.0000,1.0000,1903.0000,1547.0000,1872.0000,,,,
0.4077,350,0,-211.3743,-7.8226,712.7054,-183.1292,4.7110,732.7935,0.0000,0.0000,0.0000,1.0000,1903.0000,1544.0000,1872.0000,,,,
0.4165,350,0,-211.3743,-7.8226,712.7054,-183.1292,4.7110,732.7935,0.0000,0.0000,0.0000,1.0000,1903.0000,1541.0000,1872.0000,,,,
0.4278,350,0,-223.3550,-7.5288,759.8528,-211.8834,21.1641,779.9409,-0.0344,0.2075,-0.0483,0.9764,1903.0000,1536.0000,1872.0000,,,,
0.4398,350,0,-223.3550,-7.5288,759.8528,-211.8834,21.1641,779.9409,-0.0344,0.2075,-0.0483,0.9764,1903.0000,1519.0000,1872.0000,,,,
0.4518,350,0,-223.3550,-7.5288,759.8528,-211.8834,21.1641,779.9409,-0.0344,0.2075,-0.0483,0.9764,1903.0000,1504.0000,1872.0000,,,,
0.4637,350,0,-219.7530,-4.2810,758.8278,-215.8167,26.3683,778.9159,0.1537,0.0199,-0.0573,0.9863,1903.0000,1489.0000,1872.0000,,,,
0.4723,350,0,-219.7530,-4.2810,758.8278,-215.8167,26.3683,778.9159,0.1537,0.0199,-0.0573,0.9863,1903.0000,1479.0000,1872.0000,,,,
0.4849,350,0,-219.7530,-4.2810,758.8278,-215.8167,26.3683,778.9159,0.1537,0.0199,-0.0573,0.9863,1903.0000,1464.0000,1872.0000,,,,
0.4958,350,0,-219.7530,-4.2810,758.8278,-215.8167,26.3683,778.9159,0.1537,0.0199,-0.0573,0.9863,1903.0000,1451.0000,1872.0000,,,,
0.5076,350,0,-215.0924,-1.0026,757.6124,-212.2345,29.7661,777.7004,-0.2606,0.2125,-0.0558,0.9401,1903.0000,1436.0000,1872.0000,,,,
0.5199,350,0,-215.0924,-1.0026,757.6124,-212.2345,29.7661,777.7004,-0.2606,0.2125,-0.0558,0.9401,1903.0000,1426.0000,1872.0000,,,,
0.5318,350,0,-215.0924,-1.0026,757.6124,-212.2345,29.7661,777.7004,-0.2606,0.2125,-0.0558,0.9401,1903.0000,1414.0000,1872.0000,,,,
0.5406,350,0,-209.3742,3.7812,767.0195,-210.8292,34.6480,787.1076,-0.3127,-0.4210,-0.2767,0.8053,1903.0000,1405.0000,1872.0000,,,,
0.5517,350,0,-209.3742,3.7812,767.0195,-210.8292,34.6480,787.1076,-0.3127,-0.4210,-0.2767,0.8053,1903.0000,1395.0000,1872.0000,,,,
0.5640,350,0,-209.3742,3.7812,767.0195,-210.8292,34.6480,787.1076,-0.3127,-0.4210,-0.2767,0.8053,1903.0000,1384.0000,1872.0000,,,,
0.5758,350,0,-199.4551,5.5560,765.8270,-206.5013,35.6430,785.9150,-0.4404,-0.3125,-0.2804,0.7936,1903.0000,1374.0000,1872.0000,,,,
0.5878,350,0,-199.4551,5.5560,765.8270,-206.5013,35.6430,785.9150,-0.4404,-0.3125,-0.2804,0.7936,1903.0000,1365.0000,1872.0000,,,,
0.5965,350,0,-199.4551,5.5560,765.8270,-206.5013,35.6430,785.9150,-0.4404,-0.3125,-0.2804,0.7936,1903.0000,1359.0000,1872.0000,,,,
0.6076,350,0,-199.4551,5.5560,765.8270,-206.5013,35.6430,785.9150,-0.4404,-0.3125,-0.2804,0.7936,1903.0000,1350.0000,1872.0000,,,,
0.6197,350,0,-192.2421,10.5349,768.8181,-211.8159,34.4461,788.9062,-0.0455,0.1318,-0.0507,0.9889,1903.0000,1341.0000,1872.0000,,,,
0.6318,350,0,-192.2421,10.5349,768.8181,-211.8159,34.4461,788.9062,-0.0455,0.1318,-0.0507,0.9889,1903.0000,1328.0000,1872.0000,,,,
0.6440,350,0,-192.2421,10.5349,768.8181,-211.8159,34.4461,788.9062,-0.0455,0.1318,-0.0507,0.9889,1903.0000,1316.0000,1872.0000,,,,
0.6556,350,0,-181.7299,17.6882,765.4655,-184.6366,48.4523,785.5536,0.1664,0.2348,-0.0430,0.9567,1903.0000,1306.0000,1872.0000,,,,
0.6641,350,0,-181.7299,17.6882,765.4655,-184.6366,48.4523,785.5536,0.1664,0.2348,-0.0430,0.9567,1903.0000,1308.0000,1872.0000,,,,
0.6758,350,0,-181.7299,17.6882,765.4655,-184.6366,48.4523,785.5536,0.1664,0.2348,-0.0430,0.9567,1903.0000,1309.0000,1872.0000,,,,
0.6879,350,0,-170.8193,22.6441,748.7103,-168.3159,53.4436,768.7983,0.0358,0.1980,-0.0817,0.9761,1903.0000,1308.0000,1872.0000,,,,
0.6998,350,0,-170.8193,22.6441,748.7103,-168.3159,53.4436,768.7983,0.0358,0.1980,-0.0817,0.9761,1903.0000,1315.0000,1872.0000,,,,
0.7118,350,0,-170.8193,22.6441,748.7103,-168.3159,53.4436,768.7983,0.0358,0.1980,-0.0817,0.9761,1903.0000,1319.0000,1872.0000,,,,
0.7239,350,0,-160.7262,27.1671,754.5656,-154.5742,57.4497,774.6536,-0.2876,-0.2543,-0.1924,0.9031,1903.0000,1322.0000,1872.0000,,,,
0.7326,350,0,-160.7262,27.1671,754.5656,-154.5742,57.4497,774.6536,-0.2876,-0.2543,-0.1924,0.9031,1903.0000,1328.0000,1872.0000,,,,
0.7437,350,0,-160.7262,27.1671,754.5656,-154.5742,57.4497,774.6536,-0.2876,-0.2543,-0.1924,0.9031,1903.0000,1333.0000,1872.0000,,,,
0.7556,350,0,-146.2200,31.7592,755.2593,-156.2419,60.9900,775.3474,-0.0262,0.2282,-0.0641,0.9711,1903.0000,1336.0000,1872.0000,,,,
0.7677,350,0,-146.2200,31.7592,755.2593,-156.2419,60.9900,775.3474,-0.0262,0.2282,-0.0641,0.9711,1903.0000,1336.0000,1872.0000,,,,
0.7800,350,0,-146.2200,31.7592,755.2593,-156.2419,60.9900,775.3474,-0.0262,0.2282,-0.0641,0.9711,1903.0000,1334.0000,1872.0000,,,,
0.7890,350,0,-146.2200,31.7592,755.2593,-156.2419,60.9900,775.3474,-0.0262,0.2282,-0.0641,0.9711,1903.0000,1332.0000,1872.0000,,,,
0.8000,350,0,-132.9856,34.8509,743.1823,-128.3462,65.4018,763.2703,0.4961,0.2377,-0.1369,0.8238,1903.0000,1331.0000,1872.0000,,,,
0.8119,350,0,-132.9856,34.8509,743.1823,-128.3462,65.4018,763.2703,0.4961,0.2377,-0.1369,0.8238,1903.0000,1345.0000,1872.0000,,,,
0.8237,350,0,-132.9856,34.8509,743.1823,-128.3462,65.4018,763.2703,0.4961,0.2377,-0.1369,0.8238,1903.0000,1356.0000,1872.0000,,,,
