{HEADER}
user_id: 123
target_id: 056
target_screen_position_mm: [-71.92, -79.88]
fingertip_offset: [1.22, 33.85, 20.50]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,56,0,-82.4409,72.7362,695.9337,-81.7484,106.5977,675.4342,-0.0490,0.0015,-0.0486,0.9976,1834.0000,1802.0000,1870.0000,,,,
0.0126,56,0,-82.4409,72.7362,695.9337,-81.7484,106.5977,675.4342,-0.0490,0.0015,-0.0486,0.9976,1834.0000,1791.0000,1870.0000,,,,
0.0215,56,0,-82.4409,72.7362,695.9337,-81.7484,106.5977,675.4342,-0.0490,0.0015,-0.0486,0.9976,1834.0000,1783.0000,1872.0000,,,,
0.0321,56,0,-80.9162,73.6970,689.3757,-80.3418,107.5607,668.8762,-0.0477,-0.0028,-0.0487,0.9977,1834.0000,1775.0000,1873.0000,,,,
0.0434,56,0,-80.9162,73.6970,689.3757,-80.3418,107.5607,668.8762,-0.0477,-0.0028,-0.0487,0.9977,1834.0000,1768.0000,1873.0000,,,,
0.0555,56,0,-80.3898,75.4574,686.0386,-79.4762,109.3137,665.5391,-0.0435,-0.0027,-0.0484,0.9979,1834.0000,1761.0000,1873.0000,,,,
0.0674,56,0,-80.3898,75.4574,686.0386,-79.4762,109.3137,665.5391,-0.0435,-0.0027,-0.0484,0.9979,1834.0000,1755.0000,1873.0000,,,,
0.0762,56,0,-80.3898,75.4574,686.0386,-79.4762,109.3137,665.5391,-0.0435,-0.0027,-0.0484,0.9979,1834.0000,1751.0000,1873.0000,,,,
0.0872,56,0,-79.6797,76.4878,683.1865,-79.0060,110.3498,662.6870,-0.0454,0.0028,-0.0482,0.9978,1834.0000,1742.0000,1873.0000,,,,
0.0995,56,0,-79.6797,76.4878,683.1865,-79.0060,110.3498,662.6870,-0.0454,0.0028,-0.0482,0.9978,1834.0000,1732.0000,1873.0000,,,,
0.1113,56,0,-80.5857,77.7730,687.6097,-80.1733,111.6391,667.1102,-0.0451,-0.0008,-0.0470,0.9979,1834.0000,1722.0000,1873.0000,,,,
0.1231,56,0,-80.5857,77.7730,687.6097,-80.1733,111.6391,667.1102,-0.0451,-0.0008,-0.0470,0.9979,1834.0000,1712.0000,1873.0000,,,,
0.1354,56,0,-77.6377,78.4147,685.3681,-77.3521,112.2821,664.8686,-0.0467,0.0004,-0.0449,0.9979,1834.0000,1701.0000,1873.0000,,,,
0.1443,56,0,-77.6377,78.4147,685.3681,-77.3521,112.2821,664.8686,-0.0467,0.0004,-0.0449,0.9979,1834.0000,1694.0000,1873.0000,,,,
0.1553,56,0,-77.6377,78.4147,685.3681,-77.3521,112.2821,664.8686,-0.0467,0.0004,-0.0449,0.9979,1834.0000,1685.0000,1873.0000,,,,
0.1673,56,0,-77.0634,79.4158,681.9858,-76.6510,113.2820,661.4863,-0.0447,0.0006,-0.0426,0.9981,1834.0000,1675.0000,1873.0000,,,,
0.1796,56,0,-77.0634,79.4158,681.9858,-76.6510,113.2820,661.4863,-0.0447,0.0006,-0.0426,0.9981,1834.0000,1665.0000,1873.0000,,,,
0.1914,56,0,-78.6100,80.0977,678.0541,-78.3452,113.9653,657.5546,-0.0418,0.0003,-0.0453,0.9981,1834.0000,1656.0000,1873.0000,,,,
0.2037,56,0,-78.6100,80.0977,678.0541,-78.3452,113.9653,657.5546,-0.0418,0.0003,-0.0453,0.9981,1834.0000,1645.0000,1873.0000,,,,
0.2126,56,0,-78.3612,80.3397,678.5707,-78.1384,114.2076,658.0712,-0.0437,0.0034,-0.0451,0.9980,1834.0000,1638.0000,1873.0000,,,,
0.2233,56,0,-78.3612,80.3397,678.5707,-78.1384,114.2076,658.0712,-0.0437,0.0034,-0.0451,0.9980,1834.0000,1629.0000,1873.0000,,,,
0.2354,56,0,-78.3612,80.3397,678.5707,-78.1384,114.2076,658.0712,-0.0437,0.0034,-0.0451,0.9980,1834.0000,1619.0000,1873.0000,,,,
0.2473,56,0,-77.7179,80.9357,679.1863,-77.3560,114.8024,658.6868,-0.0445,0.0024,-0.0443,0.9980,1834.0000,1609.0000,1873.0000,,,,
0.2591,56,0,-77.7179,80.9357,679.1863,-77.3560,114.8024,658.6868,-0.0445,0.0024,-0.0443,0.9980,1834.0000,1599.0000,1873.0000,,,,
0.2678,56,0,-77.6718,81.3934,674.7452,-77.5378,115.2617,654.2457,-0.0446,0.0019,-0.0454,0.9980,1834.0000,1591.0000,1873.0000,,,,
0.2793,56,0,-77.6718,81.3934,674.7452,-77.5378,115.2617,654.2457,-0.0446,0.0019,-0.0454,0.9980,1834.0000,1582.0000,1873.0000,,,,
0.2913,56,0,-74.3748,81.1402,665.7786,-74.1159,115.0079,645.2791,-0.0493,0.0033,-0.0448,0.9978,1834.0000,1573.0000,1873.0000,,,,
0.3034,56,0,-74.3748,81.1402,665.7786,-74.1159,115.0079,645.2791,-0.0493,0.0033,-0.0448,0.9978,1834.0000,1563.0000,1873.0000,,,,
0.3153,56,0,-74.5460,82.0670,671.9480,-74.1420,115.9332,651.4485,-0.0450,0.0043,-0.0438,0.9980,1834.0000,1555.0000,1873.0000,,,,
0.3272,56,0,-74.5460,82.0670,671.9480,-74.1420,115.9332,651.4485,-0.0450,0.0043,-0.0438,0.9980,1834.0000,1545.0000,1873.0000,,,,
0.3363,56,0,-74.5460,82.0670,671.9480,-74.1420,115.9332,651.4485,-0.0450,0.0043,-0.0438,0.9980,1834.0000,1538.0000,1873.0000,,,,
0.3474,56,0,-71.9566,82.9588,671.3645,-71.3875,116.8227,650.8650,-0.0445,0.0034,-0.0431,0.9981,1834.0000,1529.0000,1873.0000,,,,
0.3599,56,0,-71.9566,82.9588,671.3645,-71.3875,116.8227,650.8650,-0.0445,0.0034,-0.0431,0.9981,1834.0000,1520.0000,1873.0000,,,,
0.3713,56,0,-69.4895,84.7136,666.5347,-69.0395,118.5792,646.0352,-0.0417,0.0071,-0.0433,0.9982,1834.0000,1511.0000,1873.0000,,,,
0.3831,56,0,-69.4895,84.7136,666.5347,-69.0395,118.5792,646.0352,-0.0417,0.0071,-0.0433,0.9982,1834.0000,1502.0000,1873.0000,,,,
0.3951,56,0,-54.6916,70.2954,553.1690,-58.4242,103.9577,532.6695,0.2781,0.3102,-0.0611,0.9070,1834.0000,1494.0000,1873.0000,,,,
0.4048,56,0,-54.6916,70.2954,553.1690,-58.4242,103.9577,532.6695,0.2781,0.3102,-0.0611,0.9070,1834.0000,1494.0000,1873.0000,,,,
0.4153,56,0,-61.5952,85.1065,657.9875,-61.9057,118.9737,637.4880,-0.0393,0.0059,-0.0420,0.9983,1834.0000,1493.0000,1873.0000,,,,
0.4272,56,0,-61.5952,85.1065,657.9875,-61.9057,118.9737,637.4880,-0.0393,0.0059,-0.0420,0.9983,1834.0000,1483.0000,1873.0000,,,,
0.4394,56,0,-61.5952,85.1065,657.9875,-61.9057,118.9737,637.4880,-0.0393,0.0059,-0.0420,0.9983,1834.0000,1475.0000,1873.0000,,,,
