t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,386,0,182.8009,125.8856,703.9402,-0.0847,-0.2084,0.0058,0.9743,1862.0000,1881.0000,1854.0000,,,,
0.0130,386,1,177.1502,89.4306,566.6190,0.2371,0.5325,-0.1235,0.8031,1856.0000,1881.0000,1854.0000,,,,
0.0249,386,1,177.1502,89.4306,566.6190,0.2371,0.5325,-0.1235,0.8031,1851.0000,1881.0000,1854.0000,,,,
0.0364,386,1,177.1502,89.4306,566.6190,0.2371,0.5325,-0.1235,0.8031,1848.0000,1881.0000,1852.0000,,,,
0.0475,386,0,173.4353,102.2422,704.8152,0.3689,-0.2012,0.0387,0.9066,1847.0000,1881.0000,1850.0000,,,,
0.0561,386,0,173.4353,102.2422,704.8152,0.3689,-0.2012,0.0387,0.9066,1843.0000,1881.0000,1848.0000,,,,
0.0688,386,0,173.4353,102.2422,704.8152,0.3689,-0.2012,0.0387,0.9066,1838.0000,1881.0000,1844.0000,,,,
0.0808,386,0,173.4353,102.2422,704.8152,0.3689,-0.2012,0.0387,0.9066,1833.0000,1881.0000,1840.0000,,,,
0.0917,386,0,203.0544,146.8409,679.1214,-0.1597,-0.1611,0.0034,0.9739,1828.0000,1881.0000,1836.0000,,,,
0.1038,386,0,203.0544,146.8409,679.1214,-0.1597,-0.1611,0.0034,0.9739,1822.0000,1881.0000,1832.0000,,,,
0.1126,386,0,203.0544,146.8409,679.1214,-0.1597,-0.1611,0.0034,0.9739,1818.0000,1881.0000,1828.0000,,,,
0.1235,386,0,203.0544,146.8409,679.1214,-0.1597,-0.1611,0.0034,0.9739,1813.0000,1881.0000,1825.0000,,,,
0.1371,386,0,195.4908,101.2853,714.9274,-0.1244,-0.1995,-0.0317,0.9714,1807.0000,1881.0000,1820.0000,,,,
0.1485,386,0,195.4908,101.2853,714.9274,-0.1244,-0.1995,-0.0317,0.9714,1799.0000,1881.0000,1818.0000,,,,
0.1604,386,0,195.4908,101.2853,714.9274,-0.1244,-0.1995,-0.0317,0.9714,1791.0000,1881.0000,1815.0000,,,,
0.1720,386,0,195.4908,101.2853,714.9274,-0.1244,-0.1995,-0.0317,0.9714,1783.0000,1881.0000,1813.0000,,,,
