t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,237,0,-22.1905,-2.6971,850.5747,-17.9918,27.9174,870.6628,-0.0641,0.0106,-0.1131,0.9915,1887.0000,1865.0000,1879.0000,,,,
0.0124,237,0,-23.5161,-0.7377,891.8278,-18.4754,29.7495,911.9159,-0.0696,0.0079,-0.1118,0.9913,1885.0000,1865.0000,1879.0000,,,,
0.0240,237,0,-23.5161,-0.7377,891.8278,-18.4754,29.7495,911.9159,-0.0696,0.0079,-0.1118,0.9913,1883.0000,1865.0000,1879.0000,,,,
0.0356,237,0,-23.5161,-0.7377,891.8278,-18.4754,29.7495,911.9159,-0.0696,0.0079,-0.1118,0.9913,1882.0000,1865.0000,1879.0000,,,,
0.0443,237,0,-22.2029,-0.1488,850.1208,-15.8509,30.0924,870.2089,-0.0638,-0.0003,-0.1113,0.9917,1882.0000,1865.0000,1879.0000,,,,
0.0557,237,0,-22.2029,-0.1488,850.1208,-15.8509,30.0924,870.2089,-0.0638,-0.0003,-0.1113,0.9917,1881.0000,1865.0000,1879.0000,,,,
0.0674,237,0,-22.2029,-0.1488,850.1208,-15.8509,30.0924,870.2089,-0.0638,-0.0003,-0.1113,0.9917,1881.0000,1865.0000,1879.0000,,,,
0.0795,237,0,-23.7170,-0.7908,862.8391,-18.8779,29.7291,882.9272,-0.0627,0.0013,-0.1128,0.9916,1882.0000,1863.0000,1879.0000,,,,
0.0921,237,0,-23.7170,-0.7908,862.8391,-18.8779,29.7291,882.9272,-0.0627,0.0013,-0.1128,0.9916,1882.0000,1861.0000,1879.0000,,,,
0.1008,237,0,-23.7170,-0.7908,862.8391,-18.8779,29.7291,882.9272,-0.0627,0.0013,-0.1128,0.9916,1882.0000,1859.0000,1879.0000,,,,
0.1114,237,0,-21.0953,-0.5401,758.9000,-12.1097,29.0257,778.9880,0.5579,-0.0837,0.0008,0.8257,1883.0000,1857.0000,1879.0000,,,,
0.1235,237,0,-21.0953,-0.5401,758.9000,-12.1097,29.0257,778.9880,0.5579,-0.0837,0.0008,0.8257,1884.0000,1855.0000,1879.0000,,,,
0.1355,237,0,-21.0953,-0.5401,758.9000,-12.1097,29.0257,778.9880,0.5579,-0.0837,0.0008,0.8257,1884.0000,1854.0000,1879.0000,,,,
0.1476,237,0,-20.0841,-1.2073,724.1963,-15.7565,29.3893,744.2844,0.3071,0.2973,-0.0470,0.9028,1885.0000,1852.0000,1879.0000,,,,
0.1597,237,0,-20.0841,-1.2073,724.1963,-15.7565,29.3893,744.2844,0.3071,0.2973,-0.0470,0.9028,1885.0000,1850.0000,1879.0000,,,,
0.1684,237,0,-20.0841,-1.2073,724.1963,-15.7565,29.3893,744.2844,0.3071,0.2973,-0.0470,0.9028,1886.0000,1849.0000,1879.0000,,,,
0.1796,237,0,-20.0841,-1.2073,724.1963,-15.7565,29.3893,744.2844,0.3071,0.2973,-0.0470,0.9028,1886.0000,1848.0000,1879.0000,,,,
0.1916,237,0,-24.2023,-1.7030,867.4337,-19.1384,28.7804,887.5217,-0.0671,0.0095,-0.1127,0.9913,1887.0000,1846.0000,1879.0000,,,,
0.2036,237,0,-24.2023,-1.7030,867.4337,-19.1384,28.7804,887.5217,-0.0671,0.0095,-0.1127,0.9913,1888.0000,1844.0000,1879.0000,,,,
0.2156,237,0,-24.2023,-1.7030,867.4337,-19.1384,28.7804,887.5217,-0.0671,0.0095,-0.1127,0.9913,1888.0000,1842.0000,1879.0000,,,,
0.2277,237,0,-23.4322,-1.4455,885.9896,-17.8079,28.9395,906.0776,0.4027,0.2157,-0.1899,0.8691,1889.0000,1840.0000,1879.0000,,,,
0.2364,237,0,-23.4322,-1.4455,885.9896,-17.8079,28.9395,906.0776,0.4027,0.2157,-0.1899,0.8691,1889.0000,1839.0000,1879.0000,,,,
0.2480,237,0,-23.4322,-1.4455,885.9896,-17.8079,28.9395,906.0776,0.4027,0.2157,-0.1899,0.8691,1890.0000,1838.0000,1879.0000,,,,
0.2597,237,0,-23.5225,-1.6458,862.5539,-19.0078,28.9238,882.6420,-0.0628,0.0151,-0.1094,0.9919,1890.0000,1837.0000,1879.0000,,,,
0.2716,237,0,-23.5225,-1.6458,862.5539,-19.0078,28.9238,882.6420,-0.0628,0.0151,-0.1094,0.9919,1890.0000,1835.0000,1879.0000,,,,
0.2836,237,0,-23.5225,-1.6458,862.5539,-19.0078,28.9238,882.6420,-0.0628,0.0151,-0.1094,0.9919,1891.0000,1833.0000,1879.0000,,,,
0.2923,237,0,-22.8754,-2.2238,873.5629,-18.1307,28.3109,893.6510,-0.0663,0.0100,-0.1111,0.9915,1891.0000,1832.0000,1879.0000,,,,
0.3036,237,0,-22.8754,-2.2238,873.5629,-18.1307,28.3109,893.6510,-0.0663,0.0100,-0.1111,0.9915,1891.0000,1831.0000,1879.0000,,,,
0.3159,237,0,-22.8754,-2.2238,873.5629,-18.1307,28.3109,893.6510,-0.0663,0.0100,-0.1111,0.9915,1891.0000,1830.0000,1879.0000,,,,
0.3276,237,0,-20.6003,1.1708,874.8176,-15.3120,31.6160,894.9057,-0.0659,0.0068,-0.1127,0.9914,1891.0000,1828.0000,1879.0000,,,,
0.3396,237,0,-20.6003,1.1708,874.8176,-15.3120,31.6160,894.9057,-0.0659,0.0068,-0.1127,0.9914,1891.0000,1827.0000,1879.0000,,,,
0.3516,237,0,-20.6003,1.1708,874.8176,-15.3120,31.6160,894.9057,-0.0659,0.0068,-0.1127,0.9914,1891.0000,1826.0000,1879.0000,,,,
0.3606,237,0,-17.0799,1.3631,871.6232,-11.7444,31.8001,891.7113,-0.0661,0.0158,-0.1095,0.9917,1890.0000,1825.0000,1879.0000,,,,
0.3716,237,0,-17.0799,1.3631,871.6232,-11.7444,31.8001,891.7113,-0.0661,0.0158,-0.1095,0.9917,1889.0000,1824.0000,1879.0000,,,,
0.3837,237,0,-17.0799,1.3631,871.6232,-11.7444,31.8001,891.7113,-0.0661,0.0158,-0.1095,0.9917,1888.0000,1824.0000,1879.0000,,,,
0.3956,237,0,-15.6218,2.0703,872.1859,-10.7299,32.5818,892.2739,-0.0661,0.0115,-0.1112,0.9915,1887.0000,1823.0000,1879.0000,,,,
0.4076,237,0,-15.6218,2.0703,872.1859,-10.7299,32.5818,892.2739,-0.0661,0.0115,-0.1112,0.9915,1886.0000,1822.0000,1879.0000,,,,
0.4196,237,0,-15.6218,2.0703,872.1859,-10.7299,32.5818,892.2739,-0.0661,0.0115,-0.1112,0.9915,1885.0000,1821.0000,1879.0000,,,,
0.4283,237,0,-16.2242,1.8244,870.7147,-20.9611,32.3603,890.8027,0.2344,-0.0607,-0.1018,0.9649,1884.0000,1820.0000,1879.0000,,,,
0.4396,237,0,-16.2242,1.8244,870.7147,-20.9611,32.3603,890.8027,0.2344,-0.0607,-0.1018,0.9649,1886.0000,1817.0000,1879.0000,,,,
0.4517,237,0,-16.2242,1.8244,870.7147,-20.9611,32.3603,890.8027,0.2344,-0.0607,-0.1018,0.9649,1888.0000,1814.0000,1879.0000,,,,
0.4636,237,0,-15.9981,1.9784,870.0619,-10.8709,32.4512,890.1500,-0.0642,0.0106,-0.1117,0.9916,1889.0000,1812.0000,1879.0000,,,,
0.4759,237,0,-15.9981,1.9784,870.0619,-10.8709,32.4512,890.1500,-0.0642,0.0106,-0.1117,0.9916,1887.0000,1812.0000,1879.0000,,,,
0.4846,237,0,-15.9981,1.9784,870.0619,-10.8709,32.4512,890.1500,-0.0642,0.0106,-0.1117,0.9916,1886.0000,1812.0000,1879.0000,,,,
0.4955,237,0,-15.8121,1.3621,861.3240,-17.9295,32.1906,881.4120,0.1511,0.2072,-0.0985,0.9615,1885.0000,1811.0000,1879.0000,,,,
0.5078,237,0,-15.8121,1.3621,861.3240,-17.9295,32.1906,881.4120,0.1511,0.2072,-0.0985,0.9615,1886.0000,1809.0000,1879.0000,,,,
0.5198,237,0,-15.8121,1.3621,861.3240,-17.9295,32.1906,881.4120,0.1511,0.2072,-0.0985,0.9615,1887.0000,1807.0000,1879.0000,,,,
0.5316,237,0,-13.6238,1.7730,870.2945,-8.2844,32.2093,890.3826,-0.0646,0.0138,-0.1123,0.9915,1887.0000,1805.0000,1879.0000,,,,
0.5444,237,0,-13.6238,1.7730,870.2945,-8.2844,32.2093,890.3826,-0.0646,0.0138,-0.1123,0.9915,1884.0000,1806.0000,1879.0000,,,,
0.5530,237,0,-13.6238,1.7730,870.2945,-8.2844,32.2093,890.3826,-0.0646,0.0138,-0.1123,0.9915,1883.0000,1807.0000,1879.0000,,,,
0.5636,237,0,-11.0430,2.8029,869.6459,1.5234,31.0334,889.7340,0.1425,-0.1224,-0.0968,0.9774,1881.0000,1807.0000,1879.0000,,,,
0.5756,237,0,-11.0430,2.8029,869.6459,1.5234,31.0334,889.7340,0.1425,-0.1224,-0.0968,0.9774,1876.0000,1811.0000,1879.0000,,,,
0.5875,237,0,-11.0430,2.8029,869.6459,1.5234,31.0334,889.7340,0.1425,-0.1224,-0.0968,0.9774,1872.0000,1814.0000,1879.0000,,,,
0.5995,237,0,-8.3433,3.7371,866.9594,-3.0478,34.1811,887.0475,-0.0646,0.0147,-0.1119,0.9915,1869.0000,1816.0000,1879.0000,,,,
0.6086,237,0,-8.3433,3.7371,866.9594,-3.0478,34.1811,887.0475,-0.0646,0.0147,-0.1119,0.9915,1867.0000,1816.0000,1879.0000,,,,
