{HEADER}
user_id: 123
target_id: 370
target_screen_position_mm: [-136.15, 96.08]
fingertip_offset: [1.22, 33.85, 20.50]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,370,0,-239.4770,-175.1425,796.7070,-237.6472,-141.3233,776.2075,-0.0850,-0.0851,-0.0591,0.9910,1849.0000,1824.0000,1873.0000,,,,
0.0115,370,0,-239.4770,-175.1425,796.7070,-237.6472,-141.3233,776.2075,-0.0850,-0.0851,-0.0591,0.9910,1849.0000,1822.0000,1872.0000,,,,
0.0232,370,0,-239.4770,-175.1425,796.7070,-237.6472,-141.3233,776.2075,-0.0850,-0.0851,-0.0591,0.9910,1849.0000,1813.0000,1866.0000,,,,
0.0354,370,0,-252.0017,-182.3329,833.3666,-249.7469,-148.5394,812.8671,-0.0908,-0.0108,-0.0731,0.9931,1849.0000,1801.0000,1857.0000,,,,
0.0468,370,0,-252.0017,-182.3329,833.3666,-249.7469,-148.5394,812.8671,-0.0908,-0.0108,-0.0731,0.9931,1849.0000,1788.0000,1848.0000,,,,
0.0593,370,0,-250.3580,-180.6835,818.5769,-248.4917,-146.8663,798.0774,-0.0880,-0.0344,-0.0688,0.9931,1849.0000,1771.0000,1836.0000,,,,
0.0680,370,0,-250.3580,-180.6835,818.5769,-248.4917,-146.8663,798.0774,-0.0880,-0.0344,-0.0688,0.9931,1849.0000,1758.0000,1828.0000,,,,
0.0791,370,0,-250.3580,-180.6835,818.5769,-248.4917,-146.8663,798.0774,-0.0880,-0.0344,-0.0688,0.9931,1849.0000,1743.0000,1817.0000,,,,
0.0911,370,0,-247.5690,-175.6756,790.4878,-247.5123,-141.8070,769.9883,-0.0565,-0.3289,-0.0411,0.9418,1849.0000,1725.0000,1805.0000,,,,
0.1031,370,0,-247.5690,-175.6756,790.4878,-247.5123,-141.8070,769.9883,-0.0565,-0.3289,-0.0411,0.9418,1849.0000,1706.0000,1792.0000,,,,
0.1152,370,0,-244.3852,-174.0393,791.4217,-242.1741,-140.2429,770.9222,-0.0775,-0.0744,-0.0640,0.9921,1849.0000,1688.0000,1781.0000,,,,
0.1239,370,0,-244.3852,-174.0393,791.4217,-242.1741,-140.2429,770.9222,-0.0775,-0.0744,-0.0640,0.9921,1849.0000,1675.0000,1772.0000,,,,
0.1351,370,0,-244.3852,-174.0393,791.4217,-242.1741,-140.2429,770.9222,-0.0775,-0.0744,-0.0640,0.9921,1849.0000,1659.0000,1761.0000,,,,
0.1472,370,0,-260.7132,-181.6266,839.7827,-260.4223,-147.7592,819.2832,-0.0777,-0.0722,-0.0641,0.9923,1849.0000,1642.0000,1751.0000,,,,
0.1592,370,0,-260.7132,-181.6266,839.7827,-260.4223,-147.7592,819.2832,-0.0777,-0.0722,-0.0641,0.9923,1849.0000,1621.0000,1738.0000,,,,
0.1711,370,0,-246.3887,-167.7342,795.1195,-244.9310,-133.8969,774.6200,-0.0647,-0.0848,-0.0571,0.9926,1849.0000,1601.0000,1725.0000,,,,
0.1831,370,0,-246.3887,-167.7342,795.1195,-244.9310,-133.8969,774.6200,-0.0647,-0.0848,-0.0571,0.9926,1849.0000,1583.0000,1717.0000,,,,
0.1917,370,0,-249.5348,-166.9662,815.1041,-247.8037,-133.1419,794.6046,-0.0653,-0.0367,-0.0639,0.9951,1849.0000,1570.0000,1710.0000,,,,
0.2035,370,0,-249.5348,-166.9662,815.1041,-247.8037,-133.1419,794.6046,-0.0653,-0.0367,-0.0639,0.9951,1849.0000,1553.0000,1702.0000,,,,
0.2151,370,0,-249.5348,-166.9662,815.1041,-247.8037,-133.1419,794.6046,-0.0653,-0.0367,-0.0639,0.9951,1849.0000,1536.0000,1693.0000,,,,
0.2273,370,0,-243.4181,-163.2951,799.0988,-242.0331,-129.4548,778.5993,-0.1357,-0.3408,-0.0453,0.9292,1849.0000,1518.0000,1684.0000,,,,
0.2392,370,0,-243.4181,-163.2951,799.0988,-242.0331,-129.4548,778.5993,-0.1357,-0.3408,-0.0453,0.9292,1849.0000,1501.0000,1676.0000,,,,
0.2511,370,0,-249.4358,-166.6231,838.8162,-247.3534,-132.8185,818.3167,-0.0750,0.0176,-0.0706,0.9945,1849.0000,1485.0000,1667.0000,,,,
0.2600,370,0,-249.4358,-166.6231,838.8162,-247.3534,-132.8185,818.3167,-0.0750,0.0176,-0.0706,0.9945,1850.0000,1473.0000,1661.0000,,,,
0.2714,370,0,-233.5249,-156.5987,799.2766,-232.1341,-122.7587,778.7770,-0.0894,-0.0808,-0.0598,0.9909,1850.0000,1455.0000,1651.0000,,,,
0.2831,370,0,-233.5249,-156.5987,799.2766,-232.1341,-122.7587,778.7770,-0.0894,-0.0808,-0.0598,0.9909,1850.0000,1443.0000,1645.0000,,,,
0.2952,370,0,-211.1803,-139.9730,789.5580,-206.0343,-106.4976,769.0585,-0.0997,0.0399,-0.0904,0.9901,1850.0000,1430.0000,1640.0000,,,,
0.3071,370,0,-211.1803,-139.9730,789.5580,-206.0343,-106.4976,769.0585,-0.0997,0.0399,-0.0904,0.9901,1850.0000,1425.0000,1639.0000,,,,
0.3159,370,0,-211.1803,-139.9730,789.5580,-206.0343,-106.4976,769.0585,-0.0997,0.0399,-0.0904,0.9901,1850.0000,1420.0000,1638.0000,,,,
0.3271,370,0,-219.6244,-146.1615,805.2428,-217.9618,-112.3337,784.7433,-0.0763,-0.0063,-0.0620,0.9951,1850.0000,1412.0000,1636.0000,,,,
0.3391,370,0,-219.6244,-146.1615,805.2428,-217.9618,-112.3337,784.7433,-0.0763,-0.0063,-0.0620,0.9951,1850.0000,1398.0000,1629.0000,,,,
0.3511,370,0,-211.4664,-143.2270,810.7539,-209.9762,-109.3911,790.2544,-0.0655,-0.0594,-0.0551,0.9946,1850.0000,1384.0000,1623.0000,,,,
0.3630,370,0,-211.4664,-143.2270,810.7539,-209.9762,-109.3911,790.2544,-0.0655,-0.0594,-0.0551,0.9946,1850.0000,1374.0000,1618.0000,,,,
0.3749,370,0,-211.4808,-151.2441,838.2457,-209.9728,-117.4091,817.7462,-0.0665,0.0016,-0.0555,0.9962,1850.0000,1362.0000,1612.0000,,,,
0.3836,370,0,-211.4808,-151.2441,838.2457,-209.9728,-117.4091,817.7462,-0.0665,0.0016,-0.0555,0.9962,1850.0000,1356.0000,1605.0000,,,,
0.3951,370,0,-211.4808,-151.2441,838.2457,-209.9728,-117.4091,817.7462,-0.0665,0.0016,-0.0555,0.9962,1850.0000,1345.0000,1594.0000,,,,
0.4071,370,0,-221.5868,-154.3913,883.7962,-220.4452,-120.5418,863.2967,-0.0977,-0.0435,-0.0523,0.9929,1850.0000,1334.0000,1584.0000,,,,
0.4191,370,0,-221.5868,-154.3913,883.7962,-220.4452,-120.5418,863.2967,-0.0977,-0.0435,-0.0523,0.9929,1850.0000,1315.0000,1572.0000,,,,
0.4310,370,0,-201.6393,-138.7181,810.0817,-201.0111,-104.8553,789.5822,-0.1036,-0.3080,-0.0332,0.9452,1850.0000,1299.0000,1562.0000,,,,
0.4429,370,0,-201.6393,-138.7181,810.0817,-201.0111,-104.8553,789.5822,-0.1036,-0.3080,-0.0332,0.9452,1850.0000,1291.0000,1561.0000,,,,
0.4515,370,0,-194.3253,-137.0915,814.3246,-193.6778,-103.2290,793.8251,-0.0460,-0.0386,-0.0451,0.9972,1850.0000,1284.0000,1559.0000,,,,
0.4631,370,0,-194.3253,-137.0915,814.3246,-193.6778,-103.2290,793.8251,-0.0460,-0.0386,-0.0451,0.9972,1850.0000,1279.0000,1557.0000,,,,
