{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 6.9435
endpoint_error_mm: [0.8254, -4.4742, -0.5952]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,15.5138,51.1849,895.1632,19.6782,83.4602,874.6192,-0.0073,0.2916,-0.0686,0.9541,1880.0000,1845.0000,1895.0000,,,,
0.0113,262,0,15.5138,51.1849,895.1632,19.6782,83.4602,874.6192,-0.0073,0.2916,-0.0686,0.9541,1860.0000,1835.0000,1895.0000,,,,
0.0914,262,0,-58.0344,38.4895,893.1122,-58.4485,71.0297,872.5682,-0.1310,-0.2619,-0.0711,0.9535,1869.0000,1833.0000,1895.0000,,,,
0.1035,262,0,-58.0344,38.4895,893.1122,-58.4485,71.0297,872.5682,-0.1310,-0.2619,-0.0711,0.9535,1881.0000,1788.0000,1895.0000,,,,
0.1475,262,0,-35.6247,55.7696,890.0868,-34.4670,88.2918,869.5428,0.1299,0.0763,-0.0640,0.9865,1882.0000,1798.0000,1895.0000,,,,
0.1594,262,0,-35.6247,55.7696,890.0868,-34.4670,88.2918,869.5428,0.1299,0.0763,-0.0640,0.9865,1876.0000,1757.0000,1895.0000,,,,
0.1915,262,0,50.5593,58.0270,839.0988,54.2203,90.3633,818.5547,-0.1305,0.1504,-0.0465,0.9789,1868.0000,1758.0000,1895.0000,,,,
0.2036,262,0,50.5593,58.0270,839.0988,54.2203,90.3633,818.5547,-0.1305,0.1504,-0.0465,0.9789,1800.0000,1768.0000,1895.0000,,,,
0.2595,262,0,-76.7328,137.9217,973.1947,-72.7913,170.2249,952.6507,0.2367,-0.2318,-0.0892,0.9393,1825.0000,1804.0000,1895.0000,,,,
0.2716,262,0,-76.7328,137.9217,973.1947,-72.7913,170.2249,952.6507,0.2367,-0.2318,-0.0892,0.9393,1823.0000,1674.0000,1895.0000,,,,
0.2836,262,0,-25.7232,92.3181,888.7286,-22.8706,124.7356,868.1846,0.0365,0.0498,-0.0594,0.9963,1819.0000,1584.0000,1895.0000,,,,
0.2955,262,0,-25.7232,92.3181,888.7286,-22.8706,124.7356,868.1846,0.0365,0.0498,-0.0594,0.9963,1798.0000,1554.0000,1895.0000,,,,
0.3042,262,0,-25.7232,92.3181,888.7286,-22.8706,124.7356,868.1846,0.0365,0.0498,-0.0594,0.9963,1784.0000,1537.0000,1895.0000,,,,
0.3154,262,0,1.9389,92.9816,817.1570,5.6359,125.3138,796.6130,0.0281,0.0337,-0.0666,0.9968,1767.0000,1517.0000,1895.0000,,,,
0.3274,262,0,1.9389,92.9816,817.1570,5.6359,125.3138,796.6130,0.0281,0.0337,-0.0666,0.9968,1726.0000,1512.0000,1895.0000,,,,
0.3393,262,0,26.9372,110.6003,807.5019,30.7629,142.9175,786.9579,0.0279,0.0705,-0.0590,0.9954,1691.0000,1509.0000,1895.0000,,,,
0.3514,262,0,26.9372,110.6003,807.5019,30.7629,142.9175,786.9579,0.0279,0.0705,-0.0590,0.9954,1632.0000,1513.0000,1895.0000,,,,
0.3635,262,0,18.8055,92.9560,803.1301,21.8635,125.3549,782.5861,0.0365,0.0278,-0.0657,0.9968,1589.0000,1527.0000,1895.0000,,,,
0.3724,262,0,18.8055,92.9560,803.1301,21.8635,125.3549,782.5861,0.0365,0.0278,-0.0657,0.9968,1575.0000,1536.0000,1895.0000,,,,
0.3836,262,0,29.2327,93.9912,796.6194,31.7950,126.4330,776.0754,0.0273,0.0329,-0.0547,0.9976,1558.0000,1545.0000,1895.0000,,,,
0.3955,262,0,29.2327,93.9912,796.6194,31.7950,126.4330,776.0754,0.0273,0.0329,-0.0547,0.9976,1535.0000,1564.0000,1895.0000,,,,
0.4074,262,0,31.7847,88.5322,780.9995,34.4431,120.9663,760.4554,0.0393,0.0412,-0.0552,0.9969,1517.0000,1577.0000,1895.0000,,,,
0.4194,262,0,31.7847,88.5322,780.9995,34.4431,120.9663,760.4554,0.0393,0.0412,-0.0552,0.9969,1501.0000,1594.0000,1895.0000,,,,
0.4316,262,0,40.5458,91.4190,777.8753,43.0646,123.8642,757.3313,0.0394,0.0519,-0.0532,0.9965,1486.0000,1607.0000,1895.0000,,,,
0.4404,262,0,40.5458,91.4190,777.8753,43.0646,123.8642,757.3313,0.0394,0.0519,-0.0532,0.9965,1471.0000,1621.0000,1895.0000,,,,
0.4516,262,0,40.2438,93.0895,773.9802,42.5026,125.5538,753.4362,0.0381,0.0470,-0.0484,0.9970,1453.0000,1634.0000,1895.0000,,,,
0.4635,262,0,40.2438,93.0895,773.9802,42.5026,125.5538,753.4362,0.0381,0.0470,-0.0484,0.9970,1437.0000,1643.0000,1895.0000,,,,
0.4755,262,0,40.2438,93.0895,773.9802,42.5026,125.5538,753.4362,0.0381,0.0470,-0.0484,0.9970,1420.0000,1650.0000,1895.0000,,,,
0.4874,262,0,38.4091,98.1658,820.8326,40.3019,130.6535,800.2886,0.0364,0.0652,-0.0445,0.9962,1406.0000,1655.0000,1895.0000,,,,
0.4960,262,0,38.4091,98.1658,820.8326,40.3019,130.6535,800.2886,0.0364,0.0652,-0.0445,0.9962,1396.0000,1653.0000,1895.0000,,,,
0.5075,262,0,42.2938,89.3224,761.1841,44.0643,121.8170,740.6401,0.0426,0.0525,-0.0460,0.9967,1382.0000,1652.0000,1895.0000,,,,
0.5195,262,0,42.2938,89.3224,761.1841,44.0643,121.8170,740.6401,0.0426,0.0525,-0.0460,0.9967,1370.0000,1660.0000,1895.0000,,,,
0.5320,262,0,39.7529,93.0129,804.2632,41.3102,125.5184,783.7192,0.0300,0.0696,-0.0398,0.9963,1359.0000,1665.0000,1895.0000,,,,
