{HEADER}
user_id: 123
target_id: 141
target_screen_position_mm: [-104.04, -32.12]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 8.0156
endpoint_error_mm: [-1.8782, 5.7186, 2.4654]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,141,0,-111.5794,-109.6060,869.8522,-100.9234,-78.8573,849.3082,-0.1851,-0.0019,-0.1665,0.9685,1866.0000,1846.0000,1893.0000,,,,
0.0119,141,0,-111.5794,-109.6060,869.8522,-100.9234,-78.8573,849.3082,-0.1851,-0.0019,-0.1665,0.9685,1866.0000,1841.0000,1888.0000,,,,
0.3278,141,0,-88.6194,-131.7476,866.6371,-82.2622,-99.8318,846.0931,0.0472,-0.3103,-0.0927,0.9449,1866.0000,1845.0000,1890.0000,,,,
0.3399,141,0,-88.6194,-131.7476,866.6371,-82.2622,-99.8318,846.0931,0.0472,-0.3103,-0.0927,0.9449,1866.0000,1832.0000,1851.0000,,,,
0.4277,141,0,-47.6432,-95.2977,854.3517,-40.8371,-63.4746,833.8077,-0.2066,-0.0209,-0.1181,0.9711,1866.0000,1840.0000,1874.0000,,,,
0.4397,141,0,-47.6432,-95.2977,854.3517,-40.8371,-63.4746,833.8077,-0.2066,-0.0209,-0.1181,0.9711,1866.0000,1838.0000,1840.0000,,,,
0.5878,141,0,-92.8545,-91.1840,856.4251,-89.1460,-58.8532,835.8811,-0.0629,-0.2843,-0.1044,0.9510,1866.0000,1841.0000,1884.0000,,,,
0.5965,141,0,-92.8545,-91.1840,856.4251,-89.1460,-58.8532,835.8811,-0.0629,-0.2843,-0.1044,0.9510,1866.0000,1810.0000,1861.0000,,,,
0.6087,141,0,-92.8545,-91.1840,856.4251,-89.1460,-58.8532,835.8811,-0.0629,-0.2843,-0.1044,0.9510,1866.0000,1776.0000,1835.0000,,,,
0.7238,141,0,-30.5807,-72.7425,931.6520,-24.0094,-40.8701,911.1080,0.0198,-0.0081,-0.0966,0.9951,1867.0000,1833.0000,1880.0000,,,,
0.7326,141,0,-30.5807,-72.7425,931.6520,-24.0094,-40.8701,911.1080,0.0198,-0.0081,-0.0966,0.9951,1867.0000,1832.0000,1855.0000,,,,
0.7438,141,0,-30.5807,-72.7425,931.6520,-24.0094,-40.8701,911.1080,0.0198,-0.0081,-0.0966,0.9951,1867.0000,1833.0000,1826.0000,,,,
0.7800,141,0,-43.9663,-25.8103,815.0906,-38.1565,6.2097,794.5466,0.0551,-0.0243,-0.1117,0.9919,1867.0000,1834.0000,1840.0000,,,,
0.7887,141,0,-43.9663,-25.8103,815.0906,-38.1565,6.2097,794.5466,0.0551,-0.0243,-0.1117,0.9919,1867.0000,1808.0000,1863.0000,,,,
0.7997,141,0,-46.0805,-28.6926,823.8456,-40.6931,3.4011,803.3016,-0.0365,0.0140,-0.1146,0.9926,1867.0000,1794.0000,1878.0000,,,,
0.8118,141,0,-46.0805,-28.6926,823.8456,-40.6931,3.4011,803.3016,-0.0365,0.0140,-0.1146,0.9926,1867.0000,1786.0000,1884.0000,,,,
0.8238,141,0,-46.0805,-28.6926,823.8456,-40.6931,3.4011,803.3016,-0.0365,0.0140,-0.1146,0.9926,1867.0000,1781.0000,1889.0000,,,,
0.8358,141,0,-26.8694,-20.6174,819.3021,-20.6140,11.3185,798.7581,-0.0423,-0.0278,-0.1095,0.9927,1867.0000,1778.0000,1892.0000,,,,
0.8479,141,0,-26.8694,-20.6174,819.3021,-20.6140,11.3185,798.7581,-0.0423,-0.0278,-0.1095,0.9927,1867.0000,1779.0000,1894.0000,,,,
0.8566,141,0,-37.2279,-14.7106,822.1980,-32.3478,17.4642,801.6540,-0.0400,0.0092,-0.1096,0.9931,1867.0000,1772.0000,1894.0000,,,,
0.8678,141,0,-37.2279,-14.7106,822.1980,-32.3478,17.4642,801.6540,-0.0400,0.0092,-0.1096,0.9931,1867.0000,1756.0000,1894.0000,,,,
0.8798,141,0,-1.2923,-9.4920,789.3132,3.6744,22.6696,768.7692,-0.0513,0.0123,-0.0985,0.9937,1867.0000,1740.0000,1894.0000,,,,
0.8917,141,0,-1.2923,-9.4920,789.3132,3.6744,22.6696,768.7692,-0.0513,0.0123,-0.0985,0.9937,1867.0000,1737.0000,1894.0000,,,,
0.9038,141,0,-1.2923,-9.4920,789.3132,3.6744,22.6696,768.7692,-0.0513,0.0123,-0.0985,0.9937,1867.0000,1735.0000,1894.0000,,,,
0.9160,141,0,-26.7536,-7.7418,798.6782,-21.3832,24.3549,778.1342,-0.0271,0.0165,-0.1079,0.9937,1867.0000,1732.0000,1894.0000,,,,
0.9247,141,0,-26.7536,-7.7418,798.6782,-21.3832,24.3549,778.1342,-0.0271,0.0165,-0.1079,0.9937,1867.0000,1721.0000,1894.0000,,,,
0.9360,141,0,-22.4930,4.9485,794.5355,-17.7075,37.1376,773.9915,-0.0229,0.0208,-0.1044,0.9941,1867.0000,1705.0000,1894.0000,,,,
0.9478,141,0,-22.4930,4.9485,794.5355,-17.7075,37.1376,773.9915,-0.0229,0.0208,-0.1044,0.9941,1867.0000,1683.0000,1894.0000,,,,
0.9598,141,0,-19.0446,9.5854,795.5591,-14.3047,41.7811,775.0151,-0.0209,0.0261,-0.1021,0.9942,1867.0000,1662.0000,1894.0000,,,,
0.9719,141,0,-19.0446,9.5854,795.5591,-14.3047,41.7811,775.0151,-0.0209,0.0261,-0.1021,0.9942,1861.0000,1643.0000,1894.0000,,,,
0.9807,141,0,-19.0446,9.5854,795.5591,-14.3047,41.7811,775.0151,-0.0209,0.0261,-0.1021,0.9942,1853.0000,1632.0000,1894.0000,,,,
0.9918,141,0,-13.6685,16.2164,789.5665,-9.0156,48.4249,769.0225,-0.0232,0.0308,-0.1000,0.9942,1843.0000,1619.0000,1894.0000,,,,
1.0039,141,0,-13.6685,16.2164,789.5665,-9.0156,48.4249,769.0225,-0.0232,0.0308,-0.1000,0.9942,1823.0000,1606.0000,1894.0000,,,,
1.0162,141,0,-10.5649,21.6202,791.9424,-5.7979,53.8120,771.3984,-0.0235,0.0262,-0.0969,0.9947,1804.0000,1594.0000,1894.0000,,,,
1.0278,141,0,-10.5649,21.6202,791.9424,-5.7979,53.8120,771.3984,-0.0235,0.0262,-0.0969,0.9947,1780.0000,1583.0000,1894.0000,,,,
1.0398,141,0,-7.0198,24.8073,779.5585,-2.2802,57.0031,759.0145,-0.0216,0.0307,-0.0951,0.9948,1759.0000,1574.0000,1894.0000,,,,
1.0486,141,0,-7.0198,24.8073,779.5585,-2.2802,57.0031,759.0145,-0.0216,0.0307,-0.0951,0.9948,1737.0000,1568.0000,1894.0000,,,,
1.0597,141,0,-2.2758,24.2652,647.6553,1.0634,56.6363,627.1113,0.2301,0.4331,-0.0893,0.8669,1716.0000,1561.0000,1894.0000,,,,
1.0718,141,0,-2.2758,24.2652,647.6553,1.0634,56.6363,627.1113,0.2301,0.4331,-0.0893,0.8669,1692.0000,1560.0000,1894.0000,,,,
1.0839,141,0,-2.2758,24.2652,647.6553,1.0634,56.6363,627.1113,0.2301,0.4331,-0.0893,0.8669,1672.0000,1558.0000,1894.0000,,,,
1.0959,141,0,2.6500,31.5520,781.7633,7.1306,63.7849,761.2193,-0.0195,0.0352,-0.0891,0.9952,1652.0000,1556.0000,1894.0000,,,,
1.1078,141,0,2.6500,31.5520,781.7633,7.1306,63.7849,761.2193,-0.0195,0.0352,-0.0891,0.9952,1618.0000,1555.0000,1894.0000,,,,
1.1170,141,0,10.4698,36.4490,775.1832,14.4145,68.7519,754.6392,-0.0154,0.0366,-0.0830,0.9958,1597.0000,1558.0000,1894.0000,,,,
1.1278,141,0,10.4698,36.4490,775.1832,14.4145,68.7519,754.6392,-0.0154,0.0366,-0.0830,0.9958,1568.0000,1571.0000,1894.0000,,,,
1.1395,141,0,13.9623,39.8031,770.1906,17.9143,72.1051,749.6465,-0.0153,0.0344,-0.0829,0.9958,1540.0000,1583.0000,1894.0000,,,,
1.1517,141,0,13.9623,39.8031,770.1906,17.9143,72.1051,749.6465,-0.0153,0.0344,-0.0829,0.9958,1509.0000,1594.0000,1894.0000,,,,
1.1640,141,0,17.3802,41.4179,757.9458,21.2845,73.7256,737.4018,-0.0171,0.0388,-0.0811,0.9958,1483.0000,1603.0000,1894.0000,,,,
1.1728,141,0,17.3802,41.4179,757.9458,21.2845,73.7256,737.4018,-0.0171,0.0388,-0.0811,0.9958,1462.0000,1612.0000,1894.0000,,,,
1.1839,141,0,17.3802,41.4179,757.9458,21.2845,73.7256,737.4018,-0.0171,0.0388,-0.0811,0.9958,1441.0000,1620.0000,1894.0000,,,,
1.1957,141,0,22.8738,44.0297,763.0455,26.4750,76.3726,742.5015,-0.0192,0.0421,-0.0794,0.9958,1420.0000,1628.0000,1894.0000,,,,
1.2077,141,0,22.8738,44.0297,763.0455,26.4750,76.3726,742.5015,-0.0192,0.0421,-0.0794,0.9958,1396.0000,1640.0000,1894.0000,,,,
1.2198,141,0,27.5940,45.2896,756.5156,31.2321,77.6284,735.9716,-0.0157,0.0429,-0.0767,0.9960,1372.0000,1651.0000,1894.0000,,,,
1.2323,141,0,27.5940,45.2896,756.5156,31.2321,77.6284,735.9716,-0.0157,0.0429,-0.0767,0.9960,1346.0000,1666.0000,1894.0000,,,,
1.2410,141,0,27.5940,45.2896,756.5156,31.2321,77.6284,735.9716,-0.0157,0.0429,-0.0767,0.9960,1331.0000,1675.0000,1894.0000,,,,
