{HEADER}
user_id: 123
target_id: 211
target_screen_position_mm: [56.00, 0.00]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 7.4635
endpoint_error_mm: [3.6380, 6.4012, 2.8793]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,211,0,102.2476,52.5317,815.8905,107.1703,84.7000,795.3465,-0.0245,-0.0272,-0.1005,0.9943,1856.0000,1845.0000,1896.0000,,,,
0.0115,211,0,102.2476,52.5317,815.8905,107.1703,84.7000,795.3465,-0.0245,-0.0272,-0.1005,0.9943,1848.0000,1845.0000,1896.0000,,,,
0.0234,211,0,110.3247,49.5272,826.5551,115.4859,81.6582,806.0111,-0.0564,-0.0119,-0.1059,0.9927,1837.0000,1845.0000,1896.0000,,,,
0.0355,211,0,110.3247,49.5272,826.5551,115.4859,81.6582,806.0111,-0.0564,-0.0119,-0.1059,0.9927,1825.0000,1845.0000,1896.0000,,,,
0.0474,211,0,110.3247,49.5272,826.5551,115.4859,81.6582,806.0111,-0.0564,-0.0119,-0.1059,0.9927,1814.0000,1845.0000,1896.0000,,,,
0.0560,211,0,70.5936,55.8630,847.1368,75.2667,88.0685,826.5928,0.1039,-0.1633,-0.1044,0.9755,1805.0000,1845.0000,1896.0000,,,,
0.0684,211,0,70.5936,55.8630,847.1368,75.2667,88.0685,826.5928,0.1039,-0.1633,-0.1044,0.9755,1794.0000,1845.0000,1896.0000,,,,
0.0794,211,0,108.1336,57.7870,837.3051,113.6608,89.8570,816.7610,-0.0375,-0.0081,-0.1108,0.9931,1784.0000,1845.0000,1896.0000,,,,
0.0913,211,0,108.1336,57.7870,837.3051,113.6608,89.8570,816.7610,-0.0375,-0.0081,-0.1108,0.9931,1771.0000,1845.0000,1896.0000,,,,
0.1033,211,0,124.2969,65.0526,852.4814,130.4295,97.0124,831.9374,-0.0354,-0.0220,-0.1061,0.9935,1759.0000,1845.0000,1896.0000,,,,
0.1154,211,0,124.2969,65.0526,852.4814,130.4295,97.0124,831.9374,-0.0354,-0.0220,-0.1061,0.9935,1741.0000,1845.0000,1896.0000,,,,
0.1240,211,0,124.2969,65.0526,852.4814,130.4295,97.0124,831.9374,-0.0354,-0.0220,-0.1061,0.9935,1731.0000,1845.0000,1896.0000,,,,
0.1593,211,0,222.0726,65.7735,813.4063,227.7906,97.8101,792.8623,-0.1403,-0.1118,-0.1520,0.9720,1754.0000,1845.0000,1896.0000,,,,
0.1715,211,0,222.0726,65.7735,813.4063,227.7906,97.8101,792.8623,-0.1403,-0.1118,-0.1520,0.9720,1715.0000,1845.0000,1896.0000,,,,
0.1803,211,0,146.1126,-10.5229,119.6406,114.3000,-3.6678,99.0966,0.0000,0.0000,0.0000,1.0000,1693.0000,1845.0000,1896.0000,,,,
0.1913,211,0,146.1126,-10.5229,119.6406,114.3000,-3.6678,99.0966,0.0000,0.0000,0.0000,1.0000,1703.0000,1845.0000,1896.0000,,,,
0.2274,211,0,583.5609,-24.8278,471.5320,565.4516,2.2108,450.9881,0.0000,0.0000,0.0000,1.0000,1737.0000,1845.0000,1896.0000,,,,
0.2393,211,0,583.5609,-24.8278,471.5320,565.4516,2.2108,450.9881,0.0000,0.0000,0.0000,1.0000,1654.0000,1845.0000,1896.0000,,,,
0.2480,211,0,583.5609,-24.8278,471.5320,565.4516,2.2108,450.9881,0.0000,0.0000,0.0000,1.0000,1593.0000,1845.0000,1896.0000,,,,
0.2593,211,0,108.9261,68.5256,863.7551,115.0799,100.4813,843.2111,-0.0271,0.0040,-0.1160,0.9929,1533.0000,1845.0000,1896.0000,,,,
0.2713,211,0,108.9261,68.5256,863.7551,115.0799,100.4813,843.2111,-0.0271,0.0040,-0.1160,0.9929,1535.0000,1845.0000,1896.0000,,,,
0.2835,211,0,109.6639,72.2752,827.4091,114.9537,104.3852,806.8651,-0.0115,0.0054,-0.1103,0.9938,1532.0000,1845.0000,1896.0000,,,,
0.2953,211,0,109.6639,72.2752,827.4091,114.9537,104.3852,806.8651,-0.0115,0.0054,-0.1103,0.9938,1526.0000,1845.0000,1896.0000,,,,
0.3075,211,0,110.7446,72.4629,830.6978,116.7672,104.4436,810.1538,-0.0178,0.0017,-0.1083,0.9940,1520.0000,1845.0000,1896.0000,,,,
0.3162,211,0,110.7446,72.4629,830.6978,116.7672,104.4436,810.1538,-0.0178,0.0017,-0.1083,0.9940,1513.0000,1845.0000,1896.0000,,,,
0.3275,211,0,110.7446,72.4629,830.6978,116.7672,104.4436,810.1538,-0.0178,0.0017,-0.1083,0.9940,1505.0000,1845.0000,1896.0000,,,,
0.3393,211,0,108.8346,67.8729,810.6885,113.7434,100.0434,790.1445,-0.0161,0.0027,-0.1064,0.9942,1496.0000,1845.0000,1896.0000,,,,
0.3513,211,0,108.8346,67.8729,810.6885,113.7434,100.0434,790.1445,-0.0161,0.0027,-0.1064,0.9942,1489.0000,1845.0000,1896.0000,,,,
0.3635,211,0,109.4143,67.9255,820.2842,114.3803,100.0872,799.7402,-0.0221,0.0033,-0.1034,0.9944,1482.0000,1845.0000,1896.0000,,,,
0.3722,211,0,109.4143,67.9255,820.2842,114.3803,100.0872,799.7402,-0.0221,0.0033,-0.1034,0.9944,1475.0000,1845.0000,1896.0000,,,,
0.3834,211,0,119.3266,63.7018,806.1463,124.3161,95.8599,785.6023,-0.0183,-0.0160,-0.1013,0.9946,1467.0000,1845.0000,1896.0000,,,,
0.3957,211,0,119.3266,63.7018,806.1463,124.3161,95.8599,785.6023,-0.0183,-0.0160,-0.1013,0.9946,1456.0000,1845.0000,1896.0000,,,,
0.4073,211,0,116.2302,68.7898,810.9827,121.3393,100.9290,790.4387,-0.0161,-0.0287,-0.1021,0.9942,1447.0000,1845.0000,1896.0000,,,,
0.4196,211,0,116.2302,68.7898,810.9827,121.3393,100.9290,790.4387,-0.0161,-0.0287,-0.1021,0.9942,1435.0000,1845.0000,1896.0000,,,,
0.4315,211,0,116.2302,68.7898,810.9827,121.3393,100.9290,790.4387,-0.0161,-0.0287,-0.1021,0.9942,1423.0000,1845.0000,1896.0000,,,,
0.4402,211,0,110.4803,67.6724,800.7408,115.5938,99.8110,780.1968,-0.0271,0.0184,-0.0998,0.9945,1414.0000,1845.0000,1896.0000,,,,
0.4515,211,0,110.4803,67.6724,800.7408,115.5938,99.8110,780.1968,-0.0271,0.0184,-0.0998,0.9945,1406.0000,1845.0000,1896.0000,,,,
0.4634,211,0,113.2458,69.6830,803.7576,118.2007,101.8464,783.2136,-0.0115,0.0011,-0.0999,0.9949,1396.0000,1845.0000,1896.0000,,,,
0.4754,211,0,113.2458,69.6830,803.7576,118.2007,101.8464,783.2136,-0.0115,0.0011,-0.0999,0.9949,1384.0000,1845.0000,1896.0000,,,,
0.4874,211,0,114.8488,70.6307,807.7732,119.5632,102.8302,787.2292,-0.0155,0.0076,-0.0995,0.9949,1372.0000,1845.0000,1896.0000,,,,
0.4994,211,0,114.8488,70.6307,807.7732,119.5632,102.8302,787.2292,-0.0155,0.0076,-0.0995,0.9949,1359.0000,1845.0000,1896.0000,,,,
0.5080,211,0,114.8488,70.6307,807.7732,119.5632,102.8302,787.2292,-0.0155,0.0076,-0.0995,0.9949,1350.0000,1845.0000,1896.0000,,,,
0.5195,211,0,113.5409,69.8841,792.6963,118.6463,102.0239,772.1523,-0.0142,0.0043,-0.0987,0.9950,1339.0000,1845.0000,1896.0000,,,,
0.5313,211,0,113.5409,69.8841,792.6963,118.6463,102.0239,772.1523,-0.0142,0.0043,-0.0987,0.9950,1328.0000,1845.0000,1896.0000,,,,
0.5433,211,0,116.8641,72.8485,804.9689,121.7139,105.0279,784.4249,-0.0141,0.0061,-0.0980,0.9951,1316.0000,1845.0000,1896.0000,,,,
0.5554,211,0,116.8641,72.8485,804.9689,121.7139,105.0279,784.4249,-0.0141,0.0061,-0.0980,0.9951,1301.0000,1845.0000,1896.0000,,,,
0.5642,211,0,117.1391,73.1659,792.3263,121.9836,105.3461,771.7823,-0.0103,0.0040,-0.0972,0.9952,1291.0000,1845.0000,1896.0000,,,,
0.5753,211,0,117.1391,73.1659,792.3263,121.9836,105.3461,771.7823,-0.0103,0.0040,-0.0972,0.9952,1277.0000,1845.0000,1896.0000,,,,
0.5874,211,0,119.7557,75.1520,797.9588,124.2519,107.3827,777.4148,-0.0124,0.0101,-0.0939,0.9955,1264.0000,1845.0000,1896.0000,,,,
0.5995,211,0,119.7557,75.1520,797.9588,124.2519,107.3827,777.4148,-0.0124,0.0101,-0.0939,0.9955,1248.0000,1845.0000,1896.0000,,,,
0.6112,211,0,119.7557,75.1520,797.9588,124.2519,107.3827,777.4148,-0.0124,0.0101,-0.0939,0.9955,1234.0000,1845.0000,1896.0000,,,,
0.6233,211,0,120.2286,75.1134,793.5245,124.2212,107.4104,772.9805,-0.0114,0.0076,-0.0914,0.9957,1220.0000,1845.0000,1896.0000,,,,
