{HEADER}
user_id: 123
target_id: 167
target_screen_position_mm: [-167.99, -15.92]
fingertip_offset: [-0.08, 32.54, 20.54]
completion_time: 7.0592
endpoint_error_mm: [21.4418, -16.6879, 0.4161]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,167,0,-43.9245,-36.9980,770.6738,-38.6605,-4.8837,750.1298,-0.0547,0.0652,-0.1072,0.9906,1865.0000,1840.0000,1895.0000,,,,
0.0118,167,0,-41.3100,-32.4765,749.1971,-36.3251,-0.3177,728.6531,-0.0536,0.0725,-0.1087,0.9900,1865.0000,1839.0000,1895.0000,,,,
0.0236,167,0,-41.3100,-32.4765,749.1971,-36.3251,-0.3177,728.6531,-0.0536,0.0725,-0.1087,0.9900,1865.0000,1837.0000,1895.0000,,,,
0.0351,167,0,-44.8426,-29.9309,771.9386,-39.3783,2.1499,751.3946,-0.0457,0.0674,-0.1060,0.9910,1865.0000,1836.0000,1895.0000,,,,
0.0471,167,0,-44.8426,-29.9309,771.9386,-39.3783,2.1499,751.3946,-0.0457,0.0674,-0.1060,0.9910,1865.0000,1835.0000,1895.0000,,,,
0.0557,167,0,-44.8426,-29.9309,771.9386,-39.3783,2.1499,751.3946,-0.0457,0.0674,-0.1060,0.9910,1865.0000,1834.0000,1895.0000,,,,
0.0671,167,0,-46.3961,-27.9717,770.5170,-41.1521,4.1458,749.9730,-0.0491,0.0643,-0.1071,0.9910,1865.0000,1833.0000,1895.0000,,,,
0.0799,167,0,-46.3961,-27.9717,770.5170,-41.1521,4.1458,749.9730,-0.0491,0.0643,-0.1071,0.9910,1865.0000,1832.0000,1895.0000,,,,
0.0910,167,0,-48.5976,-27.1986,765.6674,-43.3626,4.9204,745.1234,-0.0501,0.0701,-0.1082,0.9904,1865.0000,1830.0000,1895.0000,,,,
0.1029,167,0,-48.5976,-27.1986,765.6674,-43.3626,4.9204,745.1234,-0.0501,0.0701,-0.1082,0.9904,1865.0000,1828.0000,1895.0000,,,,
