{HEADER}
user_id: 123
target_id: 262
target_screen_position_mm: [-88.11, 32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 9.3944
endpoint_error_mm: [-2.6692, -1.3861, -1.5362]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,262,0,49.1071,-53.3824,630.2266,48.5176,-20.6971,607.0126,0.5603,0.4078,-0.0543,0.7189,1834.0000,1845.0000,1870.0000,,,,
0.0110,262,0,49.1071,-53.3824,630.2266,48.5176,-20.6971,607.0126,0.5603,0.4078,-0.0543,0.7189,1827.0000,1845.0000,1870.0000,,,,
0.0230,262,0,56.9844,-61.7721,741.6586,55.8592,-29.1008,718.4446,-0.0249,0.0714,-0.0033,0.9971,1822.0000,1845.0000,1870.0000,,,,
0.0351,262,0,56.9844,-61.7721,741.6586,55.8592,-29.1008,718.4446,-0.0249,0.0714,-0.0033,0.9971,1820.0000,1845.0000,1870.0000,,,,
0.0467,262,0,56.9844,-61.7721,741.6586,55.8592,-29.1008,718.4446,-0.0249,0.0714,-0.0033,0.9971,1818.0000,1845.0000,1870.0000,,,,
0.0587,262,0,56.4833,-61.6442,742.1935,55.3851,-28.9720,718.9796,-0.0245,0.0726,-0.0029,0.9971,1817.0000,1845.0000,1870.0000,,,,
0.0675,262,0,56.4833,-61.6442,742.1935,55.3851,-28.9720,718.9796,-0.0245,0.0726,-0.0029,0.9971,1816.0000,1845.0000,1869.0000,,,,
0.0785,262,0,55.6053,-61.3093,742.5564,54.7032,-28.6311,719.3425,-0.0232,0.0732,-0.0031,0.9970,1814.0000,1845.0000,1868.0000,,,,
0.0906,262,0,55.6053,-61.3093,742.5564,54.7032,-28.6311,719.3425,-0.0232,0.0732,-0.0031,0.9970,1813.0000,1845.0000,1866.0000,,,,
0.1028,262,0,55.6053,-61.3093,742.5564,54.7032,-28.6311,719.3425,-0.0232,0.0732,-0.0031,0.9970,1812.0000,1845.0000,1865.0000,,,,
0.1145,262,0,54.7180,-60.6302,741.3471,53.5657,-27.9598,718.1332,-0.0241,0.0738,-0.0029,0.9970,1811.0000,1845.0000,1863.0000,,,,
0.1268,262,0,54.7180,-60.6302,741.3471,53.5657,-27.9598,718.1332,-0.0241,0.0738,-0.0029,0.9970,1810.0000,1845.0000,1861.0000,,,,
0.1356,262,0,52.5424,-59.1843,739.3608,51.7034,-26.5044,716.1469,-0.0216,0.0709,-0.0040,0.9972,1809.0000,1845.0000,1860.0000,,,,
0.1466,262,0,52.5424,-59.1843,739.3608,51.7034,-26.5044,716.1469,-0.0216,0.0709,-0.0040,0.9972,1809.0000,1845.0000,1858.0000,,,,
0.1587,262,0,52.5424,-59.1843,739.3608,51.7034,-26.5044,716.1469,-0.0216,0.0709,-0.0040,0.9972,1808.0000,1845.0000,1857.0000,,,,
0.1706,262,0,50.3073,-57.9057,734.3632,49.2118,-25.2334,711.1493,-0.0232,0.0726,-0.0045,0.9971,1807.0000,1845.0000,1855.0000,,,,
0.1824,262,0,50.3073,-57.9057,734.3632,49.2118,-25.2334,711.1493,-0.0232,0.0726,-0.0045,0.9971,1806.0000,1845.0000,1854.0000,,,,
0.1914,262,0,47.7006,-55.4276,739.3187,46.7634,-22.7504,716.1047,-0.0199,0.0705,-0.0068,0.9973,1806.0000,1845.0000,1853.0000,,,,
0.2026,262,0,47.7006,-55.4276,739.3187,46.7634,-22.7504,716.1047,-0.0199,0.0705,-0.0068,0.9973,1805.0000,1845.0000,1852.0000,,,,
0.2146,262,0,47.7006,-55.4276,739.3187,46.7634,-22.7504,716.1047,-0.0199,0.0705,-0.0068,0.9973,1804.0000,1845.0000,1851.0000,,,,
0.2267,262,0,45.4594,-53.2031,735.3544,44.7102,-20.5210,712.1405,-0.0201,0.0694,-0.0080,0.9974,1803.0000,1845.0000,1851.0000,,,,
0.2386,262,0,45.4594,-53.2031,735.3544,44.7102,-20.5210,712.1405,-0.0201,0.0694,-0.0080,0.9974,1802.0000,1845.0000,1850.0000,,,,
0.2505,262,0,42.6712,-50.6040,735.4451,41.9427,-17.9215,712.2312,-0.0190,0.0679,-0.0095,0.9975,1801.0000,1845.0000,1850.0000,,,,
0.2593,262,0,42.6712,-50.6040,735.4451,41.9427,-17.9215,712.2312,-0.0190,0.0679,-0.0095,0.9975,1801.0000,1845.0000,1850.0000,,,,
0.2710,262,0,42.6712,-50.6040,735.4451,41.9427,-17.9215,712.2312,-0.0190,0.0679,-0.0095,0.9975,1800.0000,1845.0000,1850.0000,,,,
0.2826,262,0,40.9985,-48.3988,733.1025,40.2045,-15.7178,709.8885,-0.0165,0.0665,-0.0111,0.9976,1799.0000,1845.0000,1850.0000,,,,
0.2945,262,0,40.9985,-48.3988,733.1025,40.2045,-15.7178,709.8885,-0.0165,0.0665,-0.0111,0.9976,1799.0000,1845.0000,1850.0000,,,,
0.3066,262,0,38.6841,-45.2447,731.6470,38.4225,-12.5551,708.4330,-0.0161,0.0655,-0.0123,0.9976,1798.0000,1845.0000,1850.0000,,,,
0.3185,262,0,38.6841,-45.2447,731.6470,38.4225,-12.5551,708.4330,-0.0161,0.0655,-0.0123,0.9976,1797.0000,1845.0000,1851.0000,,,,
0.3276,262,0,38.6841,-45.2447,731.6470,38.4225,-12.5551,708.4330,-0.0161,0.0655,-0.0123,0.9976,1797.0000,1845.0000,1851.0000,,,,
0.3386,262,0,36.2073,-42.1032,729.0900,35.6691,-9.4170,705.8760,-0.0157,0.0666,-0.0131,0.9976,1796.0000,1845.0000,1852.0000,,,,
0.3504,262,0,36.2073,-42.1032,729.0900,35.6691,-9.4170,705.8760,-0.0157,0.0666,-0.0131,0.9976,1796.0000,1845.0000,1853.0000,,,,
0.3626,262,0,33.6064,-34.9124,728.7776,33.2993,-2.2231,705.5637,-0.0117,0.0641,-0.0143,0.9978,1796.0000,1845.0000,1854.0000,,,,
0.3746,262,0,33.6064,-34.9124,728.7776,33.2993,-2.2231,705.5637,-0.0117,0.0641,-0.0143,0.9978,1796.0000,1845.0000,1857.0000,,,,
0.3833,262,0,33.6064,-34.9124,728.7776,33.2993,-2.2231,705.5637,-0.0117,0.0641,-0.0143,0.9978,1796.0000,1845.0000,1859.0000,,,,
0.3947,262,0,32.8419,-31.6212,729.2094,32.5811,1.0684,705.9955,-0.0116,0.0644,-0.0149,0.9977,1796.0000,1845.0000,1861.0000,,,,
0.4065,262,0,32.8419,-31.6212,729.2094,32.5811,1.0684,705.9955,-0.0116,0.0644,-0.0149,0.9977,1796.0000,1845.0000,1863.0000,,,,
0.4188,262,0,31.5658,-26.1080,723.0801,30.9839,6.5775,699.8662,-0.0088,0.0618,-0.0164,0.9979,1797.0000,1845.0000,1865.0000,,,,
0.4306,262,0,31.5658,-26.1080,723.0801,30.9839,6.5775,699.8662,-0.0088,0.0618,-0.0164,0.9979,1798.0000,1845.0000,1868.0000,,,,
0.4427,262,0,31.5658,-26.1080,723.0801,30.9839,6.5775,699.8662,-0.0088,0.0618,-0.0164,0.9979,1799.0000,1845.0000,1870.0000,,,,
0.4513,262,0,31.4220,-22.7180,721.4503,31.1827,9.9718,698.2363,-0.0072,0.0630,-0.0164,0.9979,1798.0000,1845.0000,1870.0000,,,,
0.4626,262,0,31.4220,-22.7180,721.4503,31.1827,9.9718,698.2363,-0.0072,0.0630,-0.0164,0.9979,1796.0000,1845.0000,1870.0000,,,,
0.4745,262,0,32.0030,-19.0466,722.2781,31.8119,13.6435,699.0642,-0.0058,0.0634,-0.0166,0.9978,1793.0000,1845.0000,1870.0000,,,,
