{HEADER}
user_id: 123
target_id: 304
target_screen_position_mm: [104.04, 48.04]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 9.4512
endpoint_error_mm: [8.8856, 19.6342, -1.3833]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,304,0,227.8154,-16.7498,620.7880,230.0193,15.8665,597.5740,-0.0150,0.0758,-0.0537,0.9956,1823.0000,1825.0000,1872.0000,,,,
0.0120,304,0,219.9589,-15.5528,624.7761,222.6476,17.0271,601.5622,-0.0155,0.0720,-0.0573,0.9956,1823.0000,1825.0000,1870.0000,,,,
0.0239,304,0,219.9589,-15.5528,624.7761,222.6476,17.0271,601.5622,-0.0155,0.0720,-0.0573,0.9956,1818.0000,1825.0000,1871.0000,,,,
0.0355,304,0,214.7129,-14.4754,628.1423,217.4421,18.1011,604.9283,-0.0151,0.0697,-0.0600,0.9956,1812.0000,1825.0000,1872.0000,,,,
0.0442,304,0,214.7129,-14.4754,628.1423,217.4421,18.1011,604.9283,-0.0151,0.0697,-0.0600,0.9956,1807.0000,1825.0000,1872.0000,,,,
0.0557,304,0,214.7129,-14.4754,628.1423,217.4421,18.1011,604.9283,-0.0151,0.0697,-0.0600,0.9956,1800.0000,1825.0000,1873.0000,,,,
0.0674,304,0,209.7260,-13.7704,630.3065,212.2167,18.8252,607.0926,-0.0148,0.0638,-0.0618,0.9959,1792.0000,1825.0000,1873.0000,,,,
0.0794,304,0,209.7260,-13.7704,630.3065,212.2167,18.8252,607.0926,-0.0148,0.0638,-0.0618,0.9959,1782.0000,1826.0000,1873.0000,,,,
0.0915,304,0,201.1314,-15.4356,630.2385,204.4856,17.0825,607.0245,-0.0175,0.0604,-0.0675,0.9957,1772.0000,1826.0000,1873.0000,,,,
0.1001,304,0,201.1314,-15.4356,630.2385,204.4856,17.0825,607.0245,-0.0175,0.0604,-0.0675,0.9957,1766.0000,1826.0000,1873.0000,,,,
0.1113,304,0,201.1314,-15.4356,630.2385,204.4856,17.0825,607.0245,-0.0175,0.0604,-0.0675,0.9957,1758.0000,1826.0000,1873.0000,,,,
0.1235,304,0,197.4361,-14.3074,629.7490,200.6083,18.2290,606.5351,-0.0151,0.0587,-0.0685,0.9958,1748.0000,1826.0000,1873.0000,,,,
0.1354,304,0,197.4361,-14.3074,629.7490,200.6083,18.2290,606.5351,-0.0151,0.0587,-0.0685,0.9958,1740.0000,1826.0000,1873.0000,,,,
0.1476,304,0,195.2143,-16.6742,631.8008,198.3018,15.8703,608.5869,-0.0161,0.0570,-0.0676,0.9960,1731.0000,1826.0000,1873.0000,,,,
0.1594,304,0,195.2143,-16.6742,631.8008,198.3018,15.8703,608.5869,-0.0161,0.0570,-0.0676,0.9960,1724.0000,1826.0000,1873.0000,,,,
0.1681,304,0,195.2143,-16.6742,631.8008,198.3018,15.8703,608.5869,-0.0161,0.0570,-0.0676,0.9960,1718.0000,1826.0000,1873.0000,,,,
0.1794,304,0,195.9478,-18.5025,632.4543,199.2780,14.0181,609.2404,-0.0189,0.0554,-0.0689,0.9959,1711.0000,1826.0000,1873.0000,,,,
0.1914,304,0,195.9478,-18.5025,632.4543,199.2780,14.0181,609.2404,-0.0189,0.0554,-0.0689,0.9959,1702.0000,1826.0000,1873.0000,,,,
0.2033,304,0,196.1767,-24.3370,625.4408,199.3988,8.1944,602.2269,-0.0201,0.0610,-0.0692,0.9955,1695.0000,1826.0000,1873.0000,,,,
0.2155,304,0,196.1767,-24.3370,625.4408,199.3988,8.1944,602.2269,-0.0201,0.0610,-0.0692,0.9955,1688.0000,1826.0000,1873.0000,,,,
0.2273,304,0,196.1767,-24.3370,625.4408,199.3988,8.1944,602.2269,-0.0201,0.0610,-0.0692,0.9955,1681.0000,1826.0000,1873.0000,,,,
0.2362,304,0,199.2470,-28.6895,626.4501,203.0307,3.7815,603.2362,-0.0223,0.0571,-0.0676,0.9958,1675.0000,1826.0000,1873.0000,,,,
0.2474,304,0,199.2470,-28.6895,626.4501,203.0307,3.7815,603.2362,-0.0223,0.0571,-0.0676,0.9958,1667.0000,1826.0000,1873.0000,,,,
0.2593,304,0,202.8019,-34.7922,623.7129,208.0646,-2.5279,600.4990,-0.0268,0.0577,-0.0666,0.9957,1661.0000,1826.0000,1873.0000,,,,
