{HEADER}
user_id: 123
target_id: 258
target_screen_position_mm: [-152.07, 32.12]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 12.8479
endpoint_error_mm: [6.1735, -9.1928, 0.4157]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,258,0,-12.6425,-86.4819,563.7567,-4.1674,-54.9090,540.5427,-0.0438,0.0890,-0.1497,0.9837,1821.0000,1827.0000,1874.0000,,,,
0.0123,258,0,-12.6425,-86.4819,563.7567,-4.1674,-54.9090,540.5427,-0.0438,0.0890,-0.1497,0.9837,1821.0000,1826.0000,1873.0000,,,,
0.0217,258,0,-12.6425,-86.4819,563.7567,-4.1674,-54.9090,540.5427,-0.0438,0.0890,-0.1497,0.9837,1821.0000,1825.0000,1872.0000,,,,
0.0323,258,0,-12.7889,-71.9392,478.1103,-1.2929,-41.3365,454.8964,-0.5566,-0.3698,0.6694,-0.3246,1821.0000,1826.0000,1870.0000,,,,
0.0440,258,0,-12.7889,-71.9392,478.1103,-1.2929,-41.3365,454.8964,-0.5566,-0.3698,0.6694,-0.3246,1821.0000,1827.0000,1867.0000,,,,
0.0559,258,0,-17.8679,-84.3280,571.6980,-9.5622,-52.7101,548.4841,-0.0431,0.0848,-0.1513,0.9839,1821.0000,1827.0000,1864.0000,,,,
0.0681,258,0,-17.8679,-84.3280,571.6980,-9.5622,-52.7101,548.4841,-0.0431,0.0848,-0.1513,0.9839,1821.0000,1827.0000,1860.0000,,,,
0.0769,258,0,-17.8679,-84.3280,571.6980,-9.5622,-52.7101,548.4841,-0.0431,0.0848,-0.1513,0.9839,1821.0000,1827.0000,1856.0000,,,,
0.0879,258,0,-19.2698,-84.2893,573.5753,-10.9938,-52.6635,550.3613,-0.0410,0.0854,-0.1504,0.9841,1821.0000,1827.0000,1852.0000,,,,
0.0999,258,0,-19.2698,-84.2893,573.5753,-10.9938,-52.6635,550.3613,-0.0410,0.0854,-0.1504,0.9841,1821.0000,1827.0000,1848.0000,,,,
0.1119,258,0,-22.2200,-83.9955,575.9193,-13.8708,-52.3890,552.7053,-0.0428,0.0806,-0.1483,0.9847,1821.0000,1827.0000,1843.0000,,,,
