{HEADER}
user_id: 123
target_id: 194
target_screen_position_mm: [-216.03, 0.00]
fingertip_offset: [-1.21, 32.67, 23.21]
completion_time: 9.4643
endpoint_error_mm: [-8.7598, 17.1793, 4.0094]
{DATA}
t_secs,target_id,detected,tx_mm,ty_mm,tz_mm,dx_mm,dy_mm,dz_mm,qx,qy,qz,qw,pwm_a,pwm_b,pwm_c,touch_x_px,touch_y_px,touch_x_mm,touch_y_mm
0.0000,194,0,-230.6378,244.0194,728.9832,-215.7771,273.1371,705.7692,0.0677,0.0454,-0.2315,0.9694,1817.0000,1830.0000,1868.0000,,,,
0.0115,194,0,-230.8529,243.5821,728.1108,-215.9445,272.6754,704.8969,0.0685,0.0457,-0.2317,0.9693,1810.0000,1820.0000,1868.0000,,,,
0.0234,194,0,-230.8529,243.5821,728.1108,-215.9445,272.6754,704.8969,0.0685,0.0457,-0.2317,0.9693,1808.0000,1808.0000,1868.0000,,,,
0.0349,194,0,-206.8081,217.5366,651.5520,-185.9259,242.6884,628.3381,-0.5149,0.3791,0.0998,0.7624,1808.0000,1797.0000,1868.0000,,,,
0.0470,194,0,-206.8081,217.5366,651.5520,-185.9259,242.6884,628.3381,-0.5149,0.3791,0.0998,0.7624,1810.0000,1784.0000,1868.0000,,,,
0.0589,194,0,-232.6254,242.3125,728.6774,-217.7439,271.4196,705.4634,0.0664,0.0435,-0.2315,0.9696,1813.0000,1772.0000,1868.0000,,,,
0.0676,194,0,-232.6254,242.3125,728.6774,-217.7439,271.4196,705.4634,0.0664,0.0435,-0.2315,0.9696,1817.0000,1760.0000,1868.0000,,,,
0.0789,194,0,-232.6254,242.3125,728.6774,-217.7439,271.4196,705.4634,0.0664,0.0435,-0.2315,0.9696,1821.0000,1747.0000,1868.0000,,,,
0.0908,194,0,-234.3401,241.2468,729.8766,-219.3496,270.2979,706.6627,0.0668,0.0423,-0.2324,0.9694,1825.0000,1733.0000,1868.0000,,,,
0.1028,194,0,-234.3401,241.2468,729.8766,-219.3496,270.2979,706.6627,0.0668,0.0423,-0.2324,0.9694,1826.0000,1717.0000,1868.0000,,,,
0.1150,194,0,-236.2609,240.6385,731.3912,-221.3096,269.7098,708.1773,0.0647,0.0411,-0.2324,0.9696,1826.0000,1703.0000,1868.0000,,,,
0.1236,194,0,-236.2609,240.6385,731.3912,-221.3096,269.7098,708.1773,0.0647,0.0411,-0.2324,0.9696,1826.0000,1691.0000,1868.0000,,,,
0.1348,194,0,-238.1191,239.8337,732.4731,-223.1353,268.8882,709.2592,0.0668,0.0410,-0.2330,0.9693,1826.0000,1676.0000,1868.0000,,,,
0.1469,194,0,-238.1191,239.8337,732.4731,-223.1353,268.8882,709.2592,0.0668,0.0410,-0.2330,0.9693,1826.0000,1661.0000,1868.0000,,,,
0.1592,194,0,-238.9055,238.6125,731.9874,-223.9826,267.6984,708.7735,0.0651,0.0403,-0.2336,0.9693,1826.0000,1646.0000,1868.0000,,,,
0.1708,194,0,-238.9055,238.6125,731.9874,-223.9826,267.6984,708.7735,0.0651,0.0403,-0.2336,0.9693,1826.0000,1631.0000,1868.0000,,,,
0.1830,194,0,-238.5378,238.2790,731.6146,-223.5695,267.3415,708.4006,0.0649,0.0410,-0.2333,0.9694,1826.0000,1616.0000,1868.0000,,,,
0.1917,194,0,-238.5378,238.2790,731.6146,-223.5695,267.3415,708.4006,0.0649,0.0410,-0.2333,0.9694,1826.0000,1604.0000,1868.0000,,,,
0.2029,194,0,-236.2348,237.2439,731.0995,-221.1924,266.2682,707.8856,0.0635,0.0432,-0.2332,0.9694,1826.0000,1591.0000,1868.0000,,,,
0.2149,194,0,-236.2348,237.2439,731.0995,-221.1924,266.2682,707.8856,0.0635,0.0432,-0.2332,0.9694,1826.0000,1575.0000,1868.0000,,,,
0.2268,194,0,-234.1062,237.9841,732.9197,-219.0691,267.0110,709.7057,0.0630,0.0449,-0.2326,0.9695,1826.0000,1561.0000,1869.0000,,,,
0.2389,194,0,-234.1062,237.9841,732.9197,-219.0691,267.0110,709.7057,0.0630,0.0449,-0.2326,0.9695,1826.0000,1545.0000,1869.0000,,,,
0.2510,194,0,-232.0361,238.1345,735.2720,-216.9379,267.1297,712.0581,0.0632,0.0475,-0.2326,0.9694,1826.0000,1532.0000,1869.0000,,,,
0.2598,194,0,-232.0361,238.1345,735.2720,-216.9379,267.1297,712.0581,0.0632,0.0475,-0.2326,0.9694,1826.0000,1522.0000,1869.0000,,,,
0.2710,194,0,-232.0361,238.1345,735.2720,-216.9379,267.1297,712.0581,0.0632,0.0475,-0.2326,0.9694,1826.0000,1508.0000,1869.0000,,,,
0.2830,194,0,-226.7777,238.2827,735.3525,-211.6799,267.2781,712.1385,0.0626,0.0492,-0.2325,0.9693,1826.0000,1494.0000,1869.0000,,,,
0.2949,194,0,-226.7777,238.2827,735.3525,-211.6799,267.2781,712.1385,0.0626,0.0492,-0.2325,0.9693,1826.0000,1482.0000,1869.0000,,,,
0.3068,194,0,-219.4385,240.1359,732.8803,-204.5376,269.2330,709.6664,0.0625,0.0529,-0.2301,0.9697,1826.0000,1470.0000,1869.0000,,,,
0.3154,194,0,-219.4385,240.1359,732.8803,-204.5376,269.2330,709.6664,0.0625,0.0529,-0.2301,0.9697,1826.0000,1460.0000,1869.0000,,,,
0.3269,194,0,-219.0136,240.6047,731.7477,-203.8464,269.5639,708.5338,0.0645,0.0542,-0.2312,0.9693,1826.0000,1449.0000,1869.0000,,,,
0.3397,194,0,-219.0136,240.6047,731.7477,-203.8464,269.5639,708.5338,0.0645,0.0542,-0.2312,0.9693,1826.0000,1434.0000,1869.0000,,,,
